text,created_at
참석한다던 이낙연 불참 선회 ‘기본소득’ 등재 시의원·시민단체 인사 “<b>이재명</b> 외곽조직으로 본격... 대선주자인 <b>이재명</b> 경기도지사와 이낙연 당대표와 연관된 두 행사가 2일과 3일 잇따라 세종시에서... ,20210303
"<b>이재명</b> 관련주 - 차기 대선 후보 정치 테마주 대선이 1년이 채 안 남은 지금, 선거판이 요동치고... 있는 <b>이재명</b> 경기도 지사와 관련된 관련주를 살펴보도록 하겠습니다. * 주의! 정치테마주 투자는 조심하여... ",20210307
지지자는 정치인을 돕는 존재가 아니라 함께 걷는 '동지'이지요. 그런 면에서 동지들에 대한 신뢰가 있습니다. 같은 길을 걷고 있다는 믿음이 있습니다. #<b>이재명</b>_말모이,20210319
"광명시흥 신도시 발표가 무섭게 <b>이재명</b> 경기도지사가 이슈를 선점하고 나섰습니다. 그리고, 그 이슈에... 기본 주택은 <b>이재명</b> 경기지사가 내세운 주택정책으로, 무주택자 누구나 입주 가능한 역세권의 장기... ",20210303
배우 김부선이 홍준표 무소속 의원을 향해 “<b>이재명</b>(경기지사)과 저의 과거 관계는 분명히 사적영역”... 앞서 홍 의원은 지난달 28일 <b>이재명</b> 경기지사를 비난하며 이른바 ‘여배우 스캔들’을 거론한 바... ,20210310
그런 의미에서 차기 대선 후보로 강력하게 거론되고 있는 '<b>이재명</b>' 경기지사를 최종으로 놓고 생각을 안해볼 수 없음^^.. <b>이재명</b> 경기도지사가 대선 및 도정 지지율에서 1위에 올랐다고 함. 얼마 전 리얼미터가... ,20210131
정부 의지로 해결 가능 지금이 부동산 투기 공화국을 벗어날 결정적인 기회 <b>이재명</b> 경기도지사는... #부동산정책 #<b>이재명</b> #<b>이재명</b>지사 #경기도지사 #부동산투기 #투기공화국 #신도시투기 #신도시개발 #LH투기... ,20210318
오늘은 평소 관심있게 보는 정치인 중 한명인 <b>이재명</b> 경기도지사와 관련된 테마주들이 있다고 해서 알아 본 내용을 포스팅해볼까 합니다. <b>이재명</b> 경기도지사는 평소 불도저같은 행정처리로 사이다같은... ,20210311
"지난 15일 윤석열 전 검찰총장이 <b>이재명</b> 경기도지사와 이낙연 더불어민주당 상임선거대책위원장을... 이미지 확대▲ 이낙연 더불어민주당 상임선거대책위원장,<b>이재명</b> 경기도지사, 윤석열 전 검찰총장[사진... ",20210318
<b>이재명</b> 관련주:: 에이텍 에이텍티앤 동신건설 주가 토리맘이에요:) 어제 대권주자 후보 지지율 1위 윤석열 관련주 포스팅을 했는데요. 오늘은 이어서 강력한 라이벌로 꼽히는 <b>이재명</b> 관련주... ,20210310
"<b>이재명</b> 경기도지사, 문재인 대통령, 윤석열 전 검찰총장(왼쪽부터). 뉴스1 21대 대선이 1년도 남지 않은... 범야권의 윤석열 전 검찰총장에 비견할 만한 지지율을 보이는 후보가 <b>이재명</b> 경기도지사밖에 없는... ",20210314
"차기 대권주자 적합도 여론조사에서 1~3위를 차지한 윤석열 전 검찰총장 <b>이재명</b> 경기도지사, 이낙연... [AI 관상 앱 '어찌 내가 왕이 될 상인가' 캡처] 여권 대권주자에서는 1위를 달리고 있는 <b>이재명</b>... ",20210309
"<b>이재명</b>, 본질은 아첨하는 간신배 역사적으로 국왕은 간신배를 가까이 두는 경우가 많았고, 좋은... 이제 <b>이재명</b>이 하는 말들과 행동을 살펴 봅시다. 아첨하는 간신배 전형의 글을 아래와 같이 써두었네요. 솔직히.... ",20210221
5일 윤석열이 검찰총장직 사표를 던지며 사실상 대선 '출사표'를 내자 <b>이재명</b>과 홍준표는 먼저 경계의... <b>이재명</b>의 약점을 누구보다 잘 알고 있는 홍준표는 가히 '스나이프'란 별칭을 붙일만 하다. <b>이재명</b>의... ,20210308
"2022년 3월 9일에 치뤄질 20대 대통령선거에서 맞붙게될 후보로는 여당에서는 <b>이재명</b>지사가 대통령... 반면 <b>이재명</b> 도지사는 추진력, 뚝심, 빠른 판단력 등 시원 시원한 스타일로써 서민이 고충받을 시 바로 바로... ",20210308
&quot;서울 지지율도…<b>이재명</b> 25.2% 윤석열 13.4% 이낙연 10.7%&quot; 연합뉴스 현재 차기 대권 지지율 1위를 달리고있는 JM 그가 누군지 궁금하므로 조금씩 찾아보기로 했다. <b>이재명</b> 출생 ☞ 1964년 12월 22일 (56세) ☞ 경상북도... ,20210213
"<b>이재명</b> 관련주 정리_ 오리엔트바이오, 에이텍, 형지엘리트, 동신건설, 주가 전망 안녕하세요. 쉽게... 이번 포스팅에서는 <b>이재명</b> 관련주의 간단한 기업 소개와 주가 전망에 대해 알아보도록 해보겠습니다.... ",20210310
엘시티 망령을 판도라 상자에서 꺼낸 인물이 욕망의 화신 <b>이재명</b>일 것 같다는 느낌이 아주 강하게... 문재인정권을 겨냥한 LH 땅투기 의혹 사건을 터뜨린 주체가 욕망의 화신 <b>이재명</b>으로 봐야 할 근거가... ,20210309
오늘은 공부할겸 가지고 온 #<b>이재명</b>관련주 즉 완전 테마주관련 내용을 가지고 와봤다 쫄보이면서 잘... 위치해있다 #<b>이재명</b> 경기지사가 2014년 7월부터 2018년 3월까지 경기도 성남시의 시장으로도 있었다... ,20210208
윤석열 37% <b>이재명</b> 24%…지지율차 8→13%p 더 벌어져[KSOI] [중앙일보] 입력 2021.03.15 08:42 수정... 김경록 기자 윤석열 전 검찰총장이 차기 대선주자 지지율 여론조사에서 <b>이재명</b> 경기지사와... ,20210315
개미 동지 여러분 어서오시고~~ 요새 <b>이재명</b> 경기도지사가 대선주자중 여론조사 1위를 달리고 있지... 지금 소개할 <b>이재명</b> 관련주도 마찬가지지만 정치 테마주라는게 참 어처구니없는 것들을 끼워 맞춰다가... ,20210303
