text,created_at
"<b>문재인</b> 대통령은 1953년 1월 24일생으로 올해 만 <b>나이</b> 68세이며, 김정숙 여사는 1954년 11월 15일생으로 올해 만 <b>나이</b> 66세입니다. 이번 <b>문재인</b> 대통령 부부 백신 접종에는 일부 순방 필수 인력도 함께 할... ",20210315
복귀 ⭕️ <b>문재인 나이</b> 학력 경력 출생 1953. 1. 24. ⭐️ 문재인 대통령 나이68세 고향 경상남도 거제 소속 대한민국(대통령) 가족 배우자 김정숙 학력 ⭐️ 경희대학교 법학 학사 수상 2017년 대서양협의회... ,20200923
올해 3월 더불어민주당 고발하였고 혐의내용은 <b>문재인</b> 대통령에 대한 허위사실 유포입니다. <b>문재인</b>... 강용석 <b>나이</b> 키 학력 등 프로필 출생: 1969년 12월 3일 (51세) 서울특별시 중구 동자동 본관: 신천 강씨... ,20201208
장애인 활동지원 65세 <b>나이</b> 제한은 현대판 고려장 이날 뇌병변 중증장애인 최정자 씨는 <b>문재인</b> 대통령에게 보내는 편지에서 “노인장기요양으로 넘어가게 될 경우 그동안 24시간 활동지원을 받던 서비스... ,20201106
아이콘택트 장동익 <b>나이</b> 최인철 부산 엄궁동 살인사건 재심 결과 보상금 가족 시력 직업 박준영 변호사 <b>나이</b> <b>문재인</b> 대통령 25일 방송될 채널A #아이콘택트 에서는 지난주에 이어 재심 전문 박준영 변호사가... ,20201124
"사진=MBC,엑스포츠뉴스 <b>문재인</b>과 배철수의 <b>나이</b>가 67살이라고 합니다. 1953년생이라니까 <b>문재인</b>과 배철수의 <b>나이</b>는 67살인 것인데요, 동갑이네요. 동갑처럼 안 보이는 듯 동갑처럼 보입니다. 배철수를 먼저 보면... ",20191119
#이희호 #이희호이름풀이 #이희호여사 #이희호별세 #이희호사망 #이희호유언 #이희호<b>나이</b> #이희호<b>문재인</b> #이희호김대중 #김대중대통령 #이희호영부인 #이희호닥터드레 #닥터드레 1922년생 여자 이희호 이름 풀이... ,20190611
"현 대한민국 대통령이신 <b>문재인</b> 대통령까지 만나본 특별한 강아지 샬렘~ 안녕!!!!! 오래도록 행복하고, 쭉~건강하렴~! #거제피부과 #샬렘 #강아지<b>나이</b> #<b>문재인</b> #대통령 #반려견",20200521
최창희 <b>나이</b> 대학 <b>문재인</b> 낙하산? 지오영 조선혜의 남편이라고 알려진 중소기업 전용 TV홈쇼핑인 공영홈쇼핑의 대표이사(사장) 최창희에 대한 관심이 쏟아지고 있습니다. 하지만 논란이 일자 공영홈쇼핑 측은... ,20200309
솔선수범&quot; <b>문재인</b> 대통령과 부인 김정숙 여사는 오는 3월 23일 아스트라제네카 백신을 접종한다. 오는 6월 영국에서 개최되는 G7 정상회의 참석을 위해서다. 당국은 <b>문재인</b> 대통령이 아스트라제네카(AZ) 백신을... ,20210315
트럼프와 문재인의 나이 차이는 7살입니다. 김정은 위원장은 1984년생 36세로 트럼프와 38살의 나이... 트럼프나이 #김정은나이 #<b>문재인나이</b> #김정은트럼프판문점 #트럼프김정은판문점 #김정은트럼프자유의집... ,20190630
"최근 <b>문재인</b> 대통령이 경남 양산시 사저 농지 매입 관련 야권의 의혹 제기에 &quot;좀스럽고 민망하다&quot;라고... 제기되자 <b>문재인</b> 대통령은 자신의 페이스북을 통해 &quot;선거 시기라 이해하지만, 그 정도 하시지요.... ",20210313
"<b>문재인</b>이 <b>나이</b>로 보나 어눌한 말투로 보나 틀딱 늙은 꼰대가 틀림 없겠지 [단독] 구속수감 전광훈 목사, 목 수술 후유증으로 '마비' 위독설 공직선거법 위반 혐의로 구속된 한국기독교총연합회(한기총)... ",20200322
"<b>문재인</b> 대통령 <b>나이</b> 출생: 1953년 1월 24일 (67세), 거제시 키: 172cm 재임 기간: 2017년 5월 10일– 배우자: 김정숙 (1981년–) 형제자매: 문재익, 문재실, 문재성, 문재월 학력: 경희대학교, 경남중학교... ",20201113
출생 1953년 1월 24일 (68세) 경상남도 거제군 거제면 명진리 694-1 (現 경상남도 거제시 거제면 명진1길 27) 재임기간 제19대 대통령 2017년 5월 10일 ~ 2022년 5월 10일 <b>문재인</b> 대통령과 김정숙 여사가 6월로 예정된... ,20210316
대답하라 <b>문재인</b>? 뭐 <b>나이</b> 운운하고 반말이니 뭐니하면 꼰대같고.... 스카이 대학생 너희들~ 민주주의를 위해 뭘 하고 나불 나불 마스크쓰고 뭐라하는지? 이것도 패스... 하늘 아래 사람이 이렇게 털면 과연... ,20190920
"유퀴즈 신민아 <b>나이</b> 키 김우빈 김태현 통역병 <b>문재인</b> 트럼프 대통령 <b>나이</b> 김선태 주무관 충주시 충TV 유한락스 김춘재 차장 이금주 항공교통관제사 연봉 유퀴즈온더블럭 73회 신민아 신민아 (新慜娥, Shin... ",20200922
"[인물 소개] 서울시장 후보 박영선 [전 중소벤처기업부 장관, 전국회의원 서울구로구 을 결혼 남편 <b>나이</b> 서울시장 <b>문재인</b> 친문] https://deluna92.tistory.com/225",20210223
수사4팀장 #윤석열 #윤석열이름 #윤석열이름풀이 #윤석열검찰총장 #검찰총장 #검찰총장후보 #윤성녈 #윤석열지검장 #<b>문재인</b> #<b>문재인</b>대통령 #<b>문재인</b>검찰총장지명 #윤석열<b>나이</b> #윤석열고향 1960년생 남자 윤석열... ,20190617
# <b>문재인 나이</b> 고향 프로필 이름 문재인 생년월일 1953년 1월 24일 출생지 경남 거제군 거제면 명진리... 문재인 딸 나이 남편 프로필 궁금하신 분들은 끝 24hour-hotissue.tistory.com 임영웅 노래모음 듣기... ,20210313
"그후 66-67년도쯤 영도에서 다시, 그때는 서로 시비도 하지 않고 지나치기만 했었다고 증언, 서승남씨의 증언에 따르면 <b>문재인</b>이 실제 <b>나이</b>는 그가 밝힌 1953년생이란 발표는 새빨간 거짖말로 실제로는... ",20210217
한편 지난 2019년 6월 경에 곽상도 자유한국당 의원은 18일 <b>문재인</b> 대통령의 사위로 알려진 서모(당시 <b>나이</b>는 38세)씨가 태국 현지에서 특혜 취업한 의혹이 있다고 주장했답니다. 아울러 곽 국회의원은 이날... ,20210218
"무재인은 192년에 거제도에서 태어 나지 않았으며, 1958년 재 남파당시 그 아비가 대동한 어린애(6세가량)가 바로 문잰인이 었으니, <b>문재인</b>의 <b>나이</b>는 약70세임이 틀림없다. 실제로 이자는 <b>나이</b> 먹어 보이고... ",20210210
"2014 이산가족 상봉시 문재인은 새치기, 나이 속임, 인원 수 위반 등을 행하며 '이모 강병옥'을 만났다.... 나타남) ** 문재인의 출생 연도 학도병: 당시 문재인은 7~8살로 보였다. 당시 : 1957년 8월 <b>문재인 나이</b>... ",20210216
