text,created_at
<b>문재인 대통령</b>이 4일 윤석열 검찰총장의 사의를 수용했다. 정만호 청와대 국민소통수석은 이날 브리핑에서 “문 대통령이 사의를 수용했다”고 밝혔다. 윤 총장이 기자회견을 통해 사의를 표명한 지 한... ,20210304
바로 노무현-<b>문재인 대통령</b>. 첫 진보 성향 대통령 DJ도 물론 부자 출신은 아니었으나 그래도 두 분에 비하면 형편이 나았다. 노 전 대통령은 뛰어난 성적에도 돈이 없어서 상고를 갔고 실향민 거주지에서... ,20210317
<b>대통령</b> 친구를 당선시키려고 경쟁 야당 후보가 공천받는 날 경찰이 그 사무실을 덮쳐 압수 수색을 했다. 이게 <b>문재인</b>식 공정인가. 산업부 공무원들은 월성 원전 경제성을 조작하고 이를 은폐하기 위해 휴일... ,20210311
그러면서 “제주도민의 의견이 분명히 확인되었음에도 혼란과 갈등이 계속되는 것은 문재인 정부의... 문제인 대통령이 결단하도록 적극 행동하라”고 강조했다. 도민회의는 “<b>문재인 대통령</b>이 도민의 뜻을... ,20210318
에마뉘엘 마크롱 대통령은 독일의 발표 직후 기자회견을 열고 “EMA 판단이 나올 때까지 백신 접종을... <b>문재인대통령</b> 1호 별도로 청와대는 <b>문재인 대통령</b>이 23일 아스트라제네카 AZ 백신의 1호 접종자(65세... ,20210316
<b>문재인 대통령</b> 처남이 2002년부터 2009년까지 매입했던 경기 성남시 고등동 일대 토지. 한때 묘목이 심어져 있던 이곳에는 현재 'LH 행복주택'이 들어서 있다. 2014~2015년 사이 문 대통령 처남 김씨는 LH로부터... ,20210312
"대통령 딸 문다혜 부동산? <b>문재인 대통령</b> 딸 문다혜 씨 부동산 의혹? 선 요약 2018년 구기동 매각 (5억 1,000만 원) 매각 후 태국 이주 10개월 후 2억 5,000만 원 비싼 2019년 양평동 매입 (7억 6,000만 원) 매수 1년... ",20210311
"12% ▶김대중 대통령 31% 사진- 아주경제 오는 5월이면 <b>문재인 대통령</b>은 임기 5년 차에 접어듭니다. 부동산 정책 등에 실망한 사람은 있고, 문재인 정부가 못하는 것도 분명히 있지만 지지율은 견고합니다. 큰... ",20210226
"이런 식이다 보니 일각에서는 '문재인 허수아비설'을 제기하기도 한다. 마치 안동 김씨에 의해 왕위에... <b>문재인 대통령</b>은 철종인가, 고종인가. 조선일보 21. 2. 27 문 대통령은 철종인가, 고종인가 대통령이 주변... ",20210306
초기에 <b>문재인 대통령</b>을 지지 하지않은 이유 1. 인권 변호사 인권은 주권과 다르다 즉 인권 주권위에... 즉 문재인이 대통령이 되는 순간 경기와 부동산 금융 그리고 재정적자 및 세금 인상은 정해진 수순이다... ,20210317
두번속으면 바보인증이요 세번 속으면 공범이라고 했습니다 #코로나19백신 #아스트라제네카백신논란 #<b>문재인대통령</b> #대통령백신접종순서논란 #국민의힘 #백신포비아 #정은경질병관리청장 #코로나19백신접종순서,20210227
임기 내내 악재였던 부동산 민심이 <b>문재인 대통령</b>을 집권 이후 최대 위기로 몰아넣고 있다. 한국토지주택공사(LH) 직원들의 부동산 투기 여파로 문 대통령의 국정지지율은 물론 여당 지지율에도 악영향을... ,20210320
문재인의 '적폐'를 옹호하기 위하여 '노무현'을 소환할지 말이다. <b>문재인 대통령</b> 지지율도 이번 사태로 꽤나 빠질 것으로 보인다. 임기 말년이니 지지율이 빠지는 것은 당연한 수순이나 그동안 전직 대통령들과... ,20210316
<b>문재인 대통령</b>은 15일 “정부는 단호한 의지와 결기로 부동산 적폐 청산과 투명하고 공정한 부동산 거래 질서 확립을 남은 임기 동안 핵심적인 국정과제로 삼아 강력히 추진하겠다”고 밝혔다. 문 대통령은 이날... ,20210316
"원조는 <b>문재인 대통령</b>&quot;이라며 처벌을 논할 자격이 없다고 주장했다. 안 의원은 이날 배포한 입장문과 SNS 등에서 문 대통령의 경남 양산시 하부면 사저 부지 매입과 관련, &quot;농업경영계획서에 11년간 영농경력이... ",20210309
"저는 그런면에서 박근혜 전 대통령과 <b>문재인 대통령</b>이 공통점이 있다고 생각합니다. 한 마디로 불통이요, 길게 말하면 자기의 잘못을 인정하지 못한다는 겁니다. 박 전 대통령은 복지라는 것 자체가 돈인데... ",20210225
"[부동산 민심의 폭발은 <b>문재인 대통령</b> 책임이다!!]<b>문재인 대통령</b>이 오늘 해야 할 사과는 안 하고, 또 남 탓을 했습니다. 기가 찰 노릇입니다. 이생집망을 초래한 것은 대통령의 무능함 탓입니다. 좋은 일 있을 때는... ",20210316
김종호 비서관의 뒤를 이어 2020년 12월 31일 <b>문재인</b> 정부의 <b>대통령</b>비서실 민정수석비서관에 부임했다. <b>문재인</b> 정부 출범 이후 첫 검사 출신 민정수석이 되었다. 하지만 취임한지 두 달 뒤인 2021년 2월 사표를... ,20210217
&quot;라고 하며 &quot;대통령이 맞으면 백신을 맞겠다&quot;라고 말하며 자신의 소신을 밝혔습니다. (사진) 서민들과 자영업자를 괴롭히고 2030세대의 미래를 박살냈던 흉악무도한 박근혜 정권을 무너뜨렸던 <b>문재인 대통령</b>의... ,20210309
코로나 19 (COVID19) 288-1 (<b>문재인 대통령</b>) 21년3월20일 질병관리청 보도자료(번호 4753) 출처 https://www.cdc.go.kr/board/board.es?mid=a20501000000&amp;bid=0015 * 출처 표시된 곳을 클릭하시면 질병관리청 보도자료... ,20210320
지난 16일 <b>문재인 대통령</b>은 지지율 하락을 막고자 LH 사태에 대해 대국민 사과하였다. 그런데도... 문 대통령의 핵심 지지층인 40대에서 처음으로 긍정 평가가 50% 아래도 내려갔다는 거다. ■지지 정당별... ,20210319
오늘 다룰려고 하는 내용은 참고문헌 4 이다.3월 1일 <b>문재인 대통령</b>의 기념사는 &quot;미래적&quot;인 한일... 그 첫단계가 바로 <b>문재인 대통령</b>의 한일 미래 관계 발언일것이다. 이렇게 하는 것이 정치라고 생각한다. 5.... ,20210310
<b>문재인 대통령</b>이 한국토지주택공사(LH) 직원들의 광명·시흥 3시 신도시 땅 투기 의혹과 관련해 청와대 직원 및 가족에 대한 자체조사를 지시했습니다. 5일 청와대 핵심 관계자는 기자들과 만나 문 대통령이... ,20210305
"말도 많고 탈도 많은 문재인 정부의 탈원전로드맵의 대표적 희생양은 바로 신한울 3, 4호기다 이미... 대통령 임기도 고작 1년 남았다. 불법 탈원전 정책의 모든 책임은 청와대와 <b>문재인 대통령</b>에게 있다. 이미... ",20210223
"허나, <b>문재인 대통령</b> 그릇이 이정도였는가? 촛불시위로 대통령이 되신분아니신가? 그런분이 국민을... 현 문재인정부 비판할게 엄청많지않나? 그대들은 왜 그리 조용하지? 아무런 영향력없는 국민보단... ",20210207
이번 <b>문재인 대통령</b> 부부 백신 접종에는 일부 순방 필수 인력도 함께 할 예정입니다. 문제인 대통령 내외의 백신 접종 장소는 경호 등의 문제로 알려지지 않았지만 백신을 접종하는 모습은 국민들에게... ,20210315
<b>문재인 대통령</b>의 국정수행 지지율이 40%로 나타났다. 문 대통령 국정 지지율이 40%를 기록한 것은 지난해 12월 셋째 주 이후 약 3개월 만이다. 더불어민주당 지지도는 36%에서 32%로 4%p 떨어졌다. 문재인... ,20210305
"문제인 대통령은 지난 해 12월 공공임대주택의 다양한 공급확대를 발표하며, 국민의 주거권을 누구나... 나는 이 사태가 <b>문재인 대통령</b>의 국민 주거권 확대를 위한 정책과의 개연성을 의심해 본다. 생각해보자.... ",20210310
"문재인 정부에서 이루어진 LH임직원 및 공기관.공기업 임직원 , 정치권 등등에서 이루어진 불법 투기에 대하여 무한 책임자로서 사과는 잘했다 할 것이다. <b>문재인 대통령</b>은 법을 전공한 대통령이다. 노무현 전... ",20210317
"분도 <b>문재인 대통령</b>입니다.&gt; 1. 한 언론에서 농지법 위반 판결문 1226건을 분석한 결과, “거짓 농업 계획서로 농지 취득 만연, 심각”이라고 보도했습니다. 현직 대통령까지 거짓 농업계획서로 농지를... ",20210317
<b>문재인 대통령</b> 지시대로 전수조사해서 저수지에 있는 외래종 베스같은 놈들 발본색원... 대통령부터 온 국민이 분노하고 있는데 자기들은 투자하면 안되냐고 억울해 한다. 야 이놈들아... ,20210303
코로나 19 (COVID19) 283-1 (<b>문재인 대통령</b>) 21년3월15일 질병관리청 보도자료(번호 4734) 출처 https://www.cdc.go.kr/board/board.es?mid=a20501000000&amp;bid=0015 * 출처 표시된 곳을 클릭하시면 질병관리청 보도자료... ,20210315
디자인 <b>문재인 대통령</b> (국민 환호에 응하는 대통령) 디자이너 김소정 님 우정사업본부 1차 오프라인에서 구입했던 분들의 원성을 듣기도 했지만 국민들의 성원과 바람으로 역대 대통령 취임... ,20210124
조선일보 이미지 캡처(왼쪽) 2020년 9월 중앙지 칼럼 청와대는 언제나 '박정희 유령'에 쫓긴다 얼마 전 부동산 정책 실패 후유증으로 <b>문재인 대통령</b> 지지율이 급락했다. 전임 대통령들처럼 5년 임기 중 모든 게... ,20210221
"<b>문재인 대통령</b>은 이러한 상황이 자연인 문재인을 향한 의혹제기가 아님을 분명히 인식해야 한다. 이에 자유수호포럼은 다음과 같이 요구한다. 첫째, <b>문재인 대통령</b>은 북한에서 태어났는지, 아니면... ",20210318
맡길 수 있을 지 의문이 들기도 합니다 대통령의 지시가 얼마나 충실하게 이행될 지 두고 봐야겠습니다 #<b>문재인대통령</b> #한국토지주택공사(LH) #광명시흥신도시투기의혹 #3기신도시 #국토교통부 #토지거래전수조사,20210303
이에 대한 대통령님의 생각이 어떠신지 궁금해서 질문드렸습니다. (<b>문재인 대통령</b>)두 번째 말씀하신... 들어온다면 대응을 신속하고 제대로 하는 것이 중요하다고 생각된다. #<b>문재인대통령</b> #입양대책 #문재인입양,20210118
제 20대 대통령 선거에 대해 포스팅 해보려한다. 제 20 대통령 선거 1. 투표가능연령 하향 : 2019년... 그리고 <b>문재인 대통령</b>딸 문다혜씨 부동산 시세차익 의혹 등 현정부 공정과 신뢰의 기조가 흔들리는... ,20210310
"문 <b>대통령</b>께 더 많은 대화 창구를 만들어 국민과의 소통을 적극적으로 늘려달라고 당부의 발언을 했습니다. 코로나 19 위기를 극복하고 대한민국의 미래를 준비하며, 정부 여당 국회의원으로서 <b>문재인</b> 정부의... ",20210317
<b>문재인 대통령</b>은 15일 청와대 수석·보좌관회의에서 &quot;일부 한국토지주택공사(LH) 직원의 투기 의혹... 문 대통령은 &quot;부동산 불로소득으로 자산 불평등이 날로 심화하고 있다. 불공정의 뿌리인 부동산 적폐를... ,20210315
중앙알보가 보도한 문재인가족 관련 이하 기사 역시 부정화하기는 마찬가지이다. <b>문재인 대통령</b> 가족은 유명인사가 즐비했던 박근혜 전 대통령과 비교하면 다소 평이한 편이다. 친인척은 물론 직계 가족에... ,20210209
"대한민국 대통령 내외 문재인, 김정숙 위 와 같은 내용의 멋진 글이 담겨 있었습니다. 우왕!! 뜻밖의 카드로 기분이 좋아졌습니다. 나도 <b>문재인 대통령</b>님에게 답장을 보내야 하나?? 고민을 해봅니다. 뭐 시간이... ",20210226
"2월 한 달 동안 <b>문재인 대통령</b>의 공식 발언 가운데 대표적인 말 5개를 선정했다. 문 대통령은 2월 중 코로나 고용 위기에 대처하기 위한 재정의 적극적 역할을 강조하고, 백신 접종과 함께 방역 태세도 안심해선... ",20210302
코로나 19 (COVID19) 282-1 (<b>문재인 대통령</b>) 21년3월14일 질병관리청 보도자료(번호 4732) 출처 https://www.cdc.go.kr/board/board.es?mid=a20501000000&amp;bid=0015 * 출처 표시된 곳을 클릭하시면 질병관리청 보도자료... ,20210314
