text,created_at
ㅋ 제 목숨 귀하지 않는 놈이 어딨을까만 소나 개나 대통령 하는 것은 아니지 않는가? 삽화 출처/ [D-시사만평] 코로나 <b>백신</b> 접종 국내 1호는 누구?…<b>문재인</b>대통령?,20210222
<b>문재인</b>은 코로나 <b>백신</b> 아스트라제네카(AZ) 맞는 문제의 본질도 모르는 것인가? 국내 도입 첫 코로나 <b>백신</b> 아스트라제네카(AZ)에 대한 안정성 우려가 커지고 있다. 프랑스에서는 부작용이 속출해 접종 중단이... ,20210223
걸그룹 AOA 출신의 가수 권민아가 부동산 폭등 문제와 코로나 <b>백신</b>에 관해 발언하며 <b>문재인</b> 대통령을 언급해 <b>문재인</b> 대통령의 지지자들의 비난을 받고 있는 상황입니다. (사진) 최근 3~4년 사이에 두배 이상... ,20210309
"약효가 확실히 밝혀진 <b>백신</b>으로 인정 받기에는 많은 의문점이 아직도 남아있는 아스트라 <b>백신</b> 접종을, 더군다나 65세 이상의 노인들에게 실시한다는것은, 간첩 <b>문재인</b>과 좌파 정세균이는 살고... ",20210306
이번 <b>문재인</b> 대통령 부부 <b>백신</b> 접종에는 일부 순방 필수 인력도 함께 할 예정입니다. 문제인 대통령 내외의 <b>백신</b> 접종 장소는 경호 등의 문제로 알려지지 않았지만 <b>백신</b>을 접종하는 모습은 국민들에게... ,20210315
<b>문재인</b> AZ<b>백신</b> 접종은 내용물이 다른 쇼일 걸로 예상된다. 1. 멀쩡하게 살아있던 국민들이 정부의 접종 권유로 AZ 맞았다가 무려 16명이나 죽었다. 그 과정에서 기저질환 없는 노인층은 상대적으로... ,20210315
"AZ(아스트라제네카)<b>백신</b>, <b>문재인</b> 접종 1호가 될수 없나? 올해 초 대통령 신년 기자회견에서 국민들이 가장 관심을 갖고 있는 코로나 <b>백신</b>에 대해서 대통령에게 질의 응답을 하는 시간을 가졌다. 외국에서는 <b>백신</b>... ",20210223
<b>문재인</b>대통령 1호 별도로 청와대는 <b>문재인</b> 대통령이 23일 아스트라제네카 AZ <b>백신</b>의 1호 접종자(65세 이상)가 될 것이라고 밝혔다. 일각에서 제기돼온 안전성과 효과성 논란을 불식시키기 위한 조치라는... ,20210316
그리고 난 <b>문재인</b> 정권이 <b>백신</b>의 국산화에 대해 환기를 시키고 널리 알린 건 굉장히 긍정적으로 보고 있다. 물론 우리나라 <b>백신</b> 산업 현황은 유럽이나 미국에 비하면 걸음마에 가깝다. 일단 자본력에서도 밀리고... ,20210111
‘보여주기 쇼’가 아니라 실제로 <b>백신</b> 접종이 이루어질 수 있는 날이 언제쯤이라는 것을 알고싶습니다. #<b>문재인</b> #코로나 #<b>백신</b> #질병관리청 #아스트라제네카 #모더나 #서초구 #간호사 #K방역 #화이자 #<b>백신</b>_없는_봄,20210212
