text,created_at
"투표수를 <b>조작</b>한 장면,,TV에 잡혔다) &lt; &gt; ▼<b>문재인</b> 여론조사 믿어지나요? &lt; &gt; ▼미국 부정선거 배후와 부역자들,,부정선거 단계별 역할분담 ▼4.15부정선거,,그들은 언제부터 준비했을까? 풀영상 https://youtu.be... ",20201113
<b>문재인</b> 대통령 <b>지지율</b>이 최근 38% 수준으로 나타난 것을 중앙일보가 보도를 하지 않아서 화제가 되었다. 중앙일보가 여론조사를 한 본래 의도가 <b>문재인</b>의 국정 <b>지지율</b> 조사가 아니었기 때문에 그랬다고... ,20190930
야당은 지금처럼 <b>문재인 지지율 조작</b>을 눈감아서는 안 된다. 지지율조작의 단 맛을 본 문재인 정권과 여당이 온 국민이 반대하는 정책을 매번 지지율 조작하면서 추진할 가능성이 너무도 높기 때문이다.... ,20190920
"<b>지지율</b> ,<b>문재인지지율</b> 높게 <b>조작</b>질할수가있을까 ? 이번주도 ..오늘도 경상도친노리얼미터 여론조사<b>조작</b> <b>조작</b>질해놓은꼬라지봐라 경상도친노언론 와이티엔은 아직도 경상도친노리얼미터에... ",20201130
"<b>문재인 지지율</b> 48% 믿습니까? - <b>지지율 조작</b>이 선거<b>조작</b>이 될 수 있다 : 좌파정부의 전자투개표기 도입, 선관위 장악 의도는 무엇? 여론 <b>지지율 조작</b>은...선개 개표 <b>조작</b>을 하기위한........초석....즉... ",20200228
만들어내는 조작이 가미되었음을 알 수가 있다. <b>문재인 지지율 조작</b>인지 검증해보았습니다. 문재인 실제 지지율 추정치 28% 문재인 지지한다는 여론조사? 하나하나 반박해드립니다. 아래는 실제로 각... ,20190617
"자영업자 (호남 출신 포함)등 주위의 거의 모든 사람들이 살기 힘들다하는데 <b>문재인</b>의 <b>지지율</b>이 높은데 대해 의아하게 생각해왔다. 리얼미터등 여론조사기관을 1,000명을 대상으로 조사하는데, 그것도 &quot;다음에... ",20200113
박근혜<b>지지율</b> 양상과 똑같은 일이 벌어지고 있다. 40과 47을 평균하여 '43 +-2' 선으로 보면 될것 같다. 리써치는 <b>조작</b>이 가능하거등 이명박이 4대강 사업을 하기 전에 생태계 리써치를 수억들여 의뢰했는데... ,20190905
"이 <b>지지율</b>조차 <b>조작</b>이라는 이야기가 있으나, 이것조차도 계속 떨어지고 있습니다. (최근 기준 <b>지지율</b>) 1. 리얼미터: 37.4% (2020. 12. 24. 발표 / YTN / 리얼미터) <b>문재인</b> 대통령 국정수행 평가 / 긍정 37.4% 부정 59.1... ",20201223
"리얼미터 등 여당 발표 설문조사 <b>조작</b>위험성은, 동 블로그 &quot;<b>문재인지지율</b> 설문조사 <b>조작</b>&quot; 포스팅 참조 반면, 길거리 조사는 설문 자체가 심플 (지지 OR 지지하지 않는다)하고, 설문 과정 전체가... ",20190926
<b>문재인 지지율</b>은 <b>조작</b>이다. 아무리 국민들이 미련해도 말이 안된다.대깨문의 집단행동 결과다 문 대통령 <b>지지율</b> 43.8%로 취임 후 최저치…“조국 여파” 리얼미터 여론조사 조국 임명 ‘잘못한 결정’... ,20190919
"대통령 <b>지지율</b>도 사상 최저치네요 리얼미터 애칭이 있죠! 구라미터, <b>조작</b>미터라고 부르는 사람들이 많습니다. 친 여권 여론조사 기관이라고 모두 알고 있잖아요 유의미한 결과가 나왔습니다. <b>문재인</b>대통령의... ",20191010
"즉 엄밀히 따지면 59.3%가 <b>조작</b>비율입니다. 이 비율만큼 표본이 찌그러진 상태로 여론조사한,,,가짜라고 판명된 것이죠. 만약 신문기사대로 리얼미터가 <b>문재인 지지율</b>이 51.8 이라 발표되면 실제는... ",20191002
"지금 여론조사 기관이 밝히는 <b>문재인 지지율</b>은 아무리 보아도 신뢰하기 힘들다. <b>문재인</b>은 대한민국... 여론 <b>조작</b>인지? 국민이 바보로만 보이나? 아래는 31.6% 개, 돼지 취급받는 국민들이 만든 허접한... ",20190308
<b>문재인</b> 정부 <b>지지율 조작</b>의 달인 수준 [외신] 한국은 ‘동아시아 그리스’ 되나 공무원 수 선진국의 5배 【新・悪韓論】韓国は「東アジアのギリシャ」になるのか 公務員増員、... ,20190324
"경제성 <b>조작</b>에 청와대가 개입했다는 감사원 보고서가 공개되면서, 국민들의 분노한 결과로 보인다.... 따라서 윤석열 몰아내기로 변질된 '검찰 개혁'은 힘을 잃고, <b>문재인 지지율</b>은 계속 하락할 것으로 보인다.... ",20201211
"평소 꾸준한 여론<b>조작</b>이 필요한 이유는 전자개표 기 <b>조작</b>이 드러나지 않도록 하기 위해 필수라는 《하연 되겠지 TV》의 지적입니다. 그렇다면 전자개표기 사용을 거부하고, 그럴 수 없다면 선거도... ",20190522
#<b>문재인지지율</b> #3040대깨문 나도 지옥갔다오기 전엔 5.18 노래부르고 일 안하고 군대 안갈라하고 좌우구분못하던 인간쓰레기였다. 지옥 함 가보자. 그땐 안다. 이미 늦겠지만 ㅋㅋㅋ,20201218
