text,created_at
"2.(2일간) <b>문재인</b> 대통령 <b>지지율</b>이 새해 첫 조사에서 최악의 성적표를 받았다. 리얼미터 조사상 역대 최저 수준이다. 여러가지 이유가 있을 수 있으나, 나는 아래와 같이 생각한다. 1. K방역의 민낯이 드러나고... ",20210103
그래서 <b>문재인 지지율</b>이 40%가 되는 것이다. 많은 국민들은 “문재인이 무슨 40%야” 여론조사가 왜곡되었을 것이라고 생각해왔다. 그런데 이런 메커니즘에 의해 앞으로 대깨문은 40% 그 이상으로 증가할 수... ,20210208
<b>문재인</b> 정부는 그래서 집권 초반 <b>지지율</b>이 월등하게 높았습니다. 대통령 당선인 시절의 인기가 <b>지지율</b>로 반영된 역사상 유일의 대통령이니까요. (보통은 <b>지지율</b>이 많이 떨어진 상태에서 취임합니다.) 시작이... ,20201216
"민주당 <b>지지율</b>은 <b>문재인</b> 정부 출범 후 최저치인 32%를 기록했다. 지지 정당이 없는 무당층 30%, 국민의힘 24%, 정의당 7%, 국민의당 4%, 열린민주당 2% 순으로 조사됐다. 지난주와 비교하면 민주당과... ",20210305
"[한국갤럽] <b>문재인</b> 대통령 <b>지지율</b> 취임 후 긍정 최저치, 부정 최고치. 한국갤럽 여론조사 기관은 지난 16일∼8일까지 사흘간 전 국민 만 18세 이상 1,005명에게 <b>문재인</b> 대통령의 국정 수행 평가를 물었다.... ",20210319
"돌려 <b>문재인 지지율</b> 37.4%, 역대 최저 / 추미애 역풍에 '철벽 40%' 붕괴 / 호남·진보·민주당·3040·여성 등 핵심지지층 등 돌려 / &quot;윤석열 자르려다 레임덕&quot;오나 / 文 지지율 37.4% / 조국 사태 때보다 낮아... ",20201203
조선일보 이미지 캡처(왼쪽) 2020년 9월 중앙지 칼럼 청와대는 언제나 '박정희 유령'에 쫓긴다 얼마 전 부동산 정책 실패 후유증으로 <b>문재인</b> 대통령 <b>지지율</b>이 급락했다. 전임 대통령들처럼 5년 임기 중 모든 게... ,20210221
"조사 <b>문재인</b> 국정 <b>지지율</b> 긍정 41.4%, 부정 56.1% 정당 <b>지지율</b> 민주당 35.3%, 자유한국당 34.4% 특히 일간 집계의 10월 11일 조사에서는 민주당 33.0%, 한국당 34.7%로서 한국당이 현 정부 들어 처음으로 민주당을... ",20190920
"<b>문재인</b> 대통령의 <b>지지율</b>이 계속 하락하고, 미래통합당 <b>지지율</b>이 더불어민주당보다 높다는 여론조사 결과가 나왔다. <b>문재인</b>의 소득주도성장 정책 실패, 부동산 정책 실패가 초래한 결과다. 코로나19... ",20200818
"신뢰로 <b>지지율</b>이 큰폭으로 회복되는듯 해으나, 점점 임기말 부동산 가격 폭등, LH 투기사태 및 백신공급 지연 그리고 <b>문재인</b> 대통령딸 문다혜씨 부동산 시세차익 의혹 등 현정부 공정과 신뢰의 기조가... ",20210310
<b>문재인</b> 대통령의 <b>지지율</b> 상승하늘아래 검사 검사아래 판사 윤석열의 애완견 언론과 판사들춘장님 언제까지 패요? 응! 죄가 나올때까지~~뽕처먹고 방향성을 잃고 민주진영을 공격하는 유튜버들... 누가... ,20210108
"추미애 사태에 남자들이 등돌렸다, 文 <b>지지율</b> 9%p 급락 리얼미터는 10일 <b>문재인</b> 대통령과 더불어민주당의 지지도가 동반 하락했다며 추미애 법무부 장관의 아들 특혜 논란으로 분석된다고 밝혔다. 문 대통령... ",20200910
"이달 주말 2,3일에 걸쳐 조사된 YTN의뢰 리얼미터 발 국정수행 평가에서 문재인 대통령 지지율이 역대... 뭐 어쨋든 <b>문재인 지지율</b> 얘기하다 갑자기 생각난게 있었죠. 정말이지 커엽고 뭐 이런일이 있나싶어 눈에... ",20210107
"기준) 쿠키뉴스 / 데이터 리서치(DRC) 정기 여론조사 http://www.kukinews.com/newsView/kuk202012220402 <b>문재인</b> 대통령 <b>지지율</b>에 관해서, 리얼미터 및 한국갤럽뿐 아니라 기타 여론조사 등에서 <b>지지율</b> 역대 최악이라는... ",20201223
"53% 정세균 더민주 의원이 지지율 53%로 국회의원이 된 곳인데, 폭망한 <b>문재인 지지율</b>때문에 조국 반대가 압도적으로 높은 것 같다. 대체로 조국 찬반여부는 문재인 지지성향과 연동되는 특징이 있음.... ",20190926
"<b>문재인</b> 정부 <b>지지율</b>이 이미 절반으로 떨어졌는데, 여기서 끝 없이 떨어진다면 주류조차 힘을 잃을 수 있습니다. 그렇게 된다고 하여도 이낙연 총리 입장에선 전혀 득될 게 없죠. 애초에 포지션을 애매하게... ",20200814
<b>문재인 지지율</b> 조작인지 검증해보았습니다. 문재인 실제 지지율 추정치 28% 문재인 지지한다는 여론조사? 하나하나 반박해드립니다. 아래는 실제로 각 도시별 길거리에서 조사한 것임. 전남대편(2019.6.10)... ,20190617
"<b>문재인</b> 대통령 <b>지지율</b> 역대 최저치. 40% 벽 붕괴. 긍정평가 37.4%, 부정평가 57.3%. 긍정‧부정 격차 19.9%포인트. 여론조사 전문업체 리얼미터가 TBS 의뢰로 지난달 30일부터 지난 2일까지 전국 유권자 1,508명을... ",20201203
문재인은 지난 2017년 대선 때 41%지지로 당선. 당시 투표율은 77%. 그러면 국민 전체 지지율은 32%에 이른다는 산술적 계산이 나온다. 그런데 최근 올 4월 초에 발표된 <b>문재인 지지율</b>을 보면 리얼미터가 52.9... ,20200405
&lt;고착화된 호남의 <b>문재인지지율</b> 고찰&gt; 호남은 한반도 서남부에 고립된 섬이다. 전국정서와 완전히... -호남의 묻지마민주당 정서형성 배경 문재인의 국정지지율이 40%로 발표되었다 작년 조국사태이후... ,20201128
"모습을 보여줘야 지지율이 올라갈텐데, 국민의힘은 그런 모습을 보여주지 않았다. 그저 무능한 모습만 보이니 중도층들이 계속 문재인을 지지하는거다. 그래서 <b>문재인 지지율</b>이 40%밑으로 안떨어지는 이유다.",20210227
"#한국리서치가 9월 26 일부터 10 월 2일 까지 여론조사한 결과, #<b>문재인</b>대통령 국정운영 #<b>지지율</b>이 32%로 나타났다. 9월 23일과 24일에 실시한 #중앙일보 조사 결과 <b>지지율</b> #38%보다 더 낮은 수치이다. <b>지지율</b> 하락은... ",20191008
온갖 헛발질로 대한민국을 말아 먹고 있다는 힐난을 받고 있는 대한민국 대통령 문재인의 지지율은... 지금 여론조사 기관이 밝히는 <b>문재인 지지율</b>은 아무리 보아도 신뢰하기 힘들다. 문재인은 대한민국... ,20190308
<b>문재인</b> 대통령의 국정 <b>지지율</b>이 소폭 반등하며 40%선을 회복했다는 여론 조사 결과가 나왔다.18일 한국갤럽이 지난 15∼17일 전국 만 18세 이상 1천명에게 문 대통령이 직무를 잘 수행하고 있는지를 조사한... ,20201218
갑자기 <b>문재인</b>내통령의 <b>지지율</b>이 하락한 이유가 무엇일까? 별 일도 없었는데.. 다음주엔 지지층이 뭉쳐서 다시 끌어 올릴 것 입니다. (사진은 YTN뉴스) 12월 1주 주중 정당지지도 여론조사 에선 더불어민주당... ,20201203
12월 둘째주 대통령 국정수행 지지도 <b>문재인</b> 대통령 <b>지지율</b>이 급속도로 빠지고 있습니다. 오늘 발표된 위에 그래프를 보시면 쉽게 그 흐름을 알 수 있습니다. 알앤써치가 조사한 내용에 따르면 긍정 35.7% 부정 59.4... ,20201209
"#한국갤럽 조사에 따르면 #<b>문재인</b>대통령 <b>지지율</b>이 다시 1년 10개월만에 70%를 넘었다고 합니다. 5월 6일,7일 양일에 조사된 <b>지지율</b>에서 긍정적 평가가 71%로 저번주보다 7% 상승되었습니다. 이는 #역대대통령... ",20200509
한국토지주택공사(LH) 직원 투기 사태가 확산되면서 민주당과 <b>문재인</b> 대통령 <b>지지율</b>에 악영향을 주고 있는 것으로 보인다. 한국갤럽이 지난 3월16일부터 18일까지 사흘간 전국 만 18세 이상 1005명을... ,20210319
<b>문재인</b> 대통령 <b>지지율</b> 36.7% 역대 최저치 더불어민주당 30.8% 국민의힘 31.6% 양당간 격차 0.8% 공수처법 잘못된일 54.2% 잘된일 39.6% 14일 리얼미터가 YTN 의뢰로 지난 7일부터 11일 5일간 전국 18세이상... ,20201214
국정 지지율이 42.8 % 인 반면 문재인 전용 리서치에서도 <b>문재인 지지율</b> 35.5 % ㅋ 출처 - NTD KOREA.네이버 검색 대한민국 국민들은 미합중국 트럼프 대통령의 재선을 축하합니다 부디 악의 축 중국... ,20210113
있는 문재인의 국정 지지율이 56%란다. 41%의 득표율로 대통령이 되었는데 무려 15%나 지지율이... 유튜브에 보면 전국적으로 길거리에서 <b>문재인 지지율</b>을 파악하기 위해 조사한 것들이 각 도시별로 나온다. 절대... ,20200406
<b>문재인 지지율</b> 36.7%...20대 여성 마저 등 돌렸다. 18세 이상 20대 여성 지지율 30.2%포인트 폭락 문재인 대통령의 국정 수행 지지율이 36.7%로 나타났다고 여론조사 결과가 17일 발표됐다. 핵심... ,20210317
문재앙<b>지지율</b> 70.%! 호남출신으로 쪽팔려서 얼굴을 들수 없다. '若無湖南 是無國家' 호남은 국가가 위기에 처했을 때마다 결정 적역할을 해왔다.그러나 이러한 호남정신 이 작금의 <b>문재인</b>정부에서는 퇴색이... ,20201126
"한국갤럽이 조사한 문재인 대통령의 지지율이 취임 이후 38%의 최저 수준을 기록하였다. 반면... 따라서 윤석열 몰아내기로 변질된 '검찰 개혁'은 힘을 잃고, <b>문재인 지지율</b>은 계속 하락할 것으로 보인다. 최근... ",20201211
"대한소아청소년과의사회 임현택 회장, 인플루엔자 간이검사 급여화 반대 시위 [메디칼업저버 정윤식 기자] &quot;이게 <b>문재인 지지율</b> 올리는거 말고 무슨 의미가 있냐?&quot;, &quot;문재인이 우리 아이들 목을 졸라 죽일... ",20210320
대통령 <b>지지율</b>은 지난주 36.6%에서 이번주 35.1%로 1.5%포인트 하락했다. 부정평가는 지난주 59.9%에서... 문 대통령의 공고한 지지층이었던 40대 <b>지지율</b>도 균열 조짐을 보이고 있다. 40대에서 잘한다는... ,20210107
<b>문재인</b> 대통령과 민주당의 집권 후 지지도가 역대 최저 수준이라는 여론조사 결과가 7일 나왔다.... 수행 <b>지지율</b>(긍정평가)은 전주보다 6.4% 하락한 37.4%였다. 부정평가는 전주보다 5.2% 오른 57.4%로... ,20201207
한국갤럽 12월 2주차 주중 여론조사에서 <b>문재인</b>대통령 국정수행평가 <b>지지율</b>이 38%로서 취임후 한국갤럽 여론조사 최저치를 기록했다는 뉴스.. (사진은 연합뉴스) 정당 지지도에선 여전히 더불어민주당 35% 우위.... ,20201212
"한국갤럽의 <b>문재인</b> 대통령에 대한 18~29세 <b>지지율</b>이 23프로인데, 여러가지 요인 인자들을 넣어봐서 18~29세 남성 여성 <b>지지율</b>을 뇌피셜로 생각해보자면 18~29세 남성 <b>지지율</b> = 18프로 예상 18~29세... ",20210125
[달려라써니 #15] <b>문재인</b> 정부 <b>지지율</b> 올린 1등공신 박영선! 곽동수TV에 출연한 써니! 현재 심정은? <b>문재인</b> 정부 <b>지지율</b> 올린 1등 공신! K백신 주사기! 21분도시 서울! 등 하이라이트 영상에서... ,20210304
"<b>문재인</b> 대통령 <b>지지율</b> 37%로 최저치, 더불어민주당 29% VS 국민의힘 31% <b>지지율</b> 역전, 호남 충청 진보층 최대하락 리얼미터가 YTN 의뢰로 여론조사를 지난달 30일부터 12월4일까지 전국민 18세이상 2,513명을... ",20201207
<b>문재인</b> 대통령의 <b>지지율</b>에 관한 글 작성은 참 오랜만에 하는 것같다. 몇 달 만인지 기억도 안난다. <b>지지율</b>로 정치하는 것은 아니다. 하지만 민심을 읽지 못하는 지도자는 결국 국민으로부터 이양받은 권력을... ,20201219
자영업자들의 <b>문재인 지지율</b>은 전주보다 5.3%포인트 하락한 43.1%였다. 연령별로는 20대에서 지난주 대비 7.1%포인트나 지지율이 감소(46.1%→39.0%)한 것으로 나타났다. 20대 지지층의 이탈은 추미애 아들의... ,20200907
"<b>문재인 지지율</b> 37.4%, 또 최저치...끝없는 추락. '긍정·부정' 격차 20% 포인트까지 벌어져...광주·전라 14.2%포인트 폭락 정당 지지율...국민의힘 31.3% vs 민주당 29.7% 문재인 대통령 지지율이 또 최저치를... ",20201207
최근 문재인 대통령에 대한 지지율이 하락하고 있다. 취임 후 추진한 경제·안보·외교 정책 중 어느... 부동산 가격 상승세와 <b>문재인 지지율</b>의 하락세는 당분간 계속된다. 이번 광화문 시위에는 참석하지... ,20200816
대충 우리나라 근로소득자 소득세 면제율이 40% 정도 되니 얼추 <b>지지율</b> 맞는것 같네요 이분 요새 쓰레기 주워먹고 산답니다 베네수엘라 마두로도 경제 작살내고도 1인 1표 제도 덕분에 공짜에 눈돌아간... ,20201123
"<b>문재인 지지율</b>은 거의 20대 여성들하고 3040세대들의 지지도가 매우 높은데, 20대 여성들의 <b>문재인 지지율</b>이 60%를 거뜬히 넘는다. 20대 여성들의 지지율이 높은 것도 문재인 정부의 페미정책으로 인한... ",20210317
리얼미터 조사에서 <b>문재인</b> 대통령의 국정수행에 대한 부정 평가가 처음으로 60%(주간집계 기준)를 넘어섰다. 리얼미터가 YTN 의뢰로 지난 4일부터 8일까지 유권자 2513명을 대상으로 실시한 여론조사에서... ,20210111
<b>문재인</b> 대통령의 <b>지지율</b>이 4주 만에 반등했다는 조사결과가 나왔다. 서울에서는 국민의힘이 더불어민주당에 오차범위 밖 우위를 이어갔다. 18일 리얼미터가 YTN 의뢰로 지난 11∼15일 전국 18세 이상... ,20210118
