text,created_at
<b>문재인</b> 같은 경우 고령자에 치매 의심이 될 정도로 돌발행동이 많은 사람이다. 이 사람이 평소 하는... 그것이 <b>짜장면</b> 발언 같은 개소리로 튀어나오는 것이다. 1. <b>짜장면</b> 따위는 개인이 얼마든지 사먹을 수 있는... ,20190614
바른미래당 #유승민 #의원 #문재인 #대통령 #하재헌 #중사 #목함지뢰 #도발 #사건 #다리 #절단 #공상 #전상 #공상뜻 #전상뜻 #뜻 #보훈처 #국가보훈처 #보훈 #논란 #북한 #<b>문재인짜장면</b> #짜장면 #드립,20190918
<b>문재인</b> 발목 절단된 하사에게 <b>짜장면</b> 드립 당시 지뢰폭발로 발목이 절단된 하사관에게 <b>문재인</b> 당대표는 <b>짜장면</b> 먹고싶냐는 희대의 개망언을 해서 국민적 분노를 자아내게 했다. 국가를 위해 헌신한 국군을... ,20190918
이남자 <b>문재인</b> 정말 웃기는 <b>짜장면</b>이네. 조국이 검찰개혁만 공정한 것이고 검찰 수사는 공정한 수사가 아니였다는 말이가! <b>문재인</b> 하이하라로 갑시다 [속보] 문 대통령 “국민 갈등 야기 매우 송구…검찰 개혁... ,20191014
<b>문재인</b> 발목 잃은 군인 <b>짜장면</b> 드립 공감능력 발목 동상 때는 2015년 지뢰 사건 으로 인해 김정원 군인 분이 발목을 잃어버리는 안타까운....사고를 당합니다.... 젊은 나이에 굉장히 안타까운 사건이죠 그곳에... ,20190318
<b>문재인 짜장면</b> https://youtu.be/BRwhAldU_KE 다친 군인앞에서 이런 말을...,20200627
"&quot;오늘 점심은 <b>짜장면</b>으로 가즈아~~~!!!&quot; 이렇게요. 그런데 이 사진 보면 볼 수록 참 재미있군요. 대통령과... - 어른이 - 대통령과비서실장 , <b>문재인</b>.임종석 , 소탈한<b>문재인</b>청와대 , 북미회담순항",20180530
"대깨문들의 조리돌림도 '양념'이며 정치에 활기를 주는 일이라고 했던 <b>문재인</b>대통령, 오늘 저녁 메뉴는? <b>짜장면</b>이겠지요. 대깨문들, 달좀들도 오늘 <b>짜장면</b>데이라고 환호를 지르더군요. 정말 소름끼치는 사람들... ",20201124
<b>문재인</b>의 &quot;<b>짜장면</b>&quot; 발언은 2015년 8월 서부전선에 있었던 DMZ 목함지뢰 매설 사건으로 이날 수색작전을 하던 우리군의 김정원 하사(2016년 10월 중사 진급후 2019년 1월 전역)가 북한이 설치한 목함지뢰에 한쪽... ,20201212
"그래서 민주당도 <b>문재인</b>도 미래가 없는거다. 민주당은 소신을 갖고 사회 각 분야에 도전장을 내미는 이... 그렇다면, 각자 좋아하는 중국집의 <b>짜장면</b>을 떠올려보자. &lt; 화국반점. 간짜장 &gt; 본인은, 화국반점의... ",20120310
문후보님 때문에 급 <b>짜장면</b>이 먹고 싶어지네요. 어떻게 요리도 맛있게 드시는지. 옆에 요구르트도 먹고싶당.,20120320
"<b>문재인</b> 정부가 제2공화국이 연상되는 이유 댓글 0 단상(斷想) 2020. 8. 29. [코로나19 감염이 전국을... 언론에 자장면, <b>짜장면</b>, 三多先生( 겁이 많고, 욕심이 많고 모르는 것이 많다)이란 조롱거리가 유포됐지만... ",20200829
"한편 부상 장병을 제일 먼저 찾았던 새정치민주연합 <b>문재인</b> 대표는, 최근 한명숙 전 의원이 불법... 새정치민주연합 <b>문재인</b> 대표가 '한명숙 유죄판결'에 대해 사과는 커녕 '재심-추징금 모금' 검토 등의 지시를... ",20150828
“(<b>문재인</b> 케어 재원 논란은)식당을 차리려고 개업준비하는 사람에게 <b>짜장면</b>값 나중에 올릴래 안올릴래 묻는거나 마찬가지”라고 말했다. 김 이사장은 이날 취임 후 처음 기자들과 간담회를 열어 ‘<b>문재인</b>... ,20180130
자고로 글이란 요로콤 재밌게 써야 되는 데.. 재미뿐만 아니라 내용도 좋다~^^,20170525
문제는 <b>문재인</b>입니다. 이런 대깨문들입니다. 이들은 조국이라는 &quot;쓸만한 노리개'를 앞세우며 저들이... 여자 둘만 있는 집에서 <b>짜장면</b> 시켜먹었다고? 하룻밤도 못넘기고 표변하는 비겁한 이낙연도 그렇습니다.... ,20190928
