text,created_at
"<b>문재인</b>은 자신이 죄인임을 알아야하고, 스스로 떳떳하지 못할 터인데 그러면 그냥 여물고 있던지 뭐잘했다고 <b>트위터</b>로 짜증내는지ㅋ 한국판트럼프인가ㅋ <b>문재인</b>에게는 코로나가 축복이고 신이 주신 선물이다.... ",20210312
"구글에서 ‘페이스북’을 검색하면 <b>문재인</b> 대통령 페이스북 페이지가, ‘<b>트위터</b>’를 검색하면 조국 전 법무부 장관 <b>트위터</b> 계정이 검색 결과 최상단에 각각 나타난다. 두 사람은 해당 소셜미디어에서도... ",20200817
차라리 트럼프 막말 <b>트위터</b>가 나아 보이는 1년 1회꼴 기자회견 <b>문재인</b> 대통령이 지난 17일 오전 청와대에서 열린 국무회의에 참석하고 있다. 문 대통령은 다음달 열리는 제19차 반부패회의 행사 마스크를... ,20201122
"경기도 교육감이었던 김상곤은 2014년 4월16일 세월호사고가 날 걸 어떻게 알고 4월15일 트위터에... v=lHNFphRse3g&amp;feature=emb_logo <b>문재인 트위터</b> 암호 게시일은 2013년 9월, 세월호 사고는 그 후 얼마 지나지 않아... ",20200322
그 뒤로 묵묵무답하며 그대로 묻어버렸다. 또 하나 짤 그대로 <b>문재인</b>은 대통령이 되기 전에 소라넷 계정을 팔로우 한적이 있었다. 이 또한 그냥 묻어버림. 훠훠...,20200903
mino****댓글모음옵션 열기 <b>문재인</b> 수령님 만들기 하네 ㅋㅋㅋ 조국은 작은수령님이고 ㅋㅋㅋㅋ 참... 역적들 <b>문재인</b> 양정철 조해주 이근형 이자들이 한짓은 이자들 목숨따위로 처벌하기엔 너무나... ,20200816
26 18:48 /<b>문재인 트위터</b> 캡처 문재인(63) 더불어민주당 전 대표의 트위터와 페이스북 계정에 음란물 사진이 올라와 논란에 휩싸였다. 많은 네티즌들은 문 전 대표의 트위터 계정이 해킹당해 벌어진... ,20190806
최근 LH 사태 관련 <b>문재인</b> 대통령의 <b>트위터</b>가 화제입니다. 자세한 내용은 아래에 있어요~ https://z11neo.tistory.com/81?category=928579 &quot; &quot;,20210313
차라리 트럼프 막말 <b>트위터</b>가 나아 보이는 1년 1회꼴 기자회견 “<b>문재인</b>도 김치가 없으면 한 끼도 못 먹을 만큼 한국인에게 김치는 꼭 필요한 음식이다.” <b>문재인</b>의 처 김정숙이 엊그제 김치의 날에... ,20201122
"안녕하세요 바로지금 입니다 <b>문재인</b>, <b>트위터</b>라도 좋으니까 국민들에게 말 좀 하라 https://www.dailian.co.kr/news/view/938938 그럼 오늘도 웃으면서 시작해서 웃으면서 마무리 하는 행복한 하루... ",20201122
"야권이 <b>문재인</b> 대통령이 보유한 경남 양산 사저 농지에도 편법 의혹을 제기하자 &quot;선거 시기라 이해하지만, 그 정도 하시지요&quot;라며 &quot;좀스럽고, 민망한 일&quot;이라고 했다. 문 대통령은 이날 오후 자신의 <b>트위터</b> 등... ",20210315
방탄소년단 <b>트위터</b> @bts_twt &amp; <b>문재인</b> 대통령님 <b>트위터</b> @moonriver365 방탄소년단 진 / 슈가 / 제이홉 / RM / 지민 / 뷔 / 정국 #방탄소년단 #bts #방탄소년단RM #방탄소년단진 #방탄소년단슈가 #방탄소년단제이홉... ,20200901
ㅡ? 6월달 중앙일보 기사를 보자. &quot;3819명. 신종 코로나바이러스 감염증(코로나19) 사태가 발생한 뒤 방역의 최전선에 뛰어든 자원 의료인력(1일 누적 기준)이다. 의사(1790명)와 간호사·간호조무사(1563명)... ,20200902
