text,created_at
"이제는 <b>문재인</b> 무법천지, 부정부패, 내편 네편가르기 정책으로 나라의 경제와 국방, 외교, 부동산 그외... 완곡하게 <b>문재인</b>과 그패거리들의 인간성을 설파했다. 102세말고, 그보다 훨씬 젊은 80세 정도만 되어도... ",20210309
#<b>문재인</b>대통령 이 재임 중 농사짓는 사람만 살 수 있는 #농지 를 매입하면서 #농업계획서 에 ‘영농... 바로 노무현-<b>문재인</b> 대통령. 첫 진보 성향 대통령 DJ도 물론 부자 출신은 아니었으나 그래도 두 분에... ,20210317
<b>문재인</b> 대통령은 이에 대한 전수조사를 총리실과 국토교통부가 함께 하도록 지시했다. 고양이에게... 그래서 감사원에 조사를 맡겨야 한다는 지적도 나왔지만 <b>문재인</b> 대통령은 무시했다. 왜 그랬을까? 두 가지... ,20210309
---- ------- 백선엽과 백기완을 차별한 <b>문재인</b> 구국의 영웅 백선엽 장군 빈소엔 조화만 보냈던 <b>문재인</b> 대통령이 백기완 빈소는 직접 찾아 문상했다. 남쪽의 반쪽 대통령에게 어울리는 儀典이다. 1. <b>문재인</b>... ,20210219
"공정 외치는 <b>문재인</b> 대통령, 공정에 대한 모독 <b>문재인</b> 대통령은 10일 청와대에서 열린 더불어민주당 원내대표단 초청 간담회에서 &quot;공직자가 부당하게 부동산 투기를 한다는 것은 공정과 신뢰를 무너뜨리는... ",20210311
"ㅋㅋㅋㅋ 마지막은 <b>문재인</b> 차례, 그는 21일 청와대 내부회의에서 다음과 같이 참모들을 질책했단다.... 하지만 역대 대통령 중 책임지기 싫어하는 건 단연 1등인 <b>문재인</b>은 백신에 관한 책임마저 참모에게... ",20201223
대통령 <b>문재인</b>에게 일임했다. 찻잔 속의 태풍으로 끝나는 모양새다. 2021. 2. 22. 나흘간의 휴가에서 돌아온 신현수는 자신의 거듭된 사퇴의사를 철회하고 직무에 최선을 다하겠다고 했다. 대통령 <b>문재인</b>은... ,20210222
"사진- 매일경제 <b>문재인</b> 대통령은 레임덕이 왔을까요? 주관적으로 보면 그럴 수 있지만, 객관적으로... <b>문재인</b> 대통령은 아닙니다. 차기 대통령을 노리는 여당 후보들은 너나 할 거 없이 ‘친문’임을 강조합니다.... ",20210226
com&amp;reply=&amp;source=&amp;pos=&amp;sig=h6jXGf2A63HRKfX2h6j9Gf-gghlq <b>문재인</b> 정권 잡자마자 중국의... <b>문재인</b>은 끔찍한 참상에 아무말도 못하고 찍소리도 못냄 세월호로 물고늘어지던 모습과 매우 다른... ,20210314
"옆 반 애들은 피자를 각자 두 조각씩 먹는데, <b>문재인</b> 반장은 달랑 피자 한 판 사다놓고 잘 쪼개면 여섯... 하지만 <b>문재인</b> 정권은 ‘쇼 머스트 고 온(쇼는 계속되어야 한다)’이었다. 대부분의 선진국은... ",20210307
