text,created_at
일전에도 서울시장 후보로 안철수가 등록을 하며 관련주가 상한가를 쳤는데.. 진위와 관계 없이 인맥에... 하지만 웅진 같은 경우에는 아무 관련이 없다고 발표할 정도로 당혹스러운 <b>윤석열 관련주</b>... ,20210311
케이탑리츠 &lt;홍정욱 관련주&gt; 정치에 대한 가슴의 부름이 없다며 정계 복귀설에 선을 그었다 한국프랜지 KNN 디지틀조선 고려산업 한국내화 휘닉스소재 한창산업 금강공업 금강공업우 한일단조 &lt;<b>윤석열 관련주</b>... ,20210208
보였지만 <b>윤석열 관련주</b>로 분류된 종목들은 모두 날라갔다 이에 윤석열 전 검찰총장 관련주에 대해... 이와 관련된 정책들이 부각될 수 밖에 없다 정책 관련주들은 기대감으로 상당히 많이 오르면서도 정말 해당... ,20210304
사업 관련 내용이 전혀 없다고 밝혔지만 늘 <b>윤석열 관련주</b>로 민감하게 반응하고 있죠 실적을 보면... 가까워질수록 관련 주식들이 더 들썩일수 밖에 없어요 잘 준비하셔서 진행하시길 바랄게요~ ※ 무조건 100... ,20210304
"오늘은 <b>윤석열 관련주</b>와 이재명 관련주가 뜨거운 관심을 받았습니다. <b>윤석열 관련주</b>를 보면 그동안... 아이크래프트 사외이사가 윤석열 전 총장과 서울대 법대, 연수원 동기로 알려지면서 관련주가 되었습니다.... ",20210309
<b>윤석열 관련주</b> - 덕성 서연 윤석열 전 검찰총장이 옷을 벗고 정치권에 뛰어들기로 결정했나 봅니다. 이 소식이 전해지자마자 관련주들이 급격히 상승하기 시작했습니다. 많은 정치인 테마주들이 그렇지만... ,20210306
너무 <b>윤석열 관련주</b>만 보지 말고 다른 후보들의 관련주들도 같이 살펴보는 습관이 중요하다. +)내용추가 21.01.20 오늘 '윤석열 vs 이낙연' 그리고 '윤석열 vs 이재명'에 대한 가상 대결 여론조사 결과가 발표... ,20201111
있어 <b>윤석열 관련주</b>로 엮였다. ▣ 원익큐브 014190 김영대 신규선임이 윤석열 전 검찰총장의 1기수 선배이자 윤 전 총장과 가까운 사이인 것으로 알려져 관련주로 엮였다. ▣ 러셀 217500 권숙운 대표가 윤... ,20210305
<b>윤석열</b> 검찰총장에 대해 대통령만들기가 돌아가고 있는 것 같은데 주식시장에서도 윤석렬<b>관련주</b> 찾기가 이뤄질 것으로 기대되고 있습니다 투자자들은 대선국면에서 정치인 <b>관련주</b>가 어떤 모습을 보여왔는지... ,20210103
"윤석열 검찰총장의 정계 진출 기대감에 관련주들이 급등하고 있습니다. 지난 4일, 윤 총장은 오후 2시... 이에 따라 자연스레 <b>윤석열 관련주</b> 역시 급등하는 모습을 나타내고 있는 중이니, 더 늦기 전 이에 대해... ",20210305
"장부터 <b>윤석열 관련주</b> 종목들의 상승세를 보이고 있습니다 윤석열 전 검찰총장의 대권 지지율이... IT기기 관련 액세서리, 가구, 연마포 등 다양한 제품을 생산하며 합성수지로는 PU-RESIN. 포리올 등을 주로... ",20210308
있는 윤석열 전 검찰총장과 어느정도 연관이 있다는 관련 주 및 어제(3/10)일자 간략한 시장 상황과 특징 종목에 관하여 정리해보도록 하겠습니다. <b>윤석열 관련주</b> <b>윤석열 관련 주</b>는 여러 가지가 언급되고 있으나... ,20210311
<b>윤석열 관련주</b> 총정리 안녕하세요. 금일은 오랜만에 정치 테마주 관련 종목에 대해 알아보도록 하겠습니다. 바로 윤석열 검찰총장 관련주입니다. 직무배제 처분 집행정지에 대한 효력이 정지되며 대검찰청에... ,20201210
"윤석열에 관련된 주식들임. 오늘(4일) 사의를 표명한 윤석열, 이에 따라 관련주가 다 급등했음.... 아무튼 오늘은 <b>윤석열 관련 주</b>식들을 정리해보았다. 기업 자체의 성장성, 내실보다는 기업인의 소식들에 따라... ",20210304
<b>윤석열 관련주</b> 정치테마주 차트 분석 안녕하세요? 불기둥탐색입니다. 오늘 포스팅할 내용은 윤석열 검찰총장 관련주입니다. 크리스마스 이브날 2개월 집행 정지 처분을 받았던 윤석열 검찰 총장은 정직... ,20201227
"그리고 이러한 관심을 반영하듯 각 대표 후보들의 관련주 또한 주목받고 있다. 대표적으론 이낙연, 이재명 그리고 윤석열이 있는데 실제로 저 뉴스가 발표 된 날 '<b>윤석열 관련주</b>'라 불리던 종목들인 덕성... ",20201115
"덕성 주가 전망 _ <b>윤석열 관련주</b>, 실적과 배당까지 총정리 안녕하세요. 쉽게 읽히는 재테크 * 저스트원(Just1)입니다. 꾸준한 관련주 작년부터 '윤석열 테마주'로 끊임없이 거론되며 주가 상승을 반복하는... ",20210302
"3월 2일부터 재료와 수급이 들어왔는데 오늘 오후 2시에 기자회견을 앞두고 <b>관련주</b>들은 큰 상승을 보였고, <b>윤석열</b>이 어떤 입장을 내놓을지에 대한 관심 또한 엄청났습니다. 많은 분들이 보셨겠지만 <b>관련</b>기사... ",20210304
"삼월 사일은 붉구나아~ 수급이는 자라안다아~ 오늘은 <b>윤석열</b>(<b>관련주</b>)날 우~~리들 세에사앙~ 금일... 이후에는 <b>윤석열 관련주</b>들이 상위권을 차지하다시피 한 하루. 다음달 서울, 부산 보궐선거로 인해 일부... ",20210304
상승에 관해 뉴스검색을 해봐도 나오지않아서 종토방을 들어갔더니 윤석열 단어가 많이 보이네요. 그럼 대충 시장에서는 <b>윤석열 관련주</b>로 보고 있다고 보면 편합니다. 현재 대선테마주 중에서 최근 윤석열... ,20210310
아이크래프트 주가 아래와 같이 윤석열 그리고 백신여권 관련주로 상승을 하였는데요. 2가지 호재 간단히 알아 보도록 하겠습니다. <b>윤석열 관련주</b>(대선테마주) 아이크래프트의 사외이사가 윤석열 전 총장과... ,20210314
"<b>윤석열</b> 검찰총장의 정계진출설과 <b>관련</b>해 &quot;만약 자연인이 돼서 한번 보자고하면 볼 수 있을 것&quot;이라고 발언한 것으로 전해짐. 오세훈 전 서울시장, 국민의힘 서울시장 후보 확정 소식에 일부 <b>관련주</b> 상승.... ",20210304
최근 기신정기라는 업체를 유심히 보다가 매수를 했는데 이게 <b>윤석열 관련주</b>라고 한다 그냥 샀더니... 있다 관련주로 엮인 이유는 2가지가 있는데 윤석열과 창업주 윤종수가 서울대 법대 동문이기 때문으로... ,20210318
"그와 별개로, 서연은 이미 윤 총장과 관련성을 부인한 바 있습니다. (대부분 다 부인합니다. 투자시 꼭... <b>윤석열 관련주</b>였습니다. #<b>윤석열관련주</b> #윤석열대선 #윤석열테마주 #대선관련주 #서연탑메탈 #덕성주가",20210209
"(사견은 글의 맨 아래에 남길게요.) ※ <b>윤석열 관련주</b>들 뿐만 아니라 모든 정치인 관련주들은 학력, 고향... 예를들어, 아이크래프트는 최근 QR코드 관련 이슈로 시세가 나왔었습니다. 윤석열이 대선 안 한다고... ",20201212
있는 윤석열 검찰총장의 사건과 함께 주식시장에서는 <b>윤석열 관련주</b>로 또 다른 관심들을 받고 있습니다. 현재 조정을 받고있지만 많은분들이 한번더 슈팅을 예상하고계신데요 이와 관련성이 높은 주가들에... ,20201211
"<b>윤석열 관련주</b> 연이어 급등합니다. 많은 분들이 열광합니다. NE능률, 서연탑메탈, 서연이화, 덕성, 웅진... 조 바이든 관련주라고 급등했던 한성기업. 관련주 이유는 조 바이든이 졸업한 미국 학교에 대표이사가... ",20210308
"2) <b>윤석열 관련주</b> 유에스티는 <b>윤석열 관련주</b> (였습니다.) /( 입니다.) 유에스티의 여운국 사외이사가 윤석열 전 총장의 서울 법대, 사법연수원 23기 동기입니다. 그래서 <b>윤석열 관련주</b>가 됐습니다. 그런데... ",20210306
"아이크래프트 주가 전망, <b>윤석열 관련주</b> 안녕하세요, 주린이 주식투자 부자 되는 재테크를 공부하자!!... 윤석열 전 총장의 관련주로 분류된 만큼 지지율이 올라갈 수록 더욱 더 상승의 힘은 강해지기 때문에... ",20210309
"국내 주식을 하는 분들에게 3월 8일은 <b>윤석열 관련주</b>, 희토류, 메타버스 관련주, 러시아 코로나19백신... 93% 파평 윤씨 종친회 소속 (한국거래소가 조회공시 요구하자 NE능률 사업과 윤석열 관련없음 발표) 교육... ",20210309
오늘 <b>윤석열 관련주</b>가 시장의 관심을 받았는데 정리를 한번 해보겠습니다. 윤석열 검찰총장 경력사항... 서연 사외이사인 유재만씨가 서울대 법대를 졸업했는데 윤석열 총장과 동문으로 관련주에 편입이... ,20201028
<b>윤석열 관련주</b> 보기. ‘<b>윤석열 관련주</b>’가 검색어에 오른 이유는 오늘 나온 차기 대선주자 선호도... 사외이사가 윤석열 검찰총장의 사법연수원 동기로 알려지면서 윤 총장 관련주로 분류되었습니다.... ,20201102
이번 주는 <b>윤석열관련주</b>에 엮여서 상승하는 종목이 굉장히 많았는데요. 매일 매일 종목이 바뀌면서 죄다 <b>윤석열 관련주</b>라고 하니 조심해야할 구간인듯 싶습니다. 이번주는 평소랑 다르게 매일 매일 시장... ,20210313
대선 관련주 제 2의 서연이 될 수 있는 종목을 오늘 발굴했습니다. 현재 대권 지지율 1위 <b>윤석열 관련주</b>입니다. 얼마 전 윤석열 검찰총장이 사퇴를 함으로써 대권의 강력한 신호탄이 터졌다고 할 수 있습니다.... ,20210319
때문에 <b>윤석열 관련주</b> 로 분류되었으며 지난 11일에는 주가가 12.54% 오르는 등의 윤석열 관련 테마... 푸른저축은행은 제2금융기관으로서 예금과 대출을 주 업무로 영위하고 있는 은행입니다. 사외이사인... ,20210312
지난 4일 윤석열 검찰총장의 사퇴설과 동시에 관련주들이 급등하고 있습니다. 사퇴 이후 정계 진출에... 그럼 다음주 관심갖을만한 <b>윤석열 관련주</b>에는 어떤 종목들이 있는지 자세히 알아보겠습니다 ! 흥국... ,20210306
이는 윤석열 총장의 상승세가 커지고 있다는 것을 반영하고 있는 것인데요. 이 같은 소식에 <b>윤석열 관련주</b> 들이 급등세를 타고 있습니다. 이 때문에 사람들의 관심에 쏠리고 있는 윤석렬 관련주 들에 대해서... ,20201228
나우IB <b>윤석열</b>도 엮여있는 나우IB 대성미생물 코맥스 이재명이 수술실 CCTV 언급하면서 <b>관련주</b>로 엮였습니다. 사실 정치인 테마주는 비이성적인 영역입니다. 동문이거나 언급한 정책과 맞물리는 기업이면... ,20210114
현재 윤석열 검찰총장은 당사와 사업 관련 내용이 전혀 없다&quot;고 밝힌바 있습니다. 재무건전성은 별 5개네요. <b>윤석열 관련주</b>:: 웅진 웅진만 계속 오르고 있군요 윤석금 웅진그룹 회장이 윤 전 총장과 같은 파평... ,20210309
경창산업 <b>윤석열 관련주</b>(테마주) 덕성 서연 서연탑메탈 서연이화 러셀 대영포장 모베이스 웅진... 관련 종목 제보 바랍니다. 그리고 해당 종목이 왜 관련주에 엮여 있는지는도 함께 알려주시면... ,20210319
"<b>윤석열 관련주</b> 첫 번째, 서연입니다. 지주회사 형태로 계열사 중 상장사로 자동차관련 부품 생산기업인... 사외이사가 윤석열 검창총장과 서울법대 동문관계로써, 주목받고 있는 관련주라는 사실이니, 이에... ",20201228
"그래서인지 요새 서울시장후보와 함께, 대선후보로 전 검찰청장 <b>윤석열 관련주</b>들이 이슈가 되고... 태양금속 태양금속 이사가 서울대 법대 출신으로 관련주가 되었습니다. 과연 윤석열 테마주는 투자할만한가?... ",20210320
"원익큐브 주가 전망, <b>윤석열 관련주</b> 2탄 안녕하세요, 주린이 여러분들 저는 유월입니다. <b>윤석열 관련주</b> 2탄, 원익큐브 주가 전망과 오늘의 주식시황을 살펴보도록 하겠습니다. 오늘은 코스피와 코스닥 모두... ",20210311
"99%) 2021 03-08 윤석열 전 검찰총장 대권주자 지지율 1위 소식에 <b>윤석열 관련주</b>로 시장에서 부각되며 급등 &lt;희토류 관련주&gt; 티플랙스 (081150) (+14.68%) 2021 03-08 호주 ASM, 청주시 희토류 생산시설 설립... ",20210309
"파평윤씨-관련주-<b>윤석열</b>-<b>관련주</b>-파평윤씨-소정공파 그 밖의 <b>윤석열 관련주</b>로는? 분류/정리하자니, 정말 많은 것 같습니다;;; 종목명 관련 사항 진도 안호봉 사외이사, 윤석열 전 총장과 사법연수원 동기... ",20210316
<b>윤석열 관련주</b>가 난리났네요. 끝물이 온건지 이 종목 저 종목 전부 <b>윤석열 관련주</b>로 엮여서 상승... 현재 윤석열 테마주 중 대장주는 NE능률로 보입니다. 테마주 중 대장은 항상 제일 많이 올라가고 제일 덜 빠진... ,20210309
조회 공시 요구에 대한 답변 - 과거 및 현재 당사의 사업과 윤석열 전 검찰총장은 아무런 관련이 없음을 알려드립니다. <b>윤석열 관련주</b> - 덕성 덕성의 이봉근 대표이사와 김원일 사외이사가 서울대 법대... ,20210309
서연 주가 서연의 사외이사인 유재만 법무법인 광장 변호사가 윤석열 총장과 1981년부터 2년간 학교를 같이 다닌 기간이 있다는 이유로 서연은 <b>윤석열 관련주</b>로 편입되었습니다. 정치 관련주에서 해당 기업의... ,20210307
&lt;비트코인(가상화폐)관련주-우리기술투자&gt; 우리기술투자 오전장 공략후 6%이상 수익권... 2.최근 윤석열 검찰총장 사퇴후 윤석열 정계 진출 기대감에 <b>윤석열관련주</b>들이 집단적으로 테마를 이루면서 강한... ,20210318
오늘 <b>윤석열 관련주</b>에 에너지가 가득하네요 https://n.news.naver.com/article/005/0001415966 자극적인 기사... 차트의 미래분석 및 전망은 송부하실 몫으로 남겨드리고 우리는 윤석열형님 퇴임시기나 한번... ,20210302
"만약 <b>윤석열 관련주</b> 대선테마를 매매하셔야 겠다면 비중은 적게 하셔서 관심을 안보일때 접근하시기 바랍니다 이재명, 이낙연, 윤석열 세명이 대선테마가 지속적으로 돌아가는 경향이 있기 때문에 조용한... ",20201230
국내외에서 윤석열 전 검찰총장의 관련주로 분류가 되어있는 아이크래프트의 주가는 금일하루도... 혹은한 <b>윤석열관련주</b>를 제외하더라도 코로나바이러스에 관련된 QR코드인식을 주의도으로하는 출입명부... ,20210309
유재만 사외이사가 윤석열 총장과 서울대 법대 동문이자 같은 서울 중앙지검에 부장검사로 있던 인물이기 때문에 <b>윤석열 관련주</b> 로 높은 기대를 받고 있습니다. 모베이스전자입니다. 모베이스전자는 자동차... ,20210305
"- 오늘 네오오토, 극동유화, 쎌마테라퓨틱스, 기신정기 <b>윤석열 관련주</b>로 다 크게... 이게 윤석열이랑 연관지는 1도 몰랐음(알았음 바로 샀지) - 밑에는 그 동안 포스팅 내용... ",20210316
"그 외 윤석열 정치 테마가 이어지고 있고, 중국 전인대에서 발표되었다는 장기 경제 계획 관련 테마(희토류 등)들이 눈에 띄고 있네요. #웅진씽크빅 (<b>윤석열 관련주</b>로 분류) #동국알앤에스 (충북에 가공라인 구축... ",20210308
"진바이오텍 주가 전망, 그리고 목표가 <b>윤석열 관련주</b> 지목 안녕하세요, 주린이 주식투자 부자 되는... 진바이오텍 주가 전망, 그리고 목표가 <b>윤석열 관련주</b> 지목 다우존스 산업지수는 0.53% 상승한 32,953.46... ",20210316
"급등 &lt;<b>윤석열 관련주</b>&gt; 모베이스전자 (012860) (+16.78%) 2021 03-04 윤석열 검찰총장 전격 사의 표명에... 98%) 2021 03-04 윤석열 검찰총장 전격 사의 표명에 최대주주 서연, 관련주로 부각되며 급등... ",20210305
하락장 속에서 오늘의 이슈는 윤석열 총장 사퇴와 관련 테마주들의 움직임이 아닐까 합니다 서연탑메탈을 시작으로 줄줄이 급등이 나왔습니다. 0304(목) 이슈와 특징주 <b>윤석열 관련주</b>... ,20210304
