text,created_at
"<b>윤석열</b> 가족 관계는 아버지 윤기중 계시며 <b>윤석열</b> 와이프 김건희 씨, 그리고 <b>윤석열</b> <b>자녀</b>는 현재 없는 것으로 알려져 있습니다. 한편 <b>윤석열 부인</b> 김건희 씨와 나이차이는 무려 12살이 어리며 예전... ",20201204
검찰총장 후보자 지명 후 <b>부인</b> 김건희가 화제가 되었다. <b>윤석열</b>이 51세이던 2012년 3월에 12살 연하의 김건희 코바나컨텐츠 대표와 결혼했다. 상당히 늦은 결혼이라고 볼 수 있다. 두 사람 사이에 자식은 없다.... ,20210304
"<b>윤석열</b> 검찰총장의 <b>부인</b> 김건희씨는 문화예술 컨텐츠 기업인 코바나콘텐츠 대표이사로 색채의 마술사 샤걀, 르코르뷔지에 등 유명한 작품들을 전시한 다재다능한 사업가로 알려 져 있습니다. <b>윤석열</b>... ",20201029
그럼 본격적으로 <b>윤석열 부인</b> 김건희 나이 <b>자녀</b> 재혼 장모 에 대해서 궁금하시다면 아래 링크를 클릭하시면 더욱 자세히 확인 할 수 있습니다. <b>윤석열 부인</b> 김건희 나이 <b>자녀</b> 재혼 장모,20200217
결혼하여 <b>부인</b>과 <b>자녀</b>들은 외국에 살고 있는 기러기 아빠죠. 겉으로 보기엔 열심히 공직생활로 돈을... <b>윤석열부인</b> 사실 미술계에서 김건희를 제대로 아는 이는 없다고 합니다. 어떻게 저렇게 거물급 대형... ,20201029
"김건희 씨(<b>윤석열 부인</b>)가 '주가 조작 연루 의혹'이 제기됐다. 이런 의혹은 지난 인사청문회 때도... 흘리고, <b>자녀</b>들 생활기록부, 가계부까지 조사하고, 뉴스타파가 공개한 '도이치모터스 권오수 회장 간의 또... ",20200217
거기에 <b>윤석열</b>의 이름에서 보여지는 흠이 <b>부인</b>과 <b>자녀</b>를 밀어내는 에너지가 강한데 특히 <b>자녀</b>를 강하게 밀어내는 힘이 쎄다 이럴때는 다시한번 <b>부인</b>이 입은 옷을 본다 <b>윤석열</b>의 <b>부인</b> 김건희라는 이름은... ,20200218
"왜 #진보인사는 배우자와 <b>자녀</b>는 물론, 사돈의 팔촌까지 털려가며 조리돌림을 당하는가. 진보는 보수의... 나는 해시태그를 달고 싶어졌다. #그런데<b>윤석열</b>장모와<b>부인</b>은? - #이재성, 한겨레신문사, #인권연대, 2020.05.28",20200530
서울중앙지검이 <b>윤석열</b> 검찰총장의 <b>부인</b> 김건희 씨를 둘러싼 의혹을 수사하기 위해 청구한 압수수색... 법원은 또 나경원 전 미래통합당 의원의 <b>자녀</b> 특혜 의혹과 관련해 검찰이 나 전 의원의 자택에 대해... ,20201112
서울중앙지검이 청구한 나경원 전 의원과 <b>윤석열</b> 검찰총장 주변 수사와 관련된 압수수색영장이 잇따라 기각됐습니다. 법조계에 따르면 나 전 의원의 <b>자녀</b> 관련 입시 비리·부정채용 의혹 등을 수사 중인... ,20201111
<b>윤석열 부인</b>은? <b>윤석열</b>은? 한마디 해야지. 제2의 김문수라고 불러달라고 생 떼를 쓰고 있음. 진중권이... 장관의 <b>자녀</b> 입시 비리에 연루된 혐의’로 기소된 최강욱 전 청와대 공직기강비서관이 사의를.. 확인하러... ,20200318
있는 <b>윤석열 부인</b> 김건희는 수사 안 하고 덮으면서 또 논란이 되고있습니다. 장모 동업자는 김건희가... 하지만 똑같이 나경원도 <b>자녀</b>입학부정 드러났고 고발까지 되었는데도 전혀 수사 안 하고 있습니다.... ,20200327
나경원 #<b>윤석열부인</b> #김건희 #나경원영장 #김건희영장 #압수수색 #영장 #기각 #기각뜻 #정치검찰 #검찰개혁 #검언유착 #패거리저널리즘 #언론개혁 #나경원아들 #나경원딸 #나경원<b>자녀</b> #입시부정 #성적조작... ,20201111
