text,created_at
서울중앙지검이 9일 <b>윤석열</b> 검찰총장의 <b>부인</b> 김건희씨가 운영하는 코바나컨텐츠 사무실에 대한 압수수색 영장을 청구했다가 통째로 기각된 것으로 확인됐습니다. 수사팀이 김씨에게 임의수사 의사도 묻지... ,20201110
sbs뉴스 사진 <b>윤석열 부인</b> 김건희. 인터넷 사진들 2012년 윤석열 당시 대검찰청 중앙수사부 1과장과 결혼 (남편 - 53세 / 부인 41세) 나이 : 1972년 생 (검찰총장 윤석열과 12살 차이) 현재 48세 직업 : 코바나컨텐츠... ,20200217
오늘은 <b>윤석열</b>의 <b>부인</b> 김건희가 운영하는 전시기획사 코나바컨텐츠에서 2019년 6월에 수많은 업체로 부터 후원금을 받았던 비리에 대해 간략하게 다루도록 하겠습니다. 김건희가 운영하던 코바나컨텐츠는... ,20201215
"&quot; &quot; &quot; &quot; &quot; &quot; &quot; '<b>윤석열 부인</b> 의혹' 시효 임박…검찰, 아직 결론 못 내려 윤석열 전 총장 앞에는 가족 수사도 남아 있습니다. 부인 김건희 씨가 연루된 '주가조작 의혹'은 공소시효가 임박했지만, 검찰은 아직... ",20210310
차기 검찰총창 후보자의 #윤석열 #<b>윤석열부인</b> #김건희 씨는 1972년생 올해 나이 48살이다 대학에서... 대부분 부인 김 씨의 것으로 알려졌으며 재산 대부분 예금 51억 8600만 원 중 김대표의 예금이 48억 7200만 원... ,20190618
"'<b>윤석열 부인</b> 의혹' 시효 임박..검찰, 아직 결론 못 내려 박지영 기자 입력 2021. 03. 09. 20:52 https://news.v.daum.net/v/20210309205206476URL복사 [앵커] 윤석열 전 총장 앞에는 가족 수사도 남아 있습니다. 부인 김건희... ",20210309
"내용은 도이치모터스의 권오수회장이 주가를 끌어올리기 위해 이OO을 고용했고, 주가조작에 필요한 총알자금주인 (현 <b>윤석열</b>의 <b>부인</b>)김건희씨를 권오수가 이OO에게 소개해줬다는 내용이다. 그런데 본 사건은... ",20200218
"[앵커] <b>윤석열</b> 전 총장 앞에는 가족 수사도 남아 있습니다. <b>부인</b> 김건희 씨가 연루된 '주가조작 의혹'은 공소시효가 임박했지만, 검찰은 아직 결론을 내리지 못하고 있습니다. 또 전시회 협찬금을 부당하게... ",20210310
"http://www.munhwa.com/news/view.html?no=20200807MW141157748427 <b>윤석열 부인</b> 김건희 서울대 학력위조, 참 어이없다! 윤석열 검찰총장 부인 김건희(본명 김명신)의 학력위조는 어디까지일까. 윤석열이 검찰총장에... ",20200807
"<b>윤석열</b> 전 총장 앞에는 가족 수사도 남아 있습니다. <b>부인</b> 김건희 씨가 연루된 '주가조작 의혹'은 공소시효가 임박했지만, 검찰은 아직 결론을 내리지 못하고 있습니다. 또 전시회 협찬금을 부당하게 받았다는... ",20210309
경찰청에서 &quot;윤석열 검찰총장 부인 내사한 적 없다&quot;라고 밝혔다. 그럼에도 <b>윤석열 부인</b> 김건희 대표의 주가조작 연루 의혹이 묻힐 가능성은 별로 없어 보인다. 뉴스타파 보도 이후 경찰청은 17일 &quot;김건희 씨는... ,20200218
MBC 뉴스 <b>윤석열</b>이 사퇴했다 준비가 덜된상태에서 성급하게 사퇴한것 같다 <b>윤석열</b>의 지시로 위법한 수사들을 진행하던 검사들이 황당하다는 입장들이다 사람에 충성하지 않고 조직에 충성한다더니 자신과... ,20210305
"<b>윤석열</b> 전 총장과 <b>부인</b>을 겨냥한 수사는 속도가 붙었지만, 윤 전 총장이 가로막았던 한명숙 전 총리 재판 허위증언 강요 의혹 사건은, 아무 성과없이 마무리 수순에 들어갔습니다. 대검 감찰부는 오늘... ",20210305
"지난 2019년 6월 <b>윤석열</b> 당시 서울중앙지검장의 <b>부인</b> 김건희 씨가 운영하는 코바나콘텐츠는 '야수파 걸작전' 전시회를 진행했다. 당초 협찬사는 4곳에 불과했는데, 윤 지검장이 검찰총장으로 지명되자, 갑자기... ",20210308
양재택) <b>윤석열 부인</b> 김건희 실체 소름(feat 양재택) 인생이 '페이스오프' '김명신'에서 '김건희'로 개명하고 얼굴까지 바꿔서 다른 인생을 사는 한 여자의 이야기 먼저 윤석열 검찰총장의 부인 '김건희'에 대해... ,20201029
