text,created_at
"5일에는 '조국 사주'에 관한 글을 올렸고, 이어 2019년 9월 28일에는 ‘<b>윤석열 사주</b>’에 관한 글을... 특히 그는 “윤석열은 그릇이 매우 큰 사주다. 최고위 권력까지 갈 수 있는 형국이다. 어쩌면 검찰총장이... ",20210308
-니체 - 그럼 <b>사주</b> 풀어볼께요. 우선 지장간의 숨은 보석인 천간 글자들이 2013년에는 빛났던 한해였다.  이때 <b>윤석열</b> 전 총장은 편관과 상관 기운을 전장에서의 장수기운으로 썼다. 상관은 천수보살의... ,20210305
"결국 샤머니즘이 첨가되네 &quot;윤석열은 그릇이 매우 큰 사주다. 최고위 권력까지 갈 수 있는 형국이다.... 어쩌면 검찰총장이 아니라 그보다 더 놓은 자리도 갈 수 있는 사주 <b>윤석열 사주</b>는 허신(虛神, 보이지... ",20210308
"우선 <b>윤석열 사주</b>는 2개가 유통되고 있다. 진실은 본인만 아는법! 참고할 것은 1, 2013년에... 윤석열 지지자 고수들의 풀이~ https://blog.naver.com/parangse1979/222154591607 다음 1960년 2월 이 사주도... ",20201126
#<b>윤석열사주</b> 1960. 12. 18. 양력 62세 76 66 56 46 36 26 16 6 O 庚 戊 庚 丙 乙 甲 癸 壬 辛 庚 己 O 辰 子 子 申 未 午 巳 辰 卯 寅 丑 윤석열에 대한 포스팅은 전에도 하였으나 원래 나이가 많은 사람들은 생년월일이... ,20210317
"그는 지금 위 사람에게 덤비는 <b>사주</b> 상관(傷官)의 성질로 버티기를 하고 있을 뿐이다. 검란, 검란 하는데 위에서 말한 것처럼 부하 검사들만 다치게 된다. ------------------- <b>윤석열</b> 사퇴 주장하던 與 “감옥... ",20200409
윤석렬 사의표명 <b>윤석열</b> 검찰총장이 오늘 사퇴를 표의했습니다. 다음은 사퇴문 전문. &quot;저는 오늘 총장을... 그럼 여기서 <b>사주</b>관상가들이 예기하는 이 사람의 <b>사주</b>가 대통령 될 상인지 분석 해 놓은 자료 옮겨... ,20210304
<b>윤석열 사주</b>...라고 주장하는 사주다. 어느 사주가 진짜 사주인가....? 이 의문에서 이미 수 갈래로 나뉘어지고 삼천포로 가게 된다. 경진일주로 보아도...그다음에 시주가 문제다.... 병술시를 많이 보는데... ,20210311
"희망을 바라며 윤석열의 사주를 보도록 하자. <b>윤석열 사주</b> 윤석열 검사, 전 변호사 소속 서울중앙지방검찰청(검사장) 경력 2017.05~ 제59대 서울중앙지방검찰청 검사장 2016.01~2017.05 대전고등검찰청 검사 2014.01... ",20190617
<b>윤석열 사주</b>엿보기 사주로 본 윤석열은 누구? 대선 출마 가능성은? 윤석열검찰총장 검찰 수사권 폐지를 위해 직을 걸어 막겠다! 대선 나올 가능성!? 윤석열 검찰총장님의 인터뷰를 보다보니 의미심장한 말을... ,20210303
2020년은 경자년. 대운과 세운이 천극지충하는 윤석열 총장에게는 마음고생이 많은 한해가 될 듯 합니다. 2019년 9월 삼각산인 조국 장관 사주 풀이는 요기로 #<b>윤석열사주</b> #혜문스님 #역문관,20210308
2018년 <b>윤석열</b> 대통령 면접 본건가? 밤의대통령이라 불리는 언론사 <b>사주</b>들 조선일보 방상훈사장과 JTBC중앙일보 (삼성)홍석현 사장을 만나 유흥점에서 술자리를 가졌으며 그들이 부른 역술인이 합석했다고... ,20200820
"<b>윤석열 사주</b> 또 말씀드리지만, 정치 등 관련없이 사주만 보겠습니다. 겨울에 태어난 정화입니다. 약한... 다만, 윤석열님 본인이 직접 저에게 물으신다면 그 당선가능에 대해, 알려드리겠습니다. ^^ 특히 아셔야... ",20210308
"추미애라는 커다란 갑목이 <b>윤석열</b> 총장 <b>사주</b>의 무토 제방을 파헤치고 큰 호수위의 연꽃인 을해일주, 문대통령이 <b>윤석열</b> 총장의 경금을 을경합으로 묶어버린다. 선택지가 많이 남지 않았다. 추미애 장관 <b>사주</b>... ",20201126
