text,created_at
"<b>윤석열</b>이 저<b>자식</b> 참으로 질기네 사퇴를 했어도 진작에 했어야지 버티는 이유가 뭐냐 니 마누라와 니 장모 보호하려고 개나발 불지 말고 빨리 사퇴해라 “장모·부인 의심받는 상황”…검찰 수사관, 내부망서... ",20200408
"밝혀 &quot;<b>윤석열</b> 검찰 해도 너무한다는 시대정신에 공감한 것&quot; 천주교 사제와 수도자 4,000여명이... 독사의 <b>자식</b>들, 뱀의 새끼라고 불렀다&quot;고 말했다. 사제단의 선언과 같은 날 나온 조영달 서울대 사회교육과... ",20201208
<b>윤석열</b> 당신 혼외<b>자식</b>으로 검찰의 쓴맛을 덜받았나. 그래 조국 쫓아 내랴 수단 방법 가리지 않는 종합체널 한때 국민들은 속앗어 이재 조국이 대통령 선호 1위 일거야 대통령 ㅜ당선되면 종합체널부터 손을 봐야... ,20191002
집캔디 생각에는 <b>윤석열</b> 깡다구상 <b>자식</b>도 없기때문에 검사역할이 딱 적성에 맞는데....뭐 곧 퇴임나이가 되었으니 적절한 퇴임시기인것도 명확하다. 그런데 퇴임하지 않을것 같았는데 전격 사퇴하니 어색하다.... ,20210304
<b>윤석열</b>리 51세이던 2012년 3월 12살 연하인 부인 김건희(코바나컨텐츠 대표)와 결혼하여 상당히 늦은 결혼이라고 볼 수 있는데 두 사람 사이에는 <b>자식</b>이 없다. 선영 대전공원묘원 집묘 부친인 윤기중은 파평윤씨... ,20210319
"▶위안부피해자 가족들, '윤석열 모욕' 혐의로 공지영 고발…왜? /한국경제 공지영 &quot;<b>윤석열 자식</b> 없는... 당신(윤석열)이 자식이 없는 건 하늘의 자비일까' 등이다. 위가협이 고발장에서 언급한 사례는 모두... ",20210108
"#<b>윤석열</b> 님은 나쁘거나 무능하거나 둘다거나. 어쨌거나 #하차 가 답! 나라에 대한 사랑, <b>자식</b> 세대에 대한 사랑이 1도 없으신가요? #검찰 #카르텔 은 #대한민국 어디까지 망칠 생각이신지?... ",20191104
"◆ 조선일보 법조데스크 “<b>윤석열</b> 사퇴변 다 외워 암기력 좋아” 중견기자들, 자체 팟캐스트... 결혼하시고 <b>자식</b> 있으신 기레기분들... 부끄러운 줄 아십쇼... ─언론이 퇴보를 거듭하다 이제... ",20210310
"국회가 국민이 모두 찬성하는 검찰개혁을 오로지 기득권과 밥그릇을 챙기기 위해 직을 걸겠다는 <b>윤석열</b>의 광기와 오만함 <b>윤석열</b> 뭔데, <b>윤석열</b>이 대통령이냐, <b>윤석열</b>이 나라냐, <b>윤석열</b> 이 호로<b>자식</b>아!!1",20210302
‘죽은 <b>자식</b> 고추 쓰다듬은들 무슨 소용이 있겠습니까. 차라리 <b>윤석열</b>이라도 안고 가서 이 정권을 끝내야지요’라고 말한다”고 덧붙였다. 김 전 의원은 “<b>윤석열</b>이 잘 되기를 진심으로 바란다. 그의 선택이... ,20210312
정작 판사는..일단 <b>윤석열</b> 손을 들어 줬습니다. 이거 뭐 이유가 뭘까요? 물론 판사가 개인 감정에... 뭐..표창장..이런거 없이 조국 <b>자식</b>새끼나..내같은 힘없고 빽없는 놈이나 똑같이 시험봐서..1점 높으면 걸리고..... ,20201225
"<b>자식</b>특혜 사모펀드 위선자 조국 임명 결사반대!! <b>윤석열</b>: 저기 살아있는 권력이 공정한 경쟁질서를 무너뜨리고 있도다 (검찰, 조국 법무장관 후보자 부인 기소 등 특혜의혹 수사 돌입) 조국: 문통 씨댕아;... ",20190928
"<b>윤석열</b> 검찰총장은 ‘이 나라를 지탱해온 헌법정신과 법치 시스템이 파괴되고 있다면서, 이 사회가... “네 <b>자식</b> 같은 검사들 다 죽이겠다는데 이래도 안 나갈 거냐?” 뭐 그런 거다. 이래서 윤 총장 입에서 나온... ",20210304
<b>윤석열</b> 당신도 혼외<b>자식</b>으로 검찰의 쓴맋을 덜받았던가 개도 주인을 보면 방기는데 지금 하는 작태가 인간을 포기한것 같아 뻔뻔하고 가증스런 인간 비애를 느낀다. 역시 판단 미스지 걸례는 걸례란것을... ,20190927
