text,created_at
"몇 몇은 <b>윤석열 테마주</b>라는 추측을 고수하고 있지만 정확히 어떠한 소재로 상승하는지 아직 나오지 않았다. 일각에선 윤석열 前총장의 충청 대망론이 거론되면서 충청에 있는 네오오토가 관련주다, 또는... ",20210317
받으면서 ‘<b>윤석열 테마주</b>’로 분류되던 웅진 계열사의 주가 역시 급등세를 나타낸 것으로 보이는데... 정치인 테마주가 점점 코미디가 되어가는데 윤석열 전 총장과 인연과 지연을 통해 연결되는 것이... ,20210308
오늘 포스팅 주제는 &quot;윤석열 관련 정치테마주 5종목 정리 &amp; 주가상황 파악&quot; -서이추는 늘 환영합니다♥ ʕ•ᴥ•ʔ - #정치테마주 #윤석열관련주 #<b>윤석열테마주</b> #테마주 #덕성 #서연 *해당 포스팅은 투자를... ,20210307
<b>윤석열 테마주</b> 1. NE능률 - 무려 최근에 3연상. ne능률은 최대주주가 윤석열 전 총장과 같은 파평 윤씨... 윤석열 전 검찰총장은 아무런 관련이 없다고 언급했음에도 상한가 기록. 2. 금강철강 - 윤석렬 테마주... ,20210309
"어제부터 상한가를 찍어대고 있는 정치<b>테마주</b> 입니다. 저 개인적으로 정치 <b>테마주</b> 비추하는... 관심이 없는 종목이다보니 제반 지식 없이, <b>윤석열</b> 테마고 뭐고, 다 제끼고 차트만 보고 얘기해보겠습니다.... ",20210305
그냥 테마주로 보고 들어간 사람들 물린 경우 많았을 듯 극동유화는 평소에 얼마나 거래량이 없던지 얼마 미만에 사서 얼마 이상에 팔면되는 내 나름에 공식이 있었음. 그런데 이 주식이 <b>윤석열 테마주</b>로... ,20210316
"대법관과 윤석열 전 검찰총장과의 인연을 거론하며, &quot;<b>윤석열 테마주</b>&quot;로 급등했다는 기사가 일부... 생각지도 않았지만 대선 테마주에 올라타게 되었다. (이거 뭔가 도이치모터스랑 비슷하다...) 순간의 급등이... ",20210313
한국 정치권 '대장'으로 떠오르고 있는 윤석열 전 검찰총장! '<b>윤석열 테마주</b>'도 한국 주식에 돌풍을 일으키고 있습니다! 바로 초강세 예정인 '<b>윤석열 테마주</b>' 더 늦기 전에 선착순 무료로 받아가세요!,20210310
"39% 파평윤씨 테마주 교육, 놀이의발견 물적 분할 - 판관비 증가로 영업이익 감소 윤석열 관련주는 하나 같이 재무제표가 엉망이네요. 구 <b>윤석열 테마주</b>인 서연, 서연탑메탈, 서연이화 등은 이전부터 상당히... ",20210309
윤석열 관련주가 난리났네요. 끝물이 온건지 이 종목 저 종목 전부 윤석열 관련주로 엮여서 상승... 현재 <b>윤석열 테마주</b> 중 대장주는 NE능률로 보입니다. 테마주 중 대장은 항상 제일 많이 올라가고 제일 덜 빠진... ,20210309
'주민이는 주식의민족의 블로그 별명 입니다' 안녕하세요 주민이입니다 오늘은 주식의민족 <b>테마주</b>검색기 상위에 위치한 <b>윤석열</b> 테마 관련주에 대해서 알아보겠습니다 알아보기 전 어떤 이유로 <b>테마주</b>검색기... ,20210309
원익큐브도 엇그제 상한가종목으로 정리해드렸는데 오늘 <b>윤석열</b> 관련주로 새롭게 부각이 되면서 주가는 오늘도 상한가 마감했고 푸른저축은행도 차트를 보시면 4거래일 연속 상승중입니다. 정치<b>테마주</b>로... ,20210311
"<b>윤석열 테마주</b> 1탄 - 모베이스전자 <b>윤석열 테마주</b> 2탄 - 덕성, 덕성우 서연이 윤석열 관련주인 이유... 정치 테마주로 묶였는가?를 보는건 큰 의미가 없습니다. 해당 종목이 관련주로 묶인 것으로 시장이... ",20201104
이제는 <b>윤석열 테마주</b>를 넘어 파평윤씨 테마주가 셍겼다는 우스겟 소리가 나올만큼 투자자들이 막지르는 느낌입니다 이런 정치인 테마주들은 공약으로 정책적 뒷받침이 되지 않는 단순 최대주주나... ,20210310
시점에서 윤석열 검찰총장 관련주들의 상황은 어떠할까? 대표적인 <b>윤석열 테마주</b> 서연 삼총사이다. 어느정도 상승세를 보이고는 있지만 글쎄..? 정치 테마주임을 감안했을 때 이정도는 슈팅이라고 할 수 없다... ,20200916
정치인 테마주로 폭등 하기도 하고 폭락 하기도 한답니다. 화천기계 화천기계 지배 회사인 화천기공의 회장과 윤석열 전 검찰총장이 동문이라는 이야기가 있어 화천기계가 <b>윤석열 테마주</b>중 하나라고 하는데요..... ,20210311
[국내주식] <b>윤석열 테마주</b> (Feat. 정계 진출?) 윤석열 총장과 관련된 테마주 두 번째는 '덕성'이다. 역시 상한가를 쳤다. 1966년 설립된 회사로 국내외 다수의 기업에 대하여 합성피혁 및 합성수지의 판매를... ,20210304
"윤석열지지율, <b>윤석열테마주</b>, 서연탑메탈, NE능률 주가전망, 투자경고종목 지정예고 윤석열지지율... 윤석열 관련주, 테마주들은 이전부터 윤석열 때리기 할 때마다 급등락을 반복했습니다. 그 이유는 사퇴로... ",20210305
오늘 <b>윤석열 테마주</b>로 편입되어 가장 먼저 상한가를 간 종목이다. 최대주주 윤정선씨가 파평 윤씨가... 시총이 작은 정치테마주의 경우에는 더더더더욱 그러하다. 속일수 없는것을 한가지 뽑으라면... ,20210310
"윤석열 관련주 테마주 1. 푸른저축은행 푸른저축은행의 사외이사인 안대희 전 대법관이 대검찰청... 과연 <b>윤석열 테마주</b>는 투자할만한가? 많은 테마주들이 뜨고, 지고 있습니다. 그 중에서 <b>윤석열테마주</b>는... ",20210320
때아닌 #테마주 이슈에 휘말리고 있다. 윤석열 전 검찰총장 때문이다. 웅진그룹의 지주사인 웅진은 윤... 웅진그룹이 <b>윤석열 테마주</b>로 분류돼 시장에서 관심을 받고 있는 이유는 이렇다. 웅진 창업주인... ,20210310
"검찰총장 옷 벗은 유력 대권 후보, <b>윤석열 테마주</b>를 알아보자!!! 2013년 국정 감사장에서 &quot;사람에게... #윤석열 관련주 #윤석열 정치테마주 #정치테마주 #인맥주 #윤석열 대권 #윤석열 신규 # 테마주",20210305
윤석열 총장이랑 남성 사외이사 윤봉수 님이랑 서울대 법대 동문입니다. 약간 러셀이랑 비슷한 움직임을 보이고 있네요. 마지막으로 덕성우 종목도 있습니다. 종목들이 이재명 테마주로 불리다가 <b>윤석열 테마주</b>... ,20210120
"파평윤씨 소정공파, 파평 윤씨 관련주 - <b>윤석열 테마주</b> 파평윤씨-관련주-윤석열-관련주-파평윤씨... 윤석열-전-총장 맺음말 파평윤씨 관련주, 윤석열 관련주 파평윤씨-대선테마주 최근 윤석열 전 총장의 대권... ",20210316
"테마는 <b>윤석열 테마주</b>라고 볼 수 있겠습니다. 지난주 급등이 나왔던 서연탑메탈, 서연, 덕성, NE능률... 서연탑메탈은 윤석열 대장주로 시세가 쉽게 꺾이지 않는 상황인 것 같습니다. 저도 정치테마주는... ",20210308
바랍니다 <b>윤석열 테마주</b> NE능률 덕성 웅진 웅진씽크빅 서연 서연이화 서연탑메탈 모베이스전자 태양금속 아이크래프트 이그잭스 성보화학 #윤석렬테마주 #NE능률 #덕성 #서연 #서연탑메탈 #모베이스전자... ,20210308
"<b>윤석열 테마주</b> 1탄 - 모베이스전자 덕성이 윤석열 관련주인 이유 정치테마주를 들여다 보며 느낀 점 하나는 혈연으로 묶인 관계 (대표이사가 형제/자매 등)가 아니고 학연, 지연 등 사회적으로 맺어진... ",20201103
"관련 테마주인 서연, 덕성, 덕성우, 서연이화, NE능률, 서연탑메탈 등에 투자자들의 관심이 쏠렸다. 서연은 법무법인 광장 변호사인 유재만 사외이사가 윤석열 총장과 동문이라는 이유로 <b>윤석열 테마주</b>가... ",20210305
"지금까지 언급된 '윤석열 관련주'의 수준 이런 상황에서 윤석열 관련주는 실체없는 테마주가 많다. 경영진이 동문, 지인이거나 같은 파평 윤씨라서 <b>윤석열 테마주</b>로 지목되는 경우가 많다. 솔직히 보자.... ",20210318
========================================================= 같은 '파평 尹씨'라서 급등?···<b>윤석열 테마주</b> 경계령... /연합뉴스 윤석열 전 검찰총장이 대권 주자로 급부상하면서 관련 테마주가 기승을 부리고 있다. 특히... ,20210308
금일 윤석열 총장의 사퇴이슈 때문입니다. 정치테마주는 실체가 없고 기대로 움직여 어떻게 보면... 서연 서연 일봉차트 : 서연은 <b>윤석열 테마주</b> 하면 선두로 꼽히던 종목입니다. 이번에도 지난 3월 2일부터... ,20210304
서연이화 #제일테크노스 #진도 #모베이스전자 #에이텍티앤 #오리엔트정공 #신라에스지 #에이텍 #윤석열 #윤석열관련주 #<b>윤석열테마주</b> #이재명 #이재명관련주 #이재명테마주 #주식매매일지 #매매일지,20210304
서연탑메탈 윤석열 정치테마주의 시대 나스닥 100 선물 일봉 차트 보시겠습니다. 헤드 앤 숄더 패턴이... 내용을 확인해보세요 https://www.youtube.com/watch?v=MicQEqQ7AmQ #서연탑메탈 #서연탑메탈주가 #<b>윤석열테마주</b>,20210305
정치인 <b>테마주</b> 넘 어렵기도 하고 대형주만 매매해도 충분하다고 생각해서.. 아마 <b>윤석열</b> 검찰총장이 정치인으로 출마할거라는건 거의 확정적이라는 분위기가 많아서 그때되면 덕성 하늘위로 날라갈 수도... ,20210103
<b>윤석열 테마주</b> 2탄 ~ 오늘은 예상대로 언론에서 윤석열 전 검찰총장 정계 진출에 대한 기사를... 시에는 각별한 주의가 필요하다. #NE능률 #팬엔터테인먼트 #서연 #덕성 #<b>윤석열 테마주</b> # 정치테마주 # 관심주 #대권,20210306
윤석열 전 검찰총장이 총장직을 사퇴한 이후 대권 지지율이 1위를 기록했다는 여론 조사 결과가 나오며 ‘<b>윤석열 테마주</b>’들이 급등하고 있다. 8일 마켓포인트에 따르면 오전 9시 29분 현재 덕성(004830)은... ,20210308
"테마주로 엮이기 전까지는요 서연탑메탈은 윤석열과 아무런 관련이 없습니다. 즉 작전이라는겁니다 테마고. 돈넣고 돈먹기, 도박판 그 자체입니다. 기업의 대표도 아니고 사외이사가 동문인데 #<b>윤석열테마주</b> ???... ",20201216
"안녕하세요 어제 윤석열 전 검찰총장 테마주들이 급등했다면 강력한 차기 대권주자로 거론되는... 이어 이재명 경기지사가 24.1%, 이낙연 대표가 14.9%로 뒤를 이었는데 어제 <b>윤석열 테마주</b>에 몰려갔단... ",20210309
