text,created_at
"<b>윤석열</b> 전 총장 차기 정치 지도자 선호도' 여론조사마다 1위 <b>윤석열</b>, 여론조사마다 돌풍 / 與, 尹 &quot;반기문·고건과 달라&quot; 긴장 / 한국갤럽, <b>윤석열</b>·이재명 24% 동률 尹 15%p 급등 / KSOI, <b>윤석열</b> 32.4% 이재명 24.1... ",20210314
"몇 몇은 <b>윤석열</b> 테마주라는 추측을 고수하고 있지만 정확히 어떠한 소재로 상승하는지 아직 나오지 않았다. 일각에선 <b>윤석열</b> 前총장의 충청 대망론이 거론되면서 충청에 있는 네오오토가 관련주다, 또는... ",20210317
"결국 샤머니즘이 첨가되네 &quot;<b>윤석열</b>은 그릇이 매우 큰 사주다. 최고위 권력까지 갈 수 있는 형국이다. 어쩌면 검찰총장이 아니라 그보다 더 놓은 자리도 갈 수 있는 사주 <b>윤석열</b> 사주는 허신(虛神, 보이지... ",20210308
"&lt;<b>윤석열</b> 對 선거귀신&gt; 내일부터 딱 1년 뒤, 대한민국 20대 대통령 선거가 치러진다. 대선을 1년 앞두고 던진 <b>윤석열</b>의 승부수는 극적(劇的)이었다. 그런데 그 드라마는 누가 만들었을까. <b>윤석열</b> 본인이 만들었다면... ",20210312
[중앙일보 2021.03.05 사설] <b>윤석열</b> 검찰총장이 4일 오후 서울 서초구 대검찰청 앞에서 사퇴 입장을 밝히고 있다. [연합뉴스] <b>윤석열</b> 검찰총장이 임기를 4개월여 앞두고 어제(2021.03.04) 사퇴했다. 정치적 중립성과... ,20210309
서울신문 이미 <b>윤석열</b> 총장 주위엔 엄청난 능력의 브레인이 있다는 소문이 많았었죠. 조 &amp; 추 前 장관들과의 대결에서부터 보여오던 예상치 못한 능력치는. 정치경력이 전혀 없는 '<b>윤석열</b>' 총장에겐 의외였죠.... ,20210305
검찰청장인 <b>윤석열</b> 관련주는 연일 상한가를 치고 있다는 소식이 들립니다. 일전에도 서울시장 후보로... 전 검찰청장이자 강력한 대선주자로 예상되는 <b>윤석열</b> 관련주가 최근에 이렇게 상한가를 치게 된 이유는... ,20210311
며칠전 언론 인터뷰를 통해 중수청을 작심 비판한지 사흘 만에 <b>윤석열</b> 검찰총장이 전격 사의를... 내부적으로는 <b>윤석열</b> 총장이 재보선 전 사퇴할 경우 여권과의 대립 구도가 재조명되고 정권 견제 심리가... ,20210304
사의를 표명한 <b>윤석열</b> 검찰총장이 4일 오후 서울 서초구 대검찰청 청사를 나서며 직원들에게 인사말을 하고 있다. /사진=뉴스1 <b>윤석열</b> 전 검찰총장의 사퇴에 대해 검찰 내부는 예상한 일이었지만 침통하다는... ,20210305
"(아니, 어떻게 이렇게 멋진 워딩이 생각날 수 있지!ㅋㅋㅋ) 우선 <b>윤석열</b> 총장 2013년에 활약한 모습이... 이때 <b>윤석열</b> 전 총장은 편관과 상관 기운을 전장에서의 장수기운으로 썼다. 상관은 천수보살의... ",20210305
"<b>윤석열</b> 검찰총장이 사퇴를 했습니다. 그런데... 사퇴를 하기 하루전에는 대구지검에 방문하는 둥... 뭐하러 갔는지 정말 쇼 그 자체였는데요. <b>윤석열</b>이 사퇴를 하게 된 배경, 이유는 무엇일까요? 공소시효가... ",20210305
<b>윤석열</b> 총장이 금일 검찰 총장직에서 사임하며 주식시장과 정치권에서 뜨거운 관심을 받고 있다 금일 전체적인 증시는 약세를 보였지만 <b>윤석열</b> 관련주로 분류된 종목들은 모두 날라갔다 이에 <b>윤석열</b> 전... ,20210304
영화를 보면서 주인공인 조진웅의 모습은 <b>윤석열</b> 전 검찰총장을 떠올리게 하는군요. <b>윤석열</b> 전 검찰총장이 당시 대검에서 바로 이 사건을 맡아서 수사한 주역 중 한 명이었고 무엇보다도 조진웅 씨가 <b>윤석열</b> 전... ,20210314
"*한국갤럽, <b>윤석열</b>·이재명 24% 동률..尹 15%p 급등 *KSOI, <b>윤석열</b> 32.4%, 이재명 24.1%, 이낙연 14.9% *리얼미터, 尹 28.3%, 이재명 22.4% 이낙연 13.8% *한길리서치, 尹 29%, 이재명 24.6% 이낙연 13.9% *NBS, 이재명 25... ",20210314
"조선일보 이미지 캡처 <b>윤석열</b> 현상 <b>윤석열</b> 전 검찰총장의 대선 주자 지지율이 총장직 사퇴 4일 만에 1위로 뛰어올랐다. 8일 발표된 여론조사 두 개 가운데 하나는 32.4%, 또 하나는 28.3%를 얻었다. '반문(反文) 선언... ",20210311
"지난 15일 <b>윤석열</b> 전 검찰총장이 이재명 경기도지사와 이낙연 더불어민주당 상임선거대책위원장을... 이미지 확대▲ 이낙연 더불어민주당 상임선거대책위원장,이재명 경기도지사, <b>윤석열</b> 전 검찰총장[사진... ",20210318
<b>윤석열</b> 관련주 - 덕성 서연 <b>윤석열</b> 전 검찰총장이 옷을 벗고 정치권에 뛰어들기로 결정했나 봅니다. 이 소식이 전해지자마자 관련주들이 급격히 상승하기 시작했습니다. 많은 정치인 테마주들이 그렇지만... ,20210306
"오늘은 <b>윤석열</b> 관련주가 대장이네요 오늘도 오전장에 밖에 있느라 적극적인 매수, 매도를 하지... <b>윤석열</b> 검찰총장이 전격 사직을 표명하면서 정계진출에 관심이 쏠리고 있어요. 대권 행보를 이어갈... ",20210305
지금 대한민국은 윤풍윤풍 김종인 국민의힘 비대위원장은 <b>윤석열</b> 전 총장의 사퇴를 평합니다.... 어제 가장 큰 이슈는 <b>윤석열</b> 전 총장의 사퇴이후 시행된 여론조사 였습니다. 그리고. 윤의 돌풍이 컸죠.... ,20210309
상한가 종목중에서 두종목은 <b>윤석열</b> 관련주네요. 지수가 좋지 않을때는 정치테마주가 시장의 관심을... 오늘은 <b>윤석열</b> 관련주와 이재명 관련주가 뜨거운 관심을 받았습니다. <b>윤석열</b> 관련주를 보면 그동안... ,20210309
"물론 <b>윤석열</b>의 경우 자신의 비리, 또는 자신의 가족 비리, 여기에 수사를 통해 수많은 가짜 죄인을 양산한 그 죄를 물을 것이 두려워서 그런 것이기도 하겠지만. 시애틀에서...",20210303
<b>윤석열</b> 전 검찰 총장의 장모 최모(74)씨가 18일 재판에 출석했습니다. 최씨는 앞서 비공개재판을... 18일 오후 수백억원의 은행 잔고 증명서를 위조한 혐의를 받는 <b>윤석열</b> 전 검찰총장의 장모 최모씨가 경기도... ,20210319
"덕성 주가 전망 _ <b>윤석열</b> 관련주, 실적과 배당까지 총정리 안녕하세요. 쉽게 읽히는 재테크 * 저스트원(Just1)입니다. 꾸준한 관련주 작년부터 '<b>윤석열</b> 테마주'로 끊임없이 거론되며 주가 상승을 반복하는... ",20210302
새로운 <b>윤석열</b>주로 오늘 상한가를 간 종목입니다. 급등주는 급등이후 급락의 위험이 있으니 투자에 유의 하시기 바랍니다. 본 분석글은 종목추천이 아님을 꼭 유의하시기 바랍니다.(주의) 투자의... ,20210310
"권은희 &quot; 안철수-<b>윤석열</b> 소통중, 기대해도 좋다&quot; 안철수 국민의당 대표 측근들이 <b>윤석열</b> 전 검찰총장과의 연대 가능성을 내비치며 구애의 손짓을 보내고 있다. 4·7 서울시장 선거에서 윤 전 총장의 반문재인 정권... ",20210311
