text,created_at
<b>이낙연 당대표</b>의 <b>임기</b>를 마무리하는 기자간담회에 자리를 함께했습니다. <b>임기</b> 중에 가장 기뻤던 일이... <b>대표</b>님! <b>대표</b>님이 계셔서 가능한 일이었습니다. 또한 비서실장으로 일할 수 있는 소중한 기회를 주셔서... ,20210310
"<b>이낙연 당대표</b>께서 3.9일 <b>임기</b>를 마치면서 세미나를 개최하였습니다. 주제는 '돌봄국가책임제' 내용입니다. 세계 최악저출산국의 오명을 벗기 위해서는 영유아,아동 뿐만아니라 교육전반에 대한 혁명적 변화가... ",20210315
정책에 국민의 요구가 더 정확히 반영되도록 <b>당</b> 정책위를 확대·강화하겠다&quot;며 &quot;특히 청와대와 더... 29일 <b>이낙연</b> 더불어민주당 신임 <b>대표</b>는 <b>당대표</b> 수락 연설 절반 이상을 기존의 “국난 극복”을 강조하는데... ,20200829
"3월 9일 화요일 <b>이낙연</b> <b>대표</b>님의 <b>임기</b> 마지막 날, <b>당대표</b> 회의실에서 퇴임 기자간담회가 있었습니다. 그리고 83분의 국회의원이 참석한 신복지 강연까지 해주신 <b>대표</b>님! 앞으로... ",20210311
<b>이낙연</b> 더불어민주당 의원이 지난 7일 <b>당대표</b> 출마를 공식 선언했다. 이 의원은 이날... 김 전 의원은 <b>당대표 임기</b>를 끝까지 채우겠다는 입장이어서 결과에 관심이 쏠리고 있습니다.https://imnews.... ,20200708
❍ #리더십이라는 주제로는 <b>이낙연 당대표</b>의 지난 6개월을 돌아봤다. 이 <b>대표</b>는 <b>임기</b> 동안... 원내<b>대표</b>와 비롯한 같은 <b>당</b> 동료 의원들의 노력 덕분이었다고 공을 돌렸다. ❍ 이어 이 <b>대표</b>는 #신복지라는 키워드를... ,20210302
"'퇴임' <b>이낙연</b> &quot;<b>당대표</b> 복무, 인생에 큰 자산 될 것...보궐 승리로 보답&quot; <b>이낙연</b> 더불어민주당 대표는 9일 6개월간의 <b>당 대표 임기</b>를 마치고 물러나며 “<b>당대표</b>로서의 복무는 참으로 영광스러웠다”고 소회를... ",20210309
<b>이낙연</b> 더불어민주당 상임선대위원장이 지난 8일 청와대에서 문재인 대통령을 직접 맘나 LH사태 관련... 이위원장이 <b>당대표 임기</b>를 마치기 전 LH사태에 대한 책임을 지고 변 장관이 물러나야 한다는 의견을 문... ,20210312
대권주자인 <b>이낙연</b> 더불어민주당 대표가 주요 현안에 대응하기 위한 당내 상설 조직을 꾸준히 늘리고 있다. 내년 대선 경선 일정 등을 고려할 때 <b>당대표 임기</b>가 그리 길지 않은 이 <b>대표</b>의 조직확대에 대해선... ,20201022
한편 이날 <b>당 대표</b>에 선출된 <b>이낙연</b> <b>대표</b>는 차기 대선에 출마할 경우 당권·대권분리를 명시한 당헌당규에 따라 2021년 3월까지 약 7개월간 <b>당대표 임기</b>를 수행할 수도 있다. 즉 현재 각종 여론조사에서... ,20200830
