text,created_at
"…&quot;보수통합 논의 속 결정될 것&quot; <b>이낙연</b> 국무총리 아내 김숙희 나이차이, <b>직업</b>은? <b>이낙연</b> 국무총리... <b>이낙연</b> 아들 <b>며느리</b> 아내, 가족사진 <b>이낙연</b> 국무총리 프로필, 1952년 전라남도 영광군 출생... ",20191226
배우 전원주는 방송을 통해 <b>며느리</b> 김해현 씨의 모습도 공개한다. <b>며느리</b> 김해현은 &quot;어머니가 혼자... # <b>이낙연</b> 후보의 유세장에도 참여하고 이리저리 진보적인 정치인들을 도와주는 것으로 보아 현 정부를... ,20201121
답변은 아들이 모은돈 + 축의금 + <b>며느리</b> 지참금 (2 억 4 천만원 ) 으로 준비했다고 한다 . 아들의 <b>직업</b>은 정신과 전문의다 . 모친의 아파트 시세차익 의혹 <b>이낙연</b>의 어머니 명의로 2001 년 강남구 도곡동... ,20170913
"직계가족의 범위는 직계존비속으로, 조부모·외조부모, 아들·<b>며느리</b>, 딸·사위, 손자녀 등이다.... <b>이낙연</b> 더불어민주당 대표가 연합뉴스와 신년 인터뷰에서 '재난지원금의 전 국민 지급을 검토할 수 있다'고... ",20210215
"728x90 전원주(배우) 나이 재혼 아들 <b>며느리</b> 김해현 &lt;동치미 전원주&gt; <b>며느리</b> 잡는 호랑이 시어머니로... -전원주(배우), 전원주 기타 활동 전원주는 배우활동 외에도 21대 총선의 종로구 <b>이낙연</b> 후보자 유세장에... ",20201121
이러한 저출산 문제를 바라본 한국산후조리업협회 김형식 회장은 <b>이낙연</b> 총리와의 만찬에 초대받아... 그러던 중 2011년 가을에 출산한 조카<b>며느리</b> 면회를 갔다가 산후조리원이라는 곳에 모여 몸조리를 하고... ,20200206
후보인 <b>이낙연</b>의원 봐 박주민 의원은이 자리에 오지 않은 것으로 알려졌는데요 김보겸 전의 술자리를 가진 이날밤 전복에서 폭으로 피해가 속출하고 일부 지역에서는 인명 피해가 발생하고 이동하였습니다... ,20200806
전형적인 예전 남아선호사상을 가진 시어머니에 일종의 아들바보라 <b>며느리</b>들을 꽤 못마땅해한다. 다만... 관련 글을 읽으려면 여기를 # 21대 총선의 종로구 <b>이낙연</b> 후보자 유세장에 참석했다. 공유하기 글 요소... ,20201108
"“공무원 시험에 수십·수백 대 일의 경쟁자가 몰리고, 대기업 들어가는 걸 가장 높은 가치로 삼는다면 이건 청년들을 <b>직업</b>의 노예로 만드는 일이다.” 채 회장은 청년 세대들이 ‘무엇이 가치 있는 삶인가’에... ",20200221
"*2019년 12월 우한시장선... WHO “코로나 결정적 증거 발견” *정부가 방역 실패 해놓고 왜 국민들이 희생해야 하나 *국민들은 설날에도 고향 가지 말라면서...文 내외, 소래포구 찾아 '농담 따먹기' *‘변이... ",20210220
