text,created_at
오늘 뉴스로 <b>이낙연</b>의 이명박.박근혜 <b>사면</b> 발언이 꽤 화제가 되고 있는 듯하다. 눈팅하고 있는 온라인 커뮤니티 중에 민주당 지지자들이 많은 곳이 있어 글 몇 개를 읽어보았다. 예상한대로 대부분 반응이 좋지... ,20210101
"이 상황을 더 간단히 설명하자면, 만약 진심으로 <b>이낙연</b>이 <b>사면</b> 발의가 국민통합을 일궈낸다고 생각한다면, 그의 정치 의식은 순박하다 못해 멍청하며, 국민의 민심을 읽지 못한다고 할 것이고, 교활하게... ",20210119
실시간 유튜브 링크가 이거네요 오늘 낭독한 호소문이라고 공유 받았는데 구구절절 옳은 얘기입니다. <b>이낙연</b> 대표 당장 이명박 박근혜 <b>사면</b> 얘기는 완전히 철회하고 촛불국민과 함께 하십시오,20210105
<b>이낙연</b> 낙연아..낙연아..이가 낙연아 니가 뭔데 <b>사면</b>을 들먹이노? 들먹이길.. 그냥 조용히 사발면 이나 들이키지.. 전두환이 큰소리 떵떵 치는거 보고도.. 또 <b>사면</b>을 내세우나? 그라믄 안돼제.. 니가 그러니..... ,20210103
#<b>이낙연사면</b> #박근혜이명박사면 대통령의 의사는 무시한채 사면을 건의하겠다는 발언에서 그의 저의가... 때 이낙연 대표의 사면 발언은 국민여론에 반하는 결코 용납될 수 없는 비합리적 반국민적 주장이라... ,20210103
"보수진영의 균열양상까지 초래한 사면건의. 이낙연 &quot;적절한 시기에 두 전직 대통령 사면 건의하겠다... 정리하면, <b>이낙연 사면</b> 발언의 고갱이 - 정국 주도 교두보 확보 - 이슈 선점 - 대통령의 정치적 부담 완화 1.... ",20210101
1%…'사면' 논란 하락 부추겨[리얼미터] [기자칼럼] <b>이낙연 사면</b> '논란' 민주당 비대위 체제 시급하다 [기자수첩]사면 카드 꺼냈다가 역풍 맞는 이낙연 현정부에서 사면 '반대' 54% vs. '찬성' 37%[한국갤럽] 사면 국민... ,20210118
포스팅으로서 나눠보도록 하겠다 #이낙연 #이낙연당대표 #이낙연대표 #이낙연총리 #이낙연총리시절 #<b>이낙연사면</b> #사면 #이낙연박근혜 #이낙연이명박 #이낙연국회의원 #이낙연관련주 #남선알미늄 #삼부토건 #이월드,20210102
벽두 &quot;<b>이낙연</b> 이명박근혜 <b>사면</b> 건의&quot; 라는 제목으로 기사화. 결국은 기레기 장난에 또 수 많은 시민들이 발끈 함. 덧: 기레기 발 뉴스는 한 템포 쉬고 팩트 확인 후 비판해도 늦지 않음. ■ 이런 글이 퍼지고 있다고... ,20210101
이런 <b>이낙연</b> 대표의 이 <b>사면</b> 제안은 바로 <b>이낙연</b> 성토로 이어졌다. 대통령과 일부 교감이 있었지 않았겠느냐며 일부 두둔의 목소리도 있었지만 대부분은 커다란 실망감을 느끼게 되었다. 심지어 당장 당대표... ,20210105
