text,created_at
<b>아들</b>의 증여세 탈루 의혹편집 <b>이낙연</b>의 <b>아들</b>이 1000만원이 넘는 증여세를 내지 않았다는 의혹도 제기됐다. <b>이낙연</b>의 <b>아들</b>은 2013년 강남구 청담 삼익아파트의 전세를 얻는 과정에서 최소한 1억2200만원을... ,20210305
"추미애, 영혼 없는 사과→ <b>아들</b>, 검찰 출석→ <b>이낙연</b> &quot;정쟁 자제&quot; 촉구… 이러니 &quot;짜고 친다&quot; 소리 오승영 기자 입력 2020-09-14 14:56 <b>이낙연</b>, 침묵 깨고 '추미애 지키기' 합류… 野 &quot;수사 가이드라인 제시&quot; 비판 청와대... ",20200914
"<b>이낙연 아들</b>, 고려대 출신에 부산의전원 졸업. 모 의대 교수라? 조국 딸과 출신 대학에서부터 부산의전원까지 코스가 똑 같네. 이런 <b>이낙연 아들</b>이 모 유튜브 채널에 나와 &quot;코로나는 코로 나온다&quot;라는 등... ",20200304
동의했던 이낙연 후보는 아들의 속도위반에 대해선 어떤 견해를 갖고 있을까. 글=조성호 월간조선 기자 http://monthly.chosun.com/client/mdaily/daily_view.asp?idx=9192&amp;Newsnumb=2020049192&amp;spi_ref=m_search_twitter <b>이낙연 아들</b>... ,20200405
"그는 &quot;대구를 비롯한 전 국민이 코로나로 말로 표현 못 할 고통 속에 살지만, <b>이낙연</b> 후보의 <b>아들</b>에게 코로나는 우스개 개그 소재에 불과했다&quot;&quot;대한민국을 책임지고 이끌었던 전 총리의 의사 <b>아들</b>이 공개 유튜브... ",20200304
"[아래 클릭 후 기사 더 보기] #코로나19 #중국 #바이러스 #감염증 #<b>이낙연</b> #<b>아들</b> #유튜브 #막말 #논란 &quot;코로나는 코로 나온다&quot; <b>이낙연 아들</b>은 초등생? 중학생인가? 물론, 급격한 사태 이전에 방송했다 쳐도..... ",20200304
"이에 대해 김현아 통합당 원내대변인은 지난 4일 논평을 통해 &quot;전 국민이 코로나로 말로 표현 못 할 고통 속에 살지만, <b>이낙연</b> 후보의 <b>아들</b>에게 코로나는 우스개 개그 소재에 불과했다&quot;며 &quot;대한민국을 책임지고... ",20200305
"<b>이낙연 아들</b>? 도대체 뭐라고 했길래?? 미래통합당이 이낙연 더불어민주당 공동 상임선대위원장, 전총리 이낙연의 아들인 정신의학과... ",20200304
1년 전 오늘 <b>이낙연 아들</b> &quot;코로나는 코로 나온다&quot; 발언 논란 통합당 &quot;전국민 고통이 우스개 소재냐&quot;… 이*연 측 &quot;정쟁은 나중에&quot; 2020.03.04 18:02:22 #이낙연 더불어민주당 공동 상임선대위원장의 아들이자... ,20210314
"의사 <b>이낙연 아들</b> 코로나19 나이 대학교 부산대 의전원 <b>이낙연 아들</b> 유튜브 출연(좌) / 이낙연 가족 사진 (우) 이낙연 전 국무총리의 아들이 신종 코로나바이러스 감염증(코로나19, 우한폐렴) 관련해 했던 농담에... ",20200304
김현아 미래통합당 원내대변인은 이날 논평에서 &quot;이낙연 후보의 아들에게 코로나는 그냥 우스개 개그... 한림대에서 의학 박사 학위를 받았다. 조현병·우울증 등이 진료분야다. #<b>이낙연아들</b> #코로나는코로나온다,20200304
"그런데 아이러니하게도 <b>이낙연</b>의 <b>아들</b>인 이동한도 조민씨와 비슷한 고려대 생명환경과학부 출신에 부산대의전원에 입학한 것이다. 이동한씨에게 어떤 부정이 밝혀진것은 없지만, 공교롭게도 같은 코스를... ",20200301
이낙연 전 총리 (사진 = 연합뉴스) 코로나는 코로나 온 대 : 이낙연의 아들이 의학전문기자 홍혜걸 씨가 운영하는 채널에 출연해서 한 말이... <b>이낙연 아들</b>이 유튜브 방송에 출연해 한 발언이 논란이 되면서... ,20200304
"해당 발언이 <b>이낙연</b> 후보의 <b>아들</b>에게 코로나는 단지 개그소재일 뿐이 아니냐는 비판이 쏟아지자 4일, 사과의 뜻을 전했다. 이씨는 이날 이 전 총리 측을 통해 전달한 입장문에서 &quot;의사로도 부족했고 국민의... ",20200305
"사진=연합뉴스 &quot;청년문제 대응기구 준비…택배노동자 헤아리지 못해 송구&quot; [일간투데이 신형수 기자] <b>이낙연</b> 더불어민주당 대표는 18일 추미애 법무부 장관의 <b>아들</b> 의혹과 관련, 자당 의원들에게 &quot;사실관계를... ",20200918
"&quot;n번방 연루, <b>이낙연 아들</b> 아니다&quot;라고 보도. 미래통합당 이진복은 &quot;n번방 여당 인사 연루설에 관해 구체적으로 들었다&quot;고 밝혀. 과연 어디까지 연관이 돼 있을까? 궁금하다. 빨리 밝혀라. 총선도 며칠 남지... ",20200410
"오전엔 n풍 불지핀 통합당 &quot;n번방 연루, <b>이낙연 아들</b> 아니다&quot;[중앙일보] 입력 2020.04.10 17:58 수정 2020.04.10... 특히 &quot;(종로에 출마한) 이낙연 민주당 후보 아들이 연루돼 있냐는 질문을 많이 하던데, 명확하게... ",20200410
"<b>이낙연 아들</b> 이동한 코로나는 코로나온다 강남을지병원 의사 유튜브 실언 이낙연, 현재 민주당 코로나19재난대책안전위원장인데 아들은 실언 논란 2일엔 지상파 KBS 프로그램 나와 &quot;가짜 뉴스가 사회 통합에... ",20200304
"<b>이낙연 아들</b>이 아니라, 황교안 아들이 그랬으면? 지금 빨갱이새끼들은 지령을 받고 미친듯이 온갖 선동글을 나르고, 총기를 들고 일어났을 것이 자명하다. 마지막으로 <b>이낙연 아들</b>은 조민과 같은 고려대 - 부산대... ",20200303
#이낙연 #총리 #위장전입 #이낙연아내 #이낙연전남지사 #<b>이낙연아들</b> #군면재... 아래글 댓글 아들 군면재 '부실한 자식...' 위장전입 ' 아내 강남 학교 배정...' https://www.mk.co.kr/news... ,20190626
출처=논란이 되고있는 유튜브 캡처 <b>이낙연</b> 전 국무총리 <b>아들</b>은 서울의 한 대학병원 정신건강의학과 교수로 있으며 이모씨가 최근 유튜브 방송에서 “코로나는 코로 나온다”와 같은 발언을 해 논란이... ,20200304
1년 전 오늘 <b>이낙연</b> ‘의사’ <b>아들</b> “코로나는 코로 나온다” 발언 논란 파이낸셜뉴스 입력 : 2020.03.04 14:57 수정 : 2020.03.04 16:10“국민 아픔 헤아리는데 부족..사과드린다”[파이낸셜뉴스]서울의 한... ,20210314
