text,created_at
"'<b>지지율</b> 낮은 <b>이낙연</b>'은 여권의 입장에서 전혀 메리트가 없습니다. 문 정부 총리로서 존재감은 있었지만, 꼭 그가 아니더라도 여당 내에서 대안이 얼마든 있습니다. 당장 생각나는 사람으로는 정세균 국무총리... ",20200814
"'4차 재난지원금' 이견에 홍남기 면전에 &quot;정말 나쁜 사람&quot; 질타 이낙연 &quot;국민 고통 앞에 격노하지 않을 수 없었다&quot; 전문가 &quot;<b>이낙연</b>, <b>지지율</b> 급락세에 절박해진 것&quot; 더불어민주당 이낙연 대표가 4차 재난지원금을... ",20210226
https://m.blog.naver.com/cooljason92/222196656827 이재명 <b>지지율</b>의 의미는? 과거 <b>이낙연</b>에서 이재명으로 <b>지지율</b>이 변화하는 과정은 코로나 등으로 인한 행정력의 리더십이 많이 작용을 한 것으로 보입니다. 어려운... ,20210201
<b>이낙연 지지율</b> 관련주 테마주 삼부토건 주가 전망 삼부토건이 장 초반 급락 중입니다. 4일 오전 9시21분... 삼부토건은 지난 10월22일 이낙연 더불어민주당 대표의 동생인 이계연 전 삼환기업 대표를 사내이사로... ,20201204
"<b>지지율</b>은 취임 이후 줄곧 하락세를 면치 못했다. ‘어대낙’(어차피 대선 후보는 <b>이낙연</b>)으로 임기를 시작했으나 이 지사와 2강 구도를 형성했다가 결국 역전을 당했고, 윤 총장 변수에 휘청댔다.",20210228
14일 박근혜 전 대통령의 대법원 판결에 대한 정치권의 반응을 살펴보면 <b>이낙연</b> 대표는 더불어민주당과 문재인정부를 위해 자신의 <b>지지율</b>을 포기한 것이다. 지난 15일 한국갤럽 차기 지도자 선호도 조사... ,20210117
"1%포인트(95% 신뢰수준) - 응답률: 17%(총 통화 6,047명 중 1,001명 응답 완료) - 의뢰처: 한국갤럽 자체 조사 <b>이낙연</b> 더불어민주당 대표 11월 <b>지지율</b> : 19% <b>이낙연</b> 대표에게 큰 변수가 두 가지 있습니다. 바로 재보궐... ",20201113
논란으로 <b>지지율</b> 직격탄 공수처법·중대재해법 등 입법과 법관 탄핵 이끌며 리더십 재평가 개시... 더불어민주당 <b>이낙연</b> 대표가 5일 국회에서 열린 최고위원회의에서 생각에 잠겨 있다. 윤창원 기자... ,20210207
중인 <b>이낙연</b> 대표와 이재명 경기도지사의 <b>지지율</b> 격차는 크게 벌어지는 반면 범야권에선 인물난 속에 윤석열 검찰총장이 <b>지지율</b>을 지키고 있다 이익공유제와 전직 대통령 사면론 등을 제시하며 집권여당... ,20210114
윤석열 : 지지율 17% 상승 중 <b>이낙연</b> : <b>지지율</b> 21% 1.0% 하락 이재명 : 지지율 21% 0.1% 상승 안철수 : 지지율 4.9% 홍준표 : 지지율 4.7% 오세훈 : 지지율 3.6% 황교안 : 지지율 3.3% 추미애 : 지지율 3.1% 원희룡 : 지지율 3.... ,20201102
