text,created_at
"있으며, 이낙연 더불어민주당 대표의 동생 이계연씨를 대표이사로 영입한 것도 이 작업의 일환이라는... 투자에 주의하시기 바랍니다 #삼부토건 #주가조작 #<b>이낙연테마주</b> #정치인테마주 #기업사냥꾼 #라임펀드",20210209
"정치테마주스럽게 지연, 학연으로 묶여 있고 <b>이낙연 테마주</b>로서는 대장주 역할을 하고 있다. 그나마 엮어서 이낙연이랑 관련이 있다고 하면 ① 남선알미늄의 모회사인 SM그룹의 회장이 호남출신이라는 것 ②... ",20210316
"앞으로 관심을 가져볼만한 테마는 대선 1년정도 남았는데 정,치적 성향에 따라 기업들이 받는 영향도 상당히 크다보니 정치<b>테마주</b>도 좋을 듯 해요. 개인적인 생각에 가능성이 높아보이는 <b>이낙연</b> 및 이재명... ",20201221
이낙연 관련주 &amp; 테마주 최신버전 최근들어서 주식시장에서는 정치권 관련해서 종목들이 큰 이슈를... 받고있는 이낙연 국무총리 관련주 입니다. 현재 가장 최장수 국무총리 <b>이낙연 테마주</b>는 같다 붙히면... ,20191118
"쟤가 어떻게 저렇게?이런식으로요..ㅋㅋㅋ 당시 <b>이낙연 테마주</b>로 불리는 남선알미늄 열어보면 아무런 관계도 없는거죠 정말 그냥 테마주입니다. 이때차트를 보면, 일봉차트입니다. 하단 3000원이 였던... ",20210316
'비트코인 테마주'로는 많이 부족한 조건이지만 일단은 가상화폐 중개업 계열사가 있다는 사실이 더... 이낙연관련주? <b>이낙연 테마주</b>로 만들어준 권요룡 사외이사이다. 확인해보니 16회 사법고시가 아닌... ,20210220
이러한 가운데 금일 화제가 되고 있는 종목은 <b>이낙연 테마주</b>로 알려진 삼부토건으로 강세 흐름이... 사외이사와 이낙연 대표의 친분이 부각되면서 해당 테마주로 엮이게 되었습니다. 1988년 설립되어 2006년... ,20201209
이유로 <b>이낙연 테마주</b>로 분류돼 왔다. 그런데 이계연 고문은 이미 삼환기업 대표이사에서 사임했다. 따라서 현재는 전혀 관계가 없을 것으로 생각이 되는데 이번 대선 시즌에서도 이낙연 의원의 테마주로... ,20201223
"정치<b>테마주</b> <b>이낙연</b> 국회의원 지역구 후보자 관련 주 살펴보니 인맥주가 먼저 움직이고 정책주가 움직이더라고요~! 남선알미늄, 이월드 주가 바닥에서 엄청 상승해 주가 빠졌다고 따라가면 안될듯하네요.... ",20200412
"이유로 <b>이낙연 테마주</b>에 엮여있다. 게시글 작성일 현재 1주의 가격은 4,695원이며, 52주 최고가 7,980원... 회장과 이낙연이 광주제일고, 서울대 동문이라는 이유로 테마주에 엮여있다. 게시글 작성일 현재 1주의... ",20210102
삼부토건이 <b>테마주</b> 주가 조작설에 휘말렸다. 현재 삼부토건에서 주가 조작 세력에 의한 주가... <b>이낙연</b> 테마 종목 중 대장주로 <b>이낙연</b> 대표 동생 이계인씨의 삼환기업 대표로 재직 중인 점이 부각되었고... ,20210210
국무총리에서 대권주자로 <b>이낙연 테마주</b> 정리 야당쪽에서는 강력한 인물로 윤석열을 뽑았으니 이에... 이재명지사와 이낙연 국무총리가 크게 언급되었었는데요. 관련 테마주를 살펴보려고해요. 남화토건... ,20210316
"4일 나온 대권주자 선호도 여론조사 결과, 더불어민주당 이낙연 대표는 올해 들어 최저치를 기록했습니다. <b>이낙연 테마주</b> 외에도 정치테마주는 대권주자 선호도 조사 결과나 발언, 정치 이슈 등에 따라... ",20201204
보입니다 개인의 직업선택의 자유를 가지고 뭐라할 것은 아니기 때문에 문제삼을 것은 아니라고 생각합니다 투자에 참고하세요 #삼부토건 #정치인<b>테마주</b> # <b>이낙연</b>더불어민주당대표 #이계연이사 #우진 #코디엠,20201023
국내 주식시장에서 정치 테마주는 아주 중요한 테마로 자리 잡고 있습니다. 정치 관련 이슈가... 전해지자 <b>이낙연 테마주</b>로 강한 모습을 보이고 있습니다. 이낙연 관련주 중 대장주 모습을 보이기도... ,20200310
고등학교 동문) #서원 (사외이사가 이낙연 전 총리와 대학교 동문) #남선알미늄 (이낙연 전 총리의 동생이 계열사인 삼환기업의 고문) #이재명관련주 #이재명테마주 #이낙연관련주 #<b>이낙연테마주</b> #대선테마주,20200729
그런 의미로 <b>이낙연 테마주</b> 포스팅 시작합니다~! 이낙연 정치인분들이 바로 정치를 시작하는 경우는... 테마주 이유 이낙연 더불어민주당 대표의 동생인 이계연 씨가 대표이사로 있는 건설사이기 때문 2.... ,20210206
#<b>이낙연테마주</b> #이낙연관련주 #정치인테마주 이번 포스팅은 뉴스의 이슈가 되면 어김없이 등장하는 정치 관련주 중에서 2월 9일 '삼부토건 주가 조작설'로 주목된 <b>이낙연 테마주</b>에 대해서 알아보겠습니다. 출처... ,20210209
"[<b>이낙연 테마주</b>] 이낙연 관련주가 폭등한다! 지금 잡으면 내년 1월 1000% 폭등할 정책주 '이 종목'은? 최근 정치테마주를 주도하고 있는 종목들의 공통점은, 바로 '<b>이낙연 테마주</b>' 정치테마주에서 가장 먼저... ",20191114
잔망하면서 <b>이낙연 테마주</b>가 급상승 하면서 주목받고 있습니다 그럼 <b>이낙연 테마주</b> TOP5종목에 대해서... 밝혀지면서 이낙연 관련 테마주로 주목받는 회사입니다. 서원 (021050) 서원은 동합금 제조 및 판매를... ,20201230
"오늘은 정치<b>테마주</b> 중에 대선 관련주를 모아 정리해봤다. &lt;<b>이낙연</b> 관련주&gt; 여권 대권주자로서 큰 관심을 받고 있다. 전라남도지사, 국무총리, 국회의원 현재는 더불어 당대표이다. 삼부토건 남선알미늄... ",20210208
이낙연 관련주 테마주 무엇이 있을까? KBS 출구조사에 따르면 이낙연 후보가 53% 황교안 후보를 44.8%의... 출처: 연합뉴스 주식을 하시는 분들이라면 <b>이낙연 테마주</b>에 굉장히 관심이 많으실 텐데요. 이낙연... ,20200415
"오늘은 테마주 뜻과 정치 이재명 , 이낙연 대권주자 후보와 따라다니는 꼬리표 또 수식어 다양한... 그래서 정치 대권 테마주 두 개를 불러왔답니다. 이재명 테마주 중 하나인 동신건설과 에이텍 <b>이낙연 테마주</b>... ",20210207
DOUM <b>이낙연 테마주</b> 분석 곧 다가올 서울시장선거가 2021년 4월 7일에 예정되어 있습니다. 아마 많은... 이낙연 정치테마주 이외에 다른 후보자들의 정보가 필요하다면 도움 앱으로 이동하셔서 한눈에 정보를... ,20210204
<b>이낙연 테마주</b> 총리는 현재 올해 치르게 될 종로구 출마를 준비하고 있는 과정에 있습니다.... 그것도 테마주 중 최강이라는 대장주라 그 시세가 더욱 빠르게 솟구치는 경향이 있는데요. 그렇다면 이의... ,20200529
안녕하세요 삼부토건이 이낙연 더불어민주당 대표의 동생 이계연 씨를 경영진으로 영입하면서 급부상하고 있는 가운데 '<b>이낙연 테마주</b>'로 거론되던 남선알미늄과 온도 차를 보이고 있습니다. 삼부토건은... ,20201024
"<b>이낙연</b> 관련주 2, 삼부토건 주택 건축과 토목공사 등을 하는 기업이며 <b>이낙연</b> 정치<b>테마주</b>로 가장 유명할 것입니다. <b>이낙연</b> 국회의원 동생인 이계연 전 삼환기업 대표를 사장으로 영입했기 때문이죠. 최근 분기... ",20210303
오늘은 <b>이낙연 테마주</b>에 대해 알아보도록 하겠습니다. 이낙연은 우리나라 예비 대선주자 선호호 1위로 꼽히는 인물입니다. 아직 총선을 하지 않아서 국회의원 신분은 아니지만 평판이 좋아 선호도가 아주... ,20200223
https://blog.naver.com/ttudiuy/221888833814 위에 블로그에서 <b>이낙연 테마주</b>에 대해서 잘 설명해 놓았다. 차기 대통령은 90%의 (My 뇌 피셜) 확률로 이낙연 전 총리가 될 것이다. 현재 미통당에서 이낙연에 대적할... ,20200424
다시 테마주가 되는 경우가 종종 있다. SG&amp;G는 SG충방과 상관없는 기업으로 알고 있는데 SG충방이 상한가 치면 SG&amp;G도 함께 큰 반등을 기록한다. <b>이낙연 테마주</b> 특수건설 역시 테마 편입된 이력들이 보이며 또한... ,20200712
"이유로 '<b>이낙연 테마주</b>'로 분류돼 있습니다. (남선알미늄은 지난해 매출 3478억원, 영업이익 94억원을 기록) 또한 SM그룹 계열인 티케이 케미칼도 관련주로 꼽힙니다. 남선알미늄 네이버검색결과 정치인 테마주... ",20200528
"더불어민주당 이낙연 당 대표 취임 후 '매크로' 댓글부대 &quot;기승&quot; 〈삼부토건 주식의 폭등은 삼부토건을 지배하는 '휴림로봇'을 이른바 ‘<b>이낙연 테마주</b>’로 묶으면서 이뤄졌고, 그렇게 만든 주동세력이... ",20210112
"Part.ⅲ 코디엠 주가 변동성 코디엠 주가는 지속적으로 대선<b>테마주</b> , 정치<b>테마주</b> <b>이낙연</b> 관련주 등으로 분류되며 강세를 나타내는 모습이다 하지만 기업의 본질적 가치로 빠르게 회귀하는 모습을 종종보여준다.... ",20210120
많음 <b>이낙연</b> 대선 <b>테마주</b> +현재 더불어민주당의 당 대표+ 남선알미늄 - <b>이낙연</b> 남동생이 남선 알미늄 계열사 에서 고문을 지냄 SDN - <b>이낙연</b>의 고등학교인 광주 제일고 동문들이 이사로 재직 조국 대선 <b>테마주</b>... ,20200924
이낙연 의원 테마주로 분류되는 종목은 하락했는데요. 남선알미늄은 하락했는데요. 남선알미늄은... 이유로 <b>이낙연 테마주</b>로 불렸지만 이계연 씨는 지난해 삼환기업 대표이사직에서 사임했어요. 서연이라는... ,20200826
삼본전자가 <b>이낙연 테마주</b> 로 분류되고 있는 이유는 사외이사인 신언용이사가 이낙연총리와 서울대 동문이라는 점에서 테마주로 묶이고 있습니다. 이월드입니다. 이월드는 도심 속에 자리한 지역 밀착형... ,20190617
[4] 테마 양준철 이사가 이낙연 총리와 광주제일고 동문이라는 이유로 <b>이낙연 테마주</b>가 되었다고... 시총이 작아서 주가를 올리기 쉽기 때문에 테마주로 묶은 것으로 보인다. 그러나 테마주이더라도 이 정도... ,20200122
오늘은 총선 테마주에 대해 알아보고자 합니다. 총선이 불과 2개월도 남지 않은 시점이니만큼 유력... 오늘은 <b>이낙연 테마주</b>의 팬엔터테인먼트를 살펴보겠습니다. 1998년 4월 설립되어 방송영상물 제작... ,20200304
사외이사가 이낙연 전 국무총리와 서울대 법대 동문이여서 테마주로 언급되고 있습니다 남선알미늄은... 참고하세요 <b>이낙연테마주</b> 서연 이월드 부국철강 범양건영 국영지앤엠 남선알미늄 남선알미늄우선주... ,20200829
<b>이낙연 테마주</b> 이렇게 차트를 키웠습니다 급등주 선취매 전문가 무료카톡방 입장하기 코드 : 0857... 제가 <b>이낙연 테마주</b> 만만치가 않았 거든요. 아는 건 배웠다고 하더라고요 들어본 적이 없으니 분이 접하고... ,20200724
주연테크의 사외이사와 이낙연이 친분이 있다고 알려져 <b>이낙연 테마주</b>로 부각되었습니다. 이월드... 대표이사가 이낙연의 서울대 선배라는 소식에 테마주로 부각되었습니다. 동양물산(002900) 담배필터사업... ,20200716
"라임 사태로 수배 중인 기업사냥꾼 조씨가 실소유주 삼부토건이 ‘<b>테마주</b> 주가 조작설’에 휘말렸다. 현재 삼부토건에서 주가 조작 세력에 의한 주가 조작이 이뤄지고 있으며, <b>이낙연</b> 더불어민주당 대표의... ",20210222
"- 이낙연 관련주/테마주/수혜주 (남선알미늄, 이월드, 서원 등) - 더불어민주당 이낙연 코로나19... 회장이 이낙연 전총리와 광주제일고 동문이라는 이유로 <b>이낙연 테마주</b>로 분류됩니다 최근 당권 도전 이슈로... ",20200527
"이월드 <b>이낙연테마주</b>, 대선테마주 이월드 박성수 회장이 이낙연 총리와 광주제일고 동문 2019.11.15 이월드 일봉차트 #대선테마주 #<b>이낙연테마주</b> 2019.11.15 (D-DAY) 일봉상 저가 5,600원에 매수 목표수익 5... ",20191115
"오늘 약반등이 난 상태인데, 오늘 장마감후 이낙연의 종로 출마 선언으로 내일 일단 <b>이낙연 테마주</b>들... 특히나 노골적으로 이낙연과 테마주로 엮이기 시작한다면 총선까지 엄청난 변동성을 견뎌내면서... ",20191226
"정치<b>테마주</b> 정리 &lt;인맥주&gt; 1. 차기 대권후보 ▸<b>이낙연</b> - 삼부토건, 범양건영, 부국철강, 남화토건, 남화산업, 서원, 디와이, 휴림로봇, 남선알미늄, 남성, 이월드, 삼본전자, 주연테크, HSD엔진, 티케이케미칼, SDN... ",20210114
