text,created_at
"변절자 <b>이낙연</b>이는, 춘천에서 뿐만이 아니고 어디를 가나 푸대접을 받게 되여있다. 젊음을 다 보낸... 아는데, <b>이낙연</b>이는 간첩문재인의 가랭이 밑으로 들어가 심복이 되겠다고 발에 땀이 나도록 뛰어 왔지만... ",20210306
안녕하세요 더불어민주당 <b>이낙연</b> 대표가 5일 강원 춘천시 방문 도중 갑자기 날아든 날계란에 얼굴을... 겁니다 <b>이낙연</b> 대표가 보여준 인내심과 인격은 하루 아침에 만들어진 것이 아닐텐데 정치인이라면 당연히... ,20210306
참석한다던 <b>이낙연</b> 불참 선회 ‘기본소득’ 등재 시의원·시민단체 인사 “이재명 외곽조직으로 본격... 경기도지사와 <b>이낙연</b> 당대표와 연관된 두 행사가 2일과 3일 잇따라 세종시에서 열린다. 이 중 첫 번째... ,20210303
후보인 <b>이낙연</b> 전 대표에 대한 이야기와 <b>이낙연</b> 관련주를 정리해 보려고 한다 금일 <b>이낙연</b> 대표가 사임했다 더불어민주당 당대표직을 내려 놓은 것 인데 대선을 준비하는 액션으로 보는 것이 정설이다... ,20210309
현재 <b>이낙연</b>민주당 대표와 정세균총리가 다시 광주를 찾는 등 호남 표심을 잡기 위한 더불어민주당 측들의 발걸음이 늘고 있다. 오늘은 정치테마주 중에 대선 관련주를 모아 정리해봤다. &lt;<b>이낙연</b> 관련주&gt; 여권... ,20210208
"지난 15일 윤석열 전 검찰총장이 이재명 경기도지사와 <b>이낙연</b> 더불어민주당 상임선거대책위원장을... 이미지 확대▲ <b>이낙연</b> 더불어민주당 상임선거대책위원장,이재명 경기도지사, 윤석열 전 검찰총장[사진... ",20210318
<b>이낙연</b>대선후보가 6개월1주일동안 여당대표를 역임한후 9일 퇴진했다. 그는 무슨 업적을 남겼을까?... 나는 이런 문제들보다 <b>이낙연</b>대표가 국회에서 180석을 무기로 엄청나게 통과시킨 법률들에 더 주목하고... ,20210306
© 제공: 서울신문 더불어민주당 <b>이낙연</b> 대표가 24일 오후 국회에서 열린 화상 의원총회에서... 민주당 <b>이낙연</b> 대표는 24일 최고위원회의에서 “진상규명TF(태스크포스)를 구성하고 개별 정보공개 청구와... ,20210225
정초부터 끔찍한 소리를 민주당 <b>이낙연</b> 대표의 입으로 듣게 됐는데 정말 화나고 통탄스러워요 저와 같은 생각을 하는 분들이 많을 것 같습니다 많이들 아시겠지만 민주당 <b>이낙연</b> 대표가 직접 이명박 박근혜 전직... ,20210105
"#인물리뷰 #<b>이낙연</b> #자가당착 박정희를 존경하고, 전두환을 찬양하고, 이명박과 박근혜를 사면해주자고... 결론은 “깜이 아니다.” <b>이낙연</b>은 민주당의 정체성과 괴리가 심하다. 문재인 대통령 덕에 최장수... ",20210301
사진에 함께 올린 &lt;이타주의자의 은밀한 뇌구조&gt;는 언젠가 <b>이낙연</b>이 총리시절 휴가 중 읽을 책으로... 이 책을 읽고나서 <b>이낙연</b>은 결국 진보의 의지를 꺾고 고결한 인간을 경멸하고 말았을 것이다. 버티고... ,20210309
"경기지사와 <b>이낙연</b> 전 더불어민주당 대표를 오차범위 밖으로 밀어내고 앞섰다는 여론조사 결과가 나왔다. 윤석열(왼쪽부터) 전 검찰총장,이재명 경기지사,<b>이낙연</b> 전 더불어민주당 대표/조선일보DB... ",20210315
"민주당 대권주자 적합도는 34%를 얻은 이재명 경기지사가 17%에 그친 <b>이낙연</b> 대표를 2배가량 앞서며 선두를 이어갔다. 민주당 지지층에서도 '이재명(46%) vs <b>이낙연</b>(31%)'로, 이 지사가 15%p 우위를 보였다.... ",20210303
"있으며, <b>이낙연</b> 더불어민주당 대표의 동생 이계연씨를 대표이사로 영입한 것도 이 작업의 일환이라는... 삼부토건 주가는 10월22일 <b>이낙연</b> 더불어민주당 대표의 동생 이계연씨가 대표이사에 취임한다는... ",20210209
&lt;윤칼세의 난타방송&gt; 임성근 탄핵의 두 주역—<b>이낙연</b>과 김명수 # 우리가 놓치고 있는 것은 <b>이낙연</b>이 더불어민주당으로 하여금 부장판사 임성근에 대한 탄핵을 하도록 허용한 사실을 간단히 넘어가고 있는... ,20210215
"<b>이낙연</b> 더불어민주당 대표 계속 차기 대통령 여론조사에서 밀리고 있는데요, 승부수를 던지는 것일까요? 바로 4차 재난지원금을 검토하고 있다는 소식입니다. 더불어민주당 <b>이낙연</b> 대표 코로나19 지원과... ",20210203
"<b>이낙연</b> 더불어민주당 대표가 민생탐방차 강원 춘천시를 방문했다가 '달걀 테러'를 당했다는 소식이 전해졌습니다 연합뉴스 <b>이낙연</b> 대표는 5일 오후 4시29분쯤 춘천시 중앙로 중앙시장에 들어선 순간, 기다리던... ",20210305
(출처:한겨레) <b>이낙연</b> 대권론..... 글쎄요..... <b>이낙연</b> 더불어민주당 당대표가 대표직을 사임했다. 대선 1년여를 앞두고 본격적인 대권 레이스에 집중하기 위해서이다. 그러나 이미 무너져... ,20210308
방문한 <b>이낙연</b> 더불어민주당 상임선대위원장에게 지역 현안인 주한미군공여지 조기반환과 철저한... 김민철 의원은 13일 재보궐선거을 앞두고 인접지역 독려 차원에서 의정부와 구리시를 찾은 <b>이낙연</b>... ,20210314
"<b>이낙연</b>, 4차 재난지원금 공식화…“北 원전 문건 거짓 주장 책임져야” ○ 더불어민주당 <b>이낙연</b> 대표가 교섭단체 대표연설에서 4차 재난지원금 지급을 공식화해. ○ 포스트코로나 시대에 대비한... ",20210203
ⓒ 권우성 #이재명 #경기도지사가 6일 자신의 핵심 정책인 #기본소득에 대해 부정적 견해를 밝힌 #<b>이낙연</b> #더불어민주당 대표를 겨냥해 &quot;사대적 #열패의식을 버려야 한다&quot;고 지적했다. 앞서 <b>이낙연</b> 대표는 지난... ,20210208
"44%,<b>이낙연</b> 39% 입력2021.03.18 14:30 한국리서치 등 4개 여론조사기관 조사 윤석열 3개월 전보다 9%p 상승… 이재명은 동률 후보 적합도, 이재명 25%, 윤석열 23%, <b>이낙연</b> 10% 왼쪽부터 이재명 경기지사... ",20210318
9일 <b>이낙연</b> 대표가 당 대표직을 마감하며 '<b>이낙연</b>의 신복지'의 첫번째 정책으로 &lt;돌봄국가책임제&gt;를 제시했습니다. 저는 강연이 끝날때까지 자리를 지키며 코로나 이후 국민의 삶을 보호하기 위한 대표의... ,20210310
"차기 대권 지지도..윤석열 32.4% 이재명 24.1% <b>이낙연</b> 14.9% 서울=뉴스1) 김민성 기자 = 윤석열 전... 이재명 경기지사는 24.1%로 2위를 기록했고 <b>이낙연</b> 더불어민주당 대표는 14.9%, 무소속의 홍준표 의원 7.6... ",20210308
더불어민주당 <b>이낙연</b> 대표가 5일 춘천 중앙시장을 방문했다가 갑자기 날아든 날달걀에 얼굴을 맞았습니다. 이날 ITX 청춘열차를 타고 민생탐방을 위해 춘천에 온 <b>이낙연</b> 대표는 춘천시 식품산업 청년창업자... ,20210306
더불어민주당 <b>이낙연</b> 상임선대위원장은 14일 페이스북에 “추미애 전 법무부 장관이 (재직 시절) 부동산 범죄를 수사하라고 검찰에 지시했지만 검찰은 아무것도 하지 않았다”고 쓰며 검찰에 화살을 돌렸다.... ,20210315
'민주당 대표 비서실 부실장 변사사건' 이게 <b>이낙연</b> 대표의 최측근이 극단적인 선택을 한 사건의... 게다가 전라도지역에서 '금품'을 받았다하는데 <b>이낙연</b>대표쪽에서는 '잘아는 회사쪽에서 월급'을 받았다고... ,20201206
<b>이낙연</b> 더불어민주당 대표가 평균 연령 10세 어린이 MC들의 순수하고 동심 가득한 질문 세례에 진땀을 뺐다. ◆ <b>이낙연</b> 프로필 대한민국 제45대 국무총리 제4대 더불어민주당 대표 출생 1952년 12월 20일 (나이... ,20210306
완성차 3사 지부장들은 국회 앞에서 기자회견 이후 여당 <b>이낙연</b> 대표를 만나 정년연장 입법 당위성을 설명한다는 계획이다. 알려진 바에 따르면 이들이 요구하는 것은 ▲국민연금과 연계한 정년연장 입법화... ,20210302
"<b>이낙연</b>....새로운 인물 등장 가능성? 윤석열 전 검찰총장은 아직 정치입문도 하지 않았으니 무리가 있는 추측에 불과한 진단처럼 보인다. 이재명 지사는 가족간의 불화설의 약점이 있고, <b>이낙연</b>... ",20210309
가운데 <b>이낙연</b> 더불어민주당 대표가 4차 재난지원금에 대한 발언을 했다고 하는데요. 지원 대상·규모 등 4차 긴급재난 지원금과 관련해 꽤 놀랄만한 변화가 있을 것이다. <b>이낙연</b> 더불어민주당 대표 <b>이낙연</b>... ,20210228
"이재명 27%, <b>이낙연</b> 15% 尹, 李와 '2강' 구도... 양자대결서도 윤 총장 42% &gt; 이 지사 39.5% 앞서 윤석열... <b>이낙연</b> 더불어민주당 대표는 14.8%로 그 뒤를 이었다. 최근 추미애 전 법무부 장관의 퇴임 이후 윤 총장... ",20210206
"1%, 민주당 <b>이낙연</b> 대표는 14.9%를 기록했습니다. 이어 홍준표 무소속 의원은 7.6%, 정세균 국무총리는 2.... 학생층에서, <b>이낙연</b> 대표는 광주·전라에서 많은 지지를 받았습니다. 이번 조사는 휴대전화... ",20210308
