text,created_at
"<b>이재명</b> 도지사의 고향인 안동에 위치하고 있어 <b>관련주</b>로 분류가 되는 것 같음. 주가가 엄청 올랐다가 12월 24일에 급락을 했다고 함.. 5) 오리엔트바이오 '실험동물의 생산, 수출, 수입 및 생명과학 <b>관련</b>... ",20210131
"<b>이재명 관련주</b> - 차기 대선 후보 정치 테마주 대선이 1년이 채 안 남은 지금, 선거판이 요동치고... 있는 이재명 경기도 지사와 관련된 관련주를 살펴보도록 하겠습니다. * 주의! 정치테마주 투자는 조심하여... ",20210307
오늘은 몇 일전 재판 생중계까지 이어진 이재명 경기도지사 관련주에 대해서 알아보고 대장주로서... 미국도 마찬가지로 조 바이든 관련주가 있듯이 우리나라에도 <b>이재명 관련주</b>가 있습니다. 이렇게 4월... ,20200721
오늘은 정치테마주 중에 대선 관련주를 모아 정리해봤다. &lt;이낙연 관련주&gt; 여권 대권주자로서 큰... 고려시멘트 &lt;<b>이재명 관련주</b>&gt; 근래에 경기도민에게 10만원씩 2차 재난지원금을 지급할거라 공표하였다 에이텍... ,20210208
인터지스 인터지스는 이재명 지사와 사법연수원 동기라는 점이 관련주로 편입을 하게 했는데 차트가 그렇게 좋아보이지는 않ㅅ흡니다 물론 장중 시세는 많이 줬습니다. 오늘 <b>이재명 관련주</b>는 거의 대부분 최대... ,20200708
오늘은 평소 관심있게 보는 정치인 중 한명인 이재명 경기도지사와 관련된 테마주들이 있다고 해서... 인사가 이재명 경기도지사거든요 ㅋㅋ 암튼 오늘 포스팅할 <b>이재명 관련주</b>를 조사하다보니 회사의... ,20210311
윤석열 관련주 포스팅을 했는데요. 오늘은 이어서 강력한 라이벌로 꼽히는 <b>이재명 관련주</b> 정리해봤습니다:) 어제 9일 여론조사 엠브레인퍼블릭에서 발표한 설문조사로는 이재명 지사가 윤석열 전... ,20210310
무상교복이라는 정책과 맞물려 이재명 도지사가 성남시장 시절부터 관심 받는 <b>이재명 관련주</b> 기업으로... 사업적 관련성은 없다고 밝혔습니다. 4. 토탈소프트 대표이사 최장수씨가 이재명도지사와 중앙대... ,20201216
개미 동지 여러분 어서오시고~~ 요새 이재명 경기도지사가 대선주자중 여론조사 1위를 달리고 있지... 소개할 <b>이재명 관련주</b>도 마찬가지지만 정치 테마주라는게 참 어처구니없는 것들을 끼워 맞춰다가 관련주라... ,20210303
"오늘은 공부할겸 가지고 온 #<b>이재명관련주</b> 즉 완전 테마주관련 내용을 가지고 와봤다 쫄보이면서 잘... 같은 관련주들은 이재명 경기지사가 사람들에게 어떤 반응을 얻어내고, 그가 어떤 행동을 하냐에따라... ",20210208
금일 쿠팡 관련주들이 상한가를 많이 갔는데 이스타코는 <b>이재명 관련주</b>(장기공공주택뉴스)로... 동사의 주 업종은 부동산매매업으로 중소기업기본법 시행령 제3조 1호에서 부동산업 및 임대업종으로... ,20210217
"<b>이재명 관련주</b> 정리_ 오리엔트바이오, 에이텍, 형지엘리트, 동신건설, 주가 전망 안녕하세요. 쉽게... 사업적 관련성은 없다고 공시한 바 있습니다. 관련주 2 # 동신건설 이재명 지사의 고향에 있다는 이유로... ",20210310
SG&amp;G 유시민 관련주에서 최근 <b>이재명 관련주</b>로 체인지 SG충방 이하동문 동신건설 지엘팜텍 형지I&amp;C 이재명이 무상교복에 대한 언급 때문에 형제 시리즈가 <b>이재명 관련주</b>로 엮였죠. 형지엘리트 이하동문 하츠... ,20210114
이재명 신년토론 출연.. 각종여론조사 1위..당연히 관련주식들이 요동을 치는데요 오늘은 한번 <b>이재명관련주</b>를 스터디해봅니다. 어느 주를 사야할까요? 귀신도 모른답니다. 하지만 분명..당선 가능성만 더... ,20210105
안녕하세요 차기 대통령 선호도에서 <b>이재명</b> 경기도지사가 더불어민주당 이낙연 대표와 윤석열 검찰총장에 모두 두 배 이상 격차로 앞선다는 여론조사 결과가 13일 나왔는데 <b>이재명</b> 경기지사의 상승세가... ,20210214
"<b>이재명 관련주</b> : 동신건설, 형지엘리트 동신건설은 회사 본사가 이재명 경기도지사의 고향인 경북 안동에 위치하고 있어서 그런 관련성으로 관련주로 부각되었습니다. 재판 3일전부터 급상승하기 시작한 주가가... ",20200817
요즘 시장에서 가장 관심을 받는 종목은 <b>이재명 관련주</b>인듯합니다. 물론 대형주의 주가도 좋지만... 많은데 관련주가 아니라는 뉴스가 나오면 주가가 요동을 치기도 합니다. 글로벌에스엠도 이재명과 관련이... ,20210119
"이낙연 이재명 본인 뿐만 아니라 그들과 관련 된 사람들의 소식에 따라 주가가 철렁이고, 뉴스에 뜨기도 함. 저번 포스팅에선 이낙연 관련주를 살펴봤으니 오늘은 <b>이재명 관련주</b>를 살펴보자. 이재명... ",20201022
"수산아이앤티는 보안관련 솔루션을 개발 및 공급하는 IT회사 입니다. 정치 관련주에 관심이 많으신분들은 당연히 아시겠지만, 수산아이앤티는 대표적인 <b>이재명 관련주</b> 라고 알려진 회사 입니다. 오늘의... ",20210312
출처 : 문화뉴스(http://www.mhns.co.kr) 이미 윤석열 전 검찰총장 관련주는 한차례 폭등을 보여주었죠?... 부동산 관련 <b>이재명 관련주</b>로 분류된다. ▣ 성안 011300 박상완 부사장이 이재명 지사 동문으로. 이재명... ,20210309
오늘은 <b>이재명 관련주</b>에 대해 분석할게요 먼저 이재명 지사님의 프로필부터 볼게요 현재 경기도... html 그럼 <b>이재명 관련주</b>에 대해 알아볼게요 (최근 관련주가 급등한 경우가 많으니 투자에 주의 각별... ,20210301
경제관련 코멘트를 항상 체크하고 있어야 합니다. 정치 관련주는 5년에 한번씩 시장에서 가장 큰... 있는 이재명 경기도지사 관련주를 알아봅시다. [ <b>이재명 관련주</b> ] 동신건설 수산아이앤티 에이텍... ,20210310
이재명에 관해 부정적일수 있습니다.지지자는 조용히 닫기를 해주세요 2021년 2월 2일 기준 이재명이가... 파급력도 좋고요 동신건설은 이 지사의 고향인 경북 안동에 본사가 있다는 이유로 <b>이재명 관련주</b>로... ,20210202
"전국 도급 순위 300위의 기업으로서 주 원료는 목재, 철근, 시멘트 등 입니다. 본사가 이재명... 때문에 이재명의 정책과 관련하여 <b>이재명 관련주</b> 로 묶이고 있습니다. 이상으로 <b>이재명 관련주</b> 에 대해서... ",20210115
- <b>이재명 관련주</b>로 분류된 이유 : 무상교복과 관련된 회사이며 이재명이 경기도를 중심으로 무상교복... 성남시장이었던 이재명 지사여서 관련주로 불리고 있다. [현재까지 <b>이재명 관련주</b>로 언급되는 종목]... ,20210310
"무엇보다 무상교복이라는 정책과 맞물려 이재명 도지사가 성남시장 시절 관심 받는 <b>이재명 관련주</b>라 분류되고 있는 중이기도 합니다. 세 번째, 동신건설입니다. 국내 토목과 건설업을 영위하고 있는... ",20210106
"<b>이재명</b> 지사와 중앙대 동문 슈프리마에이치큐 서버 및 스토리지 시스템 구축, 제조 등 IT <b>관련</b> 제조, 유통 대표이사가 성남창조 경영 CEO 포럼 부의장이었고 당시 의장이 성남시장이었던 이 지사여서 <b>관련주</b>... ",20210310
"개인적인 생각에 가능성이 높아보이는 이낙연 및 이재명 관련 기업을 알아볼게요. 참고로 말도 안되는... <b>이재명 관련주</b>는? 에이텍, 에이텍티엔, 형지엘리트, 동신건설, 오리엔트바이오, 토탈소프트 등 역시... ",20201221
돌아올 수 있어 주의해야 합니다 투자에 참고하세요 #<b>이재명관련주</b> #정치인테마주 #이재명경기도지사 #대선테마주 #신라에스지 #수산아이앤티 #토탈소프트 #형지엘리트 #에이텍 #동신건설 #성안 #비비안,20210127
급상승테마에는 <b>이재명 관련주</b>가 2위로 올라섰습니다. 그럼 이재명 테마 관련주는 무엇이 있는지... 7월 (주)에이텍(존속법인)의 교통카드 솔루션 사업 부문이 인적분할되어 설립되었습니다. 에이텍과... ,20201209
"동신건설 <b>이재명</b> 도지사 고향인 안동에 소재 출처: 전자공시다트 주로 관급 공사를 다수 해왔으며 건축, 토목 등 건설<b>관련</b>한 사업을 영위하는 기업입니다 출처: 전자공시다트 9월말기준 유통주식수를 보면... ",20201225
<b>이재명 관련주</b>로 주목을 받게 되는 부분은 바로 이재명 현경기도지사가 이전에 해당 기업에 근무를 했다는점에서 주목을 할 수 있는 요소로 손꼽아볼 수 있습니다. 기본적으로 정치와 관련된 주가들의... ,20201229
<b>관련주</b>로 시장에서 부각되며 급등 자안(221610) : MP한강 지분 양수 결정에 따른 최대주주 등극 예정에 급등 에이텍티앤(224110) : 대통령 선거 후보별 당선 가능성 예측 조사 1위 소식에 정치/인맥(<b>이재명</b>)... ,20210309
<b>이재명 관련주</b># 윤석열 관련주# 이낙연 관련주# 차기대선 관련주# 이재명 지지율# 윤석열 전 총장이... 사업적으로는 이재명 경기도 지사와 아무런 관련이 없습니다. 정치인 테마주답게 인맥에서 비롯된 관련주... ,20210311
"<b>이재명 관련주</b> 이재명 지사를 옥죄고 있던 사안에 대해서 최종 판결이 나오므로써 이낙연 지사의... 친환경 관련 테마들이 있는데, 친환경은 글로벌 테마이기 때문에 이낙연 관련주는 아닐 걸로 생각해서... ",20201017
"이재명과 관련성은? (<b>이재명 관련주</b>) 오리엔트바이오는 한때 이재명이 오리엔트정공에서 일을 했던... 관련성이 없다고 공시한 바 있습니다. 주주 및 지분구조는? 주주 및 지분구조를 확인해보면, (주)... ",20210309
관련 종목들이 최근 거래량이 들어오면서 반등 나왔고 앞으로도 추가 상승이 기대 되며 하락장에서도... 점에 수혜를 받고 있습니다. #이재명 #엠라이브 #MLIVE #<b>이재명관련주</b> #이재명테마 #대선주 #대선관련주,20210312
"VS 이재명 지지율 싸움이 상당할 것이고 그것을 기대하며 <b>이재명 관련주</b>를 알아보자! 1.에이텍... 동신건설: 건설주, 본사 안동에 위치, 이재명 고향 안동 4.수산아이엔티: sw관련주, 임원 18년... ",20210308
"<b>이재명 관련주</b> 에이텍, 토탈소프트, 프리엠스, 비비안 에이텍티엔, 동신건설, 형지엘리트는 전... 매매하시는게 좋지 않을까 싶네요. <b>이재명 관련주</b>로 에이텍, 토탈소프트, 프리엠스, 비비안을 알아봤습니다. ^^",20210104
어제 이재명 경기도지사의 대법원 선고가 있던 날이었어요! 친형 강제입원 관련 허위사실 유포에 대한... 회장과 이재명 경기도지사가 중앙대 동문이라서 <b>이재명 관련주</b>라고 하네요. 동문이라서 관련주?!... ,20200717
"#<b>이재명관련주</b> 이재명 경기도지사가 기본소득과 기본주택, 기본대출 등 경제기본권 확보를 통한... 맞물려 이재명 도지사가 성남시장 시절 관심을 받던 종목이라 관련주로 분류되고 있습니다 #동신건설 국내... ",20210119
내 줄 것이 아니라 공공이 보유하되 국민들이 평생 편히 살도록 기본주택 으로 공급해야 한다&quot;고 발표했는데요 장기공공주택 정책 <b>관련</b> <b>이재명</b> 경기도 지사와 연관이 있다며 <b>관련주</b>로 묶였습니다. <b>이재명</b>... ,20210304
