text,created_at
<b>이재명</b>의 신비로운 <b>기본소득</b> [중앙일보] 입력 2021.02.26 00:30 이현상 중앙일보 칼럼니스트 <b>기본소득</b>에는 마키아벨리 냄새가 난다. 오해 마시라. 욕이 아니다. 유럽의 <b>기본소득</b> 대표 이론가 필리프 판 파레이스가... ,20210226
"▲ ‘경기도 국회의원 초청 정책협의회’ 기념사진 ©경기인 [경기IN=오효석 기자] <b>이재명</b> 경기도지사가 <b>기본</b>주택과 <b>기본소득</b>, <b>기본</b>대출은 저성장 시대 경제의 선순환을 위한 경기도의 정책이라며 경기도... ",20210303
"<b>이재명</b> 재난<b>기본소득</b> 원만하게 추진할 것 <b>이재명</b> 경기도지사가 <b>기본소득</b>과 <b>기본</b>주택, <b>기본</b>대출 등 경제<b>기본</b>권 확보를 통한 경제정책에 집중하겠다며 더불어민주당 경기도당에 협조를 요청했다. 이 지사는 특히... ",20210119
"김병철 기자 ******@*****.**.** 입력 :2020-11-10 11:57ㅣ 수정 : 2020-11-10 11:59 <b>이재명</b>, &quot;<b>기본소득</b>은 경제정책, 소액으로 모두 지급해야&quot; 김종인·안철수 기본소득 도입논의 환영 청년계층이나 취약계층으로 대상을... ",20201110
http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002683950&amp;CMPT_CD=P0010&amp;utm_source=naver&amp;utm_medium=newsearch&amp;utm_campaign=naver_news 지지율 30% 돌파 <b>이재명</b>…‘<b>기본소득</b>’ 등 정책 승부수 주효 이재명의 대선 승부수인... ,20210204
"<b>이재명</b> 경기도지사는 2차 경기도 재난<b>기본소득</b> 지급 관련 도민 보고를 통해서, 모든 경기도 도민에게 1인당 10만원씩 2차 재난<b>기본소득</b>을 지급하기로 했다고 합니다. 단, 더불어민주당이 지급시기를... ",20210120
6/500 한국 차기 대선유력후보 <b>이재명</b>-<b>기본소득</b>..국제사회 공권력 박원순 서을시장이 안타깝게 가지 않았다면 지금같은 글을 쓰지 않았겠지만 어수선한 시국이라.... 이재명 경기도 지사는 기본소득에 대한... ,20200824
- <b>이재명</b> 신규 정책주로 지역화폐/<b>기본소득</b>이 편입될 수 있는데 현재 흐름만 보면 전혀 관심을 받지 못하고 있다. <b>이재명</b> 정책주로 #코나아이 가 반응할 수는 있는데 최근 부산 지역화폐 운영사 관련 이슈로... ,20210210
앞서 경기도는 지난 19일 ‘재난<b>기본소득</b> 관련 당 공식입장에 대한 <b>이재명</b> 지사 측 입장’이라는 공지를 통해 “당의 공식입장은 지자체의 자율권을 존중하되 방역상황을 충분히 고려해야 한다는 것이었고... ,20210120
"<b>이재명</b> 경기지사의 <b>기본소득</b> 전략이 이 노선이다. 닫히는 문에 발을 끼워 넣듯 일단 시작하면 돌이 킬 수 없을 것이라는 계산이다. 이 지사는 &quot; 단기 목표 연 50만원, 중기 목표 연 100만원, 장기 목표 연 200만... ",20210305
용기와 결단이라 생각 새해 들어 차기 대선주자 선호도 조사에서 <b>이재명</b> 경기도지사가 단연 앞서나가면서 이 지사에 대한 견제가 두드러지고 있다. 이낙연 더불어민주당 대표는 이 지사가 내세우는 <b>기본소득</b>에... ,20210222
28/뉴스1 © News1 박준배 기자(경기=뉴스1) 송용환 기자 = <b>이재명</b> 경기도지사의 대표정책인 ‘<b>기본소득</b>’이 차기 대선의 핫이슈로 떠오른 가운데 여야 거물급 인사들이 연이어 공세에 나서고 있다. 이낙연... ,20210222
"<b>이재명</b>, “<b>기본소득</b>은 좌우 이념접근보다 경제정책, 복지확대정책으로 봐야” ○ 8일 ‘2021 대한민국 기본소득박람회’ 성공적 개최 이끌 조직위원회 위촉식 열려 - 정계·학계·기본소득 및 마을활동가 등으로... ",20210308
"홍준표, <b>기본소득</b> 주장 <b>이재명</b>에 “양아치 같은 행동으로 주목 끌어”....국가지도자는 국민수준 <b>이재명</b>이 주장하는 “<b>기본소득</b>” 일 안해도 주는 돈, 평생 놀아도 보장되는 돈, 그 돈은 <b>이재명</b>이 집... ",20210227
"&quot;1인당 年 180만원 지급&quot;…<b>이재명</b>표 '농촌<b>기본소득</b>' 실험 입력2021.03.05 17:20 수정2021.03.06 01:43 지면A19 경기도, 조례 제정안 입법예고 1개面 4000여명에 5년간 하반기부터 월15만원씩 주기로 '농민<b>기본소득</b>'도 따로... ",20210306
<b>이재명</b> 재난지원금 2차 지급 결정 20일 경기도청에서 열린 '2차 경기도 재난<b>기본소득</b> 지급 관련 도민 보고'에서 <b>이재명</b> 경기도지사는 코로나19가 종식될 때까지는 경제적 어려움 역시 심화될 것 보건방역... ,20210120
<b>이재명</b> ‘재난<b>기본소득</b>’ 설 前 지급 회견 돌연 취소與핵심부와 이견 부담 느낀듯이슬비 기자입력 2021.01.18 03:00 더불어민주당 소속 <b>이재명</b> 경기지사가 18일 모든 도민에게 10만원씩 ‘재난<b>기본소득</b>’을 설(2월... ,20210128
<b>이재명</b> 경기도지사가 '<b>기본소득</b>은 우파 정책'이라는 최문수 강원도지사의 비판에 &quot;민생과 경제를 해결할 수 있다면 좌파면 어떻고 우파면 어떻냐&quot;고 응수했다. 25일 이 지사는 자신의 페이스북에 &quot;좌파냐... ,20210225
"<b>이재명</b>, <b>기본소득</b> 비전 경쟁? 이재명 경기도지사가 자신의 대표적 아젠다(agenda)인 기본소득과 관련해 “제 주장이 왜곡 없이 있는 그대로 논의되기를바란다”면서 국리민복을 위한 가치 경쟁, 비전 경쟁으로써... ",20210220
"<b>이재명</b>, <b>기본소득</b> 비전 경쟁으로 이재명 경기도지사가 자신의 대표적 아젠다(agenda)인 기본소득과 관련해 “제 주장이 왜곡 없이 있는 그대로 논의되기를바란다”면서 국리민복을 위한 가치 경쟁, 비전... ",20210220
<b>기본소득</b>을 과연 <b>이재명</b> 지사가 제대로 알고 말하는 것일까. 나는 아니라고 본다. 이유는 두 가지다. 1. <b>소득</b>원을 분류할 시간이 없다는 &quot;선택이 쉽지 않다&quot;는 <b>이재명</b> 지사의 말은 사실이 아니다. 이자를... ,20210105
"경기도, 2차 재난지원금 재난<b>기본소득</b> 전도민에 10만원씩 설 전에 지급 결정 <b>이재명</b> 18일 공식 발표 사진출처 <b>이재명</b>페이스북 인스타그램 역시 <b>이재명</b> 경기도지사, 빠른 결정과 정확한 계획 그리고 추진력은... ",20210116
<b>이재명</b> '<b>기본소득</b>' 문재인 포용국가론 참여한 김연명 전 靑수석 이낙연 신복지 띄우며 기본소득 저격 &quot;기본소득 만병통치약 아냐&quot; &quot;중산층도 불안 못느낄 신복지 도입&quot; 이낙연 더불어민주당 당대표 후보... ,20210218
"‘보편복지’ 드라이브 거는 <b>이재명</b>…<b>기본소득</b> 이어 ‘기본주택’까지 서지민 객원기자 (****@***********.***) 승인 2021.02.25 14:24 이재명표 기본주택, 소득 제한없이 무주택자면 30년 장기 거주 가능 ‘보편복지’... ",20210226
'Sammy의 이민자료실' 운영자 Sammy #<b>이재명</b> #<b>기본소득</b> #핀란드 #북유럽 #복지선진국 #독일 #실업보험 #실업수당 #Arbeitslosengeld #하르츠4 #Harz4 #복지제도 #노동복지 #실업자 #노후보장 #Universal #Basic #Income #이민... ,20200508
<b>이재명 기본소득</b>은 ‘우파 기본소득’이 아니다 눈여겨볼 부분은 이 지사와 이 대표 모두... 게 ‘이재명식 기본소득’의 핵심이라는 것이다. 한마디로 ‘얼마를 주느냐’보다 ‘어떻게 주느냐’가... ,20210214
출처: 파이낸셜 뉴스 <b>이재명</b> 경기도지사가 모든 도민들을 대상으로 1인당 10만원씩의 '2차 재난<b>기본소득</b>'을 설명절 이전에 지급하기로 결정했어요 오는 2월 1일부터 신청접수를 할 수 있습니다 출처... ,20210128
"5% 기록 차기 대선주자 선호도(세계일보 ‘리서치앤리서치’ 자료)© 뉴스1 <b>이재명</b> 경기도지사가 차기... 취임 초부터 강하게 밀어붙였던 수술실 CCTV 설치, 계곡 불법건축물 철거, <b>기본소득</b> 등 정책에 집중한... ",20210201
<b>이재명</b> 경기도지사는 20일 경기도청에서 이런 내용을 담은 ‘2차 경기도 재난<b>기본소득</b> 지급 관련 도민 보고’를 통해 “코로나19가 종식될 때까지는 앞으로 4차 5차 N차 유행이 계속될 것이며 그에 따른 경제적... ,20210120
