text,created_at
"박주민 비난 발언 논란, 문성근 디스 발언 논란, 난방비 비리 폭로 사건, 예능 프로 하차 논란, 어그로 논란, 단란주점에 스님 출입 논란, <b>김부선</b> <b>이재명</b> 스캔들 논란이 있다. <b>김부선</b> 딸 이미소 애마부인 <b>김부선</b>",20210310
배우 <b>김부선</b>씨가 '어느 여배우와의 무상연애'라며 <b>이재명</b> 경기지사와 자신과의 관계를 직격한 홍준표 무소속 의원을 향해 &quot;<b>이재명</b>과 저의 과거 관계는 분명히 사적영역&quot;이라고 말했다. 정치가 끼어드는게... ,20210310
사진=연합뉴스 배우 <b>김부선</b>씨가 홍준표 무소속 의원을 향해 &quot;<b>이재명</b>과 저의 과거 관계는 분명히 사적영역&quot;이라고 말했다. 김씨는 10일 SNS에 &quot;사적영역을 정치로 끌어 들이는것은 옳지 않다고 생각합니다만... ,20210310
"<b>김부선</b> &quot;<b>이재명</b> 총각사칭이 팩트&quot;…홍준표 '무상연애' 일갈 사진=연합뉴스, <b>김부선</b> SNS 배우 <b>김부선</b>이 오늘(10일) 홍준표 무소속 의원을 향해 &quot;<b>이재명</b>(경기지사)과 나의 관계는 사적영역&quot;이라며 &quot;팩트는... ",20210311
"<b>김부선</b>은 10일 페이스북에 &quot;<b>이재명</b>과 저의 과거 관계는 사적영역이다. 사적영역을 정치로 끌어 들이는것은 옳지 않다&quot;고 적었다. 이어 &quot;그렇지만, 기왕에 이리된 거 분명히 말씀드린다&quot;면서 &quot;그 남자의... ",20210310
<b>이재명</b>과 스캔들 논란이 있었고 공지영작가가 2018년 6월 7일부터 페이스북 등을 통해 <b>김부선</b>을 지지하고 <b>이재명</b>을 공격했다 이밖에도 <b>이재명</b>지사의 부인 김혜경 혜경궁닷컴에서 후원금전달등 다수의 논란이... ,20210310
"▶<b>김부선</b>, <b>이재명</b> 대법 판결 직후 SNS에 &quot;무죄? FXXX you&quot; 영어 욕설 남긴 이유◀ 16일 <b>이재명</b> 경기도지사가 대법원으로부터 공직 선거법 위반 혐의에 대해 무죄판결을 받자, 이에 불만을 이결과에 <b>김부선</b>이... ",20200717
배우 <b>김부선</b>이 <b>이재명</b> 경기도 지사의 허위사실 공표 혐의에 대한 대법원의 무죄 판결에 불만을 드러냈습니다 <b>김부선</b>은 이 지사의 판결 후 자신의 페이스북에 &quot;무죄? Fxxx you&quot;라는 영어 욕설을 남겼는데요... ,20200717
오후 3:43 배우 <b>김부선</b>씨가 10일 홍준표 무소속 의원이 과거 김씨와 <b>이재명</b> 지사 간 교제설 논란을 언급한 데 대해 &quot;조롱할 일이 아니다&quot;라고 말했다. 김씨는 이날 오전 페이스북에 올린 글에서 &quot;<b>이재명</b>... ,20210310
[아시아경제 김봉주 기자] 홍준표 무소속 의원이 <b>이재명</b> 경기도지사를 겨냥해 '연애도 무상으로 하는 분'이라며 맹비난한 것에 대해 스캔들 당사자였던 배우 <b>김부선</b> 씨가 &quot;<b>이재명</b>과 저의 과거 관계는 분명히... ,20210312
