text,created_at
"이재명 가족 관계를 살펴보면 형제 중에는 5남 4녀 중에 넷째로 태어 났으며 <b>이재명 부인</b> 김혜경 씨가 있습니다. 둘 부부 나이차이는 이재명 아내가 3살 어리며 또한 이재명 자녀는 아들 이동호 군, 이윤호... ",20210118
<b>이재명</b>과 스캔들 논란이 있었고 공지영작가가 2018년 6월 7일부터 페이스북 등을 통해 김부선을 지지하고 <b>이재명</b>을 공격했다 이밖에도 <b>이재명</b>지사의 <b>부인</b> 김혜경 혜경궁닷컴에서 후원금전달등 다수의 논란이... ,20210310
글로벌에스엠(900070)이 <b>이재명</b> 경기도지사와의 연관설에 대해 <b>부인</b>했음에도 주가는 급등하고 있다. 20일 마켓포인트에 따르면 오전 10시 10분 현재 글로벌에스엠은 전 거래일 대비 10.58%(91원) 오른 951원에... ,20210120
"변호인은 이날 검찰이 증인으로 신청한 <b>이재명</b> 지사의 <b>부인</b> 김혜경씨를 비롯해 #윤기천 전 성남시청 비서실장, 이재영씨, #성남일보 #모동희 기자 등 4명의 증인채택에 동의한다고 밝혔다. ▲ 법정으로 들러가는... ",20190307
비비안이 왜 이재명 관련주인가? 검색하면서 찾아보니 <b>이재명 부인</b> 사건 당시 변호하여 무죄를 선고받게 한 '이태형 변호사'를 19년 12월에 사외이사를 선임했다고 한다. *그러나 사퇴하여..시외하락함... 아무튼... ,20210131
정인창 사외이사가 이재명과 동갑이고 정인창 부인이 사법연수원 18기 동기로 알려져있습니다. 2.... 5.비비안 이종목도 이재명이야? 라는 생각이 드는 종목이죠? 비비안은 <b>이재명 부인</b>의 사건인 혜경궁 김씨를... ,20210119
"비비안 여성 속옷을 만드는 회사로서 정치테마주와는 거리가 멀어 보이기에 딱히 이재명 지사와 연관이 없을 거 같은 기업이지만, 정치인 테마주의 무서움을 한 번에 보여준 종목입니다. <b>이재명 부인</b> 사건... ",20210307
"co.kr/ 좋아요 1 공유하기 글 요소 구독하기 Patio 저작자표시 비영리 변경금지 빈티지 the patio 연예인 대선주자 , 대선주자 이재명 , 이재명 김혜경 , <b>이재명 부인</b> , 이재명성남시장 , 혜경궁김씨",20200716
헤경궁 김씨 사건으로 <b>이재명 부인</b> 김혜경 검찰 출석 ! 안녕하세요 모아에요! 오늘은 &lt;혜경궁 김씨 논란&gt; 으로 한바탕 난리가 났었던 이재명 경기도지사의 아내 김혜경씨가 검찰에 출석했다고 하는데요... ,20181204
한동안 많이 분들이 정체를 궁금해 하던 &quot;혜경궁 김씨&quot;가 <b>이재명</b> 경기지사의 <b>부인</b>인 김혜경 씨인 것으로 경찰이 결론을 냈다고 하는군요. 이 분이 어떤 분이신가 하면 트위터에서 &quot;정의를 위하여&quot;라는 닉네임을... ,20181117
"http://naver.me/xQAlTDih 경찰 수사결과, '혜경궁 김씨(@08__hkkim)' 트위터 계정주는 <b>이재명</b> 경기지사의 <b>부인</b> 김혜경씨로 밝혀졌다. 그동안 <b>이재명</b> 비호 세력들은 노무현 전 대통령과 문재인 대통령, 그리고... ",20181117
"<b>이재명</b>은 <b>부인</b> 김혜경씨와 사이에 아들 이동호씨, 이윤호씨를 두고 있답니다. 김씨는 숙명여대 피아노과(정확히는 85학번)를 졸업했답니다. 공유하기 글 요소 구독하기 침묵은금 저작자표시 비영리 변경금지",20200403
"<b>이재명 부인</b> 김혜경씨, 경찰출석 보도되자 항의후 귀가(종합2보) ￭ '혜경궁 김씨' 사건 관련... 남아&quot; 이재명 경기지사의 부인 김혜경 씨가 '혜경궁 김씨' 트위터 계정의 소유주 논란과 관련, 24일... ",20181024
형지엘리트 – 교복과 대기업 유니폼 브랜드를 납품하고있는 기업으로써 이재명지사가 현재 무상교육 정책을 실시중이기 때문에 수혜 받고 있습니다. 비비안 – 여성 속옷으로 유명한 기업이며 <b>이재명 부인</b>... ,20210312
"어휴 ㅋㅋㅋㅋㅋㅋㅋㅋ 최근 인터넷 상에서 <b>이재명</b> 경기도지사 와이프 김혜경과 조카간에 통화로... &quot; 라며 항의하는데, 여기서 나오는 이름들은 <b>이재명</b> 친형 이재선氏의 두 자녀 이름과 일치한다고 합니다.... ",20180805
"이재명 관련주 에이텍, 에이텍티앤, 티엘아이 - 신승영 대표 성남창조경영 최고경영자(CEO) 포럼... 쌍방울 - <b>이재명 부인</b> 사건 당시 변호를 맡아 무죄를 이끌어낸 이태형 변호사가 사외 이사로 선임... ",20210310
이 변호사는 고발장에서 ‘혜경궁 김씨’ 트위터 계정인 ‘@08__hkkim’의 계정 정보에 나타나는 휴대전화 끝 번호 두 자리와 이메일 주소 등을 토대로 볼 때 해당 계정주는 <b>이재명</b> 후보의 <b>부인</b> 김혜경씨가... ,20181207
<b>이재명</b>이 몰랐을 리 만무하고요.(몰랐다면 정말 이상한 부분일 테고요) 그렇게 <b>이재명</b>이 혜경궁 김씨 사건으로 의심받고 공격받아도 여지껏 고발하지 않은(아니 할 수 없었던) 이유가 <b>부인</b>이었기 때문이라는 게... ,20181117
계정을 <b>이재명 부인</b>의 계정이라 의혹을 제기하고 경찰에 고발했다. 이재명은 부인은 노빠에 가깝고 계정은 부인의 것이 아니라고 거듭 말해왔다. 이재명은 혜경궁 김씨라는 계정이 지난 대선 경선 때... ,20180416
"경찰이 ‘혜경궁 김씨(@08_hkkim)’ 트위터 계정 소유주를 <b>이재명</b> 경기지사 <b>부인</b>인 김혜경씨로 결론 내린 가운데, 과거 ‘혜경궁 김씨’ 계정에 올라온 사진이 이 지사 SNS 계정보다 앞서 올라온 사실을 두고... ",20181117
