text,created_at
https://m.blog.naver.com/cooljason92/222196656827 <b>이재명 지지율</b>의 의미는? 과거 이낙연에서 이재명으로 지지율이 변화하는 과정은 코로나 등으로 인한 행정력의 리더십이 많이 작용을 한 것으로 보입니다. 어려운... ,20210201
게다가 <b>이재명</b> 지사의 <b>지지율</b>은 현재 상승 국면에 있습니다. 큰 사건에 휘말리지 않는 이상 하루아침에 추락할 가능성은 낮습니다. <b>이재명</b> 지사는 대선 주자로서 많은 강점을 가지고 있습니다. 박근혜 전... ,20210201
ⓒ시사저널 이종현 1년 새 3%→27%…<b>이재명 지지율</b> 마법의 비결 3%. 불과 1년여 전 이재명 지사의 대선후보 지지율이다(한국갤럽 2020년 2월 2주 차). '어대낙(어차피 대세는 이낙연)'이란 수식어를 자랑하던... ,20210312
이재명 관련주# 윤석열 관련주# 이낙연 관련주# 차기대선 관련주# <b>이재명 지지율</b># 윤석열 전 총장이 지지율 1위가 유지되면서 윤석열 관련주들이 시세를 보여줬는데 이재명이 윤석을 넘어서 지지율 1가... ,20210311
"필자가 발견한 놀라운 점은, <b>이재명</b> 지사의 <b>지지율</b>이 급등했는데, 이낙연 전 총리의 <b>지지율</b>이 그대로인 부분이다. 이것은 <b>이재명</b> 지사 개인 <b>지지율</b>에는 친문이 포함되지 않았음을 의미한다. 거의 부동층에서만... ",20200310
윤석열 37% <b>이재명</b> 24%…<b>지지율</b>차 8→13%p 더 벌어져[KSOI] [중앙일보] 입력 2021.03.15 08:42 수정 2021.03.15 09:06 윤석열 전 검찰총장. 김경록 기자 윤석열 전 검찰총장이 차기 대선주자 <b>지지율</b>... ,20210315
오늘 <b>이재명</b> 형님 30% <b>지지율</b> 돌파 뉴스는 아래와 같구요 https://n.news.naver.com/article/001/0012174598?cds=news_my 무당층에서 1위라는 사실이 매우 인상깊네요 사이다발언에 폭넓은 지지라 이제 대세 <b>이재명</b>이 되는거... ,20210201
<b>이재명</b> 경기도지사의 <b>지지율</b>만 상승했다. 그런 여론조사 결과가 나왔다. 반면 이낙연 대표의 <b>지지율</b>은 지난 조사보다 6%포인트나 빠졌다. 특히 민주당 지지층 조사에서도 이 지사에게 밀렸다. 한국갤럽은 12... ,20210115
현재 윤석열 총장 지지율이 37.2% 나왔어요 <b>이재명 지지율</b>이 24.2%정도 나온 상태인데요 이낙연의 경우 13.3%정도 나오는 편이네요 이정도 지지율이면 상당히 높은데요 이렇게 나온 이유는 실망감 때문이 아닐까... ,20210315
<b>이재명</b>의 <b>지지율</b>의 5% → 41% 도약은 '시원한 사이다'로만 설명되어지지는 않는다 '어대후 이낙연'라는 말은 '어짜피 대선 후보는 이낙연'의 줄인 말이다. 이낙연 당대표의 총리 말기쯤의 지지도는... ,20201018
조사에서 <b>이재명</b> 경기지사의 독주가 계속 이어지고 있다. 그야말로 무서운 기세다. 1일 여론조사... 정당 <b>지지율</b>는 더불어민주당과 국민의힘이 오차범위 내에서 접전이 이뤄졌다. ▲[사진설명]... ,20210301
오늘은 이낙연 <b>지지율</b>을 앞선 <b>이재명</b> 관련 주 테마 종목 알아보겠습니다. <b>이재명</b> 경기도지사의 수원고등법원에서 31일 <b>이재명</b> 파기환송심 첫 재판 예정인데요. 앞서 <b>이재명</b> 경기도지사의 친형 강제입원 관련... ,20200815
"#윤석열 #<b>지지율</b> #<b>이재명</b> #정당 윤석열 37.2% <b>이재명</b> 24.2% 이낙연 13.3% 文 대통령 국정수행 평가, 부정 60%로 치솟아 정당 지지도 민주당 30.3% 국민의힘 29.8% 초박빙 차기 대선후보 적합도 조사에서... ",20210315
"수산아이앤티 주가 전망 - <b>이재명 지지율</b>과 테마주 총 정리 오늘은 이재명 관련주들의 날이었네요. 코스피 지수를 상승으로 이끌어 왔던 삼성전자, 엘지전자, 현대차 등이 조정을 보이는 사이에 이재명... ",20210113
<b>이재명</b> 경기지사와 윤석열 전 검찰총장이 차기 대권 <b>지지율</b>에서 공동 1위에 올랐다는 여론조사 결과가 12일 나왔다. 한국갤럽이 지난 9∼11일 만 18세 이상 1천3명에게 차기 정치지도자 선호도를 물은 결과... ,20210312
<b>이재명</b>의 <b>지지율</b>을 위함일까? 그런 <b>이재명</b>에게 대한민국의 미래를 맡긴다는 것 자체가 대한민국 멸망의 길이 될 게 뻔하다. 민주당원 내의 <b>이재명</b>의 <b>지지율</b>은 최하이다. 경기도지사 직도 딱히 장담할 수가 없다.... ,20210122
<b>이재명 지지율</b> 차기 대통령 후보 대선주자 이낙연 윤석열 지지도 알아봅시다. 차기 대통령 후보 적합도... 다르게 이재명 경기지사 지지율 27%로 2위와 3위의 지지율을 넘어서는 결과를 가져왔다고 합니다. 특히... ,20210121
"#<b>이재명</b>, #이낙연, #<b>지지율</b> , #대권 , #대통령 , #대세 , #후보 , #민주당 , #국힘당 , #대선 , #후보 , #경선 , #빨갱이 , #민주화운동 , #동성애 , #퀴어축제, #안철수, #시장선거, #서울시장, #형수, #김부선 아래... ",20210225
"<b>이재명 지지율</b> 가파른 상승세…정세균 지지모임 출범 더민주 대통령 후보로써~~~이낙연 후보가 거론... 【 기자 】 추미애 법무부 장관과 윤석열 검찰총장의 갈등이 일단락되자, 이재명 경기지사의 지지율은... ",20210206
"<b>이재명</b> &quot;민주 <b>지지율</b> 하락 원인은 부동산, 그러나 바른길로 가고 있다&quot; &quot;강공책 쓸 땐 고통 최소화해야…결과 좋으면 <b>지지율</b> 올라갈 것&quot; <b>이재명</b>, 민주당·통합당 <b>지지율</b> 역전에 “국민들께서 뭔가 새로운 기대를... ",20200813
"그래서 <b>이재명</b> 지사의 <b>지지율</b>이 계속 올라가고 있다. (물론 이낙연 대표의 헛발질도 영향이 있었다) 그런데, 아직도 이 사회는 기독교의 영향에서 벗어나질 못하고 있는 것 같다. 종교적인 이야기가 아니다.... ",20210214
<b>이재명 지지율</b> 30% 돌파 https://n.news.naver.com/mnews/article/025/0003074191?sid=100 이재명 경기도지사의 대선 지지율이 첫 30%를 돌파했다는 뉴스가 나왔다. 이재명 관련주에 강한 흐름이 안나올 수 없는 강한... ,20210131
"뉴스(01/19)로 보는 투자전략 <b>이재명 지지율</b> 역전…국민의 힘에서 시작됐다 한국갤럽, 이재명23%·윤석열13%·이낙연10% 민주당 지지층서 첫 이낙연 따돌리며 1위'안착' 작년6월'국민의힘'역선택이 지지율 역전... ",20210119
"당대표의 <b>지지율</b>이 44%, <b>이재명</b> 지사는 33% 로 11% 차이가 나는 중 아직까지 여당 내에서는 이낙연 당대표의 <b>지지율</b>이 더 높다 하지만 정치테마는 <b>지지율</b>이 박빙이거나 겨뤄볼만한 상대가 있을 때 꽃을 피우며 큰... ",20201012
윤석열 : 지지율 17% 상승 중 이낙연 : 지지율 21% 1.0% 하락 <b>이재명</b> : <b>지지율</b> 21% 0.1% 상승 안철수 : 지지율 4.9% 홍준표 : 지지율 4.7% 오세훈 : 지지율 3.6% 황교안 : 지지율 3.3% 추미애 : 지지율 3.1% 원희룡 : 지지율 3.... ,20201102
5% ‘계속 지지하겠다.’ &quot; 출처: BY REALMETER ON 2020-07-20핫이슈 <b>이재명</b> 지사가 무죄 확정에 가까운 판결을 받으면서 <b>지지율</b>이 올랐다. 그 동안 심적 부담을 보여주는 듯이 흰머리를 그대로 보여주고 있다.... ,20200720
"# <b>이재명</b>, 대선과 도정 <b>지지율</b> 동시 1위 관련주는? # 현재 상황은? 출처 : 리얼미터 <b>이재명</b> 경기도지사가 대선과 도정 <b>지지율</b>에서 1위를 올랐습니다. 리얼미터가 발표한 11월 시도지사 직무수행 평가... ",20201209
"차기 대선주자 선호도 조사에서 <b>이재명</b> 경기도지사가 32.5%로 첫 <b>지지율</b> 30%를 넘겼다는 여론조사 결과가 31일 발표됐다. 윤석열 검찰총장이 17.5%, 이낙연 더불어민주당 대표는 13%로 오차범위(95% 신뢰수준에... ",20210201
사진공동취재단·뉴스1 차기 대선주자 선호도 조사에서 윤석열 전 검찰총장 <b>지지율</b>이 급등하면서 <b>이재명</b> 경기지사와 동률을 기록한 것으로 나타났다. 12일 한국갤럽은 지난 9~11일 전국 성인남녀 1003명을... ,20210312
"<b>이재명 지지율</b> 첫 30% 돌파! 윤석열 17.5%, 이낙연 13% 차기 대선주자 선호도 조사에서 이재명 경기도지사가 32.5%로 첫 지지율 30%를 넘겼다는 여론조사 결과가 31일 발표됐다. 윤석열 검찰총장이 17.5%, 이낙연... ",20210201
"차기 대통령 적합도, <b>지지율</b> 여론조사에서 1위로 올라섰던 <b>이재명</b> 경기도지사가 계속 1위를 고수하고 있다. 이제 2위와는 더블 스코어 차이로 앞서고 있으니 별다른 사건만 없으면 차기 대통령... ",20210218
"이낙연 17% 이재명 19% 역선택의 결과, 차기 대선후보 지지율 차기 대선후보 지지율이 속속 나오기... 처음으로 이낙연 <b>이재명 지지율</b>이 역전된 결과가 나왔지만, 결국엔 안된다는 걸 아는 사람들은 안다. *역대... ",20200814
민주당 지지층(n=341)에서는 <b>이재명</b> 지사 <b>지지율</b>이 45%로 이낙연 대표(28%)에 비해 우위를 나타냈다. 지난 조사(<b>이재명</b> 45% 대 이낙연 30%)보다 격차는 소폭 더 벌어졌다. 국민의힘 지지층(n=195)에서는 윤... ,20210205
