text,created_at
"이재명 관련주 - 차기 대선 후보 정치 테마주 대선이 1년이 채 안 남은 지금, 선거판이 요동치고... 출처 아이뉴스24 그러나 2월 8일 이태형 변호사의 사외이사 중도퇴임으로 더 이상 <b>이재명 테마주</b>로 분류되지... ",20210307
이런 식으로 다른 후보들 관련주도 차례대로 알아보도록 하겠습니다. #이재명관련주 #<b>이재명테마주</b> #정치테마주 #비비안주가 #에이텍주가 #대성미생물주가 #형지엘리트주가,20210130
"이어 이재명 경기지사가 24.1%, 이낙연 대표가 14.9%로 뒤를 이었는데 어제 윤석열 테마주에 몰려갔단 투자자들이 오늘은 순환매 차원의 <b>이재명 테마주</b>로 대거 옮겨가는 양상입니다. 주식시장에서 만들어진... ",20210309
정치<b>테마주</b>들은 단기적으로 급등락이 심하여 장기적으로 투자하기보다는 단타종목으로 치고 빠지는 고수분들이 많은 것 같다. 암튼 오늘은 이렇게 <b>이재명</b> 정치 관련주들을 정리해 보았음. 개인적인... ,20210131
최근 #<b>이재명 테마주</b>로 편입되엇다고 한다 이유는 비비안이 #이태형 범무법인 대표를 사외이사로... 4월 서울시장 투표도 잇으니 정치테마주는 재미로 해볼만한다 이재명 관련주 쭈욱 나열해본다 (이건... ,20210201
토탈소프트 등 <b>이재명 테마주</b> 총정리!! feat.대선 테마 매수 접근 방법! 오늘 포스팅의 주제는 “대선”... 올해 대선 구도는 일단 현재까지 ‘이재명 vs 윤석열 vs 이낙연’으로 보입니다. 이 삼파전 중 최근... ,20210106
"대선테마주! 인생역전! 이재명관련주편 -이슈전에 사서,이슈에 팔아라 https://www.youtube.com/watch?v... v=HgLm8fjEp3M 정치인 관련주 정리하기 : <b>이재명 테마주</b> [대선 테마주] https://www.youtube.com/watch?v... ",20210304
추가해봅니다 #이재명관련주 대권주자로 이름을 높이는 만큼 너무나 관련주 테마주가 많습니다 예전에 #에이텍 #에이텍티엔 정도가 오랜 <b>이재명테마주</b>였다면 요즘엔 #동신건설 #신라에스지 #오리엔트바이오... ,20210201
"<b>이재명테마주</b>, 조류독감테마주 등에 언급되면서 많은 투자자들이 테마주로 인식한다. 현재... - 정다운 바사삭오리 출시 - 정다운, 이재명 지지율 1위 소식에 11.76% 상승 - 정다운, 친환경 오리브랜드... ",20210319
"담당하며 <b>이재명 테마주</b>로 떠오르고 있습니다. 에이텍과 관련된 대선 수혜주로는 에이텍티앤 ( 224110 )... 학연과 혈연, 지연에 따라 다양하게 이재명 정치 테마주가 구성되어 있으니, 한번쯤 살펴보면 좋을듯... ",20210217
"출처_뉴시스 민주당의 강력한 대선주자 이재명 현 경기도지사의 테마주를 알려드립니다. '이재명... <b>이재명 테마주</b>로만 생각해서 뭘 하는지 이번에 처음 찾아봤다... 시가총액 2111억(주당 1,780원 기준)... ",20210310
"※ '19년 페이코 가입자 1,000만, 거래액 6조 출처 : 코나아이 IR 자료 ② 테마관점 : 정치테마주(*<b>이재명 테마주</b>), 정책주 코나아이는 기존의 코나카드 기반 B2C + 기업의 카드를 제작해주는 B2B 모델을 진행하고... ",20201006
이재명 경기도지사가 대법원의 무죄 취지 판결을 받아 도지사직을 유지하게 되면서 '<b>이재명 테마주</b>'로... 특히 정치 테마주의 경우 연관성이 다소 부족하더라도 부수적인 이유로 인해 상승 흐름을 가져가는... ,20200720
