text,created_at
"<b>이재명 페이스북</b> &lt;경기도민 도박꾼 취급할 시간에 현장을 더 돌아보시길&gt; 경기도형 재난기본소득은... 트럼프 대통령이 선언했듯, 재난기본소득에 관심을 기울리고 함께 나서 주십시오. 출처 : <b>이재명 페이스북</b>",20200325
https://www.facebook.com/jaemyunglee https://news.naver.com/main/ranking/read.nhn?mid=etc&amp;sid1=111&amp;rankingType=popular_day&amp;oid=032&amp;aid=0003030745&amp;date=20200906&amp;type=1&amp;rankingSectionId=100&amp;rankingSeq=3 #<b>이재명페이스북</b> #이재명 #이재명문재인... ,20200906
(사진=<b>이재명</b> 경기지사 <b>페이스북</b>) <b>이재명</b> 지사가 “이번 경기도청 인사에서 사무관 이상 고위직 여성 승진자가 사상 최대를 기록해 결국 남성차별을 한 것이 아니냐는 지적이 있다”며 “여성 승진자 모두... ,20210108
이만희결과 #<b>이재명페이스북</b> #이재명검체확보 #이만희검사결과 #박근혜시계 #신천지코로나 #코로나... 페이스북을 통해 예고한것 처럼 이만희 총회장이 보건소의 '코로나19' 검사 요구에 불응하고 있다&quot;며... ,20200302
"그런데 #이재명지사 가 페이스북에 #공매도재개 를 두고 #공매도추가연장 의 필요성에 대해 이야기를 했는데요. <b>이재명 페이스북</b> #<b>이재명페이스북</b> 글에 의하면, 공매도 금지를 추가 연장하고 #불법공매도 에... ",20200814
<b>이재명</b> 도지사 <b>페이스북</b>에 이재오 비판 이재오 전 의원은 31일 진행된 '시사자키 정관용입니다'에 출연하여 '지금은 재난소득을 따질 때가 아니고 방역이 경제다' 라고 말했습니다. 그리고 중구난방 정책이라며... ,20200331
"합니다 #수산아이앤티 #<b>이재명</b>관련주 #<b>이재명</b>테마주 #네트워크보안 #웹방화벽 #유해사이트차단 #<b>페이스북</b>정보유출 기업개요 인터넷 관련 소프트웨어의 개발, 판매 및 용역제공 등을 주요 사업으로 영위.... ",20210208
"임종석 <b>페이스북</b>(2021.2.8) 기본소득이란 말그대로 '국민 모두에게 조건없이 빈곤선 이상으로 살기에... <b>이재명</b> 지사는 1인당 연간 100만원을 당장 시작하자고 합니다. 약 52조원의 예산이 필요한 반면, 국민 1인당... ",20210208
"경기도, 2차 재난지원금 재난기본소득 전도민에 10만원씩 설 전에 지급 결정 이재명 18일 공식 발표 사진출처 <b>이재명페이스북</b> 인스타그램 역시 이재명 경기도지사, 빠른 결정과 정확한 계획 그리고 추진력은... ",20210116
한다’는(2017년1월15일 <b>이재명 페이스북</b>) 국제관계에 대한 신념이 확고해 보입니다. ‘나의 소년공 다이어리’는 정치인 이재명을 좀 더 깊이있게 알고 이해하는데 많은 도움을 주는 책이라 생각합니다.,20200826
