text,created_at
"1964년 12월 22일 생으로 <b>이재명 나이</b> 올해 2021년 58세가 되었습니다. 태어난 곳인 이재명 고향은... 둘 부부 나이차이는 이재명 아내가 3살 어리며 또한 이재명 자녀는 아들 이동호 군, 이윤호 군 이렇게 슬하에... ",20210118
"이미소 <b>이재명 나이</b> 64년생(56세) 경기도도지사 부인 김혜경 공지영 나이 63년생(57세) 세번의 이혼 서울 자녀: 위윤녕, 오둥빈, 이제재 배우 김부선이 홍준표 무소속 의원의 &quot;연애도 무상&quot; 발언을 두고 &quot;이재명... ",20210310
홍준표 나이 키 학력프로필 이름 홍준표 출생 1953년 11월 20일 (67세) 경상남도 창녕군 남지면 남지리... 9일 <b>이재명 나이</b> 키 학력 프로필 이름 이재명 출생 1964년 12월 22일 (56세) 경상북도 안동군 예안면 도촌동... ,20210228
"#<b>이재명 나이</b> 경력 학력 프로필 경기지사, 변호사 출생 1964. 12. 22. 경상북도 안동 소속 경기도... 이재명, 대권지지율 첫 30%대…윤석열 17.5%, 이낙연 13.0% 서울시장, 부산시장 모두 '야당 승리' 예측... ",20210131
"게재하였다 ⭕️ #<b>이재명 나이</b> 대한민국의 변호사, 정치인이다. 민선 5·6기 경기도 성남시장을... 이재명 경기도지사(찬성), 양재진 연세대 행정학과 교수(반대)가 정세진 아나운서와 1대1 심층 대담하며, 본... ",20200522
이만희총회장 #이만희가평 #신천지교회이만희 #코로나19예방수칙 #코로나19 #코로나19증상 #코로나19예방법 #코로나대응수칙 #신종코로나예방수칙 #이만희<b>나이</b> #<b>이재명</b>이만희 #<b>이재명</b>경기지사 #이만희기자회견,20200302
들어와 <b>이재명</b> 지사가 대법원 무죄 취지 파기환송 이후 지지율이 급상승해 1위 자리를 놓고 엎지락 뒤치락 하고 있다. <b>이재명</b> 출생 : 1964년 12월 22일 (만55세) 경상북도 안동 학력 : 중앙대학교 법학 학사 사저... ,20201102
배우 김부선이 <b>이재명</b> 경기도 지사의 허위사실 공표 혐의에 대한 대법원의 무죄 판결에 불만을... 김부선은 1961년생으로 올해 <b>나이</b> 60세입니다 제주도에서 출생했으며 80년대 서울로 올라와 모델로 활동했다고... ,20200717
<b>이재명</b>(56) 경기도지사의 정치 운명이 7월 16일 오후 2시 서울 서초구 대법원에서 가려지는데요. 13명의... <b>이재명</b> 지사의 허위사실공표죄는 무죄 취지 파기환송. 즉 죄가 없는것으로 뒤집어졌네요. 이에따라... ,20200716
뽑을 사람이 ... 위에분들 다 똑똑한 머리인데 같이 잘 굴리시면 좋을텐데 #차기대선후보지지율 #차기대선주자 #이낙연나이 #홍준표나이 #조국나이 #<b>이재명나이</b> #홍준표나이 #홍정욱나이 #트럼프나이,20191001
김부선 페이스북 인스타그램 <b>나이</b> 키 떡볶이 <b>이재명</b> 박원순 딸 강용석 수임료 외상 계좌번호 공개 손해배상 대법 판결에 &quot;무죄? F*** YOU&quot; &quot;무죄? F○○○ you&quot; 배우 김부선씨가 16일 <b>이재명</b> 경기도지사에 대한... ,20200717
"<b>이재명</b>이 일하던 곳은 말이 공장이지 가정집에서 하는 가내수공업 수준으로 공장의 이름이 없던 것은 물론, <b>이재명</b> 본인도 <b>나이</b>가 많은 다른 사람의 이름으로 일했다. 당시 환경이 얼마나 비참한지 상처와... ",20201223
깨고 무죄 취지로 사건을 수원고법으로 돌려보냈다고 16일 밝혔습니다. 이제 <b>이재명</b> 지사는 지사직을 유지할 수 있게 됐습니다. 김부선의 올해 <b>나이</b>는 61년생으로 60세가 되었으며 그녀의 딸은 배우 이미소입니다.,20200717
"재난기본소득에 대한 사회적 논의가 이뤄지고 있는 가운데 소득과 <b>나이</b> 상관없이 전 도민을 대상으로... <b>이재명</b> 경기도지사는 24일 경기도청에서 송한준 경기도의회 의장, 염종현 경기도의회 더불어민주당... ",20200325
"(물론, 이들에게 진짜 최악은 <b>이재명</b> 지사를 후보로 냈다가 패배하는 것이겠지만요.) 고령의 <b>나이</b>, 출신 지역(민주당계 정당에서 선거 승리하려면 영남 지역 후보여야 한다는 것이 불문율), 적은 존재감 등이... ",20201127
<b>이재명 나이</b> 58세 1963년 12월 8일 대한민국 경상북도 안동군 예안면 도촌리 거주지 경기도 성남시 분당구 수내동 본관 경주 학력 중앙대학교 법학 학사 경력 제19·20대 성남시장 정당 더불어민주당 배우자... ,20200329
그래서 <b>이재명</b>보다 훨씬 <b>나이</b>어린 설민석씨의 양심고백과 책임감있는 멘트에 박수를 보내는것이다. 한국사 분야 스타강사인 설민석씨가 29일 석사 논문 표절을 인정하고 ‘모든 방송에서 하차하겠다’는... ,20201231
홍준표가 <b>이재명</b>을 또다시 양아치라고 하면서 저격에 나섰다. 지난 28일 페이스북에 또다시 홍준표가... 쉽게 말하면 아직 <b>나이</b>도 어린 게 너무 까불고 나대지 마라 뭐 이런 뜻이 아니겠어? 넌 대통령 되긴... ,20210302
<b>이재명</b> 도지사의 가장 힘들고 치열하게 살았던 청소년기를 담대하게 기록한 일기를 이해하며... 너무 <b>나이</b>가 어려 남의 이름으로 공장에서 일을 하다 왼손 중지가 기계에 말려 들어가 첫번째 산재를 당하고... ,20200826
뉴스1 보편적 복지론자인 <b>이재명</b> 경기지사의 '기본 시리즈' 정책을 뒷받침할 1호 법안이 발의된다. 법안엔 소득·자산·<b>나이</b>와 같은 조건을 따지지 않고 '누구나' 살 수 있는 집을 제공한다는 '기본 주택... ,20210225
배우 김부선이 홍준표 무소속 의원을 향해 “<b>이재명</b>(경기지사)과 저의 과거 관계는 분명히 사적영역”... ◆ 김부선 프로필 본명 김근희[데뷔 초기엔 염해리라는 이름을 사용] 출생 1961년 7월 10일 (<b>나이</b> 61세)... ,20210310
"이낙연이냐, <b>이재명</b>이냐 한덕현 충청리뷰 승인 2020.10.21 11:43 한덕현 발행인 어느 선거든 후보를 이처럼... 공교롭게도 <b>나이</b>도 현재 만 67세(낙연)와 55세(재명)로 서로 대립구도를 형성하는데 호재가 되고 있다.... ",20201023
<b>이재명</b> 경기도지사 1964년 12월 22일 출생으로 현재<b>나이</b> 만56세. 대한민국 변호사출신의 정치인으로 민선 5.6기 경기도 성남시장을 역임하였고 민선7기 경기도 지사이다. 엠브레인퍼블릭이 지난 3월 7~8일... ,20210310
경기도지사 <b>이재명</b> 프로필 <b>나이</b> <b>이재명</b> 경기도지사의 <b>나이</b>는 1964년 12월 22일생으로 올해 57세이며 키는 172cm입니다. 경상북도 안동이 고향이고 고등학교는 검정고시로 패스한 후 중앙대학교 법과대학... ,20200910
친<b>이재명</b>계 초선인 민주당 의원이 발의한 법안에 따르면 '무주택자가 30년간 거주할 수 있는 장기임대형 기본주택을 국가나 지방자치단체가 공급할 수 있다'는 내용이 있습니다. 거주 조건으로 소득·자산·<b>나이</b>... ,20210225
