text,created_at
"그렇기 때문에 아무 방송에서나 <b>홍준표 2번</b>을 도네하면 해당 방송에서 차단을 먹을 수 있다. 그러니 보내고 싶으면 정지차니, 박호두, 용느, 보물창고한테 보내보자~ #홍준표#용느#박호두#정지차니#2번... ",20201204
sfnsn=mo 무소속이 되면서 힘든 점은 묻지마 <b>2번</b> 투표층 입니다. 그 분들에게 인물비교 투표를 해... #<b>홍준표</b>#무소속#대구#수성을 #총선 #투표 #코로나 #문재인 #황교안 #박근혜 #미래통합당... ,20200404
<b>홍준표2번</b> <b>홍준표2번</b> 당당한 대통령 <b>홍준표 2번</b> 노래의 주인공인 홍준표 성님께서 정치권에 쓴소리 한마디 했다는 기사가 난 후 관련주들이 움직이기 시작했습니다. 어떤 종목들을 어떻게 매매해야 할 지... ,20210226
저는 이번 제19대 대통령 선거에서 기호 <b>2번</b> <b>홍준표</b> 후보를 찍기로 했습니다. 그 이유에 대해서 말씀드리겠습니다. 1. 대한민국의 자유민주주의를 위해 문재인 후보가 대통령 되는 것을 막아야 한다. 문재인... ,20170504
"19대 대통령 선거 후보, 기호 1번은 문재인·<b>2번</b> <b>홍준표</b>·3번 안철수 기사입력 2017.04.15 오후 5:17 15일 19대 대통령 선거 후보 등록이 시작된 가운데, 등록을 마친 대선주자들의 기호에 관심이 쏠리고 있다.... ",20170415
제 19대 대통령 선거에서 <b>2번</b> <b>홍준표</b> 후보가 당선 되어야 하는 이유들은 전자에서도 말씀드렸지만 정치에는 관심도 없고 한번도 포스팅을 한적도 없었지만 이번에는 공산화가 될 수도 있다는 염려가 있어서... ,20170428
"기호 <b>2번</b> <b>홍준표</b> 후보는 새누리당이 분리되어 생긴 자유한국당 소속의 정당인이며 포스터에 찍힌 슬로건은 &quot;지키겠습니다 자유대한민국&quot;, &quot;당당한 서민 대통령&quot;입니다. 포스터 배색을 참고하여 이미지를 꾸며... ",20170422
"[ 기호 <b>2번</b> 자유한국당 <b>홍준표</b> - 서민 대통령! 대란대치! ] 공약1. 강한 안보, 강한 대한민국 / 공약분야 : 통일외교통상, 국방 <b>홍준표</b> 후보는 문재인 후보와 반대로 한반도에 전술핵을 배치하여 핵균형을 이루자는... ",20170504
이 노래를 듣는 순간 당신들은 세뇌가 된다 ㅎㅎ 중독성이 있어서 올립니다 ㅎㅎ 그냥 음악으로서 즐기세요 ㅎ,20201017
https://www.youtube.com/watch?v=dd7N_Bz-nto 지치고 힘들때 듣는 노래 #<b>홍준표</b> #<b>2번</b> #ㅋㅋ,20210110
"공식선거운동 시작, 기호 <b>2번</b> <b>홍준표</b> 입니다! 본격적인 선거유세가 시작되었습니다. 각 당의 대선 후보들도 전국적으로 돌아다니면서 홍보를 이어나가고 있는데요. 이번에 대선 후보에 등록한 후보는 총... ",20170421
"기호<b>2번</b> 꼭 찍어주셔야 합니다. 국민을 힘나게 해 줄! 나라를 힘있게 해 줄! 대통령, 바로 <b>홍준표</b>!입니다. 그동안 <b>홍준표</b> 필승을 위해 달려오신 선거사무원 여러분들을 비롯하여 모든 분들께 감사드립니다.... ",20170509
물어봤다고 함 정지차니 채널에서 우스갯 소리로 &quot;홍준표 의원님이랑 합방 기원하샤~&quot;라는 소리가 장난으로 나왔는데 이게 진짜로 이뤄질 줄은 상상도 못했다. #정지차니 #홍준표 #홍카콜라 #<b>홍준표2번</b> #홍준표의원,20210316
