text,created_at
"<b>홍준표 공약</b> 학력고사 부활 의전원폐지 사법고시부활 등 절대적으로 찬성한다 하지만, 국민들이... 홍준표라는 사람은 모른다. 누가 어떤 당이든 이런 공약을 지지할 뿐이다. https://blog.naver.com/park2821... ",20191025
"<b>홍준표</b> 검찰개혁 <b>공약</b> 검찰개혁과 특별감찰관 권한 강화로 권력비리 원천 차단 검찰과 경찰을 동등한 수사기관으로 인정, 상호 감시체계 강화 -경찰에 영장청구권 부여 -검찰총장 임명요건 강화(자체승진금지... ",20210222
공약을 그냥 서로 베낀거 같음. 문재인이 낸 공약을 조금 수정해서 바꿔서 내놓은듯. 홍준표만 반대되는 공약 내세움. <b>홍준표 공약</b>이 극우라는데 홍준표 주장의 어디가 극우인지...?,20200907
"ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ 회사에서 동기나 선배보다 더 인정받고, 더 앞서고 싶다면, &amp; #제19대대통령선거<b>공약</b>, #<b>홍준표</b>후보자<b>공약</b> #<b>홍준표</b>대선<b>공약</b>",20200826
"▶<b>홍준표</b> “민주당, 또 반일 프레임…참 못된 사람들”/동아닷컴 <b>홍준표</b> 무소속 의원이 김종인 비대위원장의 한일 해저터널 <b>공약</b>에 대해 ‘친일’이라며 반발한 여권에 비판을 가했다. 홍 의원은 2일 자신의... ",20210202
"자한당은 물관리를 일원화하겠다는 홍준표 대선 공약이나 지켰으면 한다.. ※ '물관리 일원화'는 <b>홍준표 공약</b>... 왜 입장 바꿨나 [송윤경 기자, 경향신문] 아마도 '물관리 일원화'를 환경부가 맡게 되면, 국회에서... ",20170726
"유승민 안철수 <b>홍준표</b> 는 자신들의 대선 <b>공약</b>을 잊었나. 청년층, 신혼부부 등 공공임대주택 들어가고자 하는 사람 많다. 자신들의 <b>공약</b> 한 번 돌아 보고 그만 빈정거려랴",20201214
<b>홍준표</b>의 <b>공약</b> 중 핵심은 서민복지입니다. 3월 18일 대구 서문시장에서 정권교체 아닌 리더십 교체로 나가야 한다며 출사표 던진 <b>홍준표</b>가 “진짜 리더십은 구성원과 함께 뒹굴고 가슴 아파하는 와중에서... ,20170420
"점에서도 <b>홍준표 공약</b>과 맞지 않는다. 에디터: 우리나라도 GDP나 경제성장률은 중요하지 않나? 안정권... 결론을 내면, 사형 제도, 강성 귀족 노조 관련, 373 공약 등 홍준표 후보의 공약은 반(反) SDGs 적이다. [SDGs... ",20170503
문재인과 <b>홍준표</b>의 <b>공약</b> 3년이 지나며 무엇이 옳았을까요?,20200918
