text,created_at
"물론 <b>홍준표</b>도 지난 <b>대선</b>전에서 '돼지 발정제' 사건으로 '저질 프레임'에 걸려 곤욕을 치른 바 있다. 윤석열은 또 어떤가? 앞의 이,홍 두 주자와 같은 법조 출신 거물이지만 살아있는 권력을 수사할 수 있는 '한... ",20210308
"있다 <b>홍준표 대선</b> 테마주 +무소속 대선주자중 보수층 에게 많은 지지를 받고 있음 , 최근 추미애 장관과 각을 세울때 주가가 떡상+ 세우글로벌 - 홍준표 고향인 밀양에 위치 땅이 많음 두올 - 홍준표 고향인... ",20200924
내년이면 또다시 <b>대선</b>시기가 찾아온다 현재 이낙연민주당 대표와 정세균총리가 다시 광주를 찾는 등... 알루코 수산중공업 케이탑리츠 대한약품 쌍용양회 AP위성 &lt;<b>홍준표</b> 관련주&gt; 현재 무소속이며 며칠 전 설을... ,20210208
"http://naver.me/FFwBVJar #탄핵대선 2016 美 대선 여론조사 대반전 이후 관심 증폭…<b>홍준표</b>, <b>대선</b> D-1개월 여론조사 7% 실제 선거 득표율은 24% [아시아경제 류정민 기자] 편집자주 ‘정치, 그날엔…’은 주목해야... ",20201011
"[<b>홍준표</b> 사주풀이] <b>대선</b>주자 1위 이재명 공격으로 움직이나? <b>홍준표</b> 사주 운세와 야망 제 블로그, 카페 방문자님 여러분~~! 아래 사진을 클릭하여, 아다세 유튜브 방송 보시고,구독과 좋아요 해 주시고... ",20210228
이낙연 이재명 <b>홍준표</b> 안철수 등 많은 <b>대선</b>주자들이 있습니다. 그러면 <b>대선</b>주 제가 파악한 내용만으로 정리해서 올리도록 하겠습니다. 다들 참고만하시고 좋은자리 나오시면 한번식 매수 해보시기 바랍니다.... ,20201103
<b>홍준표</b>. &quot;<b>대선</b> 시계 이재명에서 윤석열로...문재인 정권에 대한 염증 얼마나 컸으면.&quot; &quot;내 나라 대한민국이 지금처럼 더이상 망가지지 않았으면 한다&quot; 홍준표 무소속 의원은 14일 &quot;지난 2년 동안 차기 대선시계는... ,20210314
"<b>홍준표</b> 의원님. <b>대선</b> 후보 맞습니까? 현직 대통령에게 ‘하산 준비나 하라’니요. 일개 국회의원도 아니고, 제1야당의 <b>대선</b> 후보였고 또 지금도 대권을 꿈꾸고 계신 분이 임기가 아직 1년도 넘게 남은... ",20210217
그렇다 하더라도 후보 한 명이 아쉬운 입장에서 어느 정도 지지율이 나와주는 <b>대선</b> 주자이기 때문에 <b>홍준표</b> 의원은 언젠가 복당을 할 수 있을 것으로 보입니다. 특히 김종인 위원장의 임기가 <b>대선</b>까지가... ,20201113
"이런 와중에 특히 국힘당의 저번 <b>대선</b> 주자였던 '<b>홍준표</b>'는 공약들이 알려지며 점점 더 재평가설이 부각되고 있다. 김종인이 <b>홍준표</b> 입당을 불허하고 있지만, 결국은 입당할 수 밖에 없는 상황이 만들어지고... ",20201207
"범보수 대권주자 적합도는 '안철수(14%) vs <b>홍준표</b>(12%) vs 유승민(9%)' 등으로, 오차범위 내 선두... 제20대 대통령선거 3자 대결 &quot;민주당 47%(▲5) vs 보수단일 37%(▼2) vs 정의당 4%(▼1)&quot; #제20대<b>대선</b>... ",20210303
