text,created_at
"아직 <b>복당</b>을 하지 않은 <b>홍준표</b> 의원을 길들이려는 게 아닐까 싶기도 합니다. 언젠가는 다 받는 것이 기정사실화 되어있었는데, 김태호 의원은 받아도 별로 큰 파장이 없을 거 같거든요. 윤상현 의원도 당장의... ",20200917
"주호영의 말 속에서 '<b>홍준표복당</b>' 반대하는 이유를 우리는 알 수 있습니다. 기억하시나요? 여당의 X-맨... 이에 홍준표는 &quot;당원의 입·복당 여부는 당원들이 결정하는 것이지, 개인적인 감정으로 몇몇... ",20201205
국민의힘은 <b>홍준표복당</b>에 지지율상승을 기대 할수 밖에없는 현실이 점점다가 오고 있다. 홍준표는 결국복당하게 될것이고 그가 김종인 체제에서 만든 국민의힘 당명을 새로 바꾸고 대선후보가 될가능성도 높고... ,20200917
"지도자 <b>홍준표</b>대표님의 <b>복당</b>을 막고 있다. https://youtu.be/yMnI088aaHQ #탄핵대선 [정치, 그날엔…] 대선 여론조사의 숨겨진 퍼즐 '샤이보수' 입력2020.10.10. 오전 9:00 수정2020.10.10. 오전 9:01 <b>홍준표</b>, 대선 D-1개월... ",20201009
***@******.*** /사진=뉴시스 [파이낸셜뉴스] <b>홍준표</b> 의원이 자신의 <b>복당</b>에 반대 의사를 밝힌 주호영 국민의힘 원내대표를 향해 “내가 <b>복당</b> 시킨 일도 있고 ‘이명박 진영’ 합류를 권유해서 MB 시절 출세했던... ,20201204
"정치 <b>홍준표</b>, ‘<b>복당</b> 어렵다’ 주호영에 “배은망덕해”무소속 홍준표 의원은 국민의힘 주호영 원내대표가 자신의 복당 문제에 '상당 기간 어렵다'고 말한 것과 관련해 &quot;배은망덕하다&quot;고 말했다. 홍 의원은... ",20201204
"김태호·권성동 <b>복당</b>에…<b>홍준표</b> “그들은 가출, 난 외출”김진하 동아닷컴 기자 입력 2021-01-08 10:21수정 2021-01-08 11:12 공유하기닫기 <b>홍준표</b> 무소속 의원은 국민의힘 <b>복당</b>과 관련해 “시간이 지나면 다 해소가... ",20210108
있는 홍준표 의원의 복당 시기는 아직 미지수다. 당의 안정이 우선이라는 김종인 국민의힘... 유재석 홍준표 홍준표 지지율 홍준표 관련주 홍준표 유튜브 홍준표 지지율 급상승 <b>홍준표 복당</b> 홍준표 나이 홍준표... ,20200918
과거 업급하며 &quot;배은망덕&quot; 일각선 당 지지율 상승세 걸림돌 우려 중진들 &quot;보선·대선 승리 위해 힘 모을 때&quot; [이데일리 박태진 기자] 전 자유한국당(현 국민의힘) 대표를 역임한 <b>홍준표</b> 의원이 <b>복당</b> 행보에... ,20201204
"<b>홍준표</b> 의원의 '<b>복당</b>'과 관련한 질문에는 &quot;지난 대선에서 24% 득표하신 분이고, 지금도 대선에 대한 뜻을 갖고 있다&quot;며 &quot;<b>복당</b>은 당 지도부가 결정해야겠지만, 홍 의원 같은 분은 빨리 들어와서 경쟁하는 게... ",20201118
역임한 <b>홍준표</b> 의원이 <b>복당</b> 행보에 시동을 걸었다 최근 국민의힘 중진은 물론 초선의원들과도 만남을 가지며 기회를 타진 중이다 하지만 당 지도부가 당장에 <b>복당</b>은 어렵다는 입장을 내비쳐 난항이 예상된다... ,20201205
<b>홍준표</b> 무소속 의원이 주호영 국민의힘 원내대표를 &quot;배은망덕하다&quot;고 비판했다. 홍 의원은 3일 자신의 페이스북에 &quot;주 원내대표가 중앙일보와의 인터뷰에서 내 <b>복당</b> 문제에 대해 반대하는 의원이 많은 데다 30... ,20201204
장제원 국민의힘(옛 미래통합당) 의원이 당 출신 무소속 의원들의 <b>복당</b> 문제 해결을 촉구한 가운데 <b>홍준표</b> 무소속 의원이 고마움을 표했다. 장 의원은 6일 자신의 페이스북에 “내일이면 교섭단체 대표연설을... ,20200912
"김종인 “나이 80, 대선 출마 없다…<b>홍준표 복당</b>, 본인에 달려”뉴시스 입력 2020-09-24 13:00수정 2020-09-24 13... 홍준표 의원은 김 위원장과 관계가 좋지 않아 복당이 어려운 것 아니냐는 질문에는 “제가 결정하는... ",20200924
내게 복당 운운하는 질문 자체가 무례하고 불쾌하다&quot;는 입장을 밝혔다. 앞서 그는 이날 오전 CBS... #홍준표 #홍준표당선 #홍준표무소속 #<b>홍준표복당</b> 출처: http://www.newswitch.co.kr/news/articleView.html?idxno=4100 &quot;&quot; &quot;,20200422
"무소속 <b>홍준표</b> 의원은 아직 <b>복당</b> 신청을 하지 않은 상태라는 점을 말씀드리면서 4.15총선부터 현재까지를 3등분 했는데, 현재 3기에서는 국민의힘 주도권이 <b>홍준표</b>의 <b>복당</b>을 결정한다는 말씀을 드렸습니다. 또한... ",20201026
희생시켰음 홍준표대표님 복당 막는 초선 좌파양금희의 실체!!! 무슨 성평등 대통령되겠다는 문재인... #<b>홍준표 복당</b>을 막는 놈들은 ❌❌친황교활 초선들 친유승민 패거리들!!!❌❌ 황교안 지령받고 복당... ,20201002
