text,created_at
"번역하면 입닫고 버티기모드 돌입하면 조국이 난리통에 우리 <b>아들</b> 국적문제는 자연히 잊혀질거라 기대한다...뭐 이렇게 들리네...한번 보자 어떤 결말이 날지... 7. <b>홍준표</b> 옳은말 1표, 나경원 모든... ",20190922
중앙포토 <b>홍준표</b> 무소속 의원이 추미애 법무부 장관 <b>아들</b>에 대한 각종 의혹과 관련해 검사들을 향해 &quot;검사가 바로 서야 나라 법질서가 바로 선다&quot;며 &quot;검사답게 처신하라&quot;고 질책했다. 홍 의원은 6일... ,20200907
"[네이버-헤드라인]-[2021-03-02-화] 헤드라인 뉴스 ○ <b>홍준표</b> &quot;이재명, 文<b>아들</b> 물고 늘어질 때 '양아치… 뉴스1 뉴스1 연합뉴스 디지털데일리 ○ 이언주 &quot;문 대통령 3·1절 기념사, 실망 넘어 분노…정치공작... ",20210302
"<b>홍준표</b> &quot;秋 <b>아들</b> 왜 미루나, 난 전두환 때 법무장관 사돈 구속&quot; 기사입력 2020.09.07. 오전 9:17 최종수정 2020.09.07. 오전 9:31 중앙일보 <b>홍준표</b> 무소속 의원. 중앙포토 <b>홍준표</b> 무소속 의원이 추미애... ",20200907
"추미애 <b>아들</b> 수사 1주일이면 충분 <b>홍준표</b>&quot;8개월이나 미루는 검찰 이해안돼&quot; © mohamed_hassan, 출처 Pixabay 국회 무소속 <b>홍준표</b> 의원이 추미애 법무장관 <b>아들</b>의 탈영(의혹) 문제는 1주일만 수사하면 결론이 난다고... ",20200906
남았는지 가짜 뉴스다 제 블로그 방문해주신거 감사드리고 소상공인 자영업자분들이시라면 화이팅 하시길 바랍니다 저도 제 가족들보고 열심히 살겠습니다 #<b>홍준표</b>수성구국회의원 #추미애장관<b>아들</b>병가의혹수사,20200908
<b>홍준표</b> “나경원 <b>아들</b> 이중국적 여부 밝히면 논쟁 끝”··· 민경욱 “내부 총질” 반발 자유한국당 <b>홍준표</b> 전 대표와 민경욱 의원이 나경원 원내대표의 원정출산 의혹을 두고 두번째 설전을 벌였다... 확인하러... ,20190922
<b>홍준표</b> 전 자유한국당 대표는 21일 자신의 페이스북을 통해 가 나경원 원내대표 <b>아들</b>의 의혹에 대해 &quot;<b>아들</b>이 이중국적인지 여부만 밝히면 논쟁은 끝난다”며 나 원내대표에게 직접 밝히기를 공개적으로... ,20190922
http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002572435&amp;CMPT_CD=P0010&amp;utm_source=naver&amp;utm_medium=newsearch&amp;utm_campaign=naver_news <b>홍준표</b> &quot;<b>아들</b> 이중국적 밝혀라&quot; 요구에 나경원 &quot;생각 없다&quot; 홍준표 자유한국당 전 대표가 '원정... ,20190923
&quot;검사답게 처신하라&quot; <b>홍준표</b> 무소속 의원이 추미애 법무부 장관 <b>아들</b>의 병역특혜 의혹에 대한 검찰 수사를 촉구했다. 홍 의원은 6일 저녁 자신의 페이스북에 왜 추미애 장관 <b>아들</b> 문제를 놓고 검찰이 왜... ,20200907
"이이제이 <b>홍준표</b> &quot;나경원, <b>아들</b> 이중국적 의혹 밝혀야..1억 피부과 파동 떠올라&quot; 권준영 입력 2019.09.22. 11:42 &quot;조국 물타기에서 나 원내대표가 수렁에 빠지지 않도록 조속한 대처를 기대&quot; [아이뉴스24 권준영 기자]... ",20190922
"<b>홍준표</b> 전 대표는 할말했다,내부 혼란은 민경욱의원이 하는것 같다,<b>홍준표</b> 전 대표는 애국충정으로 주장한것이고 한사람은 충성심 보이려고 하는짓 같다~ <b>홍준표</b> “나경원 <b>아들</b> 이중국적 여부 밝히면 논쟁 끝”... ",20190923
사진/ 세계일보 자유한국당 <b>홍준표</b> 전 대표가 나경원 원내대표에게 '원정 출산 의혹'을 풀기 위해 <b>아들</b> 국적을 스스로 밝히라고 촉구했다. 이에 대해 나 원내대표는 홍 전 대표 발언에는 대응하지... ,20190923
<b>홍준표</b>는 틀린말은 안하더라 3. 권력이 뭐길래 같은 편끼리 총질이냐 ㅉㅉ 4. 좋은 기회네. 서울서... KASY president H jo kim.Korean American Students of Yale.예일의 한국계 미국인 학생들.동아리 회장 ☞ 나c <b>아들</b>... ,20190921
"<b>홍준표</b>가 나대표 <b>아들</b> 출생의혹, 국적의혹 제기하니까 나경원이 아니다라는 한 마디에 바로 태세전환했다는 부분에서 빵터졌다. 니들은 의혹에 대해서 아니다 한마디면 끝나고, 조국에 관련된 의혹은 반드시... ",20190924
너 끼워줄 국민 없다 <b>홍준표</b> “나경원 <b>아들</b> 이중국적 여부 밝히면 논쟁 끝”··· 민경욱 “내부 총질” 반발 자유한국당 <b>홍준표</b> 전 대표와 민경욱 의원이 나경원 원내대표의 원정출산 의혹을 두고 두번째 설전을... ,20190922
