text,created_at
"향후 입당이 성사되고, 대선 주자 지위를 굳히면 지지율이 ‘점프’하지 않겠느냐”고 말했다. [출처: 중앙일보] 대선 재수 노리는 <b>홍준표</b> &quot;<b>지지율</b>? 반전의 기회 반드시 온다&quot;",20201007
<b>홍준표</b> 무소속 의원 11월 <b>지지율</b> : 1% 당 밖에서 계속 국민의힘의 김종인 비대위원장을 공격하며 존재감을 과시하고 있습니다. 그런 <b>홍준표</b> 의원이 꾸준히 5위 안에 드는 대선 <b>지지율</b>을 확보하고 있다는 것은... ,20201113
한때 윤석열 검찰총장이 10%의 <b>지지율</b>로 야권 1위로 치고 나오기도 했다. <b>홍준표</b> 의원은 지난 대선에서 자유한국당 후보로 출마했다. 사진은 2017년 5월 8일 서울 대한문에서 열린 대선 선거운동 마지막날 홍... ,20201002
뚝 떨어진 윤석열 <b>지지율</b>...野 <b>홍준표</b>·유승민·원희룡이 못 가져갔다. 잡룡 3명은 관상이 안되잖아''' 이게 바로 변덕스런 한국인의 심성이야'''''' “윤석열 3월 사퇴설도 솔솔” 윤석열 검찰총장 윤석열... ,20210228
귁민의힘 <b>홍준표</b>복당이 <b>지지율</b>회복 마지막퍼줄 정권창출 아닌 민주당장기집권에 제일야당이 최종목표 민주당정권이 최소20년이상 집권이 예상되는 가운데 관심사는 그이후 정권을 담당할 제일 야당의... ,20200917
"☞ 관련글 : 자한당 에게 난타당하고도 끽소리 못하는 언론들 - 어른이 - 자유한국당<b>지지율</b>저조원인 , 정치합시다_유시민.<b>홍준표</b> , 자한당<b>지지율</b>이안오르는이유 , 민식이법",20191204
"차기 대통령 적합도, <b>지지율</b> 여론조사에서 1위로 올라섰던 이재명 경기도지사가 계속 1위를... 이어 안철수 국민의당 대표(5%)와 <b>홍준표</b> 무소속 의원(5%), 오세훈 전 서울시장(2%)과 유승민 전 의원(2... ",20210218
<b>홍준표</b>의원 <b>지지율</b> 때문에 걱정하시는 분들이 많습니다. 하지만 이것을 어떻게 해석하느냐에 따라 오히려 희망적이라 생각합니다. 왜 희망적인지 살펴봅시다!!... ,20200901
"율산시장 선거개입 의혹사건 전모 드러난다 ㆍ김종인 강남갑 태영호 수보 선거 사무소 방문, 연일 태영호지원 ㆍ대구 수성乙 <b>홍준표 지지율</b> '간발의 차' 1위 ㆍ황교안-홍준표 장외 입씨를 가열... ",20200406
&quot; &quot; &quot; &quot;당 밖에서 '웰빙'하던 사람들이 총선 망쳐&quot; &quot;당 정체성도 상실케 하고 城 쌓으려고 해&quot; <b>홍준표</b>... 내가 당권을 잡는데 방해가 되니 배제한다&quot; <b>홍준표</b>의원 #<b>홍준표</b> #<b>홍준표</b>의원 #국민의힘 #무소속 #김종인 #주호영,20201028
<b>홍준표</b> 페이스북 이날 홍 당선인은 &quot;<b>지지율</b>이라는 것에 정치인들은 목을 메지만 <b>지지율</b>은 사실상 뜬구름에 불과 하다&quot;며&quot;박근혜 전 대통령 시절 압도적 <b>지지율</b> 1위는 김무성 대표였고 야권 <b>지지율</b> 1위는 박원순... ,20200503
이재명 41.7% vs 유승민 32.2%· 이재명 45.8% vs <b>홍준표</b> 29.8% 더불어민주당의 유력 대권주자인 이재명 경기도지사가 차기 대통령 선거 가상 양자대결 여론조사에서 유승민 전 국민의힘 의원과 <b>홍준표</b> 무소속... ,20201201
"결과적으로 문재인 후보의 <b>지지율</b>을 깍아내리고, <b>홍준표</b> 후보의 <b>지지율</b>을 끌어올렸습니다. 이미지 출처 : 2017년 4월 17일 중도일보 기사 https://goo.gl/PuOdQI 리얼미터는 2017년 4월 3째주까지 유선조사 10... ",20170502
지난 대선에서 이재명 지사나 <b>홍준표</b> 의원도 원래 <b>지지율</b>은 낮았지만 일부 조사에 꾸준히 포함이 되다가 결국 <b>지지율</b> 상승에 불이 붙어 강력한 대선 주자로 떠올랐던 케이스입니다. 그리고 후보 선정에 대한... ,20200701
"<b>홍준표 지지율</b>이 급등했습니다. 황교안이 대선불출마를 선언하자 황대행의 지지자들이 홍준표... 모래시계 검사로 유명세를 탄 홍준표, 그의 지지율이 황교안 정도가 나오는 날 친박 중 극히 일부인 서청원.... ",20170316
"&lt;적극 투표층에서의 대선후보 지지율, 문재인 단연 선두&gt; 여기서도 <b>홍준표 지지율</b>은 2위의 결과가 나왔습니다. 문재인 48.3%·홍준표 19%·안철수 16.7%·심 9.3%·유 3.7% 데일리안이 의뢰해 여론조사 기관... ",20170502
문재인 안철수 <b>홍준표 지지율</b> [리얼미터 3월 5주차 주간집계] 325비서입니다. 각 당의 대선후보가... 가상의 3자대결에서도 문재인 후보의 지지율은 안철수 후보의 지지율과 홍준표 후보의 지지율을 합산한... ,20170403
아리랑 연주도 반대한다니 도대체 자한당과 지지자들은 전부 <b>홍 준표</b>.김성태.나경원 같은 고약하고... 자한당을 지지하는 <b>지지율</b>은 이미 바닥이다. 구태여 언급하지 않아도 얼치기 대표 세 사람 은 눈치 챗을... ,20180121
지금까지 <b>홍준표</b>후보의 <b>지지율</b>은 낮지만 이제부터는 본격적인 선거활동에 들어가겠죠. 오늘의 포스팅은 <b>홍준표</b> 후보의 이미지메이킹에 대해 알아보겠습니다. <b>홍준표</b>후보는 그동안 정치인으로 활동하면서... ,20170410
#문재인안철수후보여론조사 #대선후보<b>지지율</b> #<b>홍준표</b>돼지발정제 #대선후보여론조사 #정당지지도 #문재인안철수후보 #<b>홍준표</b>자서전논란 #삼성동자택매각 #유승민딸유담 #송민순회고록 http://m.news.... ,20170421
"대구 수성을 여론조사, 홍준표 살아서 돌아 갈 수 있을까? 이상식 이인선 <b>홍준표 지지율</b>, 수성구 을... 이상식 후보는 2030의 지지율을 홍준표 후보에게 빼았기고, 50대 이상 연령층에서 절대적 열세를... ",20200412
"- <b>홍준표 지지율</b> 홍준표 70∼80%라는 문대통령 지지율 거짓말, 섹션politics, 요약자유한국당 홍준표 대표는 1일 여론조사에서 문재인 대통령의 지지율이 홍준표 70∼80%라는 문대통령 지지율 거짓말 소위 관제... ",20190504
왜 홍준표 후보는 어이가 없다고 한 것일까? 그리고 현재 <b>홍준표 지지율</b>이 7%라서 숨은 보수층들이 문재인 후보 대항마로 안철수 후보를 지지하고 있는 현상이 발생하고 있는데 현재 지지율이 7% 건 70%건 의미... ,20170407
"처음앤씨, <b>홍준표 지지율</b> 급등에 강세 처음앤씨 처음앤씨 111820 2017.03.16 15:30 장마감 현재가 8,660 전일대비 380 등락률 +4.59% 거래량 401,558 전일가 8,280 관심종목등록 close 가 홍준표 경남지사의 지지율... ",20170316
무조건 <b>홍준표 지지율</b>이 올라줘야한다. 그래야 안철수 지지율을 조작해서 떨어뜨리고 그 지지율 상승분을 홍준표로 옮기는 작업을 할 수있기 때문임. 홍준표 말처럼 정말 여론조사기관이 야당에 줄서서 편파... ,20170430
장미대선을 불과 10여일 앞두고 자유한국당 <b>홍준표</b> 후보가 대선후보<b>지지율</b> 판세에 지각변동을 일으키며 얼어붙어 있던 보수층에 훈풍을 주도하고 있다. 26일 발표한 여론조사기관 알앤써치의 4월 넷째주... ,20170426
"<b>홍준표</b> 지사의 <b>지지율</b>은 7.1%로 지난주(3.6%)보다 두 배 가까이 상승했다. 유승민 의원은 4.8%(▲1.7%)의 <b>지지율</b>을 기록했다. &lt;자료=리얼미터&gt; 김혜선 기자 *******@*******.*** &lt;저작권자 © 월요신문, 무단 전재 및... ",20170316
"대선이 11일 앞으로 다가온 가운데, 보수 표가 자유 한국당 <b>홍준표</b> 후보에게로 결집하는 움직임을 보이고 있습니다...! 홍 후보는 ‘돼지 흥분제’ 논란을 겪었지만 TV 토론에서 보수 진영을 대변하면서... ",20170428
"'<b>홍준표</b>' 지운 한 달…<b>지지율</b>은 아직 '3등' ￭ 한국갤럽 조사에 따르면 8월 셋째 주 한국당 <b>지지율</b>은 11%로 두 달 전보다 3% 하락했고, 정의당에도 뒤지는 것으로 나타나 ￭ 더 큰 문제는 여권 <b>지지율</b>이... ",20180818
"&lt; 대선후보 문재인, 안철수, <b>홍준표 지지율</b>&gt; 홍준표 후보 지지율은 안철수 후보 지지율을 오차범위(±2.2% 포인트) 내에서 1% 포인트 차이인데요. 프레시안이 지난 4월 25일부터 27일까지 실시한 대선후보... ",20170504
"대선 , 와각전쟁 , <b>지지율</b> , <b>홍준표</b> <b>홍준표</b>,&quot;야권에서 와각지쟁(蝸角之爭)을 멈추고 대의(大義)를 중심으로 뭉친다면 또다른 세상이 보일 것&quot; [시사우리신문] 4.15 총선 대구수성을 무소속으로 출마한 <b>홍준표</b>(전... ",20200503
"같은 조사에서 다른 야권 주자들의 <b>지지율</b> 성적표는 초라했다. 무소속 <b>홍준표</b> 의원은 5%, 국민의힘 유승민 전 의원은 2%, 원희룡 제주지사 1%였다. 야권 잠룡들이 윤 총장의 <b>지지율</b>을 가져오지 못했다는 관측이... ",20210301
<b>홍준표</b> 후보의 <b>지지율</b>은 4월 4주차 주중에는 13.0%에서 주 후반에는 16.7%로 3.7% 상승했습니다. 심상정 후보의 <b>지지율</b>은 4월 4주차 주중에는 7.5%에서 주 후반에는 7.6%로 0.1% 상승했습니다. 유승민 후보의... ,20170430
"더불어민주당 이상식 지지율, 미래통합당 이인선 지지율, 무소속 <b>홍준표 지지율</b> 대구 수성을 홍준표 후보가 고향도, 양산을도 아닌 대구 수성을에 도전장을 냈습니다. 홍준표 후보가 수성을을 선택한... ",20200408
"변희제,&quot;다음주에도 <b>홍준표 지지율</b> 떨어지면 횃불당은 아비규환 될 것.., 결국 3파전&quot; 댓글 0 정치칼럼... 변 대표는 자유한국당은 홍준표 후보의 지지율이 4-5% 수준으로 고착되면 400억원 규모의 국가... ",20170414
<b>홍준표</b> &quot;한국당 <b>지지율</b> 20％ 넘어…부활 시작했다&quot; 댓글 1 정치 · 종합 2017. 8. 24. <b>홍준표</b> &quot; 한국당 <b>지지율</b> 20 ％ 넘어 … 부활 시작했다 &quot; &quot; 국민이 문재인 정부 평가 시작 … 연말에 윤곽 나올 것 &quot; 자유한국당... ,20170824
"자유한국당 <b>홍준표</b> 대통령 후보의 <b>지지율</b>의 허구는 27만통 전화 중에서 응답이 1997통인 전화여론조사로 <b>지지율</b>을 발표하고 마치 사실인양 여론을 조작하는 것에 대한 비판과 그 예시로는 힐러리,트럼프 미국... ",20170416
당 <b>지지율</b>이 대선 이후 처음으로 21%까지 올랐다”며 크게 고무된 모습을 보였다. [시사포커스 / 문충용 기자] <b>홍준표</b> 자유한국당 대표가 18일 “박근혜 전 대통령 출당 요구가 있었던 지난 수요일 다음날 일부... ,20170918
"대선후보 지지율, 안철수 <b>홍준표 지지율</b> 접전 문재인 독주 공표금지 전 마지막 여론조사 총정리... 안 후보와 홍준표 후보는 오차범위 내로 나타났는데, 격차는 지난주보다 좁혀졌습니다. 더불어민주당... ",20170503
유독 <b>홍준표</b>만 <b>지지율</b>이 굉장히 낮은것에 대해 의문이 있다. 보궐선거전 좌파는 보궐선거의 압승을 예상하여 보궐선거가 말해줄거라고 언론에서 떠들곤 하다가 자유한국당이 이기니 언론뿐 아니라 좌파도 말을... ,20170424
"황교안 대선 불출마 선언 뒤…안희정·안철수·<b>홍준표 지지율</b> 상승세 지난 10일 박근혜 전 대통령... 그 뒤로는 이재명 후보가 8.1%, 홍준표 후보가 7.7%의 지지율을 기록하면서 5위권으로 뛰어올랐다. 각 당... ",20170320
"《<b>홍준표</b> 후보 <b>지지율</b> 급상승》 ☆ 5월 2일 발표 알앤써치 조사 <b>홍준표</b> 21.2%, 안철수 19.4%로 안철수 추월 ☆ 5월 2일 발표 매경의뢰 빅데이터 분석 <b>홍준표</b> 23%, 안철수 20% ☆ 바른 정당 국회의원 13명 <b>홍준표</b>... ",20170503
안철수 홍준표 후보는 지지율을 올리기 위해 더욱 열심히 유세하고 TV토론에서는 더욱 치열하게 공방을 이어갈 것으로 보입니다. -관련기사- 문재인 안철수 <b>홍준표 지지율</b> [리서치뷰] http://www.pressian.com... ,20170428
"한국당과 <b>홍준표</b> 후보 <b>지지율</b> 올려 정권 창출하려면 댓글 5 생각하며!/정치 경제 2017. 4. 5. 중국은 가까워도 언제나 북한편 , 한국당 다시 우익 <b>지지율</b> 모으려면 KBS 캡처 사진 ♣ 한국당과 <b>홍준표</b> 후보 <b>지지율</b>... ",20170405
"한국당 &quot;드루킹, <b>홍준표 지지율</b> 기사에 댓글공작. 누가 피해 보상&quot; &quot;특검, 철저한 수사로 진실 밝혀야&quot; 2018-05-16 14:54:30 자유한국당은 16일 드루킹 일당이 지난 대선때 홍준표 한국당 후보의 지지율 관련 기사에... ",20180517
"<b>홍준표</b>, <b>지지율</b>이 미미해서 관심을 끊으려고 했는데 그가 내뱉는 막말들은 대선후보가 아니라 인간에 대한 회의가 들게 하고 있다. 자유당이야 워낙 홍준표 같은 막말러가 서식하기 딱 좋은 당이니 그들 중... ",20170502
"김부겸 지지율, 수성을 <b>홍준표 지지율</b>, 이인선 지지율, 이상식 지지율, 달서갑 홍석준, 권택홍... 7% 37,165표 홍준표 무소속 38.5% 40,015표 당선 대구 달서갑 권택흥 더불어민주당 26.8% 25,523표 홍석준... ",20200521
"유승민 후보는 치명타를 입게 되어 안타깝게 되었네요~ 반면에 <b>홍준표</b> 대선후보는 <b>지지율</b>이 급상승하여, 2017년 19대 대통령 선거 <b>지지율</b>에서 대지각변동이 예감되고 있습니다. 대지각변동을 예견해주는... ",20170502
"또, 문재인 후보의 40.3% <b>지지율</b>은 안철수 <b>홍준표</b> 유승민 세 후보의 <b>지지율</b> 합계 36.8% 보다 6.2% 이상 앞서고 있습니다. 이는 오차범위(±1.96%)를 넘어서 앞서고 있는 것입니다. 연령대별로는 50대 이하... ",20170403
뉴스캡쳐-데일리안 국민의 당 안철수 후보의 지지율 하락과 자유한국당 홍준표 후보의 지지율 상승이... 토론이 진행 되면 진행 될 수록 자유한국당 <b>홍준표 지지율</b> 상승 할 것이다. 그 이유는 바로 분열되어 있는... ,20170426
나온 <b>홍준표</b> 후보는 '<b>지지율</b> 20% 넘는 것'도 있다고 말한 적 있다&quot;라고 말을 꺼냈다 이에 정우택 선대위원장은 18일 부산에서 한 걸 말하는것 같습니다 그날 말한건 전국적 <b>지지율</b>이 아니라는걸 말하고 소위... ,20170420
"안철수,<b>홍준표 지지율</b>이죠. 단 1.0%차이로 위기의 안철수, 과연 홍준표한테 따라잡힐까요? 2017.05.03 (어제자 지지율) 어제자 4% 차이가 났던 지지율과 비교해봤을 때 안철수에게는 홍준표에 상승세가... ",20170504
하지만 <b>지지율</b> 7%는 예사로운 사안은 아니다... <b>홍준표</b>가 뭘 잘못하고 있는지 지적해주겠다... 일단 대한민국 우파 성향 유권자는 최소 36% 이상이다... 36%는 굳건한 우파이다... 그런데 왜 7%가 나올까...???... ,20170407
&lt;디테일추적&gt; '설거지는 여자가' 발언이후 '가정주부' <b>홍준표 지지율</b> 두배로 올랐다 ‘설거지’... 그러나 홍준표 후보는 지지율이 꾸준한 상승세를 보이고 있는 것은 물론 세가지 논쟁적 이슈가 불거진... ,20170429
"보수 “패닉”… 1위 <b>홍준표 지지율</b> 2%·비호감 81%갤럽 여론조사로 본 실태입력 : 2017-03-18 05:01... 보수 주자 중 독주가 예상됐던 홍준표 경남지사도 한국갤럽 여론조사에서 ‘지지율 2%, 비호감도 81%’의... ",20170318
"&lt; <b>홍준표 지지율</b>, 안철수 후보와 오차범위내 접전&gt; 홍준표 후보 지지율은 3주간 12.1% 포인트나 상승했고, 안철수 후보 지지율은 3주간 17.6% 포인트나 하락했습니다. 이는 안철수... ",20170502
<b>홍준표 지지율</b> 보수 후보 중 선두..김진태와 4.5%p차이 더불어민주당 문재인 전 대표가 지난주에... 8%&gt; 홍준표 9.8%&gt;심상정 3.. ▶ [리얼미터 대선주자 지지율] 문재인 36.4%&gt;황교안 14.9%&gt;안희정 12.6... ,20170329
19대 대선후 성주 주민의 자유당 <b>홍준표 지지율</b>은 50%에 달했음이 밝혀졌다. 사드를 결사 찬성하는 자유당과 홍준표를 절대적으로 지 지한 것이다. 사드결사반대를 외치는 주민들이 사드결사찬성을 외치 는... ,20170512
"[리얼미터]4월 27~29일 문 42.6%, 안 20.9%, 홍 16.7% 리얼미터 대선<b>지지율</b> 여론조사 결과 자유한국당 <b>홍준표</b> 후보의 <b>지지율</b>이 큰 폭으로 올라 국민의당 안철수 후보와의 격차를 처음으로 오차범위 내로 좁혀... ",20170430
"통합당 탈당 홍준표, 김태호, 권성동, 최명희 생존 가능성은? 수성을 여론조사, <b>홍준표 지지율</b>, 산성함양거창합천 김태호 지지율, 강릉 여론조사 권성동, 최명희 지지율 공천에 불복해서 무소속으로 출마하는... ",20200404
문재인 안철수 <b>홍준표 지지율</b> [데일리안 여론조사] 데일리안이 의뢰해 여론조사 기관 알앤써치가... 후보 지지율과 홍준표 후보 지지율 사이에 '연동' 현상이 나타난 결과입니다. 자유한국당 홍준표 후보... ,20170426
오차범위내의 지지율이었기 때문에 김종천 후보의 당선을 예측한 이는 극소수지만 있었을... 바로 홍준표 입니다. 숨어있는 보수표들은 말로 하지 않고 투표로 말합니다. <b>홍준표 지지율</b> 지금은 아무런 의미가... ,20170413
"홍 후보는 &quot;이번 선거는 종북 좌파1, 위장된 친북좌파1, 친북좌파1, 이런 후보들과 우파 <b>홍준표</b> 하나의 3... 대선 전 여론조사에서 받았던 2~3%대의 <b>지지율</b> 보다 두 배 이상 <b>지지율</b>이 뛰었다 없던 표심까지... ",20170511
"자유한국당 <b>지지율</b> 하락 이유 (0) 2018.05.10 원세훈 국정원장 댓글부대 징역 4년 확정, 대법원 독립이 절실하다 (0) 2018.04.25 김성태 <b>홍준표</b>, 자유한국당 <b>지지율</b>은 오르지 않는다. 드루킹 효과 미미할 듯 (1) 2018.... ",20180510
"<b>홍준표</b>의 경우, 현재 여론 <b>지지율</b>도 별로인데다 제1 야당에서 배척한 무소속 야인 주자의 약점을 안고 있다. 하지만 지난 대선에서 무려 24%의 지지를 이끌어 내고도 아쉬운 2위 석패를 한 실력을 인정하지 않을... ",20210308
"한국당 ‘담배값 인하’ 법안 예정, 서민경제의 단비내린 꼴이고 <b>홍준표 지지율</b> 대어 낚은 꼴이다.... 꼴이고 <b>홍준표 지지율</b> 대어 낚은 꼴”이라고 평했다. 이어 “유류세도 인하하고 전기 누진세도 폐지하자... ",20170726
"이제까지 <b>홍준표 지지율</b>이 6~8%에 맴돌았던 것을 고려할 때, 이번 급등은 대선 선거 운동 기간이 시작되며 보수 진영의 궤멸을 우려하는 영남권 샤이 보수층이 본격적으로 홍준표 후보로... ",20170417
"보수는 북한에 대한 태도를 중요하게 보는데, <b>홍준표</b>는 대한민국을 흔드는 종북좌파세력을 물리치려는 강한 의지가 있기 때문에 <b>지지율</b>이 높습니다. http://kin.naver.com/qna/detail.nhn?d1id=6&amp;dirId=61404&amp;docId... ",20170505
나는 영화만 봐&quot;&quot;한국당 당원 조사하면 <b>홍준표 지지율</b> 80% 나올 것&quot;홍준표 자유한국당 대표는 8일... 조사하면 홍준표는 80% 나올 것&quot;이라고 호언하기도 했다. 그는 &quot;버젓이 신문·방송에서 대통령 지지율이 70... ,20180108
최근 <b>홍준표 지지율</b> 급상승과 지금 여론조사가 잘못된 이유. 어제 토론 장난 아니였는데 여론조사에는 변화가 없네요. 정말 의심스럽습니다.. https://youtu.be/hUVRQHzb0IA http://blog.naver.... ,20170430
"<b>홍준표</b> “文정부 <b>지지율</b>, 北김정은 능가…코미디 같은 여론조사” <b>홍준표</b> 전 경남지사는 17일 한 여론조사 기관이 발표한 문재인 정부의 호남 지역 여론조사 <b>지지율</b>을 두고 “북한 김정은의 <b>지지율</b>을 능가한... ",20170617
"[뉴스큐레이션] 차기 대선주자<b>지지율</b>, 이낙연, 이재명, 윤석열, <b>홍준표</b> 이낙연 관련뉴스 [조선일보] “통신비 2만원, 두고두고 조롱받을 것”...이낙연, 오늘 두차례... ",20200815
"'무상급식 중단 논란' <b>홍준표</b>, <b>지지율</b> 2계단 상승..6위 - 스타뉴스 실제로 홍준표 도지사는 무상급식 전면 중단을 선언하고 난 뒤에 정치인으로서 꿀맛같은 시기를 보내고 있습니다. 매주마다 발표되는 차기 대선... ",20150325
"현명치 못한 둔탁한 김성태-방정맞은 <b>홍준표</b>의 미련한 전략 - 드루킹 사건 규모나, 미투 정봉주 안희정 이런 건들은 문재인 <b>지지율</b>에 큰 영향을 주지 못한다. 자유한국당의 실력, 속칭 포지티브한 자득점이... ",20180425
이전 포스팅 즉 토론회 기점으로 가장 큰 변화가 일어나는 쪽 그리고 그 변화는 긍정적이라고 집중되는 쪽이 문재인이나 안철수 쪽이 아닌 홍준표라 하였는데 예상대로 <b>홍준표 지지율</b>의 폭등으로 안철수씨를... ,20170508
