text,created_at
정말 우파들의 <b>홍준표 페이스북</b> 집단린치는 우파의 민낯을 보는것이다. 그 동안 우파라고 생각했던... 왜 그리고 사학계에서 다뤄야할 역사의 가치들을 도대체 왜 정치인인 홍준표 에게 요구를 하는건지... ,20190816
"(시사캐스트, SISACAST= 윤관 기자) <b>홍준표</b> 전 자유한국당 대표가 최근 <b>페이스북</b> 정치를 재개했다. 지난 2월 전당대회 불출마를 선언한 이후 잠시 휴식기를 가지며 침묵을 지켰던 홍 전 대표는 지난달 25일... ",20190307
선조와 고종을 합친 것보다 더 무능하고 무책임 <b>홍준표</b>(자유한국당 前 대표) <b>페이스북</b> 선거 한번 잘못해 나라 꼴이 이렇게 되어 버렸다. 문 대통령 말대로 한번도 경험해 보지 못한 나라로 가고 있다. 무얼... ,20190806
"https://news.nate.com/view/20190802n00287?mid=n0207 &quot; &quot; * 기사 내용 <b>홍준표</b>, <b>페이스북</b>에 글올려…&quot;험지서만 4선했다&quot; &quot;험지 출마 운운하는 사람들 강북 험지로 오라&quot; 【서울=뉴시스】 박영태 기자 = 10일 오후 서울... ",20190804
<b>홍준표 페이스북</b> 김정은 사망설에 가장 흥분하고 거짓 기사를 퍼 나르고 생산 하던 일부 유투버들이 단 한마디 사과도 없이 또 부정선거 여부에 올인 하고 있습니다. 그러나 부정선거 여부는 인천 민경욱 의원이... ,20200505
,20210312
"<b>홍준표</b> , <b>페이스북</b> 통해 판결결과 '강한유감' 밝혀 1심에서 유죄선고를 받은 홍준표 경남지사가 이번 판결의 결과에 배경에 강한 유감을 드러냈다. 홍 지사는 10일 자신의 페이스북에 &quot;9월22일 선고될 이완구 전... ",20160910
https://blog.naver.com/jphong803/221300067318 <b>홍준표</b>님께서 <b>페이스북</b>에 글을 남겼는데 정말 명언이다. 도대체 저 글이 또 막말이라고 유투브에서 엄청나게 까이던데. 뭐가 막말이여.완전 바른말이지. 털어서 먼지안나는... ,20180616
신문고뉴스] 강종호 기자 = <b>홍준표</b> 자유한국당 전 대표의 추석인사가 의미심장하다. 추석 연휴가 시작된 22일 홍 전 대표는 자신의 <b>페이스북</b>에 “‘더도 덜도 말고 한가위만 같아라’라고 했습니다. 최악의... ,20180923
이에 본지는 <b>홍준표</b> 후보의 <b>페이스북</b>을 근거로 홍 후보가 밝힌 내용을 게재하게 됐다.-편집자 주- &quot;한 나라를 책임졌던 사람은 어떤 위기가 닥치더라도 여유와 유머를 잃어 버리면 안된다&quot; <b>홍준표</b> 후보는 지난... ,20170331
"않고 사회주의체제를 선택하면 역사적으로 북한, 버마처럼 거지나라 되는건 시간문제다. 근데 문재인정권은 개헌통해 사회주의체제로 가려고 한다. ■ #<b>홍준표</b> 대표님 <b>페이스북</b> 2018. 3. 24(*사진:한국당)",20180328
[<b>홍준표 페이스북</b>] 홍준표 SNS 전문 (출처=홍준표 의원 페이스북 글 게재 캡쳐) 초겨울에 접어드는 주말 아침에 남한산성을 바라보면서 훈훈한 연말이 되기를 기원해 봅니다. [<b>홍준표 페이스북</b>] 홍준표 SNS... ,20171126
[다음카페] 서울대 이영훈 교수 책..반일 종족주의 디스하는 <b>홍준표 페이스북</b> http://m.cafe.daum.net/ssaumjil/3lUM/98178?svc=cafeapp,20190818
"<b>홍준표 페이스북</b> 마지막말이 가슴에 찡하긴하네..... - 정치 - 일베저장소 http://me2.do/GLjLGe78 홍준표님, 수고하셨습니다. 한국당 전체 득표수는 33%를 넘어섰다는거 굉장히 좋은 신호입니다.",20180616
<b>홍준표</b> 응원합니다 7. 매국노들이 광복 후 폐족되었냐? ㄱㅅㄹ 지껄이지 좀 마시오! 지금 하는 꼬라지들을 봐라... 지들이 집권한 줄 안다... 과거엔 그게 먹혔는데... 고놈들이 21세기에도 같은 줄 아나보다.... ,20190804
"“모든 책임은 내가 진다” <b>홍준표</b> 자유한국당 대표가 지방선거 출구조사 발표 직후 <b>페이스북</b>에 글을 올렸다. 단 한 줄이었고, 그것도 영어였다. “THE BUCK STOPS HERE!” 미국 33대 대통령 해리 트루먼이... ",20180613
,20201026
"박영선 &quot;이제 남은 건 BBK 가짜편지, 흔든 사람은 <b>홍준표</b>&quot; <b>페이스북</b>에 MB 구속에 대한 소감 남겨... &quot;주어가 돌아와 동부구치소로 갔다&quot; 18.03.23 10:53 l 최종 업데이트 18.03.23 10:53 l 이정환(bangzza) 크게 l 작게 l 인쇄... ",20180324
#경향 감살?감쇄? <b>홍준표 페이스북</b>으로 불거진 여의도 `한자 공부` 여의도 정치권에 한자 오기 해프닝이 벌어졌다. 자유한국당 홍준표 전 대표가 2차 북·미정상회담 일정이 한... 확인하러 가기,20190207
<b>홍준표</b> 전 자유한국당 대표 <b>페이스북</b> 홍 전 대표는 “이런 사람들이 정리되지 않으면 한국 보수정당은 역사 속에 사라질 것”이라며 “이념에도 충실하지 못하고 치열한 문제의식도 없는 뻔뻔한 집단으로... ,20180616
이영훈 책 ‘반일 종족주의’ 비판했다 아수라장 된 <b>홍준표 페이스북</b> - 민중의소리,20190815
"홍준표,홍준표 나경원,홍준표 나경원 사퇴,<b>홍준표 페이스북</b>,홍준표 유튜브,홍준표 막말, 홍준표... 14 홍준표 나경원 사퇴 페이스북 막말 유튜브 관련주 (0) 2019.09.14 조국 5촌 조카 체포 녹취록 전문 mbc 출국... ",20190914
●<b>홍준표</b> 대표님 <b>페이스북</b> (2018. 3. 25) ※요약: 14만 경찰의 수사권 독립은 아직도 멀다. #<b>홍준표</b> 대표님 <b>페이스북</b>(*사진: 한국당),20180328
"<b>홍준표</b>가 반만 맞췄네요. 폐족된건 맞지만, 토착왜구짓만 골라서 하고 있다는 사실은 못봤네요. ㅋ 9. <b>홍준표</b> 입에서 폐족이란 말이 나오다니.... ^^ 10. 봐라, 이젠 지들끼리 싸운다... ",20190804
경남 MBC.리얼미터의 최근 조사에서 800 샘플 조사를 했는데 로데이터를 보니 문재인 지지자가 400명이 응답하고 <b>홍준표</b> 지지자는 그 절반인 200명이 응답했다고 합니다. 그런데 경남은 지난 탄핵대선에서... ,20180602
감쇄? <b>홍준표 페이스북</b>으로 불거진 여의도 `한자 공부` 여의도 정치권에 한자 오기 해프닝이 벌어졌다. 자유한국당 홍준표 전 대표가 2차 북·미정상회담 일정이 한... 확인하러 가기,20190208
<b>홍준표 페이스북</b>을 보니 부산하고 울산에서 문재인을 많이 찍어서 실망했다고 댓글을 달던데 그 동안... 니들은 인권변호사가 총리를 한 적이 있냐? 홍준표 지지자나 일본 야후 댓글의 우익이나 수준이 똑같다.,20170510
석영철 <b>페이스북</b> 주소 아이디 - https://www.facebook.com/youngchul.suk <b>홍준표</b> - https://www.facebook.com/joonpyohong21 2장의 사진이 논란이 불거지자 정 실장은 15일 오전 <b>페이스북</b>의 글과 사진을 삭제했다고 합니다! 참... ,20150715
"두둔할게따로있지~ 같은 범죄자라고 동병상련인가? ㅉㅉ #국제신문 <b>홍준표</b>, <b>페이스북</b>에 박근혜 두둔 글...&quot;과한 측면이 있다&quot; <b>홍준표</b>, <b>페이스북</b>에 박근혜 두둔 글...`과한 측면이 있다` 확인하러 가기",20161205
"<b>홍준표</b> 전 대표가 <b>페이스북</b> 정치 마감에서 제시한 인적청산 댓글 0 단상(斷想) 2018. 6. 16. SNS정보지 , 자유한국당 인적청산 대상인물 , 정치권 대 개혁필요 , <b>홍준표</b> 위의 글은, <b>홍준표</b> 전 자유한국당 대표가 그의... ",20180616
"#국제신문 <b>홍준표</b>, <b>페이스북</b>에 박근혜 두둔 글...˝과한 측면이 있다˝ 홍준표 지사는 이날 자신의 페이스북에 ˝최순실 국정농단이 아니더라도 청와대에서 대통령이 국민 세금으로 미백주사, 태반주사를 맞았다면... ",20161205
<b>홍준표</b> 지사는 4일 자신의 <b>페이스북</b>에 박근혜 대통령이 죽을죄를 지은게 아니지 않느냐 라는 내용의 글을 올렸다 . <b>홍준표</b> 지산느 이어 절차를 밟아 4월 말에 내려오겠다는데 굳이 머리채 잡고 바로... ,20161205
"<b>홍준표</b> 페북에 뜬 내용이에요,, 아직도 박근혜가 대통령이라 생각하나 봅니다. 우리나라 유권자 40%가 보수라는데 그거 믿고 당당한가요. 욕나오네요 정말 ;;;;;; 쓰레기...",20170502
"이에 27일 검사 출신 홍준표 자유한국당 전 대표는 자신의 페이스북에 “검사들이 칼을 뺐다.... 프로필,윤석열 홍준표,<b>홍준표 페이스북</b>,조국 압수수색,홍준표,홍준표 막말,홍준표 유튜브 공유하기 글 요소... ",20190827
기자 = <b>홍준표</b> 전 자유한국당 대표는 1일 내년 4·15 총선 출마 가능성과 관련 &quot;판세가 나오는 내년 1월 가서 출마지역을 정하겠다&quot;고 밝혔다. 홍 전 대표는 이날 자신의 <b>페이스북</b>을 통해 &quot;제가 내년... ,20190804
"지난 28일 페이스북에 또다시 홍준표가 이재명을 저격하는 글을 올렸다. 지난 2월 28일 홍준표가... 이하 <b>홍준표 페이스북</b> 글 전문. 지난번 지방선거때 위장평화 거짓 선동에 가려 졌지만 형수에게 한 쌍욕, 어느... ",20210302
<b>홍준표</b>9시간 · 민주당 대표가 드루킹을 파리에 비유 했습니다. 그러면 문대통령은 파리의 도움으로 대통령이 되었다는 겁니까? 파리를 수사하는 검.경은 찍찍이 입니까? ... 쯔쯔쯔 어떻게 비유를... ,20180421
"제일 위에 게시한 <b>홍준표</b> 대표의 <b>페이스 북</b>에 올린 글의 내용을 분석해 보자. 먼저, &quot; 수사에도 비례의 원칙이 있다.....&quot; 문재인 좌파 정부는 이 비례 원칙을 고수하기 위해, 국정원 특수활동비 관련, 박근헤... ",20171127
7. 축구경기 아니지 전쟁이지 8. 이번기회에친일파 4촌까지 재산환수싸자 <b>홍준표</b> 이쓰레기놈 일본으로추방해야됨 되진 애미년 모지파서 같이 보내라 9. 짜증나 10. 니는 쫌. 마!!!,20190804
&lt;출처: <b>홍준표 페이스북</b>&gt; 그 핵심 인물이 바로 한국당 대선 후보였던 홍준표이다. 홍준표는 2017년 대통령선거 기간 내내 그리고 수시로 반공이데올로기를 꺼내들어 진보진영을 “친북좌파”로 공격했다.... ,20200421
"https://news.nate.com/view/20190801n48502?mid=n0207 &quot; &quot; * 주요 댓글 1. 준포야, 니 조국 일본으로 가그라. 2. 자민당 가서 개헌에 일조하고 그 곳에 뼈를 묻으면 되겠네..물론 그 어느 것도 안되겠지만..... ",20190804
그리고 하루 종일 실시간 검색어에 올라와 있는 '채홍사' <b>홍준표 페이스북</b> '채홍사'란? 네이버 영화... 홍준표 의원의 '채홍사' 발언은 이 부분과 관련이 있는 것으로 보입니다. 진중권 페이스북 홍 의원의 발언에... ,20200714
