text,created_at
"배우 김부선이 <b>홍준표</b> 무소속 의원을 향해 “이재명(경기지사)과 저의 과거 관계는 분명히 사적영역”이라고 했다. 김부선 페이스북 김부선은 10일 자신의 페이스북에 “<b>홍준표</b> 의원님, 사적 영역을... ",20210310
"자유한국당의 특징은 선명성을 강조하고, <b>홍준표</b>라는 대권주자를 중심으로 내세웠다는 특징이... 그로 인해서 <b>홍준표</b>라는 원로 정치인이 나름 보수진영의 스타로 떠올랐습니다. 문재인 정부의 억지 개헌을... ",20201208
"안녕하세요, 1월 19일 대표발의한 [코로나19 퇴치 특별조치법안] 관련 보도 자료입니다. 감사합니다.",20210119
"알루코 수산중공업 케이탑리츠 대한약품 쌍용양회 AP위성 &lt;<b>홍준표</b> 관련주&gt; 현재 무소속이며 며칠 전 설을 앞두고 대구 중구 서문시장을 방문, 상인들과 면담을 가졌다. 세우글로벌 두올산업 홈센타홀딩스... ",20210208
5일 윤석열이 검찰총장직 사표를 던지며 사실상 대선 '출사표'를 내자 이재명과 <b>홍준표</b>는 먼저 경계의... 이재명의 약점을 누구보다 잘 알고 있는 <b>홍준표</b>는 가히 '스나이프'란 별칭을 붙일만 하다. 이재명의... ,20210308
민주당 제안에 답한 <b>홍준표</b> 의원의 글. 민주당이 국회의원 300명에 대해 부동산투기 전수 조사를 하자고 제안 했습니다. 이건 민주당이 참 잘하는 것이고 나는 절대적으로 찬성 합니다. 국회의원직을 걸고 부동산... ,20210312
"(왼쪽부터) <b>홍준표</b> 무소속 의원, 이재명 경기도지사, 여배우 김부선씨. 시사포커스DB <b>홍준표</b> &quot;이재명, 연애도 무상하는 분...기본시리즈로 국민 현혹 말라&quot; 김부선 &quot;이재명, 쌩양아치 맞다...그러나 사적영역, 정치... ",20210311
"<b>홍준표</b>, 이재명을 양아치에 비유! <b>홍준표</b> 의원이 한 말, '그래도 아직 쓸모가 있다고 판단되어 문대통령 측에서 살려준 것에 불과합니다. 하도 방자해서 한 마디 했습니다&quot;는 가시다. 이는 대법붠이 이재명... ",20210228
<b>홍준표</b> 무소속 의원. [연합] [헤럴드경제=이원율 기자] <b>홍준표</b> 무소속 의원은 12일 더불어민주당이 한국토지주택공사(LH) 투기 사태를 놓고 국회의원 전원의 부동산 전수조사를 언급한 데 대해 &quot;절대적으로 찬성... ,20210312
무소속 <b>홍준표</b> 의원이 여권 유력주자인 이재명 경기지사에대해 나흘째 노골적인 인신공격성 비난을 이어갔다. 홍 의원은 2일 SNS 글에서 과거 악연을 거론하며 &quot;그때는 '뭐 이런 양아치 같은 짓을 하나' 하고... ,20210302
"이런 가운데, 소신있게 본인의 의견을 밝혀서 눈길을 끄는 정치인이 있었으니 바로 <b>홍준표</b>입니다. 출처 : <b>홍준표</b> 페이스북 민주당이 국회의원 300명에 대해 부동산투기 전수 조사를 하자고 제안 했습니다. 이건... ",20210313
"<b>홍준표</b>, 기본소득 주장 이재명에 “양아치 같은 행동으로 주목 끌어”....국가지도자는 국민수준... 무소속 <b>홍준표</b> 의원이 지난 4일 국회 본회의에서 정치·외교·통일·안보 분야 대정부질문을 하고... ",20210227
<b>홍준표</b> 국회의원의 검찰에 대한 일갈이에요. 위 기사 한 번 읽어보세요. 그리고 페이스북의 원문은... <b>홍준표</b> 의원 페이스북 <b>홍준표</b> 의원은 그 스스로가 검사 출신이시죠. 이 분을 모델로 '모래시계'가 나왔다는... ,20210305
"범보수 대권주자 적합도는 '안철수(14%) vs <b>홍준표</b>(12%) vs 유승민(9%)' 등으로, 오차범위 내 선두 다툼이 치열했다. 보수층에서는 '<b>홍준표</b>(20%) vs 안철수(17%)'로, 홍 의원이 계속 오차범위 내 우위를... ",20210303
"<b>홍준표</b>, 이재명에 독설 &quot;양아치같은 행동...文측이 살려준 것에 불과&quot; &quot;세금으로 도민들에 푼돈이나 나눠주는 도정&quot; 이명선 기자 | 기사입력 2021.02.28. 07:48:21 최종수정 2021.02.28. 15:47:03 <b>홍준표</b> 무소속... ",20210302
자료 출처/<b>홍준표</b> 페이지 Facebook 캡처 <b>홍준표</b> 무소속 의원이 20일 국민의힘 김종인 비상대책위원장 때문에 국민의힘 서울시장 후보들이 고전하고 있다고 주장했다. 홍 의원은 이날 페이스북에 “오늘도 언론에... ,20210221
kuri****옵션 열기<b>홍준표</b> 의원이 옳았다. 정치인중에 가장 소신있는 사람임. 국민의힘은 김종인... 18:29:39답글2공감/비공감공감199비공감2kimj****옵션 열기<b>홍준표</b>가 진정한 지도자입니다. 인정할건 하고... ,20210318
"배현진, 질문자 '깜짝 출연' 무소속 <b>홍준표</b> 의원이 10일 음성 메신저 ‘클럽하우스’ 방송을 하고 있다. (사진=홍카콜라 유튜브) [컨슈머뉴스=박기열 기자] 무소속 <b>홍준표</b> 의원이 10일 음성 메신저... ",20210311
<b>홍준표</b>가 이재명을 또다시 양아치라고 하면서 저격에 나섰다. 지난 28일 페이스북에 또다시 <b>홍준표</b>가 이재명을 저격하는 글을 올렸다. 지난 2월 28일 <b>홍준표</b>가 이재명을 페이스북에서 또다시 저격하고 나섰다.... ,20210302
"오늘은 <b>홍준표</b> 이름풀이 2편을 설명드리겠습니다. 이 책은 2010, 12월 원고 完了. 2011, 4월 7일 出版 하여... 그나마 <b>홍준표</b>라는 이름으로 다시 개명을 한 것을 보면, 남들은 좋은 이름으로 改名을 할 수 있는 많은... ",20200317
"<b>홍준표</b> &quot;검찰의 양아치 문화, 당신들 수술당하고 있는 건 자업자득&quot; '비주류 검사' 출신 <b>홍준표</b>의 검찰 비판 &quot;文은 검찰 하이에나 속성 보고 있는 것&quot; 이명선 기자 | 기사입력 2021.03.05. 16:14:44 검찰 고위층 비리를... ",20210306
'비주류 검사' 출신 <b>홍준표</b>의 검찰 비판 &quot;文은 검찰 하이에나 속성 보고 있는 것&quot; [이명선 기자(********@********.***)] 검찰 고위층 비리를 수사했다가 검복을 벗은 이력이 있는 <b>홍준표</b> 무소속 의원이 검찰을... ,20210305
"일단 제목에서 열거한 이재명,윤석열,황교안,<b>홍준표</b>,오세훈,김진태는 대통령감도 아니고 대통령이... 박근혜 대통령이 부활하면 이재명을 필두로 윤석열,황교안,<b>홍준표</b>,오세훈,김진태가 무더기로 덤벼도... ",20210311
"<b>홍준표</b>(왼쪽) 의원, 조국 전 장관. /조선DB <b>홍준표</b> 무소속 의원이 검찰조직을 비판하는 취지의 글을 쓰며 ‘수사권 분산 자체는 문제될 것이 없다'는 내용이 들어간 페이스북 글을 올리자, 조국 전 법무부 장관이... ",20210305
이전 대선주자로 나왔었던 <b>홍준표</b> 국회의원의 행보는 단순히 정치권 지지자들의 흐름들만 같이 읽는것이 아닌 주식시장에서의 행보 역시도 여러 흐름들을 같이 이어나가고 있는 시점에서 <b>홍준표</b> 관련주에... ,20201216
무소속 <b>홍준표</b> 의원이 '이재명 양아치론'을 말했다. 이재명 경기도지사는 2022년 대선 '차기 주자'를 묻는 각종 여론조사에서 경쟁자들을 10%이상 차리로 멀찌감치 따돌리며 압도적 선두를 유지하고 있다.... ,20210228
<b>홍준표</b> 의원님. 대선 후보 맞습니까? 현직 대통령에게 ‘하산 준비나 하라’니요. 일개 국회의원도... <b>홍준표</b> 의원님이 언급하신 '비리 사건 하나로 훅 가버린 대통령'은 지금 야당이 정부를 운영했던 시기... ,20210217
"이어 안철수 국민의당 대표(5%)와 <b>홍준표</b> 무소속 의원(5%), 오세훈 전 서울시장(2%)과 유승민 전 의원(2%) 차례였다. 이 지사의 대선주자 적합도는 2주 전 조사와 변동이 없었지만, 이 대표와 윤 총장은... ",20210218
"<b>홍준표</b> “김종인, 몽니 부리지 말고 아름답게 퇴진하라”동아닷컴 송치훈 기자 입력 2021-03-02 07:21수정 2021-03-02 07:25 공유하기닫기 무소속 <b>홍준표</b> 의원이 김종인 국민의힘 비대위원장을 향해 “이미 역할은... ",20210302
지난 19대 대선(2017년 5월)에서 패배했던 <b>홍준표</b> 전 경남도지사는 그 직후 바로 자녀가 머물고 있던... <b>홍준표</b> 아내인 이순삼 여사가 다른 게이트로 빠져나왔다. 아마도 취재진과 환영인파(?)를 의식한 모양이다.... ,20201231
"뉴스1 분석, &quot;<b>홍준표</b>는 윤석열 견제&quot; <b>홍준표</b> 의원 (사진=<b>홍준표</b> 의원실) [컨슈머뉴스=정성환 기자] &quot;윤석열 밀어내 野분열 씨앗뿌린 文, 이제 이재명 처리만 남아&quot; 무소속 <b>홍준표</b> 의원은 6일, 자신들의 안위를... ",20210308
<b>홍준표</b> 무소속 의원은 27일 이재명 경기도지사를 겨냥해 &quot;양아치 같은 행동으로 주목을 끌고 걸핏하면... [뉴시스 기사 발췌] <b>홍준표</b>가 이재명에게 일격을 날렸다. 국회의원 입에서 쉽게 나오기 힘든 양아치라는... ,20210228
아니면 <b>홍준표</b> 일까? 3월 8일 대선선호도 조사에서 윤석열씨가 1위를 차지했고 4위는 <b>홍준표</b>씨가 차지했다. 이재명과 이낙연이란 이상한 인물은 2위3위 윤석열 대전주자 지지도 1위 그런데 빨갱이들로 부터... ,20210309
"김부선 격앙, <b>홍준표</b> 닥쳐라 배우 김부선이 <b>홍준표</b> 무소속 의원을 향해 “이재명(경기지사)과 저의 과거 관계는 분명히 사적영역”이라며 “유상 좋아하시는(?) <b>홍준표</b>는 그 더러운 입 닥치시라”라고 분노했다.... ",20210310
<b>홍준표</b>2번 <b>홍준표</b>2번 당당한 대통령 <b>홍준표</b> 2번 노래의 주인공인 <b>홍준표</b> 성님께서 정치권에 쓴소리 한마디 했다는 기사가 난 후 관련주들이 움직이기 시작했습니다. 어떤 종목들을 어떻게 매매해야 할 지... ,20210226
자료 출처/<b>홍준표</b> 페이지 - 홈 | Facebook <b>홍준표</b> 무소속 의원은 문재인 정부의 북한 원자력발전소 건설 추진 및 은폐 의혹을 두고 문재인 대통령의 '여적죄'를 거론하며 &quot;퇴임후에도 DJ의 대북 송금 사건... ,20210201
<b>홍준표</b>가 대표 발의한 백신 강제 접종 의무화에 대해서 어처구니없다. <b>홍준표</b> 당신이 정말 자유 보수우파의 대선 주자라고 말할 수 있는가? 당신 무엇인데? 국민에게 주어진 각 개인의 신체적 자유와 선택의... ,20210219
"<b>홍준표</b> “형수에게 쌍욕한 것은 학폭과 같은 것”…<b>홍준표</b>, 이재명 ‘인파이터’ 정면 승부 여권 인파이터 이재명·야권 인파이터 <b>홍준표</b> / 이재명 치고 나서자 <b>홍준표</b> 반이 전선에 참여 / <b>홍준표</b> “형수에게... ",20210228
"<b>홍준표</b> 등 17명의 국회의원, 문재인의 세작 <b>홍준표</b>를 필두로 한 17명의 국회의원들이 ‘코로나19 퇴치를 위한 특별조치법’을 발의해 놓고 여론의 몰매를 맞고 있다. 대부분이 국민의 힘당이다. 문재인이... ",20210125
"검사 출신 무소속 <b>홍준표</b> 의원은 5일 검찰을 향해 &quot;하이에나와 같은 속성&quot;, &quot;정권의 사냥개&quot; 등 거친 표현을 동원해 비판했다. 홍 의원은 페이스북에서 &quot;검찰은 구두 속에 양말까지 넣어 양주잔 만들어 상대에게... ",20210305
<b>홍준표</b> 무소속 의원. 2021.3.18/사진제공=뉴스1 <b>홍준표</b> 무소속 의원은 문재인 대통령이 '부동산 적폐청산'을 주문하자 박근혜 정권 '적폐'를 수사할 당시 &quot;윤석열 검찰은 수백명을 무자비하게 검거·수사했다&quot;며... ,20210319
<b>홍준표</b>의 돌려까기?…&quot;文 적폐청산에 윤석열 검찰이 무자비하게 기사입력 2021.03.19. 오전 8:01 [머니투데이 김성진 기자] <b>홍준표</b> 무소속 의원. 2021.3.18/사진제공=뉴스1 <b>홍준표</b> 무소속 의원은 문재인... ,20210319
<b>홍준표</b> 무소속 의원. 안철민 기자 *****@*****.*** <b>홍준표</b> 무소속 의원이 4일 윤석열 검찰총장을 향해 “지금 사표를 낸다면 그것은 잘못된 결단이 될 것”이라며 “정면 돌파하시라”고 충고했다. 검사 출신인 홍... ,20210304
https://news.v.daum.net/v/20210319080126627 &quot; &quot; &quot; &quot; &quot; &quot; <b>홍준표</b> 무소속 의원. 2021.3.18/사진제공=뉴스1 <b>홍준표</b> 무소속 의원은 문재인 대통령이 '부동산 적폐청산'을 주문하자 박근혜 정권 '적폐'를 수사할 당시 &quot;윤석열... ,20210319
6일 무소속 <b>홍준표</b> 의원(대구 수성구을)이 경남 의령군수 보궐선거에 출마하는 국민의힘당 오테완... 그런데 <b>홍준표</b> 의원은 대구 수성구을 의원이면서 왜 경남 의령까지 직 접 방문하여 오 예비후보를 지지하고... ,20210207
"<b>홍준표</b>, 국민의당 안철수 한신에 비유하며 칭찬(사진=<b>홍준표</b>의원페이스북) 출처 : 노동일보(http://www.nodongilbo.com) http://www.nodongilbo.com/news/articleView.html?idxno=805406 [노동일보] 무소속 <b>홍준표</b> 의원은 19일... ",20210319
"<b>홍준표</b>의 '무상연애' 제기에 당사자인 김부선의 응답이 재밌다. 김부선 씨 왈, “기왕에 이리된 거... 이에 앞서 <b>홍준표</b>는 자신의 페이스북에 “연애도 무상으로 하는 분이니 말릴 수는 없지만 더 이상 국민들을... ",20210310
