title,originallink,link,description,pubDate
"충남 찾은 文<b>대통령</b>, 에너지전환·탄소중립 다시 강조",http://www.edaily.co.kr/news/newspath.asp?newsid=02814246628984960,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004880284,"<b>문재인 대통령</b>이 19일 충남을 현장 방문해 에너지전환과 탄소중립 중요성을 강조했다. 아울러 그 과정에서... <b>문재인</b> 정부가 <b>임기</b> 내 미세먼지 배출량 30%를 줄이기 위해 석탄발전을 감축하겠다고 공약했는데, 충남의... ","Fri, 19 Mar 2021 15:51:00 +0900"
‘광화문 <b>대통령</b>’ 아직 오지 않았다,http://h21.hani.co.kr/arti/politics/politics_general/50100.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=036&aid=0000044565,전환도 <b>문재인 대통령</b>의 어깨에 지워진 짐이었다. 광장의 촛불은 꺼졌다. 이곳저곳에서 “이러려고 촛불 든... <b>문재인</b> 정부가 정치 분야에서 잘한 일로는 ‘안전’ 관리가 꼽힌다. 유창선 정치평론가는 “<b>임기</b> 동안 대형... ,"Fri, 19 Mar 2021 11:40:00 +0900"
벽에 부딪힌 '文 <b>임기</b>내 전작권 전환',https://www.sedaily.com/NewsView/22JUV1O0J7,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003885075,<b>문재인 대통령 임기</b> 내 전시작전통제권 전환 시기를 확정하려던 우리 정부의 계획이 벽에 부딪혔다. 미국과 가진 외교·국방장관(2+2) 회담에서 구체적인 스케줄을 도출하지 못했기 때문이다. 양국은 18일 서울 종로구... ,"Thu, 18 Mar 2021 17:02:00 +0900"
“文<b>대통령</b>과의 인연보다 검찰 선택한 검사”…조남관은 누구?,https://www.donga.com/news/article/all/20210319/105966208/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003345605,조 차장은 2006년 4월 <b>대통령</b>민정수석비서관실 산하 사정비서관실의 특별감찰반장을 맡아 참여정부 <b>임기</b>가 끝난 2008년 2월까지 근무한 이른바 ‘순장(殉葬)조’였다. <b>문재인 대통령</b>은 2005년 1월~2006년 5월 민정수석비서관... ,"Fri, 19 Mar 2021 17:19:00 +0900"
"문<b>대통령</b>, 보령화력발전소 찾아 &quot;에너지전환·탄소중립&quot; 의지 피력",https://www.news1.kr/articles/?4246610,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005233594,<b>문재인 대통령</b>은 19일 충남 보령에서 진행된 '충남 에너지전환과 그린뉴딜 전략 보고' 행사에 참석해... 이는 <b>문재인</b> 정부가 공약으로 약속한 '<b>임기</b> 내 미세먼지 배출량 30%를 줄이기 위한 과감한 석탄발전 감축'을... ,"Fri, 19 Mar 2021 15:07:00 +0900"
"文<b>대통령</b> &quot;탄소중립 선도…신성장 그린산업 육성, 생태계 회복&quot;",http://www.enewstoday.co.kr/news/articleView.html?idxno=1461398,http://www.enewstoday.co.kr/news/articleView.html?idxno=1461398,<b>문재인 대통령</b>이 2021년 9월 17일 오후 경남 창원시 창원 스마트그린 산업단지 내 그린뉴딜 추진기업인... 한편 충남은 2021년 12월 보령화력 1·2호기를 계획보다 2년 앞당겨 폐쇄하면서 <b>문재인</b> 정부 공약인 '<b>임기</b> 내... ,"Fri, 19 Mar 2021 15:00:00 +0900"
靑 &quot;문<b>대통령</b> '부동산 적폐청산' 발언…사람에 대한 것 아냐&quot;,https://www.hankyung.com/politics/article/2021031739767,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004514796,앞선 15일 수석·보좌관 회의에서도 <b>문재인 대통령</b>은 &quot;부동산 적폐청산과 투명하고 공정한 부동산 거래 질서 확립을 남은 <b>임기</b> 동안 핵심 국정과제로 삼아 강력 추진하겠다&quot;고 '적폐 청산' 의지를 강조한 바 있다. 김수현... ,"Wed, 17 Mar 2021 15:57:00 +0900"
文<b>대통령</b> &quot;부동산 적폐청산이 촛불정신&quot; 정면돌파 선언,https://www.pressian.com/pages/articles/2021031515235591665?utm_source=naver&utm_medium=search,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=002&aid=0002178050,"'대국민 사과' 대신 &quot;정치권, 정쟁 도구로 삼지 말라&quot; 비판 한국토지주택공사(LH) 직원들의 부동산 투기 파문과 관련해 <b>문재인 대통령</b>이 남은 <b>임기</b> 동안 &quot;부동산 적폐 청산&quot;을 핵심적 국정과제로 추진하겠다고 밝혔다. 문... ","Mon, 15 Mar 2021 15:26:00 +0900"
美 국무·국방 장관 방한…18일 <b>문재인 대통령</b> 예방,http://www.lkp.news/news/articleView.html?idxno=15684,http://www.lkp.news/news/articleView.html?idxno=15684,"블링컨 장관은 방한 직후 트위터에 올린 글에서 &quot;<b>문재인 대통령</b>과 정의용 외교부 장관, 서욱 국방부 장관과... 이어 &quot;바이든 새 미국 행정부의 국방장관과 국무장관이 <b>임기</b> 초반에 함께 한국을 방문한 것을 특히 환영한다... ","Thu, 18 Mar 2021 10:09:00 +0900"
"<b>문재인</b> 정부 4년, 심층분석해보니",http://h21.hani.co.kr/arti/politics/politics_general/50097.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=036&aid=0000044561,1부 ‘떠난 자와 남은 자’에서는 국민 2천 명 심층 설문조사를 통해 2017년 <b>문재인 대통령</b>에게... html <b>임기</b>는 유한하나 개혁엔 기한 없다 http://h21.hani.co.kr/arti/politics/politics_general/50098.html <b>문재인</b>... ,"Thu, 18 Mar 2021 10:29:00 +0900"
