title,originallink,link,description,pubDate
"충남 찾은 文<b>대통령</b>, 에너지전환·탄소중립 다시 강조",http://www.edaily.co.kr/news/newspath.asp?newsid=02814246628984960,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004880284,<b>문재인 대통령</b>이 19일 충남을 현장 방문해 에너지전환과 탄소중립 중요성을 강조했다. 아울러 그 과정에서 일자리 피해를 최소화할 수 있는 ‘한국판 공정한 전환’ 대책을 연내 마련할 뜻을 밝혔다. <b>문재인 대통령</b>이 19일... ,"Fri, 19 Mar 2021 15:51:00 +0900"
"문<b>대통령</b> &quot;한미, '한반도 비핵화' 공조 계속할 것&quot;",http://yna.kr/AKR20210318143100001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012269578,"美 국무·국방장관 접견…블링컨 &quot;바이든, 강력한 동맹의지 전해달라 해&quot; 오스틴 국방 &quot;한미동맹, 인도·태평양 지역에서 가장 중요&quot; <b>문재인 대통령</b>은 18일 미국 토니 블링컨 국무장관과 로이드 오스틴 국방장관을 만나 &quot;한미... ","Thu, 18 Mar 2021 16:44:00 +0900"
文<b>대통령</b> &quot;충남 석화발전소 12기 폐쇄...신재생에너지 중심지로&quot;,http://www.fnnews.com/news/202103191615140142,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004604495,<b>문재인 대통령</b>은 19일 &quot;올해를 대한민국 그린전환의 원년으로 삼고 그린 뉴딜에 총 8조 원을 투자한다&quot;고 밝혔다. 문 대통령은 이날 충남 보령시 보령화력발전소 내 에너지월드에서 열린 '에너지 전환과 그린 뉴딜... ,"Fri, 19 Mar 2021 16:29:00 +0900"
"문 <b>대통령</b>, 바이든 행정부 첫 대면...'메시지' 주목",https://www.ytn.co.kr/_ln/0101_202103180417343950,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001563932,"방한 중인 미국의 국무, 국방 장관은 오늘 청와대를 찾아 <b>문재인 대통령</b>도 만납니다. 문 대통령이 바이든 미 행정부의 장관급 인사를 만나는 것은 이번이 처음으로, 이 자리에서 어떤 대화가 오갈지 주목됩니다. 홍선기... ","Thu, 18 Mar 2021 04:17:00 +0900"
"文<b>대통령</b> &quot;에너지 대전환, 누구도 일자리 잃지 않는 공정 전환으로&quot;",https://www.sedaily.com/NewsView/22JVAZ35IY,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003885548,"<b>문재인 대통령</b>이 19일 “충청남도가 앞장서서 환경을 희생했던 시대와 결별하고, 깨끗한 에너지와 녹색경제로 일자리를 만드는 새로운 미래로 나아가고자 한다”며 “누구도 일자리를 잃지 않고 새로운 시작에 함께할 수... ","Fri, 19 Mar 2021 16:21:00 +0900"
수소연료전지발전소 방문한 <b>문재인 대통령</b>,http://www.newsis.com/view/?id=NISI20210319_0017264571,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402040,<b>문재인 대통령</b>이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 15:48:00 +0900"
"문 <b>대통령</b> 지지율, 40대만 빼고 전부 등돌렸다",http://news.kmib.co.kr/article/view.asp?arcid=0015649921&code=61111111&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001421990,40대를 제외한 모든 연령층에서 <b>문재인 대통령</b>을 부정 평가하는 비율이 높다는 여론조사 결과가 19일 나왔다. 한국갤럽이 지난 16~18일 전국 18세 이상 1005명에게 설문 조사한 결과 문 대통령의 직무 수행에 대해 37%가... ,"Fri, 19 Mar 2021 11:03:00 +0900"
文<b>대통령</b> 서울 지지율 27% 전국 최저…TK보다도 낮다,https://www.hankyung.com/politics/article/202103193843i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004516297,<b>문재인 대통령</b>의 서울 지지율이 보수 텃밭인 대구·경북(TK)의 지지율보다 낮은 것으로 나타났다. 여당인 더불어민주당의 서울 지지율 역시 야당인 국민의힘에 밀렸다. 서울에서는 다음 달 7일 열리는 보궐선거에서... ,"Fri, 19 Mar 2021 18:07:00 +0900"
"靑 &quot;<b>대통령</b>경호처 과장, 2017년 신도시 땅 매입…형은 LH 직원&quot;",https://news.imaeil.com/Society/2021031914515144840,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000694310,<b>문재인 대통령</b>이 지난 5일 신도시 투기 의혹 전수 조사 대상에 청와대 직원을 포함하라고 지시한 지 6일 만에 나온 결과다. 정 수석은 &quot;(신도시) 인접 지역에 주택을 구입한 거래 2건이 있지만 모두 사업지구 외의 정상... ,"Fri, 19 Mar 2021 15:24:00 +0900"
문<b>대통령</b> &quot;누구도 일자리 잃지 않도록…포용의 힘으로 에너지전환 달성&quot;,http://www.dt.co.kr/contents.html?article_no=2021031902109958050003&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=029&aid=0002662025,<b>문재인 대통령</b>은 19일 &quot;정부는 그린뉴딜만이 생존의 길이라는 비상한 각오로 올해를 대한민국 그린전환의 원년으로 삼을 것&quot;이라고 말했다. 문 대통령은 이날 충남 보령시 화력발전소 홍보관에서 열린 '에너지전환과... ,"Fri, 19 Mar 2021 16:32:00 +0900"
수소연료전지발전소 찾은 <b>문재인 대통령</b>,http://www.newsis.com/view/?id=NISI20210319_0017264730,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402199,<b>문재인 대통령</b>이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 17:02:00 +0900"
수소연료전지발전소 찾은 <b>문재인 대통령</b>,http://www.newsis.com/view/?id=NISI20210319_0017264729,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402198,<b>문재인 대통령</b>이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 17:02:00 +0900"
문<b>대통령</b> &quot;한일관계 복원 계속 노력&quot;…美측 &quot;진전 기대&quot;(종합2보),http://yna.kr/AKR20210318164152001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012269943,특파원 = <b>문재인 대통령</b>은 18일 &quot;한일관계 복원을 위해 계속 노력할 것&quot;이라고 밝혔다. 문 대통령은 이날 청와대에서 방한 중인 미국 토니 블링컨 국무장관과 로이드 오스틴 국방장관을 50분간 접견하면서 &quot;한일관계는... ,"Thu, 18 Mar 2021 22:17:00 +0900"
"<b>문재인 대통령</b>, 수소연료전지발전소 시찰",http://www.newsis.com/view/?id=NISI20210319_0017264731,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402201,<b>문재인 대통령</b>이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 17:02:00 +0900"
[종합] 문 <b>대통령</b> &quot;한일관계 복원 노력&quot;…美 &quot;진전 기대&quot;,https://www.hankyung.com/politics/article/2021031801337,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004515750,<b>문재인 대통령</b>이 18일 &quot;한일관계 복원을 위해 계속 노력하겠다&quot;고 밝혔다. 강민석 청와대 대변인은 문 대통령이 이날 청와대에서 미국 토니 블링컨 국무장관과 로이드 오스틴 국방장관을 접견하며 &quot;한일관계는 한반도와... ,"Thu, 18 Mar 2021 19:45:00 +0900"
충남 찾은 문 <b>대통령</b> &quot;그린뉴딜에 총 8조 투자&quot;,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002728557&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002306181,충남 '에너지 전환과 그린뉴딜 전략 보고' 행사 참석 ▲  <b>문재인 대통령</b>이 19일 오후 충남 보령 화력발전소에서 열린 '충남 에너지전환과 그린뉴딜 전략 보고'에 참석해 발언하고 있다. ⓒ 청와대 제공 [기사 보강 : 19일... ,"Fri, 19 Mar 2021 17:49:00 +0900"
수소연료전지발전소 현황 브리핑 받는 <b>문재인 대통령</b>,http://www.newsis.com/view/?id=NISI20210319_0017264725,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402196,<b>문재인 대통령</b>이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 17:02:00 +0900"
"<b>문재인 대통령</b>, 수소연료전지발전소 찾아",http://www.newsis.com/view/?id=NISI20210319_0017264573,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402037,<b>문재인 대통령</b>이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 15:48:00 +0900"
