title,originallink,link,description,pubDate
불안한 국민  &quot;AZ <b>백신</b> 맞아도 되나?&quot;,http://www.sisajournal.com/news/articleView.html?idxno=213837,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=586&aid=0000022191,이런 차원에서 <b>문재인</b> 대통령도 아스트라제네카 <b>백신</b>을 맞겠다고 했다. 강민석 청와대 대변인은 3월15일 브리핑에서 &quot;문 대통령과 김정숙 여사가 아스트라제네카 <b>백신</b>을 오는 23일 공개 접종한다. 문 대통령 내외가 65세... ,"Fri, 19 Mar 2021 13:03:00 +0900"
유럽의약품청 &quot;AZ 안전한 <b>백신</b>&quot;…국내 접종 이어갈 듯,http://www.edaily.co.kr/news/newspath.asp?newsid=01351366628984960,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004879765,한편에서는 오는 23일 <b>문재인</b> 대통령이 아스트라제네카 접종에 나서는 만큼 이후 <b>백신</b>에 대한 불안이 사그라질 수 있다는 얘기도 있다. [이데일리 이영훈 기자] 함정선,"Fri, 19 Mar 2021 07:55:00 +0900"
정부 “AZ <b>백신</b> 예방접종 예정대로”,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202103192106015&code=940601,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003065025,적극적으로 맞는 모습을 보여줘야 한다”고 말했다. <b>문재인</b> 대통령 내외가 23일 AZ <b>백신</b>을 접종하는 데 이어 박병석 국회의장과 김명수 대법원장 등 주요 인사들도 공개 접종을 검토하고 있는 것으로 전해졌다. 이창준·,"Fri, 19 Mar 2021 21:10:00 +0900"
[팩트체크] <b>백신</b> 부작용 국가보상 절차와 전례는,http://yna.kr/AKR20210318096700502?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012270335,앞서 <b>문재인</b> 대통령은 1월18일 열린 신년 기자회견에서 &quot;모든 <b>백신</b>은 그 부작용이 일부 있다. 아주 가벼운 통증으로 그치는 경우부터 시작해서 보다 심각한 부작용이 있을 수 있다&quot;며 &quot;통상의 범위를 넘어서는 부작용이... ,"Fri, 19 Mar 2021 09:21:00 +0900"
"[현장영상] &quot;<b>문재인</b> 대통령 내외, 23일 AZ <b>백신</b> 공개 접종&quot;",https://www.ytn.co.kr/_ln/0101_202103151631327113,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001562794,청와대가 <b>문재인</b> 대통령의 코로나19 <b>백신</b> 접종 계획을 발표했습니다. 6월 영국에서 열리는 주요 7개국 정상회의 출국 일정을 고려했다는 설명입니다. 청와대 발표 들어보시겠습니다. [강민석 / 청와대 대변인]... ,"Mon, 15 Mar 2021 16:31:00 +0900"
4명 중 3명 &quot;국민 <b>백신</b>접종 후엔 대북지원 찬성&quot;,https://www.sedaily.com/NewsView/22JV9O5H80,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003885388,국민 4명 중 3명은 한국 국민이 신종 코로나바이러스 감염증(코로나19) <b>백신</b>을 충분히 접종한 후 북한에... <b>문재인</b> 대통령이 지난 3·1절 기념사에서 거듭 밝힌 '동북아 방역·보건 협력체'에 북한이 참여한다면... ,"Fri, 19 Mar 2021 10:58:00 +0900"
"“국민 4명 중 3명, 남한 접종 후 코로나 <b>백신</b> 대북지원 찬성”",http://news.kbs.co.kr/news/view.do?ncd=5143094&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0011009937,국민 4명 중 3명은 우리 국민이 코로나19 <b>백신</b>을 충분히 접종한 이후 북한에 <b>백신</b>을 지원하는 데 대해... <b>문재인</b> 대통령이 지난 3·1절 기념사에서 거듭 밝힌 ‘동북아 방역·보건 협력체’에 북한이 참여한다면... ,"Fri, 19 Mar 2021 13:51:00 +0900"
유치원·초등교사도 6월부터 <b>백신</b> 접종,http://www.segye.com/content/html/2021/03/15/20210315517327.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003561541,주·야간보호센터 등 노인시설 입소·종사자도 4월 첫째 주부터 화이자 <b>백신</b>을 접종한다. <b>문재인</b> 대통령과 김정숙 여사는 미뤄졌던 요양병원·시설 만 65세 이상 입원·입소·종사자에 대한 접종이 시작되는 오는 23일... ,"Tue, 16 Mar 2021 06:06:00 +0900"
"국민 10명중 7명 “南 <b>백신</b> 접종 후, 北지원 찬성”",http://www.edaily.co.kr/news/newspath.asp?newsid=01079126628985288,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004880457,국민 10명 중 7명 이상은 ‘우리나라 국민이 신종 코로나바이러스 감염증(코로나19) <b>백신</b>을 충분히 접종한... <b>문재인</b> 대통령이 지난 3·1절 기념사에서 거듭 밝힌 ‘동북아 방역·보건 협력체’에 북한이 참여한다면... ,"Sat, 20 Mar 2021 00:01:00 +0900"
[채수찬 칼럼] <b>백신</b>접종의 정치학,http://www.ajunews.com/view/20210318132634104,http://www.ajunews.com/view/20210318132634104,"<b>문재인</b> 대통령이 언제 <b>백신</b>을 맞느냐, 어느 <b>백신</b>을 맞느냐도 정치적 이슈일 수밖에 없다. 지도자가 위험부담이 있어 보이는 <b>백신</b>을 접종하는 모습이 일반국민에게 주는 메시지를 생각하면, 대통령의 <b>백신</b>접종은 이미... ","Fri, 19 Mar 2021 06:04:00 +0900"
"&quot;국민 4명 중 3명, 남한 접종 후 코로나 <b>백신</b> 대북지원 찬성&quot;",http://yna.kr/AKR20210319053100504?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012270645,(코로나19) <b>백신</b>을 충분히 접종한 후 북한에 <b>백신</b>을 지원하는 데 대해 찬성한다는 여론조사 결과가... <b>문재인</b> 대통령이 지난 3·1절 기념사에서 거듭 밝힌 '동북아 방역·보건 협력체'에 북한이 참여한다면 남북관계... ,"Fri, 19 Mar 2021 10:32:00 +0900"
"文 &quot;<b>백신</b> 부작용, 정부가 보상&quot; 공언했는데···어떻게 얼마나 받나",https://www.sedaily.com/NewsView/22JVAV5EWH,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003885368,앞서 <b>문재인</b> 대통령은 지난 1월 18일 열린 신년 기자회견에서 &quot;모든 <b>백신</b>은 부작용이 일부 있다. 아주 가벼운 통증부터 시작해서 보다 심각한 부작용이 있을 수 있다&quot;며 &quot;통상의 범위를 넘어서는 부작용이 발생할 경우... ,"Fri, 19 Mar 2021 10:33:00 +0900"
