title,originallink,link,description,pubDate
"<b>문재인</b>-윤석열의 한 마디, '세 결집' 최종병기 될까",http://www.sisajournal.com/news/articleView.html?idxno=213753,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=586&aid=0000022088,게임룰이 <b>조작</b>된 것&quot;이라는 메시지를 내며 사실상 야권을 측면지원했다. 윤 전 총장은 &quot;특권과 반칙 없이 공정한 룰이 지켜질 거라는 믿음을 주는 게 기본 중의 기본&quot;이라며 <b>문재인</b> 정부가 내세운 '공정 가치'가 제대로... ,"Wed, 17 Mar 2021 11:48:00 +0900"
“이재명이 <b>문재인</b> 보호할까” 尹·李 양강 구도 ‘셈법 복잡해진’ 親文,https://weekly.donga.com/3/all/11/2495878/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=037&aid=0000028832,"만한 <b>지지율</b>을 보이는 후보가 이재명 경기도지사밖에 없는 상황이지만, <b>문재인</b> 대통령 퇴임 이후를... 평가 <b>조작</b> 의혹 등 권력형 비리에 칼날을 겨누다 박해를 받았다는 점이다. 권력형 비리 척결에 대한 소신을... ","Sat, 13 Mar 2021 10:02:00 +0900"
"&quot;LH 사태에 절망&quot; 뿔난 20대…尹 <b>지지율</b>, 이낙연 처음 제쳤다 [신현보의 딥데...",https://www.hankyung.com/politics/article/2021031267637,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004512548,尹 <b>지지율</b> 9%…이낙연 제치고 첫 2위 윤 전 총장은 이번 차기 정치 지도자 선호조사에서 안철수 국민의당... 3월 2주차 <b>문재인</b> 대통령에 대한 국정 부정 평가도 54%를 기록하면서 지난해 11월 3주 이후 내내 부정 평가가... ,"Sat, 13 Mar 2021 11:07:00 +0900"
"32% 이명박, 4% 박근혜, 47% <b>문재인</b> [하성태의 인사이드아웃]",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002722327&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002303661,ⓒ 연합뉴스 <b>문재인</b> 대통령의 국정운영 <b>지지율</b>이 47%를 기록했다는 여론조사 결과가 나왔다. 긍정 평가도... 이어 이 신문은 &quot;특히 '월성 원전 경제성 평가 <b>조작</b>' 사건을 계기로 공무원들이 정책 추진 과정에서 법적 문제로... ,"Fri, 26 Feb 2021 07:32:00 +0900"
[Who Is ?] <b>문재인</b> 대통령,http://www.businesspost.co.kr/BP?command=article_view&num=210939,http://www.businesspost.co.kr/BP?command=article_view&num=210939,들어 <b>문재인</b>의 <b>지지율</b>이 크게 올랐다. 리얼미터 여론조사를 기준으로 2020년 2월에 40% 중반을 맴돌던... 여기에 자유한국당이 온라인 댓글<b>조작</b>사건인 '드루킹사건' 등을 이유로 장외투쟁을 벌이는 바람에 개헌 논의가... ,"Thu, 31 Dec 2020 10:27:00 +0900"
[대선 D-1년] <b>문재인</b> LH 의혹·윤석열 사퇴 後…2022년 대선 키워드는 '공정',http://www.pennmike.com/news/articleView.html?idxno=41729,http://www.pennmike.com/news/articleView.html?idxno=41729,이번에 폭발한 LH 임직원들의 기상천외한 신도시 사전투기 의혹에 대해 <b>문재인</b> 대통령은 10일 &quot;우리 사회의 공정과 신뢰를 바닥에 무너뜨리는 용납할 수 없는 일&quot;이라고 일갈했다. 특히 '공정'은 연일 <b>지지율</b> 최대치를... ,"Wed, 10 Mar 2021 17:32:00 +0900"
"문대통령, 다시 우리총장님?…&quot;윤석열은 <b>문재인</b>정권 검찰총장&quot; 부른 이유는",http://news.mt.co.kr/mtview.php?no=2021011814335265092,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004530349,여당이 강하게 반발했던 월성 원전 1호기 경제성 <b>조작</b> 의혹 수사에 대해서도 &quot;감사원으로부터 수사기관으로... 총장을 '<b>문재인</b>정권의 검찰총장'이라며 일종의 태세전환에 나선 것에 대해선 다양한 해석이 나온다. <b>지지율</b>... ,"Mon, 18 Jan 2021 17:48:00 +0900"
[아침신문 솎아보기] <b>문재인</b> 대통령 레임덕 언론 분석 정말 맞을까,http://www.mediatoday.co.kr/news/articleView.html?idxno=212116,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=006&aid=0000106853,"일부 언론·야권 사안마다 ‘레임덕’ 주장하지만 임기말 역대 최고 <b>지지율</b>…한겨레, 네이버 실검 폐지에... 지난 24일 국회에서는 <b>문재인</b> 대통령이 검찰개혁 속도조절을 요구했는지를 두고 설전이 벌어졌고, 일부 언론은... ","Thu, 25 Feb 2021 08:24:00 +0900"
김종인 &quot;후보 집착 安 안타깝다…尹 <b>지지율</b> 관심없어&quot;[종합],https://www.hankyung.com/politics/article/2021012770457,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004490367,국민의힘과 더불어민주당의 <b>지지율</b>이 비슷함에도 보궐 선거 승리를 낙관하고 있는 이유에 대해서는 &quot;그동안 우리나라 유권자들은 높은 판단력을 보여줬다&quot;며 &quot;한 여론조사에서 <b>문재인</b> 정부 4년간 업적에 대해 묻자... ,"Wed, 27 Jan 2021 12:14:00 +0900"
"[한홍구 교수 제언] <b>문재인</b> 정부, 아직 임기 500여일이 남았다",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002709952&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002298326,"2017년 5월의 19대 대통령 선거에서 <b>문재인</b> 후보의 득표율은 41.1%로 그다지 높지 않았지만, 그가 &quot;한 번도 경험하지 못한 나라&quot;를 만들자며 대통령이 취임한 직후의 <b>지지율</b>은 득표율의 두 배가 넘는 80%를 상회했다. 대통령... ","Sun, 10 Jan 2021 19:46:00 +0900"
