title,originallink,link,description,pubDate
조은희 “나경원 ‘<b>짜장면</b>’ 오세훈 ‘라떼는’으론 어려워”,https://weekly.donga.com/3/all/11/2447659/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=037&aid=0000028758,<b>문재인</b> 정부의 실정이 거듭되면 반사이익을 볼 거라 기대하는 시각도 있었다. 중도 민심은 <b>문재인</b> 정부가... “우파 <b>짜장면</b>을 만들겠다”는 나경원 전 의원의 주장에 대해 “10년 전 <b>짜장면</b>으로는 안 된다”고 했다. “나... ,"Mon, 22 Feb 2021 10:02:00 +0900"
"나경원 &quot;<b>문재인</b> 정권, 상한 짬뽕만 만들어…때로는 좌가 옳기도&quot;",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202101170081&t=NN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=215&aid=0000930223,"좌파가 짬뽕을 만든다면, 우파는 <b>짜장면</b>을 만들어야 합니다&quot;라면서 &quot;<b>문재인</b> 정권이요? 그냥 짬뽕을 만든게 아니라, 상한 짬뽕만 계속 만들었죠. 네, 안타까운 현실입니다&quot;라고 했다.","Sun, 17 Jan 2021 21:06:00 +0900"
&quot;조국 압수수색 땐 <b>짜장면</b> 시켜먹더니&quot;..한동훈·정진웅 '장외전',http://www.edaily.co.kr/news/newspath.asp?newsid=01994246625839768,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004701699,"알려주고 <b>짜장면</b>(한식?)까지 주문해서 먹는 등 문명국가의 공권력이 가져야 할 품격과 준법의식에 야만적... 같은 당 소속의 오세훈 전 서울시장도 “<b>문재인</b> 대통령 총감독, 추미애 법무(장관) 연출, 이성윤... ","Thu, 30 Jul 2020 09:29:00 +0900"
"사람은 둘, <b>짜장면</b>은 하나… 文정부가 나누는 방식",https://news.chosun.com/site/data/html_dir/2020/07/03/2020070301843.html?utm_source=naver&utm_medium=original&utm_campaign=news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=023&aid=0003543937,"늘 집에서 라면만 끓여 먹다가 질려서 밥투정을 하자 어머니는 비상금을 꺼내어 <b>짜장면</b>을 시켜주셨다.... 하지만 2017년 5월 12일, <b>문재인</b> 대통령의 방문 이전에 입사한 사람만을 직고용한다는 그 대목만큼은 절대 납득할 수... ","Sat, 04 Jul 2020 03:02:00 +0900"
"'<b>짜장면</b>론' 꺼낸 나경원, 이유는?",http://www.sisaon.co.kr/news/articleView.html?idxno=123051,http://www.sisaon.co.kr/news/articleView.html?idxno=123051,"서울시장 보궐선거 출마를 선언한 나 전 의원은 16일 자신의 페이스북에서 짬뽕을 좌파, <b>짜장면</b>을 우파에... 실제로 나 전 의원은 출마 선언 자리에서 &quot;저는 <b>문재인</b> 정권의 실정과 오만에 가장 앞장서서 맞서 싸운 소신의... ","Wed, 20 Jan 2021 19:17:00 +0900"
"“이번 선거 주 4일제 등 새 담론 던지고파 …野, 나를 ‘<b>짜장면</b>의 완두콩’ ...",https://www.seoul.co.kr/news/newsView.php?id=20210216006012&wlog_tag3=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=081&aid=0003163881,믿는다”며 “<b>문재인</b> 정부에 대한 심판론 혹은 ‘문 정부를 지켜야 한다’로 양분된 선거 구도에서는 제가... “자꾸 저를 <b>짜장면</b>에 올려야 맛있는 완두콩이라 생각하시는 것 같다. 여도 야도 완두콩이 필요하니까. 저는... ,"Tue, 16 Feb 2021 05:06:00 +0900"
"[여의도 사사건건] 정청래·권성동, 의사-간호사 편가르기? ‘<b>짜장면</b>과 우동 ...",http://news.kbs.co.kr/news/view.do?ncd=4531670&ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0010895457,"우동하고 비교 안 한 상태에서 <b>짜장면</b>만 맛있다고 하면 괜찮은데, <b>문재인</b> 대통령의 이 글에서 의사하고 자꾸만 비교를 했어요. 비교를 했단 말이에요. 이게 잘못된 거죠. 왜 비교를 하냐, 이거예요. 그냥 의료진들이 코로나... ","Thu, 03 Sep 2020 18:36:00 +0900"
초유의 육탄전에 쏟아진 말…'뎅기열·야만인·<b>짜장면</b>',http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4233786,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=057&aid=0001483819,"여야 정치권은 물론 뎅기열이나 야만인, <b>짜장면</b> 등 양측을 비난하는 말들이 쏟아졌습니다. 안보람... 오세훈 전 서울시장은 &quot;<b>문재인</b> 대통령 총감독, 추미애 법무부 장관 연출, 이성윤 서울중앙지검장 각본의 검찰발 막장... ","Fri, 31 Jul 2020 08:05:00 +0900"
[정의길 칼럼] 한-미 동맹을 위해서 <b>짜장면</b>을 먹지 마라!,http://www.hani.co.kr/arti/opinion/column/968638.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=110&oid=028&aid=0002518970,"한국의 장삼이사들은 <b>짜장면</b>도 먹지 말고, 햄버거를 즐겨 먹으며 한-미 동맹이 굳건해지라는 ‘정신승리’를 다짐해야 할 것이다. <b>문재인</b> 정부가 출범한 지 한달 남짓했던 2017년 6월16일 대통령 통일외교안보특보인 문정인... ","Thu, 05 Nov 2020 10:06:00 +0900"
"진혜원 검사 &quot;신종 야만인…曺 압수수색 땐 <b>짜장면</b>, 막상 당하니 시끄럽네&quot;",https://www.news1.kr/articles/?4011030,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004785056,"<b>문재인</b> 대통령의 열성 지지자임을 공개적으로 밝히고 있는 진 부부장 검사는 29일 자신의 페이스북에 &quot;영국... 알려주고, <b>짜장면</b>(한식?)까지 주문해서 먹는 등 문명국가의 공권력이 가져야 할 품격과 준법의식에 야만적... ","Thu, 30 Jul 2020 07:30:00 +0900"
