title,originallink,link,description,pubDate
&quot;<b>문재인</b>·노무현&quot; 존칭 뺐다고…&quot;싸가지&quot; 양향자 공격한 친문,https://news.joins.com/article/olink/23609725,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003086096,"&quot;김영삼이 발탁하고, 노무현을 지켜냈고, <b>문재인</b>이 가져다 쓴 김영춘이야말로…&quot; 양향자 더불어민주당 최고위원이 자신의 <b>트위터</b>에 올린 같은 당 김영춘 부산시장 후보 지지 글에 18일 친문(親文) 네티즌 중심으로 비난이... ","Thu, 18 Mar 2021 15:13:00 +0900"
"&quot;<b>문재인</b>? 니 친구냐?&quot;, '대통령' 존칭 안썼다가 비난 받는 양향자 의원",https://news.imaeil.com/Politics/2021031816191365914,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694144,"양 의원은 17일 자신의 <b>트위터</b>에 &quot;김영삼이 발탁하고, 노무현을 지켜냈고, <b>문재인</b>이 가져다 쓴 김영춘이야말로 부산의 적장자입니다. 선거 때가되면 기웃거리는 뜨내기가 아닌 한평생 부산의 미래만을 고민해온 부산의... ","Thu, 18 Mar 2021 16:20:00 +0900"
美 국무·국방 장관 방한…18일 <b>문재인</b> 대통령 예방,http://www.lkp.news/news/articleView.html?idxno=15684,http://www.lkp.news/news/articleView.html?idxno=15684,"블링컨 장관은 방한 직후 <b>트위터</b>에 올린 글에서 &quot;<b>문재인</b> 대통령과 정의용 외교부 장관, 서욱 국방부 장관과 만나기 위해 국방장관과 함께 서울에 오게 돼 기쁘다&quot;고 밝혔다. 이어 &quot;미국과 한국의 동맹은 강력하다&quot;며 &quot;이는... ","Thu, 18 Mar 2021 10:09:00 +0900"
<b>문재인</b> 정부 D+1398,http://www.enewstoday.co.kr/news/articleView.html?idxno=1458236,http://www.enewstoday.co.kr/news/articleView.html?idxno=1458236,"[사진=<b>문재인</b> 대통령 <b>트위터</b> 갈무리] ◇文대통령, 세계 여성의 날 맞아 SNS 메시지 전달  <b>문재인</b> 대통령이 세계 여성의 날(3월 8일)을 맞아 &quot;여성의 경력단절 없이 더 많은 곳에서 더 많이 일할 때 포용적 회복과 도약이... ","Mon, 08 Mar 2021 14:02:00 +0900"
[그래픽] <b>문재인</b> 대통령 국정 지지도 추이,http://yna.kr/GYH20210315000400044?did=1363m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012259318,만 18세 이상 유권자 2천510명을 대상으로 조사한 결과 문 대통령의 국정수행 지지율(긍정 평가)은 전주보다 2.4%포인트 떨어진 37.7%로 조사됐다. jin34@yna.co.kr <b>트위터</b> @yonhap_graphics 페이스북 tuney.kr/LeYN1,"Mon, 15 Mar 2021 08:48:00 +0900"
"LH 불똥 튀자…文, &quot;좀스럽고 민망해&quot; '180만 팔로워' <b>트위터</b>에 올렸다",https://biz.chosun.com/site/data/html_dir/2021/03/12/2021031202404.html?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=366&aid=0000683923,"농지 취득에 편법 형질변경 논란 일자 180만 <b>트위터</b>, 85만 페이스북 공개반박 LH사태 성난 민심 옮겨붙은 것 못참은 듯 작년 9월 &quot;직접 소통에 방점 두고 SNS&quot; <b>문재인</b> 대통령이 12일 한국토지주택공사(LH) 땅투기 사건 이후... ","Fri, 12 Mar 2021 20:11:00 +0900"
'LH 임직원 투기' 여야 공방… <b>문재인</b> 대통령 사저 의혹까지,http://www.joongboo.com/news/articleView.html?idxno=363476869,http://www.joongboo.com/news/articleView.html?idxno=363476869,대통령이 사저 부지 매입과 관련 투기 의혹이 제기된 것에 대해 <b>트위터</b> 공식 계정에 직접 해명 글을 올린 데... 김은혜 국민의힘 대변인(성남분당갑)은 &quot;국민들은 현 내각을 믿을 수 없다&quot;면서 &quot;<b>문재인</b> 대통령은 정세균 총리... ,"Sun, 14 Mar 2021 17:23:00 +0900"
"마사오의 기사 실명제 3: <b>문재인</b> 포비아, 백신 포비아",http://www.ddanzi.com/671279011,http://www.ddanzi.com/671279011,그냥 국민 건강이고 나발이고 <b>문재인</b>이 숨만 쉬어도 싫은 거다. <b>문재인</b> 머리카락만 보여도 짜증이 나는... 요즘 <b>트위터</b>에서 핫한 <b>트위터</b> 공계지기의 활약상 하나 보고 마무리하자. 대단하지 않냐. 가해자는 인종차별 쩌는... ,"Wed, 10 Mar 2021 14:26:00 +0900"
조국 <b>트위터</b> '개천에서 행복한 붕어·개구리·가재' 정경심 재판서 검찰이 인...,https://news.imaeil.com/Politics/2021031519593864406,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000693620,"다수의 <b>트위터</b> 글(트윗)로 유명한 조국 전 법무부 장관의 유명 트윗 중 하나가 그의 부인 정경심 동양대 교수... 두고 <b>문재인</b> 정부 고위직들을 향해 &quot;본인 자식들은 자사고, 특목고에 다 보내더니 국민들의 기회만... ","Mon, 15 Mar 2021 20:01:00 +0900"
[그래픽] <b>문재인</b> 대통령 국정 지지도 추이,http://yna.kr/GYH20210308001200044?did=1363m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012245758,리얼미터가 YTN 의뢰로 지난 2∼5일 전국 18세 이상 2천6명을 대상으로 조사한 결과 서울지역의 국민의힘 지지율은 4.7%포인트 상승한 34.2%로 나타났다. 0eun@yna.co.kr <b>트위터</b> @yonhap_graphics 페이스북 tuney.kr/LeYN1,"Mon, 08 Mar 2021 10:57:00 +0900"
[그래픽] <b>문재인</b> 정부 국정원·검찰·경찰 개혁 체계도,http://yna.kr/GYH20210308002100044?did=1363m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012246994,검찰개혁을 지속하는 데 역량을 집중하기로 했다. 법무부는 8일 영상회의를 통해 <b>문재인</b> 대통령에게 이 같은 내용의 '2021년도 업무계획'을 보고했다. 0eun@yna.co.kr <b>트위터</b> @yonhap_graphics 페이스북 tuney.kr/LeYN1,"Mon, 08 Mar 2021 16:19:00 +0900"
"문 대통령, <b>트위터</b>로 바이든에 축하 &quot;같이 갑시다&quot;",http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4334244,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001516781,<b>문재인</b> 대통령은 <b>트위터</b>를 통해 바이든 미국 대통령 후보에 축하 인사와 함께 한미동맹 발전을 기대했습니다. 한미동맹의 상징인 '같이 갑시다'를 한글과 영어발음 그대로 적었습니다. 최중락 기자가 보도합니다. 【 기자... ,"Sun, 08 Nov 2020 20:28:00 +0900"
[Who Is ?] <b>문재인</b> 대통령,http://www.businesspost.co.kr/BP?command=article_view&num=210939,http://www.businesspost.co.kr/BP?command=article_view&num=210939,하지만 <b>트위터</b>에 김정은 위원장과 한국 비무장지대에서 만나고 싶다는 메시지를 올리며 북미대화 재개의 기대감이 커졌다. <b>문재인</b>과 트럼프 대통령은 2019년 6월30일 한미 정상회담을 마친 뒤 비무장지대에서 김정은... ,"Thu, 31 Dec 2020 10:27:00 +0900"
"이재명, 가덕도신공항특별법 통과에 &quot;노무현 꿈, <b>문재인</b> 정부서 이뤄져&quot;",https://view.asiae.co.kr/article/2021022620135082980,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=277&aid=0004855777,이재명 경기도지사가 26일 '가덕도신공항특별법'이 국회를 통과한 데 대해 노무현 대통령의 꿈이 <b>문재인</b> 정부에서 이뤄져 가슴 뛰는 순간이라며 높이 평가했다. 이 지사는 이날 <b>트위터</b>를 통해 &quot;800만 부울경... ,"Fri, 26 Feb 2021 20:13:00 +0900"
[이규화 칼럼] `<b>문재인</b> 보유`로 잃어버린 것들,http://www.dt.co.kr/contents.html?article_no=2021012702102269660001&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=110&oid=029&aid=0002651691,"지난 24일 박영선 전 중기벤처부 장관이 <b>트위터</b>에 &quot;오늘 <b>문재인</b> 대통령님 생신, 많이 축하드립니다. 대한민국은 <b>문재인</b> 보유국입니다!!!&quot;라고 올린 것을 두고 기사 댓글과 SNS에는 &quot;재앙이 있는 나라&quot; &quot;<b>문재인</b> 보유국 맞음... ","Tue, 26 Jan 2021 19:45:00 +0900"
"文대통령, <b>트위터</b>로 마크롱 쾌유 기원",http://news.heraldcorp.com/view.php?ud=20201218000617,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001767816,<b>문재인</b> 대통령이18일 <b>트위터</b>를 통해 신종코로나바이러스감염증(코로나19) 확진 판정을 받은 에마뉘엘 마크롱 대통령의 쾌유를 빌었다. 문 대통령은 <b>트위터</b>에서 &quot;마크롱 대통령님. 2주전 통화에서 대통령님과 코로나 극복... ,"Fri, 18 Dec 2020 14:05:00 +0900"
문 대통령이 <b>트위터</b>에 올린 글에 대한 반응이 예사롭지 않다 (사진),https://www.wikitree.co.kr/articles/625823,https://www.wikitree.co.kr/articles/625823,<b>문재인</b> 대통령이 <b>트위터</b>에 올린 글에 대한 반응이 예사롭지 않다. 미얀마 군부와 경찰의 시위대 폭력 진압을 강력하게 규탄하는 글을 <b>트위터</b>에 올리자 미얀마 국민이 고마움을 표시하고 있다. 문 대통령은 6일 <b>트위터</b>에서... ,"Sun, 07 Mar 2021 08:58:00 +0900"
'<b>문재인</b> 내려와' '<b>문재인</b> 힘내세요' 전쟁의 승자는?,https://news.chosun.com/site/data/html_dir/2020/07/20/2020072002818.html?utm_source=naver&utm_medium=original&utm_campaign=news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=023&aid=0003547809,이들은 이날 <b>트위터</b> 등에서 “’<b>문재인</b> 힘내세요’ 검색 갑시다”라며 키워드 검색을 독려했다. 이를 두고 ‘조국 사태’가 한창이던 지난해 9월 양진영 간 ‘실검 대결’이 재현됐다는 분석도 나왔다. 당시 사모펀드... ,"Mon, 20 Jul 2020 16:38:00 +0900"
