title,originallink,link,description,pubDate
수소연료전지발전소 방문한 <b>문재인</b> 대통령,http://www.newsis.com/view/?id=NISI20210319_0017264571,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010402040,<b>문재인</b> 대통령이 19일 오후 충남 서산시 수소연료전지발전소인 대산그린에너지를 방문해 김영욱 대산그린에너지 대표로 부터 업체 현황 및 수소연료전지발전소 현황 브리핑을 받고 있다. 2021.03.19. scchoo@newsis.com... ,"Fri, 19 Mar 2021 15:48:00 +0900"
野 &quot;<b>문재인</b> 정권 천하무적 김어준은 방역수칙도 예외냐&quot;,https://www.hankyung.com/politics/article/202103193259i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004516180,박기녕 국민의힘 부대변인이 &quot;<b>문재인</b> 정권 천하무적 김어준은 방역수칙도 예외냐&quot;고 따져 물었다. 박 부대변인은 19일 논평에서 &quot;서울시 마포구는 방송인 ‘김어준 7인 카페 모임’에 대해 과태료를 부과하지 않기로 했다... ,"Fri, 19 Mar 2021 15:55:00 +0900"
<b>문재인</b> 대통령 &quot;2034년까지 보령 화력발전소 12기 폐쇄&quot;,https://www.etoday.co.kr/news/view/2006256,https://www.etoday.co.kr/news/view/2006256,&quot;그린전환 원년&quot; 그린뉴딜 전략 보고 참석한 문 대통령 (보령=연합뉴스) 이진욱 기자 = <b>문재인</b> 대통령이... 무단 전재 재배포 금지.&gt; <b>문재인</b> 대통령은 19일 &quot;2034년까지 충남에서만 석탄화력발전소 12기를 폐쇄한다&quot;고... ,"Fri, 19 Mar 2021 17:18:00 +0900"
정세균 만난 원희룡 &quot;<b>문재인</b> 대통령도 제2공항 약속&quot;,http://www.jejusori.net/news/articleView.html?idxno=327331,http://www.jejusori.net/news/articleView.html?idxno=327331,<b>문재인</b> 대통령도 2017년 제주 제2공항 조기 개항을 약속했다&quot;고 밝혔다. 이어 &quot;대통령과 정부는 이 약속을 지켜야 할 책임이 있다. 제2공항 건설사업의 최종 판단은 제주도가 아닌 정부가 하는 일&quot;이라고 강조했다. 원... ,"Fri, 19 Mar 2021 17:10:00 +0900"
<b>문재인</b> 정부 D+1409,http://www.enewstoday.co.kr/news/articleView.html?idxno=1461894,http://www.enewstoday.co.kr/news/articleView.html?idxno=1461894,"19일 오후 충남 보령 화력발전소에서 열린 '충남 에너지전환과 그린뉴딜 전략 보고'에 참석, 발언하고 있는 <b>문재인</b> 대통령. [사진=연합뉴스] ◇文대통령, 에너지 전환과 그린 뉴딜 3대 전략 점검 <b>문재인</b> 대통령은... ","Fri, 19 Mar 2021 16:56:00 +0900"
이재오 &quot;김종인은 <b>문재인</b> 스파이란 얘기도…역할 끝났다&quot;,https://www.news1.kr/articles/?4246405,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005232554,"위원장이 <b>문재인</b> 정권의 스파이가 아닌가 하는 이야기를 하는데, 선거가 문제가 아니라 야권이 분열하게... 위원장이 <b>문재인</b> 정권 트로이의 목마가 아니냐는 얘기도 나온다&quot;고 말했다. 이 상임고문은 &quot;김 위원장이 박영선... ","Fri, 19 Mar 2021 09:57:00 +0900"
이해찬 &quot;<b>문재인</b>정부 지키기로 결심…서울선거 이긴 것 같다&quot;,http://www.dt.co.kr/contents.html?article_no=2021032002109919607001&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=029&aid=0002662049,이해찬 &quot;박찬종도 거짓말로 폭망…서울선거 이긴 것 같다&quot; &quot;LH 때문에 위축될 필요 없다…<b>문재인</b>정부... 이 전 대표는 &quot;야당은 선거의 목적이 <b>문재인</b> 정부 흔들기에 있다고 노골적으로 이야기한다&quot;며 &quot;그래서 나도... ,"Sat, 20 Mar 2021 01:15:00 +0900"
"<b>문재인</b> &quot;올해를 그린 전환의 원년 삼겠다, 그린뉴딜만이 생존의 길&quot;",http://www.businesspost.co.kr/BP?command=article_view&num=222632,http://www.businesspost.co.kr/BP?command=article_view&num=222632,<b>문재인</b> 대통령이 올해를 대한민국 그린 전환의 원년으로 삼겠다고 말했다. 문 대통령은 19일 충청남도... <b>문재인</b> 대통령이 19일 오후 충남 보령 화력발전소에서 열린 '충남 에너지전환과 그린뉴딜 전략 보고'에 참석해... ,"Fri, 19 Mar 2021 19:52:00 +0900"
"양승조 충남도지사, <b>문재인</b> 대통령 지역균형뉴딜투어 통해 전략 발표",http://www.cnbnews.com/news/article.html?no=484025,http://www.cnbnews.com/news/article.html?no=484025,"▲ CNB뉴스, CNBNEWS, 씨앤비뉴스 19일 보령화력발전소에서 열린 <b>문재인</b> 대통령의 지역균형뉴딜투어 충남... 양승조 지사는 19일 보령화력발전소에서 열린 <b>문재인</b> 대통령의 지역균형뉴딜투어 충남 행사에 참석, 이 같은... ","Fri, 19 Mar 2021 17:09:00 +0900"
<b>문재인</b>정부 법무장관은 대선행 고속도로? 추미애·박범계·조국 '대망론',https://hankookilbo.com/News/Read/A2021031817090000844?did=NA,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=469&aid=0000589513,'검찰 사무 관리와 인권 옹호'가 주업무인 법무부 장관이 <b>문재인</b> 정부에서 유독 대권행 고속도로가 된... <b>문재인</b> 정부 들어 법무부 장관은 가장 주목받는 장관이 됐다. 추 전 장관은 “미래 사회의 특징이 무엇인가 예측하고... ,"Fri, 19 Mar 2021 09:10:00 +0900"
