title,originallink,link,description,pubDate
"[박성민의 정치 포커스] ‘입당’ 이회창, ‘단일화’ 정몽준… <b>윤석열</b>이 갈 ...",https://www.chosun.com/opinion/specialist_column/2021/03/19/DPOUGKUX3RCCFKGTSIHWJZFQDY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=023&aid=0003602577,2022년 대선에도 <b>윤석열</b>이라는 강력한 제3 후보가 또다시 등장했다. 그가 출마를 결심하면 세 가지 길이... 반면 2012년 박근혜는 TK와 충청 두 곳 모두를 <b>고향</b>으로 인식시키면서 문재인에게 충청에서 승리했다. 충청은... ,"Fri, 19 Mar 2021 03:03:00 +0900"
<b>윤석열</b>의 ‘전방위 인맥’ 大해부 | “대선戰 본격화하면 다탄두 조직으로 탈...,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,"<b>윤석열</b>(尹錫悅·61) 전 검찰총장(이하 직함 생략)의 정치 행보가 본격화하면서 ‘<b>윤석열</b> 인맥’에 지대한... 2020년 총선 당시 더불어민주당 공천을 받아 <b>고향</b>인 충북 충주에서 출마했으나, 이종배 미래통합당(현... ","Fri, 19 Mar 2021 10:09:00 +0900"
<b>윤석열</b> 부모 <b>고향</b> '충청·강원'···野 기대감 ↑,https://www.sedaily.com/NewsView/22JSZN7VK1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003882792,"야권 최대 잠룡으로 떠오른 <b>윤석열</b> 전 검찰총장이 어떤 세력을 발판삼아 정치권에 입문할 지 이목이 쏠린... 이회창 전 한나라당 총재를 시작으로 이인제 전 의원과 이완구 전 총리, 반기문 전 유엔사무총장은 <b>고향</b>의... ","Sun, 14 Mar 2021 09:51:00 +0900"
수사 말고 아는 거 있수? ‘빈수레 후보론’ <b>윤석열</b>의 이상과 현실,https://ilyo.co.kr/?ac=article_view&entry_id=395931,https://ilyo.co.kr/?ac=article_view&entry_id=395931,사실상 정치를 하겠다 선언하고 잠행에 들어간 <b>윤석열</b> 전 검찰총장 앞에 과제물이 쌓여가고 있다. 우선... 총장 퇴임 직전 대구를 찾아 “<b>고향</b>에 온 것 같은 느낌”이라고 말하며 TK 민심 잡기를 위한 행보를 보였다. 그러나... ,"Fri, 19 Mar 2021 14:56:00 +0900"
이낙연 지지율 10% 턱걸이…이재명 25% <b>윤석열</b> 23%,http://news.mk.co.kr/newsRead.php?no=260673&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004765576,정치<b>고향</b> 호남 찾은 이낙연 &quot;여순사건 특별법 곧 처리&quot; 더불어민주당 유력 대권주자 이낙연 상임선대위원장의 지지율이 두 자릿수조차 위협받는 여론조사 결과가 18일 나왔다. 이재명 경기도지사와 <b>윤석열</b> 전... ,"Thu, 18 Mar 2021 17:15:00 +0900"
<b>윤석열</b>의 뒷배는 '지역'…부모<b>고향</b> '충청·강원'에 野기대감,http://yna.kr/AKR20210313060600001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012257982,"떠오른 <b>윤석열</b> 전 검찰총장이 과연 어떤 세력을 발판삼아 정치권에 안착할지 관심이 집중된다. 가장 먼저... 이회창 전 한나라당 총재를 시작으로 이인제 전 의원과 이완구 전 총리, 반기문 전 유엔사무총장은 <b>고향</b>의... ","Sun, 14 Mar 2021 07:00:00 +0900"
&quot;석열아 괜찮냐?&quot;&quot;제 걱정 마세요&quot;…<b>윤석열</b> 부자의 대화법,https://news.joins.com/article/olink/23605784,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003084689,"당내 최다선(5선)인 정진석 의원은 윤 전 총장이 사임하자 바로 페이스북에 “<b>고향</b> 친구 <b>윤석열</b>과 함께, 문재인 정권에 맞서 싸우겠다”고 썼다. 윤 전 총장은 서울 출신이지만, 부친 <b>고향</b>이 충남 논산으로 정 의원(충남... ","Sun, 14 Mar 2021 05:00:00 +0900"
여론조사 지지율 또다시 1위… 거센 '<b>윤석열</b> 돌풍',http://www.cctoday.co.kr/news/articleView.html?idxno=2130701,http://www.cctoday.co.kr/news/articleView.html?idxno=2130701,"최근 지지도 여론조사 37.2% 이재명·이낙연 훌쩍 뛰어넘어 尹, TK·충청권서 높은 지지율 국힘 정진석, 지지… 영입 관심 [충청투데이 ] 충남 공주가 <b>고향</b>인 <b>윤석열</b> 전 검찰총장이 차기 대선 각종 여론조사에서 1위를... ","Mon, 15 Mar 2021 20:43:00 +0900"
<b>윤석열</b> 신드롬급 인기에 정치권 촉각,http://www.ksilbo.co.kr/news/articleView.html?idxno=791287,http://www.ksilbo.co.kr/news/articleView.html?idxno=791287,2022년 3월9일 예고된 차기 대선에서 <b>윤석열</b> 전 검찰총장이 기존의 여야 주자를 제치고 가파른 상승세를... 대선 등 큰 선거에서 캐스팅보트를 쥔 충청권에서 지지율이 과반에 육박한 것은 윤 전 총장 부친의 <b>고향</b>(공주)... ,"Mon, 15 Mar 2021 21:22:00 +0900"
"<b>윤석열</b> 지지율, 단숨에 40% 육박...반문 정서 작용?",http://www.daejonilbo.com/news/newsitem.asp?pk_no=1462508,http://www.daejonilbo.com/news/newsitem.asp?pk_no=1462508,충청권에서도 지지율이 과반에 육박한 것은 윤 전 총장 부친 <b>고향</b>이 충남이란 연결고리에서 비롯된 '충청대망론'의 기대감으로 평가된다. 이 같은 고공행진이 지속할 경우 적어도 야권에선 '<b>윤석열</b> 신드롬'을 넘어... ,"Mon, 15 Mar 2021 16:58:00 +0900"
"집콕 <b>윤석열</b>, 지지율은 '상한가'…정치권, '尹신드롬' 촉각",http://yna.kr/AKR20210315060700001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012260030,보수 텃반 대구·경북 지지율 폭등…부친 <b>고향</b> 충청서도 급등세 홍정규 이동환 기자 = <b>윤석열</b> 전 검찰총장의 대권 지지율 상승세가 숨이 가쁠 정도다. 지난달까지만 해도 한자릿수에 머무르던 지지율이 사퇴 직후 30%를... ,"Mon, 15 Mar 2021 11:22:00 +0900"
"<b>윤석열</b> 사퇴 후폭풍 | 與, 尹 잡기 위해 박근혜 사면 카드 만지작? | “朴통이...",http://monthly.chosun.com/client/news/viw.asp?ctcd=A&nNewsNumb=202104100013,http://monthly.chosun.com/client/news/viw.asp?ctcd=A&nNewsNumb=202104100013,“박근혜 대통령 사면은 <b>윤석열</b>을 잡기 위한 대선용 카드다.” 사석에서 만난 박근혜 전 대통령의 핵심... “윤 전 총장의 지지기반은 충청도(<b>고향</b>은 서울이지만 아버지 윤기중 연세대 명예교수가 충청남도 공주 출신)와... ,"Fri, 19 Mar 2021 10:09:00 +0900"
"<b>윤석열</b>, 여론조사마다 돌풍…與 &quot;반기문·고건과 달라&quot; 긴장",http://www.newsis.com/view/?id=NISX20210312_0001369119&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010390990,윤 전 총장 부친인 윤기중 연세대 명예교수 <b>고향</b>이 충남 논산인 만큼 '충청 대망론'이 다시 불붙는 게 아니냐는 해석이 붙는다. 4·7 재보궐선거도 <b>윤석열</b> 현상의 영향권에 들어간 모양새다. 11일자 KBS 의뢰... ,"Sun, 14 Mar 2021 06:00:00 +0900"
"헌정사상 최초의 검찰총장 대권行, 초조한 與 | “與, 23년 전 위헌판결 받은...",http://monthly.chosun.com/client/news/viw.asp?ctcd=A&nNewsNumb=202104100015,http://monthly.chosun.com/client/news/viw.asp?ctcd=A&nNewsNumb=202104100015,<b>윤석열</b> 전 검찰총장이 유력 대권 주자로 떠오르고 있다. 검찰총장 출신이 직접 정치를 하는 경우는 극히... 위해 <b>고향</b>(부산) 후배인 두 사람의 등을 떠밀었다는 것이 정설이다. 김도언 전 총장이 퇴임 후 바로 정당에... ,"Fri, 19 Mar 2021 10:31:00 +0900"
"조국 &quot;<b>윤석열</b>, 文대통령도 '잠재적 피의자'로 인식&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=01397286628981680,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004870677,<b>고향</b> 온 것 같다’라고 발언했다”며 “총장으로서 마지막 방문지로 대구를 선택한 것은 우연일까”라고 덧붙였다. <b>윤석열</b> 전 검찰총장이 사퇴 전날인 지난 3일 오후 직원과의 간담회를 위해 대구고검과 지검을 방문한... ,"Tue, 09 Mar 2021 07:51:00 +0900"
"조국 &quot;<b>윤석열</b>, 어느 시점부터 文도 '잠재적 피의자'로 인식&quot; [전문]",https://www.hankyung.com/society/article/2021030961087,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004510248,또 &quot;(<b>윤석열</b> 전 총장이) 사직 하루 전날 대구 지검을 방문해 '몇 년 전 어려웠던 시기에 저를 따뜻하게 품어준 고장이다. <b>고향</b> 온 것 같다'라고 발언했다&quot;면서 &quot;총장으로서 마지막 방문지로 대구를 선택한 것은 우연일까... ,"Tue, 09 Mar 2021 11:16:00 +0900"
"조국 “<b>윤석열</b>, 文대통령도 ‘잠재적 피의자’로 인식”",https://www.donga.com/news/article/all/20210309/105793413/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003343281,조국 전 법무부 장관이 9일 “두 명의 대통령을 감옥에 보낸 <b>윤석열</b> 총장이 어느 시점에 문재인 대통령도... 사직 하루 전날 대구 지검을 방문해 ‘<b>고향</b>에 온 것 같다’고 발언했다. 총장으로서 마지막 방문지로 대구를... ,"Tue, 09 Mar 2021 15:03:00 +0900"
"조수진 &quot;<b>윤석열</b>, 정동영·김한길과 친분…접촉한다 전해져&quot;",http://www.newsis.com/view/?id=NISX20210310_0001365279&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010384791,"두 사람은 선친이 이북 출신이란 공통점이 있다&quot;며 &quot;정대철은 정동영이 친노, 친문과 갈라서 <b>고향</b>에서 칩거할 때 그를 직접 찾아 국민의당 행을 성사시킨 일이 있다&quot;고 설명했다. 그는 &quot;정대철과 <b>윤석열</b>의 인연은 박영수... ","Wed, 10 Mar 2021 10:46:00 +0900"
"<b>윤석열</b>, 외가 강릉 거점삼아 도내 기반 넓힐까 주목",http://www.kwnews.co.kr/nview.asp?aid=221031400043,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=087&aid=0000836177,떠오른 <b>윤석열</b> 전 검찰총장의 강원도와의 인연도 새삼 재조명되고 있다. 윤 전 총장은 서울에서 태어났지만 그가 본격적인 정치 행보에 나설 경우 부친의 <b>고향</b>인 충남(논산·공주)과 모친의 <b>고향</b>인 강원(강릉)을 거점으로... ,"Mon, 15 Mar 2021 00:35:00 +0900"
검사 임지도 정치적 <b>고향</b>?…尹 대망론에 '아전인수' 과열,https://news.imaeil.com/Politics/2021031416471731561,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000693366,정치권 관계자는 &quot;이러다 윤 전 총장 사돈의 팔촌까지 등장해 전국이 정치적 <b>고향</b>이 될 판&quot;이라며 &quot;<b>윤석열</b> 대망론으로 인해 과거 윤 전 총장과의 작은 인연이 아전인수격으로 해석되는 일이 잦을 것&quot;이라고 내다봤다.,"Sun, 14 Mar 2021 17:18:00 +0900"
[논설위원의 뉴스 요리] <b>윤석열</b>은 준비된 지도자인가,http://www.busan.com/view/busan/view.php?code=2021031017254618809,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001074557,"지난 4일 사의를 표명한 <b>윤석열</b> 전 검찰총장이 서울 대검찰청사를 나서고 있다. 연합뉴스 ■준비 안 된 왕... 지난 3일 국민의힘 정치 기반인 대구에 가서 “저를 따뜻하게 품어 줬던 고장”, “<b>고향</b>에 온 느낌”이라는... ","Sat, 13 Mar 2021 09:01:00 +0900"
<b>윤석열</b>의 ‘일장일단’ 뭐길래,http://www.ichannela.com/news/main/news_detailPage.do?publishId=000000242517,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=449&aid=0000205948,"강직 이미지, 소명 의식, 아버지 <b>고향</b> 충청권, 중도층 지지... 대체적으로 김근식 교수님도 동의를 하십니까? [김근식 경남대 정치외교학과 교수] <b>윤석열</b> 전 총장의 개인적인 배경을 분석해보면 저런 것들이 가능하다고... ","Wed, 17 Mar 2021 19:11:00 +0900"
[여의도 고구말] 2주째 이어진 ‘<b>윤석열</b> 효과’… “그래서 출마를 한다고?”,http://www.kukinews.com/newsView/kuk202103150344,http://www.kukinews.com/newsView/kuk202103150344,시민들이 29일 오후 서울 서초동 검찰청 앞 인도에 놓인 '<b>윤석열</b> 화환 행렬' 옆으로 지나가고 있다. 박태현... 5선 의원인 국민의힘 정진석 의원(충남 공주)은 윤 전 총장을 ‘<b>고향</b> 친구’라고 부르며 대권 도전에 불을... ,"Tue, 16 Mar 2021 06:03:00 +0900"
"<b>윤석열</b>, 대선후보 지지율 또 올라 37.2%…이재명 24.2%·이낙연 13.3%",http://www.sisafocus.co.kr/news/articleView.html?idxno=257103,http://www.sisafocus.co.kr/news/articleView.html?idxno=257103,한국사회여론연구소의 차기 대권주자 선호도 조사 결과 ⓒKSOI <b>윤석열</b> 전 검찰총장의 차기 대선후보... 4%)들의 지지를 주요 기반으로 삼은 데 반해 과거 독주했던 이 지사는 <b>고향</b>인 호남(광주·전라 38.5%) 지지율을... ,"Mon, 15 Mar 2021 10:58:00 +0900"
조국 &quot;<b>윤석열</b>은 '검찰주의자'를 넘어 '정치 검사'&quot;,https://news.imaeil.com/Politics/2021030910375193364,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000692427,조국 전 법무부 장관이 <b>윤석열</b> 전 검찰총장을 '반문 야권 정치인'으로 규정하면서 &quot;'검찰주의자'를 넘어 '정치... <b>고향</b> 온 것 같다'라고 발언했다&quot;며 &quot;총장으로서 마지막 방문지로 대구를 선택한 것은 우연일까&quot;라고 했다. 조... ,"Tue, 09 Mar 2021 10:38:00 +0900"
"조국 “‘반문재인 야권 정치인’ <b>윤석열</b>, 촛불이 검증해야”",http://news.kmib.co.kr/article/view.asp?arcid=0015611567&code=61121111&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001418408,조국 전 법무부 장관이 <b>윤석열</b> 전 검찰총장을 두고 “2019년 하반기 이후 그의 자기인식은 단지 문재인 정부의... <b>고향</b>에 온 것 같다’고 발언했다. 총장으로서 마지막 방문지를 대구로 선택한 것은 우연이겠느냐”고... ,"Tue, 09 Mar 2021 10:10:00 +0900"
'대세 <b>윤석열</b>' 충청 접수 완료… 지지율 '46.7%',http://www.cctoday.co.kr/news/articleView.html?idxno=2131246,http://www.cctoday.co.kr/news/articleView.html?idxno=2131246,"부친의 <b>고향</b>(공주)을 고리로 '충청 대망론'에도 기대는 국민의힘에 고무적인 현상이라는 분석이 나온다.윤 전 총장의 고공행진이 지속할 경우, 적어도 충청 야권에선 '<b>윤석열</b> 신드롬'을 넘어 '<b>윤석열</b> 대세론'이 생겨날 수... ","Wed, 17 Mar 2021 20:18:00 +0900"
"악연은 계속된다…조국·추미애, '<b>윤석열</b> 때리기' 선봉",http://www.newsis.com/view/?id=NISX20210310_0001365023&cID=10201&pID=10200,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010384490,이윤희 김가윤 기자 = 수사·기소 분리 문제로 여권과 각을 세우던 <b>윤석열</b> 전 검찰총장이 끝내 사표를... 또 재보궐 선거 한달여를 앞두고 사표를 던진 점을 언급한 뒤 &quot;사직 하루 전날 대구지검을 방문해 '<b>고향</b> 온 것 같다... ,"Wed, 10 Mar 2021 09:46:00 +0900"
'반문 상징' 등에 업은 <b>윤석열</b>...시대 정신은 아직,https://www.ytn.co.kr/_ln/0101_202103090527053149,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001560164,"떠나고 5년 만에 왔더니 감회가 특별하고, <b>고향</b>에 온 것 같은 느낌입니다.] 그리고 다음 날 실제 총장직을 던지며 '정치인 <b>윤석열</b>'로서의 행보를 예고했습니다. [<b>윤석열</b> / 검찰총장 (지난 4일) : 앞으로도 제가 어떤 위치에... ","Tue, 09 Mar 2021 05:27:00 +0900"
"<b>윤석열</b>, 정계입문 언제할까?",http://www.womaneconomy.kr/news/articleView.html?idxno=100292,http://www.womaneconomy.kr/news/articleView.html?idxno=100292,#<b>윤석열</b>도 '국민'과 '공정' 강조했다 윤 전 총장은 대구 고검․지검을 방문한 당시 &quot;<b>고향</b>에 돌아온 것 같은 기분&quot;이라고 말했다. 대구는 '보수의 성지'로 불리는 곳이다. 윤 전 총장이 야권 내 대권주자 중 선두에 선... ,"Tue, 16 Mar 2021 09:58:00 +0900"
"&quot;<b>윤석열</b>, 文대통령도 '잠재적 피의자' 인식&quot; 날 세운 조국 &quot;촛불시민이 검증해...",https://www.sedaily.com/NewsView/22JQPJAZQM,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003880643,"사퇴한 <b>윤석열</b> 전 총장의 행보와 관련, 조국 전 법무부 장관이 &quot;이제 확실히 대통령을 꿈꾸는 '반문재인 야권... <b>고향</b> 온 것 같다'라고 발언했다&quot;면서 &quot;총장으로서 마지막 방문지로 대구를 선택한 것은 우연일까&quot;라고도... ","Tue, 09 Mar 2021 09:45:00 +0900"
<b>윤석열</b> 단숨에 1위…보수심장 TK와 충청서 압도적 지지,http://news.mk.co.kr/newsRead.php?no=222236&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004759962,"檢총장 퇴임후 첫 여론조사 <b>윤석열</b> 32.4% 이재명 24.1% 김종인 &quot;별의 순간 시작&quot; 떨떠름한 與 &quot;컨벤션 효과일뿐... 특히 윤 전 총장은 지지율 핵심 기반이 보수층과 대구·경북(TK)이었고, 부친 <b>고향</b>인 충청에서도 호감을... ","Mon, 08 Mar 2021 17:34:00 +0900"
