title,originallink,link,description,pubDate
"[특징주] 원익큐브, '<b>윤석열 관련주</b>'로 부각… 14%↑",http://moneys.mt.co.kr/news/mwView.php?no=2021031909558099527,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000671139,<b>윤석열</b> 전 검찰총장과 이재명 경기도지사가 차기 대선후보 적합도 조사에서 '양강구도'를 펼치고 있다는 여론조사 결과가 나오며 '<b>윤석열 관련주</b>' 원익큐브가 강세다. 19일 오전 9시54분 기준 원익큐브는 전 거래일... ,"Fri, 19 Mar 2021 09:56:00 +0900"
"원익큐브, 장 초반 주가 급등…<b>윤석열 관련주</b> 영향?",http://www.sporbiz.co.kr/news/articleView.html?idxno=516266,http://www.sporbiz.co.kr/news/articleView.html?idxno=516266,"최근 원익큐브는 주주총회소집 공고를 통해 김영대 변호사를 감사로 선임할 예정이라고 공시했다. 김영대는 서울북부지방검찰 검사장, 서울고등검찰청 검사장 등을 거쳤으며, <b>윤석열 관련주</b> 인물로 분류된 바 있다.","Fri, 19 Mar 2021 10:02:00 +0900"
"[특징주] 원익큐브 17% 상승 '김영대 감사, <b>윤석열</b>과 인연'",http://www.gukjenews.com/news/articleView.html?idxno=2184617,http://www.gukjenews.com/news/articleView.html?idxno=2184617,원익큐브는 <b>윤석열 관련주</b>로 꼽힌다. 원익큐브가 <b>윤석열 관련주</b>로 편입된 것은 이번 주주총회소집 결의에서 김영대 감사를 선임한다는 소식 때문으로 추측된다. 김영대 감사는 서울고등검검찰청... ,"Fri, 19 Mar 2021 12:24:00 +0900"
"[<b>윤석열 관련주</b>] 서연·서연이화 소폭 상승 '<b>윤석열</b> 장모, 비공개 재판 신청'",http://www.ccreview.co.kr/news/articleView.html?idxno=306760,http://www.ccreview.co.kr/news/articleView.html?idxno=306760,"<b>윤석열 관련주</b>가 상승세다. 18일 오전 9시 31분 기준 서연은 3.98%(450원) 상승한 1만 1750원에, 서연이화는 1.61%(140원) 상승한 8820원에 거래 중이다. 서연탑메탈은 0.10%(10원) 하락한 9920원에 거래 중이다. 통장 잔고증명서를... ","Thu, 18 Mar 2021 09:37:00 +0900"
"[주식] 팬엔터테인먼트, <b>윤석열 관련주</b> 소식에 강세+8%",http://www.ggilbo.com/news/articleView.html?idxno=835092,http://www.ggilbo.com/news/articleView.html?idxno=835092,이 중 <b>윤석열관련주</b>에 편입되어 급등한 것이라는 의견이 강하게 나왔다. 지난 5일에 공시한 주주총회소집결의 공시를 통해 유재만 사외이사를 선임하겠다는 뜻을 밝힌 바 있다. 새롭게 선임될 유재만 사외이사가... ,"Fri, 19 Mar 2021 15:00:00 +0900"
센트럴인사이트 10%대 급등...<b>윤석열 관련주</b> 영향?,http://www.ajunews.com/view/20210318104336982,http://www.ajunews.com/view/20210318104336982,센트럴인사이트는 차기 대권주자 지지율 1위인 <b>윤석열</b> 전 검찰총장 <b>관련주</b>로 거론된 바 있다. 센트럴인사이트 홍경표 고문이 윤 전 총장을 지지하는 윤사모(<b>윤석열</b>을 사랑하는 모임) 회장을 맡고 있는 것으로... ,"Thu, 18 Mar 2021 11:05:00 +0900"
"푸른저축은행·서연, <b>윤석열 관련주</b> 희비 엇갈려…특히 서연 14% 급등",http://www.econonews.co.kr/news/articleView.html?idxno=163325,http://www.econonews.co.kr/news/articleView.html?idxno=163325,<b>윤석열 관련주</b>인 푸른저축은행과 서연의 희비가 엇갈리고 있다. 푸른저축은행은 18일 코스닥 시장에서 오전 9시53분 현재 전 거래일보다 0.65%(100원) 하락한 1만5400원에 거래되고 있다. 푸른저축은행 사외이사로... ,"Thu, 18 Mar 2021 09:58:00 +0900"
'<b>윤석열 관련주</b>' 센트럴인사이트·덕성·서연 주가 상승세,http://www.sporbiz.co.kr/news/articleView.html?idxno=516150,http://www.sporbiz.co.kr/news/articleView.html?idxno=516150,"/ 연합뉴스 <b>윤석열 관련주</b> 센트럴인사이트, 덕성, 서연 주가가 상승세다. 18일 오후 2시 59분 기준 센트럴인사이트는 전일 대비 11.26%(335원) 오른 3310원에 거래되고 있다. 같은 시각 덕성(3.15%), 서연(7.96%)이 함께 상승세다.... ","Thu, 18 Mar 2021 15:16:00 +0900"
[특징주] 센트럴인사이트 11% 상승 '<b>윤석열 관련주</b>',http://www.gukjenews.com/news/articleView.html?idxno=2183711,http://www.gukjenews.com/news/articleView.html?idxno=2183711,센트럴인사이트 11% 상승 '<b>윤석열 관련주</b>' 센트럴인사이트 주가가 상승세다. 18일 오전 11시 8분 기준 센트럴인사이트는 11.93%(365원) 상승한 3335원에 거래 중이다. 센트럴인사이트는 <b>윤석열 관련주</b>로 꼽힌다.... ,"Thu, 18 Mar 2021 11:11:00 +0900"
[<b>윤석열 관련주</b>] 서연·서연이화·서연탑메탈 주가 연일 상승세...<b>윤석열</b> 장모...,http://www.ccreview.co.kr/news/articleView.html?idxno=306852,http://www.ccreview.co.kr/news/articleView.html?idxno=306852,"서연·서연이화·서연탑메탈 주가 연일 상승세...<b>윤석열</b> 장모 비공개 재판 <b>윤석열 관련주</b>가 연일 상승세를 기록하고 있다. 19일 오전 9시 31분 기준 서연은 2.87%(350원) 상승한 1만 2550원에, 서연이화는 1.69%(150원) 상승한... ","Fri, 19 Mar 2021 09:45:00 +0900"
"[특징주]센트럴인사이트 주가, <b>윤석열 관련주</b> 편입 소식에 강세",http://www.ccreview.co.kr/news/articleView.html?idxno=306812,http://www.ccreview.co.kr/news/articleView.html?idxno=306812,"센트럴인사이트 주가, <b>윤석열 관련주</b> 편입 소식에 강세 센트럴인사이트 주가가 상승세다. 18일 오전 11시 8분 기준 센트럴인사이트는 11.76%(350원) 상승한 3325원에 거래를 마쳤다. 센트럴인사이트는 <b>윤석열 관련주</b>로... ","Thu, 18 Mar 2021 20:13:00 +0900"
