title,originallink,link,description,pubDate
<b>윤석열</b>의 ‘전방위 인맥’ 大해부 | “대선戰 본격화하면 다탄두 조직으로 탈...,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,"<b>윤석열</b>(尹錫悅·61) 전 검찰총장(이하 직함 생략)의 정치 행보가 본격화하면서 ‘<b>윤석열</b> 인맥’에 지대한... 당시 그의 <b>나이</b> 47세로, 주요 자산운용사 CEO로는 최연소였다. 재임 중 출시한 ‘KB밸류포커스’... ","Fri, 19 Mar 2021 10:09:00 +0900"
[임종건의 드라이펜]‘정치인 <b>윤석열</b>’이 넘어야 할 벽,https://weekly.hankooki.com/lpage/opinion/202103/wk20210319142157146960.htm?s_ref=nv,https://weekly.hankooki.com/lpage/opinion/202103/wk20210319142157146960.htm?s_ref=nv,"점에서 <b>윤석열</b>에게는 보다 직접적인 반면교사이다. 홍준표는 5선 국회의원에다 경남도지사를 지내 행정경험까지 갖췄고, 19대 대선에 제1 야당인 자유한국당 후보로 출마해 낙선했다. 고건은 약관의 <b>나이</b>에 군수를... ","Fri, 19 Mar 2021 14:22:00 +0900"
"[픽뉴스] 훈련된 <b>윤석열</b>, 25년 만의 중성",http://www.mbn.co.kr/pages/news/newsView.php?news_seq_no=4451945,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001559001,【 질문1 】 첫번째 키워드는 &quot;훈련된 <b>윤석열</b>&quot;이네요. 누가 한 말이죠? 【 기자 】 윤여준 전 환경부 장관의... 【 기자 】 이 여성은 현재 <b>나이</b>인 25살이 될 때까지 월경을 한적이 없다고 합니다. 청소년기 때도 월경을 하지... ,"Wed, 17 Mar 2021 20:35:00 +0900"
<b>윤석열</b>의 뒷배는 '지역'…부모고향 '충청·강원'에 野기대감,http://yna.kr/AKR20210313060600001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012257982,떠오른 <b>윤석열</b> 전 검찰총장이 과연 어떤 세력을 발판삼아 정치권에 안착할지 관심이 집중된다. 가장 먼저... 법조계 선배인 권 의원과 <b>나이</b>는 동갑이다. '보수의 텃밭'으로 여겨지는 대구·경북(TK) 지역에도 남다른 인맥을... ,"Sun, 14 Mar 2021 07:00:00 +0900"
<b>윤석열</b> 부모 고향 '충청·강원'···野 기대감 ↑,https://www.sedaily.com/NewsView/22JSZN7VK1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=011&aid=0003882792,야권 최대 잠룡으로 떠오른 <b>윤석열</b> 전 검찰총장이 어떤 세력을 발판삼아 정치권에 입문할 지 이목이 쏠린... 법조계 선배인 권 의원과 <b>나이</b>는 동갑이다. 나아가 윤 전 총장은 '보수의 텃밭'으로 여겨지는 대구·경북(TK)... ,"Sun, 14 Mar 2021 09:51:00 +0900"
"이재오 “<b>윤석열</b>, 보선 이후 지지율 유지되면 대선 직행”",https://shindonga.donga.com/3/all/13/2491165/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=262&aid=0000014296,"다져야 “<b>윤석열</b> 전 검찰총장이 요즘 하는 거 보면 정치에 대한 의지는 읽힙니다. 그런데 정치가 자기 혼자... <b>나이</b>만 갖고 따지는 것은 아니지만, 본인이 (대권) 욕심을 낸다면 국민에게 폐를 끼치는 일이죠. 국민과 국가에... ","Fri, 12 Mar 2021 10:02:00 +0900"
[논설위원의 뉴스 요리] <b>윤석열</b>은 준비된 지도자인가,http://www.busan.com/view/busan/view.php?code=2021031017254618809,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001074557,지난 4일 사의를 표명한 <b>윤석열</b> 전 검찰총장이 서울 대검찰청사를 나서고 있다. 연합뉴스 ■준비 안 된 왕... 그의 <b>나이</b> 19살 때였다. 순원황후는 하필 이원범을 지명했을까. 당시 이 씨 왕가는 말 그대로 씨가 말라 딱히... ,"Sat, 13 Mar 2021 09:01:00 +0900"
"안철수, <b>윤석열</b>과 야권통합 주장에 김종인 &quot;윤과 아무 교감 없을 것&quot;",https://www.news1.kr/articles/?4241005,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005222096,김종인 국민의힘 비상대책위원장은 15일 4·7 서울시장 보궐선거에 출마한 안철수 국민의당 대표가 <b>윤석열</b> 전... 미국에서 <b>나이</b> 먹은 바이든이나 트럼프도 스탠딩 토론회를 하는데 (안 후보는) 토론을 못 하겠다는 것 아닌가... ,"Mon, 15 Mar 2021 11:15:00 +0900"
"[스트레이트 말말말] 홍준표 &quot;김종인, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 ...",http://www.straightnews.co.kr/news/articleView.html?idxno=100321,http://www.straightnews.co.kr/news/articleView.html?idxno=100321,"홍 의원은 국민의당 안철수 후보를 &quot;한국 정치 중도의 상징&quot;이라며 &quot;김 위원장이 안 후보를 모욕하는 것을 보면서, <b>나이</b> 먹고 어떻게 저렇게 정치를 했나 기가 막혔다&quot;라고 했다. 홍 의원은 <b>윤석열</b> 전 검찰총장이 야권의... ","Fri, 19 Mar 2021 09:11:00 +0900"
"헌정사상 최초의 검찰총장 대권行, 초조한 與 | “與, 23년 전 위헌판결 받은...",http://monthly.chosun.com/client/news/viw.asp?ctcd=A&nNewsNumb=202104100015,http://monthly.chosun.com/client/news/viw.asp?ctcd=A&nNewsNumb=202104100015,<b>윤석열</b> 전 검찰총장이 유력 대권 주자로 떠오르고 있다. 검찰총장 출신이 직접 정치를 하는 경우는 극히... 총장 개인적으로도 검찰의 수장까지 지낸 인물이 60세 전후의 <b>나이</b>에 굳이 선거를 치르며 초선 의원으로 정계에... ,"Fri, 19 Mar 2021 10:31:00 +0900"
