title,originallink,link,description,pubDate
與 <b>윤석열</b> 손익계산서 보니… 손해만 본 건 아니다?,http://news.kmib.co.kr/article/view.asp?arcid=0924181945&code=11121100&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001419964,"그러나 조 전 장관 <b>부인</b>인 정경심 동양대 교수가 지난해 12월 입시비리 및 사모펀드 관련 혐의로 징역 4년, 벌금 5억원을 선고받고 법정구속되면서 기류가 변했다. <b>자녀</b> 입시비리 의혹 등 11개 혐의로 기소된 조 전 장관에게... ","Sat, 13 Mar 2021 04:04:00 +0900"
[이주의 재판일정] '징계 집행정지' <b>윤석열</b> 심문기일 外,http://www.fnnews.com/news/202012191421299350,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004550127,이번 주(12월 21일~25일) 법원에서는 정직 2개월의 징계처분을 받은 <b>윤석열</b> 검찰총장의 징계 집행정지 신청 심문기일이 열린다. <b>자녀</b> 입시비리와 사모펀드 의혹 등으로 재판에 넘겨진 조국 전 법무부 장관의 <b>부인</b> 정경심... ,"Sun, 20 Dec 2020 09:00:00 +0900"
[오태훈의 시사본부] 조해진 “<b>윤석열</b>은 투자처 찾지 못한 시장에 나온 블루칩...,http://news.kbs.co.kr/news/view.do?ncd=5134680&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0011003143,뭐 그만두는 건 자의로 그만둔 거지만 <b>윤석열</b> 전 총장이 정치를 하는 게 맞겠냐? 특히 대권에 도전하는 게 맞겠냐? 이 부분에 대해서는 그동안 검찰총장을 해 오면서 했던 여러 가지 행태들 그리고 그 주변의 <b>부인</b>과 장모가... ,"Tue, 09 Mar 2021 16:28:00 +0900"
"조국 &quot;韓 언론, 광견·애완견처럼 취재…<b>윤석열</b>·나경원엔 얌전&quot;",https://www.hankyung.com/politics/article/2020111512747,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004449948,"조국 전 법무부장관은 한국 언론이 <b>윤석열</b> 검찰총장의 장모와 <b>부인</b>, 나경원 전 자유한국당 원내대표와... 자신과 가족이 지난해 <b>자녀</b> 입시 비리와 사모펀드 불법 투자 의혹 등의 혐의로 검찰 조사를 받을 당시 언론의 보도... ","Sun, 15 Nov 2020 17:25:00 +0900"
[나이트포커스] <b>윤석열</b> 직무 복귀...법원 판단 배경은?,https://www.ytn.co.kr/_ln/0101_202012242224547386,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001530328,"그러면 결국은 지금 <b>윤석열</b> 총장의 손을 완벽하게 들어준 거다, 이런 판결이었다라고 평가할 수밖에 없는 거죠. 그렇군요. 조국 전 장관의 <b>부인</b> 정경심 교수에 대한 법원의 판결이 어제 나왔었죠. 징역 4년이라는 중형을... ","Thu, 24 Dec 2020 22:24:00 +0900"
"<b>윤석열</b> 아내, 나경원 의혹 압색 기각…&quot;정치적 고려 없어&quot;",https://www.nocutnews.co.kr/news/5445447,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003430412,서울중앙지검이 <b>윤석열</b> 검찰총장의 아내 관련 사건과 나경원 전 미래통합당(국민의힘 전신)을 둘러싼 각종... 이 사건과는 별개로 나경원 전 의원 <b>자녀</b>의 입시‧논문 특혜 의혹을 수사 중인 중앙지검 형사7부(이병석... ,"Wed, 11 Nov 2020 15:36:00 +0900"
"與, 옵티머스 수사팀 증원지시 <b>윤석열</b>에 &quot;장모도 엄정 수사&quot;",http://yna.kr/AKR20201013085200001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011939716,"더불어민주당은 옵티머스 펀드 사기 의혹 사건 수사팀의 증원을 지시한 <b>윤석열</b> 검찰총장에 대해 13일 &quot;장모의... 의원 <b>자녀</b>, 박덕흠 의원 등에도 동일한 원칙이 적용된 수사 지시를 내려줄 것을 촉구한다&quot;고 했다. 신... ","Tue, 13 Oct 2020 11:57:00 +0900"
"<b>윤석열 부인</b> 고발 2건, 반부패수사2부에 배당…秋 vs 尹 충돌 예상",https://www.donga.com/news/article/all/20201105/103820168/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003318827,추미애 법무부장관이 수사지휘권을 발동한 <b>윤석열</b> 검찰총장의 <b>부인</b> 김건희 씨 고발 사건 2건이 모두 서울중앙지검의 반부패수사2부에 배당됐다. 공교롭게 반부패수사2부는 지난해 조국 전 법무부장관의 <b>자녀</b> 입시비리와... ,"Thu, 05 Nov 2020 17:18:00 +0900"
"기소된 최강욱, <b>윤석열</b> 향해 &quot;개가 짖어도 기차는 달려&quot;(종합)",http://yna.kr/AKR20201016026251001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0011949583,"선거기간 <b>자녀</b> 특혜 의혹에 '그런 사실 없다'고 잡아떼던 나경원 전 의원은 왜 기소하지 않았는가, <b>윤석열</b>은... 기소를 <b>부인</b>하면 허위사실 유포로 다시 기소하겠다는 것은 '짐이 틀리는 법은 없다'는 임금이나 할 소리&quot;라고... ","Fri, 16 Oct 2020 16:04:00 +0900"
[팩트체크] 인터넷에 퍼진 '<b>윤석열</b> 검찰의 수사법' 따져봤더니,http://yna.kr/AKR20201210104800502?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012073612,반면 여권 인사가 관련된 '정경심(조국 전 법무장관 <b>부인</b>) 동양대 교수 표창장 위조 의혹 사건'과 '김경수... 다만 '<b>윤석열</b> 총장 장모 사문서위조 의혹 사건'과 '김성태 전 의원 <b>자녀</b> 취업청탁 의혹 사건'에 대해서는 CG에... ,"Thu, 10 Dec 2020 17:37:00 +0900"
