title,originallink,link,description,pubDate
<b>윤석열</b> 장모 비공개 재판 요청 불허…혐의는 <b>부인</b>,https://imnews.imbc.com/replay/2021/nwdesk/article/6122377_34936.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=214&aid=0001106797,예상 한대로 최 씨는 혐의를 대부분 <b>부인</b> 했습니다. 손하늘 기자가 취재했습니다. ◀ 리포트 ▶ 은색 벤츠 차량이 법원 경내로 들어옵니다. 마스크로 얼굴을 가린 <b>윤석열</b> 전 검찰총장의 장모 최 모씨가 차에서 내리자... ,"Thu, 18 Mar 2021 20:40:00 +0900"
"법원, <b>윤석열</b> 전 총장 장모 '비공개 재판 신청' 불허",https://www.sedaily.com/NewsView/22JUVTXXCU,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003885172,통장 잔고 증명서 위조 혐의로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최모(74)씨가 비공개 재판을 신청했으나... 알고 동의해 준 것”이라며 “사문서 위조는 인정하고 나머지 행사 부분은 <b>부인</b>한다는 취지”라고 설명했다.,"Thu, 18 Mar 2021 18:27:00 +0900"
'한명숙 살리기' 아니라면서…<b>윤석열</b> 이어 조남관 때리는 與,https://news.joins.com/article/olink/23610593,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003086431,"사건 재심의 결정이 ‘한명숙 살리기’라는 일각의 해석을 <b>부인</b>하면서, 회의에 고검장들을 참여시킨 조남관... 김용민 의원은 자신의 페이스북에 &quot;정치검사 <b>윤석열</b>은 물러났으나 그 자리를 새롭게 조남관이라는... ","Fri, 19 Mar 2021 16:22:00 +0900"
"법원, <b>윤석열</b> 전 검찰총장 장모 비공개 재판 '불허'",https://news.imaeil.com/Prosecution/2021031818323412655,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000694198,통장 잔고 증명서 위조 혐의로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최모(74)씨가 비공개 재판을 신청했으나... 것으로 알고 동의해 준 것&quot;이라며 &quot;사문서 위조는 인정하고 나머지 행사 부분은 <b>부인</b>한다는 취지&quot;라고 설명했다.,"Thu, 18 Mar 2021 18:33:00 +0900"
<b>윤석열</b> 장모 재판 비공개 신청 불허.. 유튜버간 고성 오가,https://hankookilbo.com/News/Read/A2021031819080004838?did=NA,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000589407,통장 잔고 증명서 위조 혐의로 재판에 넘겨진 <b>윤석열</b> 전 검찰총장의 장모 최모(74)씨에 대한 두번째 재판이... “안씨가 한국자산관리공사에서 정보를 취득하는 데 쓰겠다고 해 동의한 것”이라고 고의성은 <b>부인</b>하고 있다.,"Thu, 18 Mar 2021 19:25:00 +0900"
<b>윤석열</b> 장모 재판 출석하며 '침묵'…법정 밖 유튜버 소란,https://news.sbs.co.kr/news/endPage.do?news_id=N1006247549&plink=ORI&cooper=NAVER,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=055&aid=0000881748,통장잔고 증명서를 위조한 혐의로 재판에 넘겨진 <b>윤석열</b> 전 검찰총장의 장모 최 모 씨가 두 번째 재판에... 최 씨 측은 이밖에 허위 증명서를 행사하고 부동산실명법을 어긴 등의 다른 공소사실은 모두 <b>부인</b>했습니다. 최... ,"Thu, 18 Mar 2021 23:33:00 +0900"
<b>윤석열</b> 장모 재판 출석…친윤·반윤 유튜버들 '아수라장'(종합),https://www.news1.kr/articles/?4246141,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005232070,<b>윤석열</b> 전 검찰총장의 장모 최모씨(75)가 18일 오후 4시50분께 의정부지법에 출석한 뒤 2시간여 동안의 재판을... 지난해 12월 재판 때와 마찬가지로 최씨는 이날도 일부 혐의를 <b>부인</b>했다. 이날 재판은 최씨가 동업자들을... ,"Thu, 18 Mar 2021 21:46:00 +0900"
[현장] “<b>윤석열</b>을 대통령으로” 장모 재판 아수라장,https://www.seoul.co.kr/news/newsView.php?id=20210318500211&wlog_tag3=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003172066,<b>윤석열</b> 전 검찰총장의 장모 최모씨(75)가 18일 오후 4시50분쯤 의정부지법에 출석한 뒤 2시간여 동안의 재판을... 지난해 12월 재판 때와 마찬가지로 최씨는 이날도 일부 혐의를 <b>부인</b>했다. 이날 재판은 최씨가 동업자들을... ,"Thu, 18 Mar 2021 22:17:00 +0900"
<b>윤석열</b>의 ‘전방위 인맥’ 大해부 | “대선戰 본격화하면 다탄두 조직으로 탈...,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,변호사의 <b>부인</b>이다. 이수정 교수는 국민의힘 성폭력대책특별위원·보궐선거 경선준비위원을 맡기도 했다. 법원 쪽에도 <b>윤석열</b> 인맥이 보인다. 그중 한명이 이종석(李悰錫·61) 헌법재판소 재판관이다. 경북고와 서울대... ,"Fri, 19 Mar 2021 10:09:00 +0900"
<b>윤석열</b>의 ‘공정’ 돋보이게 한 LH사태의 역설,https://www.donga.com/news/article/all/20210318/105941032/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003345278,"공교롭게도 <b>윤석열</b> 전 검찰총장이 사퇴한 직후 국민적 공분을 불러일으킨 LH 사태가 윤 전 총장의... 점은 <b>부인</b>할 수 없는 사실이기 때문이다. 박근혜 정부에서는 국정농단과 적폐청산 수사를 벌여 박근혜, 이명박 두 전직... ","Thu, 18 Mar 2021 12:28:00 +0900"
