title,originallink,link,description,pubDate
"박범계, <b>윤석열</b> 떠난 檢에 수사지휘…&quot;교묘한 한명숙 구하기&quot;",https://news.joins.com/article/olink/23609247,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003085960,모해위증교사 의혹은 수사팀이 2011년 한 전 총리 재판에서 재소자들을 <b>사주</b>해 “고(故) 한만호 전 한신건영... 한 부장을 비롯한 이종근 대검 형사부장 등 대검 부장회의는 추미애 전 법무부 장관의 ‘<b>윤석열</b> 포위 인사’로... ,"Thu, 18 Mar 2021 05:00:00 +0900"
"추미애 &quot;<b>윤석열</b>이 만난 언론<b>사주</b>, 조중동 뿐 아니다&quot;",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002726225&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002305258,<b>윤석열</b>은 언론<b>사주</b>를 조중동만 만난 게 아니라 매우 많이 만나고 다닌 것으로 알고 있다. &quot; (* 인터뷰②번 기사로 이어집니다. 바로가기 클릭) http://omn.kr/1se25 ▲  추미애 전 법무부 장관이 11일 오후 서울 여의도 사무실에서... ,"Fri, 12 Mar 2021 14:20:00 +0900"
[미디어 오물오물] 지금 <b>윤석열</b>-방상훈 사장 만남 해명이 더 중요해진 이유,http://www.mediatoday.co.kr/news/articleView.html?idxno=212404,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=006&aid=0000107098,"조선일보 <b>사주</b> 일가 경영권 승계 문제 결국 언론이 주시할 것 김도연 기자, <b>윤석열</b> 전 총장에 카톡 보낸 사연 지난 3월 11일 김도연 미디어오늘 기자는 <b>윤석열</b> 전 검찰총장에게 전화와 카톡을 보냈다. 윤 전 총장이... ","Mon, 15 Mar 2021 18:58:00 +0900"
[기자수첩] 씁쓸한 <b>윤석열</b>의 마지막 업무,https://www.etoday.co.kr/news/view/2004659,https://www.etoday.co.kr/news/view/2004659,"애초에 <b>윤석열</b> 검찰총장이 해당 사건을 임 부장검사에게 배당한 적이 없고, 당일 주임검사를 처음으로... 한 전 총리 모해위증 교사 의혹 사건은 한명숙 수사팀이 2011년 한 전 총리 재판에서 재소자들을 <b>사주</b>해 &quot;고(故)... ","Wed, 17 Mar 2021 07:04:00 +0900"
'<b>사주</b>풀이'까지 <b>윤석열</b> 대권주자 띄우는 '언론과 지지율',http://www.newsfreezone.co.kr/news/articleView.html?idxno=302783,http://www.newsfreezone.co.kr/news/articleView.html?idxno=302783,"윤 전 총장이 '사주에 그릇이 매우 크고 최고 권력까지 갈 수 있는 형국'이라면서 '혜문닷컴'이라는 블로그를 운영하는 역술가가 &lt;<b>윤석열 사주</b>, 조국을 이길 수 있을까?&gt;라는 제목의 사주풀이 글까지 이슈화하고 있다.... ","Mon, 08 Mar 2021 14:49:00 +0900"
<b>윤석열</b>에 대권후보 강요하는 언론…선 넘는 '尹 띄우기',http://www.sporbiz.co.kr/news/articleView.html?idxno=515406,http://www.sporbiz.co.kr/news/articleView.html?idxno=515406,최근 일부 언론은 지난 2019년 9월 '혜문닷컴'이라는 블로그에 게시된 '<b>윤석열 사주</b>' 글까지 재조명했다. 윤 전 총장이 '그릇이 매우 큰 사주'이고 '최고의 권력까지 갈 수 있는 형국'이라는 내용이었다. '경자년(2020년)은... ,"Sun, 14 Mar 2021 14:49:00 +0900"
"사임 2주 <b>윤석열</b>, 행정소송 안 멈추는 이유는",http://www.newstomato.com/ReadNews.aspx?no=1031544,http://www.newstomato.com/ReadNews.aspx?no=1031544,"뉴스토마토 = 이범종 기자 |  <b>윤석열</b> 전 검찰총장이 사임한 지 2주가 되도록 직무집행정지 취소 소송을... 앞서 추 전 장관은 지난해 11월 언론사 <b>사주</b>와의 부적절한 만남과 법관 불법 사찰, 채널A 사건과 한명숙 전 총리 사건... ","Wed, 17 Mar 2021 12:03:00 +0900"
<b>윤석열</b> 후임 총장 절차 '본격화'…위원장에 박상기,http://www.joseilbo.com/news/news_read.php?uid=418939&class=33&grp=,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=123&aid=0002241975,<b>윤석열</b> 전 검찰총장의 후임을 선출하기 위한 절차가 본격화된다. 법무부는 11일 9명의... 박 전 장관은 언론 인터뷰 등을 통해 윤 전 총장의 언론사 <b>사주</b> 만남을 언급하며 윤 전 총장의 행보를 비판한 바 있다. 조국 전... ,"Thu, 11 Mar 2021 15:47:00 +0900"
헤럴드경제 '<b>윤석열</b> 98% 왕의 관상' 기사 삭제,http://www.mediatoday.co.kr/news/articleView.html?idxno=212370,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=006&aid=0000107062,따라 <b>사주</b>풀이가 계속 바뀐다' 등의 반응이 나왔다. 논란이 커지자 결국 헤럴드경제는 기사 출고 이틀 뒤인 지난 10일 기사를 삭제했다. 헤럴드경제가 <b>윤석열</b> 전 검찰총장 관련한 관상 기사를 작성한 건 이번이 처음은... ,"Fri, 12 Mar 2021 16:29:00 +0900"
[명지의 생활속 인문명리] <b>윤석열 사주</b>는 대통령 사주?,https://www.yeongnam.com/web/view.php?key=20210309010001409,https://www.yeongnam.com/web/view.php?key=20210309010001409,"<b>윤석열</b>뿐 아니라 잠룡들의 <b>사주</b>를 놓고, 명리를 공부하는 사람들은 &quot;대통령감이다. 아니다&quot;라는 말을 한다. 그런데 그들의 <b>사주</b>, 즉 생년월일은 대부분 포털사이트에 나오는 것이다. 포털사이트에 나오는 생년월일이 맞다면... ","Tue, 09 Mar 2021 17:11:00 +0900"
