title,originallink,link,description,pubDate
이광재 의원 &quot;시대가 원하는지를 고민&quot;…<b>윤석열</b> 효과 &quot;글쎄요&quot;,http://yna.kr/AKR20210316125600062?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012263611,"지지율 급등 <b>윤석열</b> 효과에 대해 &quot;정치하면 행복할까요&quot; 반문 여권의 대권 잠룡으로 거론되는 더불어민주당... 이 의원은 4·7 재보선과 관련해 &quot;<b>자녀</b> 부정 입학, 부정 청탁, 부동산 투기 등 오랜 관행과는 이제는 확실히... ","Tue, 16 Mar 2021 15:35:00 +0900"
<b>윤석열</b> “노무현은 천재 메시… 문 정권은 흉내도 못 내”,http://weekly.chosun.com/client/news/viw.asp?nNewsNumb=002649100002&ctcd=C03,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=053&aid=0000028706,조국 전 법무부 장관이나 추미애 전 법무부 장관 <b>자녀</b> 문제도 그랬다. 기계적으로 공정을 외쳤던 문 대통령은 아이러니하게도 ‘문재인 정부의 검찰총장’ <b>윤석열</b>을 최대의 적으로 만들었다. 그렇기 때문에 공정은 양날의... ,"Fri, 12 Mar 2021 12:58:00 +0900"
與 <b>윤석열</b> 손익계산서 보니… 손해만 본 건 아니다?,http://news.kmib.co.kr/article/view.asp?arcid=0924181945&code=11121100&cp=nv,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=005&aid=0001419964,<b>자녀</b> 입시비리 의혹 등 11개 혐의로 기소된 조 전 장관에게 유죄가 선고된다면 국민 정서가 급반전될 가능성이 높다. 민주당 관계자는 “조 전 장관이 유죄를 선고받는다면 결국 ‘<b>윤석열</b>이 옳았다’는 여론이 형성될 수... ,"Sat, 13 Mar 2021 04:04:00 +0900"
"이재오 “<b>윤석열</b>, 보선 이후 지지율 유지되면 대선 직행”",https://shindonga.donga.com/3/all/13/2491165/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=262&aid=0000014296,다져야 “<b>윤석열</b> 전 검찰총장이 요즘 하는 거 보면 정치에 대한 의지는 읽힙니다. 그런데 정치가 자기 혼자... <b>자녀</b>도 입양해서 잘 키우고 있고…. 품성도 나라를 운영할만하고요. 공직 뿐 아니라 경제 분야에서도 ‘제2의... ,"Fri, 12 Mar 2021 10:02:00 +0900"
"이광재 &quot;<b>윤석열</b>, 대한민국 시대 과제 이뤄낼 수 있나&quot;",https://www.nocutnews.co.kr/news/5517137,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003479836,더불어민주당 K-뉴딜본부장 이광재 의원이 유력 야권 대선주자로 부상한 <b>윤석열</b> 전 검찰총장을 향해... &quot;대한민국이 과거 시대에서 새로운 시대로 가는 과정&quot;이라며 &quot;<b>자녀</b>들을 부정입학을 시키고 부정청탁으로 취직을... ,"Tue, 16 Mar 2021 15:55:00 +0900"
"'대권 잠룡' 이광재, <b>윤석열</b>에 &quot;시대과제 해결할 수 있을까&quot;",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=4450475,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=057&aid=0001558504,"그러면서 이 의원은 <b>윤석열</b> 전 검찰총장의 대권 지지율 급증 효과에 대해 &quot;정치를 하는 것이 좋을까요.... 4·7 재보선과 관련해서는 &quot;<b>자녀</b> 부정 입학, 부정 청탁, 부동산 투기 등 오랜 관행과는 이제는 확실히 결별해야 한다... ","Tue, 16 Mar 2021 15:41:00 +0900"
"[배종찬 칼럼]<b>윤석열</b>의 대권 도전, 세 가지에 달렸다",https://weekly.hankooki.com/lpage/politics/202103/wk20210312185341145700.htm?s_ref=nv,https://weekly.hankooki.com/lpage/politics/202103/wk20210312185341145700.htm?s_ref=nv,데이터로 분석한 차기 대선 후보 <b>윤석열</b>의 과제 차기 대통령은 누가 될까. 차기 대통령 선거가 채 1년도 남지... 끝내 조 전 장관은 <b>자녀</b> 입학관련 불법 의혹과 사모펀드 투자 의혹 등으로 물러났다. 이 과정이 윤 전 총장... ,"Fri, 12 Mar 2021 18:56:00 +0900"
<b>윤석열</b> “공적 정보 도둑질… LH 투기 대대적 수사해야”,https://www.chosun.com/national/court_law/2021/03/08/Q4QWHKH4JFF5NOAVMCPVSODMXY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003600087,검찰총장 사퇴 후 첫 공개 메시지… 신도시 투기 의혹·셀프조사 비판 <b>윤석열</b> 전 검찰총장이... ①조사 방법: 사람이 아닌 땅·돈 추적해야 합동조사단은 현재 관련 부처 공무원 본인과 배우자·부모·<b>자녀</b>의 토지 거래... ,"Mon, 08 Mar 2021 03:01:00 +0900"
끝내 사표 던진 <b>윤석열</b>…검사인생 돌아보니,http://news.mt.co.kr/mtview.php?no=2021030414215946042,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004552203,마디 ━ <b>윤석열</b> 검찰총장의 갈등사는 박근혜정부로 거슬러 올라간다. 2013년 원세훈 국가정보원장의 댓글공작... 당시 민정수석이었던 조 전 장관은 코링크PE를 둘러싼 불법 재산증식 의혹과 <b>자녀</b> 학사비리 등으로 홍역을... ,"Thu, 04 Mar 2021 14:31:00 +0900"
허경영 국가혁명당 서울시장 예비후보 “<b>윤석열</b> 사퇴는 공직기강 해이 경고”,http://www.breaknews.com/790098,http://www.breaknews.com/790098,"내 공약 첫 번째가, <b>자녀</b>가 부모 노후자금을 부모에게 빌붙어 까먹고 있어요. 결혼 출산 그리고 각 가정에 현금으로... 예산 아껴서 서울시에 시범으로 보여주겠다.... ","Fri, 05 Mar 2021 17:06:00 +0900"
