title,originallink,link,description,pubDate
<b>윤석열</b>의 ‘전방위 인맥’ 大해부 | “대선戰 본격화하면 다탄두 조직으로 탈...,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,http://monthly.chosun.com/client/news/viw.asp?ctcd=E&nNewsNumb=202104100012,"2020년 말 추미애 전 법무부 장관이 <b>윤석열</b>에게 <b>징계</b> 청구를 했을 때, <b>윤석열</b> 측 법률 대리인으로 활약했었다. 부천지청장 등을 지낸 이완규 변호사는 <b>윤석열</b>의 사법연수원 동기이자 서울대 법대 선배다. 1994년... ","Fri, 19 Mar 2021 10:09:00 +0900"
"박범계, <b>윤석열</b> 떠난 檢에 수사지휘…&quot;교묘한 한명숙 구하기&quot;",https://news.joins.com/article/olink/23609247,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=025&aid=0003085960,"한 부장을 비롯한 이종근 대검 형사부장 등 대검 부장회의는 추미애 전 법무부 장관의 ‘<b>윤석열</b> 포위 인사’... ━ “7년 전 사건, <b>징계</b>시효도 끝났다” 형식을 놓고서도 뒷말이 무성하다. 설사 감찰로 당시 수사팀의 비위가... ","Thu, 18 Mar 2021 05:00:00 +0900"
"법무부, <b>윤석열</b>에 '장관급' 직책수행경비…연 1100만원 과다 지급",https://www.news1.kr/articles/?4244956,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005230948,"이에 따라 <b>윤석열</b> 전 검찰총장은 지침상 지급기준보다 달마다 91만원, 연간 1095만원 더 많은... 검찰공무원의 금품·향응 수수에 대한 대검찰청의 자체 기준이 상위 법령인 '공무원 <b>징계</b>령 시행규칙'(총리령)보다... ","Thu, 18 Mar 2021 14:00:00 +0900"
"&lt;핫 클릭&gt;이성윤, 업무추진비로 7977만원…<b>윤석열</b>보다 30%많고, 추미애의 2배",http://www.munhwa.com/news/view.html?no=2021031601031021305001,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=021&aid=0002463846,이 지검장은 ‘<b>윤석열</b> 총장 <b>징계</b> 사태’와 관련해 집단성명 발표를 주도한 부부장 검사들과의 만남을 집중적으로 가진 것으로 나타났다. 이 지검장은 형사부 부부장검사들과 총 12회(지난해 10월 23일∼11월 13일)에 걸쳐... ,"Tue, 16 Mar 2021 11:41:00 +0900"
"윤여준 &quot;<b>윤석열</b> 대망론, 과거 安 대세론과는 달라&quot;",https://weekly.hankooki.com/lpage/politics/202103/wk20210317155640145700.htm?s_ref=nv,https://weekly.hankooki.com/lpage/politics/202103/wk20210317155640145700.htm?s_ref=nv,"&quot;<b>윤석열</b> 정치감각 있어...그 정도면 훈련됐다&quot; ‘보수의 장자방’으로 알려진 윤여준 전 환경부 장관이 17일... 윤 전 총장은 추미애 전 법무부 장관 재임 시절 ‘고위 간부 인사 패싱 논란’, ‘<b>징계</b>청구 및 직무배제 조치’... ","Wed, 17 Mar 2021 16:00:00 +0900"
"감사원 &quot;검사, 일반공무원보다 금품수수 <b>징계</b> 수위 낮다&quot;",https://www.ytn.co.kr/_ln/0101_202103181552110970,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001564209,검사들이 금품과 향응을 받았을 때 <b>징계</b> 수위가 대부분 일반 공무원보다 낮은 것으로 드러났습니다.... 이에 따라 법무부 장관에 준하는 수준으로 편성됐던 <b>윤석열</b> 전 검찰총장은 지침상 지급기준보다 달마다 91만 원... ,"Thu, 18 Mar 2021 15:52:00 +0900"
"이성윤 업무추진비 7977만원, <b>윤석열</b>보다 2000만원 더 썼다",https://www.chosun.com/national/court_law/2021/03/16/CANRU2IOXJEARGTFTS4NNBB4BM/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003601931,"이는 <b>윤석열</b> 검찰총장의 업무추진비 6050만원, 추미애 전 법무장관의 업무추진비 3880만원보다 많은 액수다. 특히 이 지검장은 작년 추 전 장관의 윤 전 총장 <b>징계</b>를 앞둔 10월 23일부터 11월 13일까지 12회에 걸쳐... ","Tue, 16 Mar 2021 14:20:00 +0900"
"<b>윤석열</b> &quot;LH투기, 게임의 룰조차 조작 절망적&quot;",http://www.fnnews.com/news/202103101452019096,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004598469,윤 전 총장 측 법률대리인 이완규 변호사(법무법인 동인)는 “소송을 취하할 계획이 없다”며 “재판부가 기일을 지정하면 재판에 끝까지 임할 예정”이라고 설명했다. #소통 #<b>징계</b> #<b>윤석열</b> #전검찰총장 #칩거 #언론인터뷰,"Wed, 10 Mar 2021 15:10:00 +0900"
"[취재후 Talk] '법칙' 거스른 <b>윤석열</b>, 대중의 선택 받을까?",http://news.tvchosun.com/site/data/html_dir/2021/03/15/2021031590085.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=448&aid=0000321424,"<b>윤석열</b>이 거스른 것은 '음운의 법칙'만은 아니다. 추미애 장관의 추상같은 '지시도 잘라먹었다'. <b>징계</b>를 하자 소송으로 맞섰고, 사실상 승리하고 돌아오자 여권은 새로운 법을 만들겠다며 조여왔다. 결국 사표를 던졌더니... ","Mon, 15 Mar 2021 11:29:00 +0900"
<b>윤석열</b> 뒤이을 검찰총장 인선 절차 개시,http://news.mt.co.kr/mtview.php?no=2021031415240544471,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004556920,<b>윤석열</b> 전 총장 뒤를 이을 인물을 추리기 위한 첫 작업이다. 법무부가 차기 총장 천거를 받아 적합하다고... 그러나 윤 전 총장 직무배제·<b>징계</b>회부 당시 직무배제 중단을 건의하는 등 추 전 장관에게 반기를 들었다. 이... ,"Mon, 15 Mar 2021 05:25:00 +0900"
