title,originallink,link,description,pubDate
<b>윤석열</b> 전 총장 장모 ‘비공개 재판’ 불허,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202103181745001&code=940100,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003064826,300억원대 통장 잔고증명서를 위조한 혐의 등으로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최모씨(74)가 최근... 이날 법원 앞에서는 <b>윤석열</b> 전 총장을 지지하는 유튜버들도 법원에 나와 반대 측 유튜버들과 말싸움과 실랑이를... ,"Thu, 18 Mar 2021 17:46:00 +0900"
<b>윤석열</b> 장모 최씨 측 '비공개 재판' 신청…재판부 '불허',https://news.jtbc.joins.com/article/article.aspx?news_id=NB11996934,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=437&aid=0000261749,"<b>윤석열</b> 전 검찰총장의 장모가 오늘(18일) 법정에 나왔습니다. 통장의 잔고 증명서를 위조해서 부동산 투자를... [기자] <b>윤석열</b> 전 검찰총장 장모의 재판인데, 법원 앞은 윤 전 총장을 지지하거나 반대하는 사람들로... ","Thu, 18 Mar 2021 20:40:00 +0900"
"<b>윤석열</b> 장모, 1시간여 증인신문…법정밖선 유튜버 충돌",http://www.newsis.com/view/?id=NISX20210318_0001375914&cID=10817&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010400584,통장 잔고 증명서 위조 혐의로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최모(74)씨에 대한 두번째 재판이 18일 오후 5시께 의정부지법 7호 법정에서 형사8단독 박세황 판사의 심리로 열렸다. 최씨는 앞서 변호인을 통해 비공개... ,"Thu, 18 Mar 2021 21:05:00 +0900"
"4·7 재보선의 방정식 “與 패하면 이재명, 野 패하면 <b>윤석열</b>이 웃는다”",https://shindonga.donga.com/3/all/13/2509906/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=262&aid=0000014314,강세 ● <b>윤석열</b> 사퇴로 ‘野 심판’ 프레임 무력화 ● 野 승리가 당권 다툼 씨앗 될 가능성 ● 안철수... “현재 <b>윤석열</b> 전 검찰총장과 안철수 국민의당 대표의 강세가 나타내듯 진영으로부터 자유로운 중도 지향성이... ,"Fri, 19 Mar 2021 10:02:00 +0900"
"법원, <b>윤석열</b> 장모 '비공개 재판 신청' 불허",http://www.busan.com/view/busan/view.php?code=2021031817344729370,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001076013,2020년 12월 22일 법원 출석하는 <b>윤석열</b> 검찰총장 장모. 연합뉴스 땅 매입 과정에서 잔고증명서를 위조했다는 혐의로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최 모(74) 씨가 비공개 재판을 신청했으나 재판부가 받아들이지... ,"Thu, 18 Mar 2021 17:47:00 +0900"
이해찬 “<b>윤석열</b> 발광체 아닌 반사체... 지지도 유지 못할 것”,https://www.chosun.com/politics/politics_general/2021/03/18/5PDALZCNRRCQBCFIBCL3SUSGLQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003602532,이해찬 전 더불어민주당 대표가 18일 <b>윤석열</b> 전 검찰총장의 지지도가 상승하는 현상에 대해 “윤 전 총장은 발광체가 아닌 반사체여서 스스로 커나가지는 못할 것”이라고 말했다. 이 전 대표는 이날 오후 KBS 라디오... ,"Thu, 18 Mar 2021 21:06:00 +0900"
<b>윤석열</b> 장모 '비공개 재판' 불허...이번에도 실랑이 벌어져,http://www.edaily.co.kr/news/newspath.asp?newsid=04188566628984632,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004879632,수백억 원의 통장 잔고 증명서를 위조한 혐의로 재판에 넘겨진 <b>윤석열</b> 전 검찰총장의 장모 최모 씨가 법원에... 땅 매입 과정에서 통장 잔고 증명서를 위조한 혐의 등을 받는 <b>윤석열</b> 전 검찰총장의 장모 최모 씨가 지난해... ,"Thu, 18 Mar 2021 19:52:00 +0900"
"법원, <b>윤석열</b> 전 총장 장모 '비공개 재판 신청' 불허",https://www.sedaily.com/NewsView/22JUVTXXCU,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0003885172,통장 잔고 증명서 위조 혐의로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최모(74)씨가 비공개 재판을 신청했으나... 재판을 앞두고 <b>윤석열</b> 전 총장을 지지하는 유튜버들과 반대 측 유튜버들 간의 실랑이가 일기도 했다. 최 씨는... ,"Thu, 18 Mar 2021 18:27:00 +0900"
[메아리] 민주당이 쏘아 올린 <b>윤석열</b> 현상,https://hankookilbo.com/News/Read/A2021031915300005410?did=NA,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=110&oid=469&aid=0000589677,<b>윤석열</b>이 무섭긴 무서운가 보다. 검찰총장 사퇴 이후 차기 대선 여론조사에서 파죽지세를 나타내자 여권은... 마디로 <b>윤석열</b>이 내년 대선에 나오지 말라는 주문이다. 하지만 <b>윤석열</b>을 정치판으로 불러낸 게 누구인가.... ,"Fri, 19 Mar 2021 18:00:00 +0900"
<b>윤석열</b> 전 총장 장모 '비공개 재판 신청' 불허,http://yna.kr/AKR20210318158800060?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0012269692,통장 잔고 증명서 위조 혐의로 기소된 <b>윤석열</b> 전 검찰총장의 장모 최모(74)씨가 비공개 재판을 신청했으나... 이번 재판에는 <b>윤석열</b> 전 총장을 지지하는 유튜버들도 법원에 나와 반대 측 유튜버들과 말싸움과 실랑이를... ,"Thu, 18 Mar 2021 17:25:00 +0900"
