title,originallink,link,description,pubDate
[1일 특징주 총정리] 메디포럼제약 29% 급등세 '방탄소년단 <b>관련주</b> 일제히 하...,http://www.ccreview.co.kr/news/articleView.html?idxno=282166,http://www.ccreview.co.kr/news/articleView.html?idxno=282166,<b>이낙연 관련주</b> <b>이낙연 관련주</b>로 분류되고 있는 '남선알미늄' 주가가 관심을 받았다. 1일 기준... 알서포트는 재택근무를 하는 직장인이 늘어나면서 <b>대장</b>주로 <b>관련주</b>로 언급된다. 알서포트는 원격지원 서비스분야... ,"Tue, 01 Sep 2020 16:25:00 +0900"
"[특징주]남선알미늄, '<b>이낙연 관련주</b>'로 다시 상승세",http://moneys.mt.co.kr/news/mwView.php?no=2020040909308036068,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000528894,"'<b>이낙연 관련주</b>'로 불리는 남선알미늄이 강세다. 9일 오전 9시 28분 현대, 남선알미늄은 전일대비 230원(3.87... 대표가 <b>이낙연</b> 전 총리의 친동생 이계연씨라는 이유로 오랫동안 테마주 <b>대장</b>주에 이름을 올렸다. 이계연... ","Thu, 09 Apr 2020 09:31:00 +0900"
"기아차, ´윤석열 <b>관련주</b>´ 강세...골드퍼시픽-디피씨-필룩스-삼본전자 급등 ...",http://www.mhns.co.kr/news/articleView.html?idxno=426062,http://www.mhns.co.kr/news/articleView.html?idxno=426062,전날 '오너 리스크'로 휘청했던 삼성전자 주가가 반등하며 코스피 <b>대장</b>주 다운 회복력을 보였다. 19일... 여론조사 결과 윤석열&gt;<b>이낙연</b>·이재명 '윤석열 <b>관련주</b>' 관심 윤석열 검찰총장 관련 여론조사 결과가... ,"Tue, 19 Jan 2021 18:05:00 +0900"
남선알미늄 '꿈틀'… &quot;<b>이낙연 관련주</b> 영향?&quot;,http://www.ajunews.com/view/20200519132003505,http://www.ajunews.com/view/20200519132003505,"남선알미늄은 <b>이낙연</b> 테마의 <b>대장</b>주로 꼽힌다. 남선알미늄 계열사인 삼환기업의 대표가 <b>이낙연</b> 전 총리의 친동생 이계연씨라는 이유 때문이다. 이씨는 지난해 11월 대표직에서 사임했지만, 남선알미늄은... ","Tue, 19 May 2020 13:38:00 +0900"
'<b>대장</b>' 바뀐 아프리카돼지열병 수혜株…이번엔 '석회',http://news.mt.co.kr/mtview.php?no=2019060411400413082,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004228381,"방역 <b>관련주</b>들이 급등세다. 그러나 수혜주 사이에서도 손바뀜이 나타나고 있다. 지난달까지 소독제 생산업체 위주로 주가가 올랐다면, 이날은 생석회를 만드는 시멘트주들이 돼지열병 <b>대장</b>주를 차지하는 분위기다. 4일... ","Tue, 04 Jun 2019 11:47:00 +0900"
[마감종합기사] 까뮤이앤씨·써니전자 안철수 <b>관련주</b> '꿈틀' 트럼프 이슈에 이...,http://www.ggilbo.com/news/articleView.html?idxno=800418,http://www.ggilbo.com/news/articleView.html?idxno=800418,이날 범여권 차기 대권주자 선호도에서 <b>이낙연</b> 더불어민주당 대표와 이재명 경기지사가 동률을 보이며... 포비돈요오드 <b>관련주</b> 중에서도 <b>대장</b>주로 손꼽히고 있다. 현대약품은 포비돈 요오드 성분이 함유되어 있는... ,"Wed, 07 Oct 2020 20:00:00 +0900"
[증시 키워드] 코로나19 치료제 기대감에 신풍제약ㆍ셀트리온 '강세'…<b>이낙연</b>...,http://www.etoday.co.kr/news/section/newsview.php?idxno=1879935,http://www.etoday.co.kr/news/section/newsview.php?idxno=1879935,코로나19의 확산세가 멈추지 않으면서 <b>관련주</b>들의 등락도 이어지고 있다. 특히 최근에는 코로나19 치료제나... ‘<b>이낙연</b> 테마주’로 알려진 남선알미늄은 선거기간 돌입에 힘입어 지난 한주 동안 코스피 시장에서 가장... ,"Mon, 06 Apr 2020 08:44:00 +0900"
한방에 훅 가는 테마주?… 신종코로나 <b>관련주</b> ‘주의보’,http://moneys.mt.co.kr/news/mwView.php?no=2020012902118064996,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000499262,연초 반도체 <b>대장</b>주인 삼성전자와 SK하이닉스가 연일 사상 최고가 행진을 이어가면서 증시를 견인하는 듯... 때 <b>관련주</b>로 분류됐다. 당시 회사 측은 공시를 통해 ‘<b>이낙연</b> 국무총리는 당사의 사업과 연관이 없다’고... ,"Sat, 01 Feb 2020 06:50:00 +0900"
&quot;그 둘이 동문이래&quot; 정치 테마주의 탄생에서 소멸까지,http://news.mt.co.kr/mtview.php?no=2021030813590851506,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004554009,<b>이낙연</b> 민주당 대표의 셋째 남동생이 지난해 10월 대표이사로 취업한 삼부토건은 급등세를 이어갔다. 지연 테마주도 만만찮다. 이재명 <b>관련주</b> 중 하나인 오리엔트바이오와 오리엔트정공은 이 지사가 과거 계열사에... ,"Tue, 09 Mar 2021 05:00:00 +0900"
"[<b>이낙연 관련주</b>] 이월드 이어 서원‧남선알미늄, 모두 매수세 몰리며 상승세…...",http://www.ggilbo.com/news/articleView.html?idxno=768896,http://www.ggilbo.com/news/articleView.html?idxno=768896,"남선알미늄 <b>이낙연 관련주</b>들의 상승세에 투자자들의 관심이 집중되고 있다. 이월드는 장 초반 주가... 투자자들은 &quot;가즈아 슛팅한번 나와야제&quot;, &quot;묵혀놓고 더블로가&quot;, &quot;후발 <b>대장</b>주 가네&quot;, &quot;이거 <b>대장</b> 아닌가봐&quot;, &quot;천천히... ","Tue, 19 May 2020 10:24:00 +0900"
