title,originallink,link,description,pubDate
"이재명 <b>관련주</b>·<b>이낙연 관련주</b> 에이텍‧남선알미늄, 모두 하락세로…에이텍 1...",http://www.econonews.co.kr/news/articleView.html?idxno=163593,http://www.econonews.co.kr/news/articleView.html?idxno=163593,이재명 <b>관련주</b>인 에이텍과 <b>이낙연 관련주</b>인 남선알미늄이 하락세다. 남선알미늄은 19일 코스피 시장에서 오전 11시28분 현재 전 거래일보다 0.6%(25원) 하락한 4155원에 거래되고 있다. 남선알미늄은 16일과 17일... ,"Fri, 19 Mar 2021 11:33:00 +0900"
[17일 오늘의 특징주 총정리] 사료·제약 <b>관련주</b> 급등 '종근당·우성사료·경...,http://www.ccreview.co.kr/news/articleView.html?idxno=306691,http://www.ccreview.co.kr/news/articleView.html?idxno=306691,종근당 <b>관련주</b> 종근당 <b>관련주</b>가 급등세를 보였다. 17일 종근당은 16.42%(2만 7500원) 상승한 19만 5000원에... 차기 대선후보 적합도 조사에서 윤석열 전 검찰총장이 이재명 경기도지사와 <b>이낙연</b> 전 더불어민주당 대표를... ,"Wed, 17 Mar 2021 16:08:00 +0900"
"[특징주]태양금속 주가, 윤석열·<b>이낙연 관련주</b>로 언급되며 급등",http://www.gukjenews.com/news/articleView.html?idxno=2178656,http://www.gukjenews.com/news/articleView.html?idxno=2178656,"태양금속 주가, 윤석열·<b>이낙연 관련주</b>로 언급되며 급등 태양금속 주가가 가파른 상승세를 기록하고 있다. 11일 오후 1시 9분 기준 12.54% 오른 1660원에 거래되고 있다. 태양금속 종목은 차기 대권주자로 지목되는 윤석열... ","Thu, 11 Mar 2021 13:12:00 +0900"
윤석열 동창 <b>관련주</b>도 '들썩'…정치 '테마주' 투자 주의보,https://www.hankyung.com/finance/article/202103048486i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0004508215,예를 들어 지난 4월초 <b>이낙연 관련주</b>로 주목받았던 남선알미늄은 반짝 상승 후 고점 대비 44.86% 빠지면서 급등 전 주가로 돌아갔다. 이재명 <b>관련주</b>로 1월초 300원대 동전주에서 2월초 1385원까지 급등했던 성안도 같은... ,"Thu, 04 Mar 2021 15:55:00 +0900"
"이재명 <b>관련주</b>·<b>이낙연 관련주</b> 에이텍‧남선알미늄, 모두 상승 흐름…소폭 상...",http://www.econonews.co.kr/news/articleView.html?idxno=163376,http://www.econonews.co.kr/news/articleView.html?idxno=163376,이재명 <b>관련주</b>인 에이텍과 <b>이낙연 관련주</b>인 남선알미늄이 상승세다. 남선알미늄은 18일 코스피 시장에서 오전 11시3분 현재 전 거래일보다 0.12%(5원) 상승한 4195원에 거래되고 있다. 남선알미늄은 12일을... ,"Thu, 18 Mar 2021 11:12:00 +0900"
"이재명 <b>관련주</b>·<b>이낙연 관련주</b> 에이텍‧남선알미늄, 지지부진한 주가…에이텍...",http://www.econonews.co.kr/news/articleView.html?idxno=163162,http://www.econonews.co.kr/news/articleView.html?idxno=163162,이재명 <b>관련주</b>인 에이텍과 <b>이낙연 관련주</b>인 남선알미늄의 주가가 지지부진하다. 남선알미늄은 17일 코스피 시장에서 오전 11시7분 현재 전 거래일보다 0.24%(10원) 상승한 4175원에 거래되고 있다.... ,"Wed, 17 Mar 2021 11:18:00 +0900"
[17일 상한가 총정리] 메타랩스·한국맥널티·아이진·삼성출판사 강세 '미국...,http://www.ccreview.co.kr/news/articleView.html?idxno=306692,http://www.ccreview.co.kr/news/articleView.html?idxno=306692,종근당 <b>관련주</b> 종근당 <b>관련주</b>가 급등세를 보였다. 17일 종근당은 16.42%(2만 7500원) 상승한 19만 5000원에... 차기 대선후보 적합도 조사에서 윤석열 전 검찰총장이 이재명 경기도지사와 <b>이낙연</b> 전 더불어민주당 대표를... ,"Wed, 17 Mar 2021 16:08:00 +0900"
"이재명 <b>관련주</b>·<b>이낙연 관련주</b> 에이텍‧남선알미늄, 희비 엇갈려…에이텍 2% ...",http://www.econonews.co.kr/news/articleView.html?idxno=162982,http://www.econonews.co.kr/news/articleView.html?idxno=162982,이재명 <b>관련주</b>인 에이텍과 <b>이낙연 관련주</b>인 남선알미늄의 희비가 엇갈리고 있다. 남선알미늄은 16일 코스피 시장에서 오전 11시29분 현재 전 거래일보다 0.48%(20원) 상승한 4170원에 거래되고 있다.... ,"Tue, 16 Mar 2021 11:36:00 +0900"
'윤석열 <b>관련주</b>' 아이크래프트 오후 갑작스러운 상한가 도달,http://www.ggilbo.com/news/articleView.html?idxno=834055,http://www.ggilbo.com/news/articleView.html?idxno=834055,"사외이사가 윤석열 전 검찰총장과 서울대 법대, 연수원 23기 동문이라는 이유로 <b>관련주</b>로 불린다. 15일 윤 전 총장이 차기 대권 지지율에서 이재명 경기도지사와 더불어민주당 <b>이낙연</b> 상임선대위원장에 10%포인트... ","Mon, 15 Mar 2021 14:42:00 +0900"
컴퍼니케이 19.57% 상승...윤석열 차기 대권 지지율서 이재명·<b>이낙연</b> 제친 영...,http://www.ajunews.com/view/20210315150533738,http://www.ajunews.com/view/20210315150533738,"윤석열 <b>관련주</b>로 알려졌다. 한국사회여론연구소(KSOI)가 TBS 의뢰로 지난 12~13일 전국 만18세 이상은... 2%), <b>이낙연</b> 상임선대위원장(13.3%)을 크게 제쳤다. 한편, 컴퍼니케이는 신종 코로나 바이러스 감염증... ","Mon, 15 Mar 2021 15:17:00 +0900"
