title,originallink,link,description,pubDate
"송영길 의원, <b>당대표</b> 출마 앞두고 광주 전남 표밭 다지기 나서",http://www.fntoday.co.kr/news/articleView.html?idxno=250870,http://www.fntoday.co.kr/news/articleView.html?idxno=250870,"차기 <b>당대표</b>는 <b>이낙연</b> 전 대표의 잔여<b>임기</b>(1년 6개월)인 내년 8월까지로 3월 대통령선거와 6월 지방선거에서 민주당을 이끌게 된다. 민주당의 대선 후보 경선을 관리하고, 대선 승리시 새 정부 정책·인사에도 영향력을... ","Thu, 18 Mar 2021 16:07:00 +0900"
"<b>이낙연</b>, 박형준 겨냥 &quot;의혹있는 지도자 부산 미래 어려워&quot;",http://www.mediapen.com/news/view/610118,http://www.mediapen.com/news/view/610118,<b>이낙연</b> 더불어민주당 상임선거대책위원장은 17일 &quot;부동산을 포함한 각종 비리에 연루된 의혹이 있는... 김태년 <b>당대표</b> 직무대행 겸 원내대표도 이날 회의해 참석해 &quot;부동산 적폐의 사슬을 끊기 위해 LH 특검과 함께 엘시티... ,"Wed, 17 Mar 2021 13:44:00 +0900"
이재명·윤석열에 가려진 <b>이낙연</b> '<b>당 대표</b>' 성적표는,http://www.mediatoday.co.kr/news/articleView.html?idxno=212380,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=006&aid=0000107076,"양강구도 속 존재감 밀린 <b>이낙연</b>, <b>당대표</b> 평가조차 드물어…사면론으로 얼룩진 포용, <b>이낙연</b> 표 대국민 비전... 대통령은 <b>임기</b>말 역대 최고 지지율을 유지하고 있다. 이런 가운데 여권 차원의 개혁법안을 추진한 이 전... ","Sun, 14 Mar 2021 13:16:00 +0900"
"<b>이낙연</b>, <b>당대표 임기</b> 마지막 민생방문서 날계란 '봉변'",http://news.tvchosun.com/site/data/html_dir/2021/03/05/2021030590121.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=448&aid=0000320625,"민주당 <b>이낙연</b> 대표가 춘천의 시장을 찾았다가 시민이 던진 달걀에 맞았습니다. 다음 주 <b>당 대표</b> 퇴임을 앞두고 사실상의 마지막 민생 방문에서 봉변을 당한 건데, 이 대표로서는 요즘 이래저래 마음이 복잡할 듯 합니다.... ","Fri, 05 Mar 2021 21:34:00 +0900"
&quot;시대정신은 신복지&quot;…<b>당대표 임기</b> 마친 <b>이낙연</b> 대선행 탑승,http://www.joongboo.com/news/articleView.html?idxno=363476210,http://www.joongboo.com/news/articleView.html?idxno=363476210,연합 더불어민주당 <b>이낙연</b> 대표가 9일 내년 대선출마를 위해 192일간의 <b>임기</b>를 마치고 <b>당 대표</b>직에서 물러났다. <b>당 대표</b>나 최고위원이 대선에 출마하려면 대선일 1년 전(2022년 3월 9일)까지 사퇴토록 한 당헌상 당권·대권... ,"Tue, 09 Mar 2021 18:08:00 +0900"
물러나는 <b>이낙연</b> &quot;문재인 정부 위해 역할 다할 것&quot;,https://www.nocutnews.co.kr/news/5512417,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=079&aid=0003476603,더불어민주당 <b>이낙연</b> 대표가 9일 <b>당대표</b>직에서 물러난다. 선출된지 192일 만으로 <b>임기</b>를 다 채우지 않았지만 차기 대선 후보는 1년 전까지 당권을 겸임할 수 없다는 민주당 당헌을 지키기 위해 사임한다. 이 대표는 이날... ,"Tue, 09 Mar 2021 10:07:00 +0900"
물러나는 <b>이낙연</b> &quot;문재인 정부 성공과 발전 위해 역할 다할 것&quot;,http://news.tf.co.kr/read/ptoday/1847014.htm,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=629&aid=0000071129,&quot;우선 4.7재보궐 선거 승리&quot; <b>이낙연</b> 더불어민주당 대표가 <b>당대표 임기</b> 마지막날인 9일 &quot;앞으로 저는 문재인 정부의 성공과 대한민국의 발전을 위해 어느 곳에서 무엇을 하든 저의 역할과 책임을 다하겠다&quot;고 밝혔다. 이... ,"Tue, 09 Mar 2021 10:17:00 +0900"
<b>이낙연</b> &quot;가덕신공항 진도 앞당기는 일 적임자는 김영춘&quot;,https://www.pressian.com/pages/articles/2021031214161105677?utm_source=naver&utm_medium=search,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=002&aid=0002177718,상임선대위원장인 <b>이낙연</b> 전 <b>당대표</b>가 '가덕신공항 조기 착공'을 강조하면서 집권여당 후보자에 힘을 실어줄... 특히 &quot;선거에서 뽑힐 시장은 <b>임기</b>가 4년짜리가 아니다. 문재인 대통령의 잔여 <b>임기</b>와 거의 비슷한 기간... ,"Fri, 12 Mar 2021 14:47:00 +0900"
대권 도전 <b>이낙연</b>의 '6개월 <b>당대표</b>'…득이었나 실이었나,https://www.hankyung.com/politics/article/2021030969067,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004510324,<b>당대표</b> 이후 사면 발언으로 '친문' 지지 못 얻어 <b>이낙연</b> 대표는 지난해 8월29일 전당대회에서 60.77%의 득표로 압도적인 지지를 얻으며 선출됐다. <b>임기</b>는 2년이지만 192일 만에 사퇴하는 것은 대권을 염두에 둔 것. 민주당... ,"Tue, 09 Mar 2021 14:03:00 +0900"
"[단독] <b>이낙연</b>, <b>당대표</b> 퇴임 전 문 대통령에 '변창흠 사퇴' 건의",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002726420&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002305267,복수 관계자 &quot;LH 사태 여론·수습책 전달&quot; ▲  더불어민주당 <b>이낙연</b> 상임선대위원장 ⓒ 공동취재사진 <b>이낙연</b>... 또 다른 이 위원장 측 관계자 역시 &quot;이 위원장이 <b>당대표 임기</b>를 마치기 전 LH 사태에 대한 책임을 지고 변... ,"Fri, 12 Mar 2021 14:56:00 +0900"
