title,originallink,link,description,pubDate
"<b>이낙연</b>, ‘5인모임’ 장경태에 강력 경고…이준석, 일부 반박",https://www.seoul.co.kr/news/newsView.php?id=20210309500092&wlog_tag3=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=081&aid=0003169613,"더불어민주당 <b>이낙연</b> 대표가 최근 5인 모임을 가져 코로나19 방역 수칙을 위반한 장경태 의원에게 강력... 업주는 “처음에 아내가 가서 이야기했고, <b>아들</b>이 가서 이야기했으며, 그런데도 안 나가서 제가 가서 ‘다섯 명... ","Tue, 09 Mar 2021 14:26:00 +0900"
[D-1년 대선주자 인터뷰] <b>이낙연</b> 대표 일문일답,http://www.newsis.com/view/?id=NISX20210308_0001363198&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010382047,"&quot;호남은 제가 나고 자란 고향이자, 시골뜨기 <b>이낙연</b>을 정치인으로 재탄생시켜주신 곳이다. 제 인생의 뿌리이자 둥지이다. 호남의 <b>아들</b>임을 늘 자랑스럽게 생각하며 살아왔다. 시·도민 여러분의 사랑과 격려에 감사하다. 시... ","Tue, 09 Mar 2021 05:01:00 +0900"
"<b>이낙연</b>, 대선 출마 위해 9일 당대표직 내려놓는다",http://www.segye.com/content/html/2021/03/06/20210306504745.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003558637,지배적 <b>이낙연</b> 더불어민주당 대표가 5일 오후 민생탐방지로 찾은 강원도 춘천 중앙시장을 둘러보고 있다.... 야당의 추미애 전 법무부 장관 <b>아들</b> 군 휴가 특혜 의혹 공세에 '검찰 수사 우선' 기조로 정면돌파하는 동시에... ,"Sun, 07 Mar 2021 07:03:00 +0900"
"<b>이낙연</b>의 계란, 노무현의 계란..&quot;간절했을 것&quot;",http://www.fnnews.com/news/202103061146313303,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=014&aid=0004595820,"<b>이낙연</b> 더불어민주당 대표가 지난 5일, 민생탐방을 위해 춘천 중앙시장을 걷던 중 '계란 봉변'을 당했다. 6일... 이자리에서 노 전 대통령은 그는 &quot;저는 농민의 <b>아들</b>이고 농사를 지어봤기 때문에 한국 농업을 살려야겠다는... ","Sat, 06 Mar 2021 12:26:00 +0900"
당 대표 떼고 '대권본색'… <b>이낙연</b>표 정책 색깔 보여주나,http://www.joongboo.com/news/articleView.html?idxno=363476178,http://www.joongboo.com/news/articleView.html?idxno=363476178,더불어민주당 <b>이낙연</b> 대표가 9일 국회에서 열린 퇴임 기자간담회에 입장하고 있다. 더불어민주당 <b>이낙연</b>... 야당의 추미애 전 법무부 장관 <b>아들</b> 군 휴가 특혜 의혹 공세를 정면돌파로 극복했다. 강도 높은 기강잡기로 당... ,"Tue, 09 Mar 2021 17:47:00 +0900"
<b>이낙연</b> &quot;낮은 목소리가 고민…국민 원해야 대통령 돼&quot;,http://news.mk.co.kr/newsRead.php?no=215737&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004759040,"더불어민주당 <b>이낙연</b> 대표가 5일 한 지상파 예능 프로그램에 출연, 토크쇼 데뷔전을 톡톡히 치렀다. 이 대표가... 그는 지금까지 살면서 가장 좋았던 순간으로 <b>아들</b>이 태어났을 때를 꼽았고, 일주일에 한번씩은 손자들을... ","Fri, 05 Mar 2021 23:53:00 +0900"
[대선주자에게 듣는다-일문일답] <b>이낙연</b> 더불어민주당 대표,http://www.honam.co.kr/detail/ilgftp/642447,http://www.honam.co.kr/detail/ilgftp/642447,"▲호남은 제가 나고 자란 고향이자, 시골뜨기 <b>이낙연</b>을 정치인으로 재탄생시켜주신 곳이다. 제 인생의 뿌리이자 둥지이다. 호남의 <b>아들</b>임을 늘 자랑스럽게 생각하며 살아왔다. 시·도민 여러분의 사랑과 격려에 감사하다.... ","Tue, 09 Mar 2021 05:03:00 +0900"
<b>이낙연</b> “추 장관 <b>아들</b> 의혹에 과잉 대응 자제하자”,http://www.hani.co.kr/arti/politics/assembly/962699.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=028&aid=0002513430,더불어민주당 <b>이낙연</b> 대표가 민주당 의원들에게 추미애 법무부 장관 <b>아들</b> 의혹과 관련해 과잉대응을 자제해달라고 주문했다. 이 대표는 18일 오전 국회에서 열린 최고위원회의에서 “나흘 동안의 국회 본회의... ,"Fri, 18 Sep 2020 10:56:00 +0900"
추미애 <b>아들</b> 논란에 입 연 <b>이낙연</b>…&quot;사실관계 대부분 확인&quot;,https://www.hankyung.com/politics/article/2020091461447,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004415812,<b>이낙연</b> 더불어민주당 대표는 14일 추미애 법무부 장관 <b>아들</b> 의혹 관련한 사실관계가 대부분 확인됐다고 진단하며 야권의 정치공세 중단을 촉구했다. 검찰을 향해선 조속한 수사를 당부했다. <b>이낙연</b> 대표는 이날 오전... ,"Mon, 14 Sep 2020 10:14:00 +0900"
&quot;대통령 할거야?&quot; 아이들 질문에 <b>이낙연</b> '진땀'…&quot;국민이 하라고 해야 해”,https://www.news1.kr/articles/?4232209,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005205438,"<b>이낙연</b> 더불어민주당 대표가 평균 연령 10세 어린이 MC들의 순수하고 동심 가득한 질문 세례에 진땀을 뺐다.... 자신의 69년 인생 중 희로애락을 묻는 질문 중 가장 좋을 때로는 '<b>아들</b>이 태어났을 때'를, 가장 슬플 때로는... ","Fri, 05 Mar 2021 23:47:00 +0900"
"<b>이낙연</b>, 대선 링으로…리더십 호평에도 지지율 하락 '숙제'",http://www.newsis.com/view/?id=NISX20210305_0001361034&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010378477,<b>이낙연</b> 더불어민주당 대표가 대선 출마를 위해 오는 9일 당대표직을 내려놓는다. 지난해 8월29일 '어대낙... 야당의 추미애 전 법무부 장관 <b>아들</b> 군 휴가 특혜 의혹 공세에 '검찰 수사 우선' 기조로 정면돌파하는 동시에 자당... ,"Sat, 06 Mar 2021 06:00:00 +0900"
"<b>이낙연</b> “추미애 <b>아들</b> 불기소, 검찰 조사 결과니 받<b>아들</b>여야”",http://www.segye.com/content/html/2020/09/29/20200929510111.html?OutUrl=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=022&aid=0003508156,뉴스1 검찰이 추미애 법무부 장관 <b>아들</b> 군 휴가 특혜 논란 주요 관련자들을 ‘무혐의’ 조치해 논란이 거센 가운데 더불어민주당 <b>이낙연</b> 대표는 29일 “검찰 조사 결과이니 받<b>아들</b>여야 한다”고 밝혔다. 이 대표는 이날... ,"Tue, 29 Sep 2020 11:14:00 +0900"
3·9 대선 D-1년…<b>이낙연</b> 대선 링으로,http://www.namdonews.com/news/articleView.html?idxno=600334,http://www.namdonews.com/news/articleView.html?idxno=600334,3ㆍ9 대선 D-1년…<b>이낙연</b> 대선 링으로 리더십 호평…지지율 회복 '숙제' 당대표 사퇴 후 4ㆍ7 재보궐 지원... 야당의 추미애 전 법무부 장관 <b>아들</b> 군 휴가 특혜 의혹 공세에 '검찰 수사 우선' 기조로 정면돌파하는 동시에 자당... ,"Sun, 07 Mar 2021 17:59:00 +0900"
"<b>이낙연</b> &quot;秋<b>아들</b> 의혹, 사실관계 분명해져…정쟁 자제해야&quot;",https://news.joins.com/article/olink/23465943,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=025&aid=0003034921,<b>이낙연</b> 더불어민주당 대표는 14일 대량 해고 사태를 겪고 있는 이스타항공의 창업주인 이상직 의원에 대해... 이 대표는 추미애 법무부 장관의 <b>아들</b> 의혹과 관련해선 “당 소속 의원들의 노력으로 사실관계는 많이... ,"Mon, 14 Sep 2020 10:03:00 +0900"
"<b>이낙연</b>, 秋<b>아들</b> 의혹에 “정치공세” vs 김종인 “‘불공정 바이러스’ 슈퍼전...",https://www.donga.com/news/article/all/20200914/102929152/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003309226,더불어민주당 <b>이낙연</b> 대표는 14일 추미애 법무부 장관의 특혜 휴가 의혹과 관련해 “야당이 정치공세를 계속한다면 우리는 ‘사실’로 대응하고 차단할 것”이라고 밝혔다. 이 대표가 추 장관 <b>아들</b> 의혹과 관련해 입장을... ,"Mon, 14 Sep 2020 17:04:00 +0900"
"<b>이낙연</b> “추미애 <b>아들</b> 의혹, 과잉 대응 자제하라”",https://www.donga.com/news/article/all/20200918/102998782/2,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003310206,"<b>이낙연</b> 더불어민주당 대표는 18일 추미애 법무부 장관 <b>아들</b>의 군 특혜 의혹과 관련해 “사실관계를 분명하게 가리되, 과잉 대응은 자제하는 게 좋다”고 주문했다. 최근 민주당 의원들이 추 장관을 옹호하는 과정에서 추... ","Fri, 18 Sep 2020 12:41:00 +0900"
[속보] DJ<b>아들</b> 제명한 DJ키즈 <b>이낙연</b> “안타깝고 참담하다”,https://www.chosun.com/politics/politics_general/2020/09/23/C6RVC67SNZHSDDKYAFKCPCZYBI/?utm_source=naver&utm_medium=original&utm_campaign=news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=023&aid=0003563985,<b>이낙연</b> 더불어민주당 대표는 23일 한국방송기자클럽 토론회에서 김홍걸 의원의 제명에 대해 “안타깝고 참담하다”고 했다. 이 대표는 “왜 그 일이 제 앞에 놓였을까 참으로 안타깝고 참담했다”며 “그러나 피할 수 없는... ,"Wed, 23 Sep 2020 11:28:00 +0900"
"<b>이낙연</b>, 추미애 <b>아들</b> 의혹 &quot;정쟁 자제하고 검찰 수사 기다려야&quot;",http://www.mediatoday.co.kr/news/articleView.html?idxno=209275,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=006&aid=0000104524,<b>이낙연</b> 대표는 이날 최고위원회의에서 &quot;어제 추미애 장관이 <b>아들</b> 문제에 관한 심경과 입장을 밝혔다. 우리가 충분히 알지 못했던 가족에 대한 이야기와 검찰 개혁을 향한 충정을 말씀해주셨다. 당 소속 의원들의 노력으로... ,"Mon, 14 Sep 2020 11:33:00 +0900"
&quot;<b>이낙연</b> 의사 <b>아들</b>이 한 말 맞나&quot;...&quot;정쟁은 나중에&quot;,http://www.edaily.co.kr/news/newspath.asp?newsid=03729366625700040,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004589941,"위원장 <b>이낙연</b>의 <b>아들</b>이 막말의 주인공”이라고 겨냥했다. 김 원내대변인은 “대구를 비롯한 전 국민이 코로나로 인해 말로 표현할 수 없는 고통 속에 살아가고 있지만, 이 후보의 <b>아들</b>에게 코로나는 그냥 우스개 개그... ","Wed, 04 Mar 2020 14:41:00 +0900"
