title,originallink,link,description,pubDate
"&quot;차기 대권 적합도, 이재명 25% 윤석열 23% <b>이낙연</b> 10%&quot;",http://yna.kr/AKR20210318103200001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012268584,4개 기관 합동조사…문대통령 <b>지지율</b> 39% 이재명 경기도지사와 윤석열 전 검찰총장이 차기 대권... 더불어민주당 <b>이낙연</b> 상임선거대책위원장은 10%였다. 1주일 전 조사와 비교하면 이 지사는 변함이 없었고 윤 전... ,"Thu, 18 Mar 2021 13:36:00 +0900"
<b>지지율</b> 하락 <b>이낙연</b>…텃밭 선거에도 올인,http://news.kbs.co.kr/news/view.do?ncd=5142213&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0011009277,&quot;] 2월내 특별법 제정 약속을 지키기 못한 채 빈손으로 이뤄진 <b>이낙연</b> 위원장의 이번 방문은 <b>지지율</b> 하락에 따른 텃밭 다지기용으로 풀이됩니다. KBS 뉴스 곽선정입니다. 촬영기자:김종윤 곽선정,"Thu, 18 Mar 2021 19:27:00 +0900"
"차기 대통령감, 이재명 25% 윤석열 23% <b>이낙연</b> 10%",http://www.newsis.com/view/?id=NISX20210318_0001375299&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010399653,"이어 <b>이낙연</b> 더불어민주당 전 대표 10%, 안철수 국민의당 대표 4%, 홍준표 무소속 의원 3%, 오세훈 전... 민주당은 전주 대비 1%포인트 하락했고, 국민의힘은 전주와 동률을 이루면서 <b>지지율</b> 격차는 4%포인트차로... ","Thu, 18 Mar 2021 14:26:00 +0900"
"“차기 대권 적합도, 이재명 25%·윤석열 23%·<b>이낙연</b> 10%”",http://news.heraldcorp.com/view.php?ud=20210318000964,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001808839,"<b>이낙연</b> 더불어민주당 상임선거대책위원장은 10%였다. 1주일 전 조사와 비교하면 이 지사는 변함이 없었고... 정당<b>지지율</b>은 민주당 30%, 국민의힘 26%, 정의당 5%, 국민의당 5% 순이었다. 시장 선거를 앞둔 서울 지역에서는... ","Thu, 18 Mar 2021 16:30:00 +0900"
대선주자 지지도 이재명 25%·윤석열 23%·<b>이낙연</b> 10%,http://www.edaily.co.kr/news/newspath.asp?newsid=03476806628984632,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004879407,"2위를 차지한 윤 전 총장은 지난 조사보다 지지도가 1% 포인트 하락한 23%를 기록했지만, 이 지사와는 2% 포인트 차이로 오차범위 내 팽팽한 <b>지지율</b> 싸움을 펼치고 있는 것으로 나타났다. 반면 <b>이낙연</b> 전 더불어민주당... ","Thu, 18 Mar 2021 16:03:00 +0900"
"이재명 25% VS 윤석열 23%, 오차범위내 접전…<b>이낙연</b>은 10%",https://news.imaeil.com/Politics/2021031813522732943,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000694098,"<b>이낙연</b> 더불어민주당 상임선거대책위원장은 10%였다. 대통령감으로 적합한 인물이 없거나 해당 문항에 응답하지 않은 '태도 유보'는 27%였다. 전주 조사와 비교해 이 지사의 <b>지지율</b>은 변함이 없었고, 윤 전 총장은 1... ","Thu, 18 Mar 2021 13:53:00 +0900"
<b>이낙연 지지율</b> 10% 턱걸이…이재명 25% 윤석열 23%,http://news.mk.co.kr/newsRead.php?no=260673&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004765576,대선 양강구도 뚜렷해져 정치고향 호남 찾은 <b>이낙연</b> &quot;여순사건 특별법 곧 처리&quot; 더불어민주당 유력 대권주자 <b>이낙연</b> 상임선대위원장의 <b>지지율</b>이 두 자릿수조차 위협받는 여론조사 결과가 18일 나왔다. 이재명... ,"Thu, 18 Mar 2021 17:15:00 +0900"
윤석열 37% 이재명 24% <b>이낙연</b> 13%,https://www.nocutnews.co.kr/news/5516105,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=079&aid=0003479118,윤석열 전 검찰총장이 차기 대권 여론조사에서 이재명 경기도지사와 더불어민주당 <b>이낙연</b> 상임선대위원장의 <b>지지율</b>을 합친 수준인 37%대를 기록한 것으로 15일 나타났다. 한국사회여론연구소(KSOI)가 TBS의 의뢰로... ,"Mon, 15 Mar 2021 14:11:00 +0900"
전면에 나선 '상왕' 이해찬·호남으로 간 <b>이낙연</b>,https://www.dailian.co.kr/news/view/973791/?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002477116,지난 9일 당 대표직을 내려놓은 <b>이낙연</b> 민주당 상임선거대책위원장은 선거판 전면에 나서기 보다는 지방... 그러나 당내 대선 후보 경선을 앞두고 하락한 <b>지지율</b> 회복을 위한 '텃밭 다지기' 행보라는 해석에 무게가... ,"Fri, 19 Mar 2021 01:40:00 +0900"
"차기 대권 적합도, 이재명·윤석열 구도 팽팽… <b>이낙연</b>은?",http://moneys.mt.co.kr/news/mwView.php?no=2021031815178073489,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=417&aid=0000670806,"<b>이낙연</b> 더불어민주당 전 대표 10%, 안철수 국민의당 대표 4%, 홍준표 무소속 의원 3%, 오세훈 전 서울시장이... 국민의힘은 지난주와 동률을 이뤄 민주당과 <b>지지율</b> 격차를 4%포인트차로 좁혔다. 이번 조사는 휴대전화... ","Thu, 18 Mar 2021 15:31:00 +0900"
