title,originallink,link,description,pubDate
[홍기자의 쏘왓]&quot;사장이 파평 윤씨라&quot; 윤석열 <b>테마주</b> 누가 만들죠?,https://www.nocutnews.co.kr/news/5515176,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=079&aid=0003478618,"합성피혁 판매업체인 덕성은 사외이사가 윤 전 총장과 서울대 법대 동문이라는 이유만으로 <b>테마주</b>로 묶이며 주가가 급등했습니다. 이외에도 <b>이낙연</b>, 이재명, 안철수, 박영선, 오세훈 등 유력 정치인에게는 5~10개의 관련... ","Sat, 13 Mar 2021 05:07:00 +0900"
윤석열 1위에 주가 30% 오른 OO…'정치 <b>테마주</b>'의 민낯,https://www.hankyung.com/economy/article/202103091206i,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004510231,"이 밖에 안철수, 오세훈, <b>이낙연</b>, 이재명 등 유력 정치인에게는 5~10개의 관련 <b>테마주</b>가 있다. 역시 성이 같거나, 학교 동문이라는 단순한 이유다. 한국의 주식이지만 미국 대통령 관련 <b>테마주</b>까지 있다. 의아하게도... ","Tue, 09 Mar 2021 10:56:00 +0900"
출마 확정·사퇴 선언·선호도 1위에 출렁이는 정치<b>테마주</b>,http://news.mt.co.kr/mtview.php?no=2021030814540664990,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004554012,<b>이낙연 테마주</b>로 알려진 남선알미늄은 이 대표가 민주당에 공식 복귀한 작년 1월에는 22% 가량 급등했다. 2000원대 주가는 4000원을 뚫었다. 이 대표가 지난해 4월 총선에서 당선된 직후 주가는 8000원에 육박했다. 반면 이... ,"Tue, 09 Mar 2021 05:05:00 +0900"
금태섭 처가 회사가 ‘이재명 <b>테마주</b>'가 된 까닭은?,https://www.chosun.com/national/weekend/2021/03/13/WY2ZMM3QG5FPRKNKJWOEOCL5XU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003601403,"가장 ‘핫’한 <b>테마주</b>의 주인공은 대선 후보 지지도 1위로 올라선 윤 전 총장이지만, <b>이낙연</b> 전 더불어민주당 대표, 이재명 경기도지사, 안철수 국민의당 대표 등 대선주자급 인물 모두 수십 종목의 <b>테마주</b>를 거느리고(?)... ","Sat, 13 Mar 2021 03:11:00 +0900"
같은 '파평 尹씨'라서 급등?···윤석열 <b>테마주</b> 경계령,https://www.sedaily.com/NewsView/22JQABTY96,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003880462,이날 윤 총장은 한 대권 주자 적합도 여론조사에서 이재명 경기지사와 <b>이낙연</b> 더불어민주당 대표를 제치고 1위를 차지했다. 이에 윤 총장의 출신 지역이나 학교·인맥 등을 바탕으로 형성된 <b>테마주</b>가 급등한 것으로... ,"Mon, 08 Mar 2021 17:59:00 +0900"
윤석열 뜨면 상한가...대권주자 이재명·<b>이낙연 테마주</b>는?,http://www.ajunews.com/view/20210310104948861,http://www.ajunews.com/view/20210310104948861,<b>이낙연 테마주</b>로 유명한 남선알미늄은 지난해 4월 이 대표가 총선에서 당선된 직후 주가가 8000원 가까이 치솟았다. 이 대표의 지지율이 하락하면서 주가는 다시 급락했다. 이날 현재 남선알미늄은 전거래일 대비... ,"Wed, 10 Mar 2021 11:27:00 +0900"
"윤석열 종친, 이재명 친구…정치<b>테마주</b> '주가조작' 잡아낸다",https://view.asiae.co.kr/article/2021031108432624815,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004863037,주요 정치인의 행보 하나 하나에 <b>테마주</b>가 급등락하는 가운데 한국거래소가 정밀 모니터링에 나섰다. 후보와... <b>이낙연</b> 민주당 대표의 셋째 남동생 이계연씨가 지난해 10월 대표이사로 취업한 삼부토건은 이 대표 취임 후... ,"Thu, 11 Mar 2021 09:21:00 +0900"
같은 姓·후원회장이라고 '묻지마 상한가'…'정치 <b>테마주</b>' 극성,http://news.tvchosun.com/site/data/html_dir/2021/03/09/2021030990127.html,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=448&aid=0000320910,"이유로 <b>테마주</b>로 묶이며, 1년만에 주가가 약 10배나 뛰었습니다. 대선 주자로 꼽히는 <b>이낙연</b> 더불어민주당 대표나 정세균 국무총리, 그리고 서울시장 후보자와 관련된 <b>테마주</b>도 쏟아집니다. 모두 실적과는 무관한 '묻지마... ","Tue, 09 Mar 2021 21:33:00 +0900"
여론조사 1위 윤석열 <b>테마주</b> '들썩',http://www.m-i.kr/news/articleView.html?idxno=804893,http://www.m-i.kr/news/articleView.html?idxno=804893,"이재명 경기도지사(24.1%), <b>이낙연</b> 더불어민주당 대표(14.9%)가 그 뒤를 이었다. 다만 전문가들은 정치인 <b>테마주</b>들이 뚜렷한 연관성도 없고 실적과도 관계없는 만큼 투자에 주의를 당부하고 있다. 남길남... ","Tue, 09 Mar 2021 14:51:00 +0900"
&quot;그 둘이 동문이래&quot; 정치 <b>테마주</b>의 탄생에서 소멸까지,http://news.mt.co.kr/mtview.php?no=2021030813590851506,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004554009,<b>이낙연</b> 민주당 대표의 셋째 남동생이 지난해 10월 대표이사로 취업한 삼부토건은 급등세를 이어갔다. 지연 <b>테마주</b>도 만만찮다. 이재명 관련주 중 하나인 오리엔트바이오와 오리엔트정공은 이 지사가 과거 계열사에... ,"Tue, 09 Mar 2021 05:00:00 +0900"
