title,originallink,link,description,pubDate
"<b>이낙연</b> &quot;檢, 부동산 범죄 엄단 안 해 LH 사건 진상 늦게 드러나&quot;",http://www.newsis.com/view/?id=NISX20210319_0001376768&cID=10301&pID=10300,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0010401798,<b>이낙연</b> 더불어민주당 상임 선거대책위원장은 19일 &quot;법무부 장관이 작년 7월 부동산 범죄 엄단을 검찰에 지시했지만 검찰은 제대로 이행하지 않았다&quot;며 &quot;당시 검찰이 신속하게 수사했다면 LH 직원 투기 사건은 더 빨리... ,"Fri, 19 Mar 2021 14:32:00 +0900"
<b>이낙연</b> &quot;COP28 남해안남중권 유치에 공감&quot;,http://www.enewstoday.co.kr/news/articleView.html?idxno=1461828,http://www.enewstoday.co.kr/news/articleView.html?idxno=1461828,더불어민주당 <b>이낙연</b> 상임선대위원장은 지난 18일 &quot;2023년 개최 예정인 제28차 유엔기후변화협약 당사국총회... 지난 18일 여수세계박람회장 컨벤션센터를 찾은 더불어민주당 <b>이낙연</b> 상임선대위원장은 2023년 개최 예정인... ,"Fri, 19 Mar 2021 15:27:00 +0900"
"&quot;차기 대권 적합도, 이재명 25% 윤석열 23% <b>이낙연</b> 10%&quot;",http://yna.kr/AKR20210318103200001?did=1195m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0012268584,"더불어민주당 <b>이낙연</b> 상임선거대책위원장은 10%였다. 1주일 전 조사와 비교하면 이 지사는 변함이 없었고 윤 전 총장이 1%포인트, 이 위원장은 2%포인트 하락한 것이다. 민주당 지지층에서는 이 지사를 꼽은 응답자가... ","Thu, 18 Mar 2021 13:36:00 +0900"
차기 대통령감…이재명 25% 윤석열 23% <b>이낙연</b> 10%,http://news.mk.co.kr/newsRead.php?no=259496&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004765427,"3위는 <b>이낙연</b> 더불어민주당 상임선거대책위원(10%)이 차지했다. 이어 안철수 국민의당 대표 4%, 홍준표 무소속 의원 3%, 오세훈 전 서울시장이 2% 등의 순이었다. '없음, 모름·무응답'은 27%로 집계됐다. 이 지사는 1주일... ","Thu, 18 Mar 2021 14:48:00 +0900"
"여수시 &quot;<b>이낙연</b>, 'COP28' 여수중심 남해안남중권 유치 공감&quot;",https://www.news1.kr/articles/?4246874,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005233596,전남 여수시는 <b>이낙연</b> 더불어민주당 상임선대위원장이 2023년 개최 예정인 제28차 유엔기후변화협약 당사국총회(COP28)의 남해안남중권 유치에 공감했다고 19일 밝혔다. 시에 따르면 <b>이낙연</b> 위원장은 전날... ,"Fri, 19 Mar 2021 15:08:00 +0900"
"여수시, <b>이낙연</b> 총리 방문해 COP28 남해안중권 유치 공감",http://www.sportsseoul.com/news/read/1024476?ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=468&aid=0000752848,지난 18일 여수세계박람회장 컨벤션센터를 찾은 더불어민주당 <b>이낙연</b> 상임선대위원장.(제공=여수시) 더불어민주당 <b>이낙연</b> 상임선대위원장은 지난 18일 “2023년 개최 예정인 제28차 유엔기후변화협약 당사국총회(COP28)를... ,"Fri, 19 Mar 2021 15:42:00 +0900"
여수 방문한 <b>이낙연</b> “COP28 남해안남중권 유치에 공감”,https://daily.hankooki.com/lpage/society/202103/dh20210319144502148510.htm?s_ref=nv,https://daily.hankooki.com/lpage/society/202103/dh20210319144502148510.htm?s_ref=nv,더불어민주당 <b>이낙연</b> 상임선대위원장은 18일 “2023년 개최 예정인 제28차 유엔기후변화협약 당사국총회(COP28)를 여수를 중심으로 한 남해안남중권에 유치하는 것에 대해 공감하고 있다”고 밝혔다. 이 위원장은 이날... ,"Fri, 19 Mar 2021 14:50:00 +0900"
지지율 하락 <b>이낙연</b>…텃밭 선거에도 올인,http://news.kbs.co.kr/news/view.do?ncd=5142213&amp;ref=A,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=056&aid=0011009277,<b>이낙연</b> 더불어민주당 전 대표가 4·7 보궐선거 상임선대위원장을 수락한 이후 처음으로 호남을 방문했습니다.... [리포트] 여순사건 희생자 위령비 앞에 선 더불어민주당 <b>이낙연</b> 상임선대위원장. 지난 달 11일 방문 이후 한... ,"Thu, 18 Mar 2021 19:27:00 +0900"
"<b>이낙연</b> &quot;여순사건 특별법, 3월 여야 합의 처리 가능&quot;",https://www.nocutnews.co.kr/news/5518562,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003480821,<b>이낙연</b> 더불어민주당 상임선대위원장이 여순사건 특별법의 3월 국회 통과가 가능하다고 전망했다. <b>이낙연</b> 민주당 선대위원장은 18일 전남 여수시 만덕동 여순사건 희생자 위령비를 찾아 헌화한 뒤 기자들과 만나 &quot;여순사건... ,"Thu, 18 Mar 2021 11:24:00 +0900"
"“차기 대권 적합도, 이재명 25%·윤석열 23%·<b>이낙연</b> 10%”",http://news.heraldcorp.com/view.php?ud=20210318000964,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=016&aid=0001808839,"<b>이낙연</b> 더불어민주당 상임선거대책위원장은 10%였다. 1주일 전 조사와 비교하면 이 지사는 변함이 없었고 윤 전 총장이 1%포인트, 이 위원장은 2%포인트 하락한 것이다. 민주당 지지층에서는 이 지사를 꼽은 응답자가... ","Thu, 18 Mar 2021 16:30:00 +0900"
