title,originallink,link,description,pubDate
이낙연 지지율 10% 턱걸이…<b>이재명</b> 25% 윤석열 23%,http://news.mk.co.kr/newsRead.php?no=260673&year=2021,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=009&aid=0004765576,대선 양강구도 뚜렷해져 정치<b>고향</b> 호남 찾은 이낙연 &quot;여순사건 특별법 곧 처리&quot; 더불어민주당 유력 대권주자 이낙연 상임선대위원장의 지지율이 두 자릿수조차 위협받는 여론조사 결과가 18일 나왔다. <b>이재명</b>... ,"Thu, 18 Mar 2021 17:15:00 +0900"
"<b>이재명</b>, 5·18 계엄군 유족 첫 사죄에 “독재자 전씨 끝내 이해 못할 것”",https://www.news1.kr/articles/?4244653,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005229250,"진현권 기자,이수민 기자 = <b>이재명</b> 경기도지사는 17일 5.18민주화운동 당시 계엄군으로 참여했던 공수부대원이... 도우러 <b>고향</b>인 보성으로 이동하던 고(故) 박병현씨(당시 25세)를 쐈다. 그는 당시 상황에 대해 “광주 외곽을... ","Wed, 17 Mar 2021 21:22:00 +0900"
"5.18 계엄군 첫 사죄에…<b>이재명</b> &quot;전두환, 반쪽도 안되는 남루한 삶&quot;",http://news.mt.co.kr/mtview.php?no=2021031722501213626,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=008&aid=0004558831,5.18민주화운동 당시 계엄군 소속 공수부대원이 희생자 유족의 용서를 구한 것과 관련해 <b>이재명</b>... 도우러 <b>고향</b>인 보성으로 이동하던 고(故) 박병현씨(당시 25세)를 쐈다. 그는 당시 상황에 대해 &quot;광주 외곽을 차단할... ,"Wed, 17 Mar 2021 23:00:00 +0900"
"<b>이재명</b>, 5.18 계엄군 첫 사죄에 &quot;독재자 전씨, 끝내 알지 못할 것&quot;",http://www.newscj.com/news/articleView.html?idxno=839341,http://www.newscj.com/news/articleView.html?idxno=839341,"&quot;반쪽도 안되는 남루한 삶&quot; <b>이재명</b> 경기도지사가 17일 '5.18민주화운동 당시 계엄군으로 참여했던... 도우러 <b>고향</b>인 보성으로 이동하던 고(故) 박병현씨(당시 25세)를 쏴 숨지게 했다. 이 지사는 &quot;사죄와 용서, 그리고 치유의... ","Thu, 18 Mar 2021 00:12:00 +0900"
"윤석열, 대선후보 지지율 또 올라 37.2%…<b>이재명</b> 24.2%·이낙연 13.3%",http://www.sisafocus.co.kr/news/articleView.html?idxno=257103,http://www.sisafocus.co.kr/news/articleView.html?idxno=257103,8%p 상승했으며 2위인 <b>이재명</b> 경기도지사는 동기 대비 0.1%P 오른 24.2%에 그쳐 양자 간 격차는 13%P로 나왔다.... 4%)들의 지지를 주요 기반으로 삼은 데 반해 과거 독주했던 이 지사는 <b>고향</b>인 호남(광주·전라 38.5... ,"Mon, 15 Mar 2021 10:58:00 +0900"
금태섭 처가 회사가 ‘<b>이재명</b> 테마주'가 된 까닭은?,https://www.chosun.com/national/weekend/2021/03/13/WY2ZMM3QG5FPRKNKJWOEOCL5XU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=023&aid=0003601403,"이 외에 알루미늄 압출 전문회사인 알루코라는 기업도 추천했는데, 회사 소재지가 윤 전 총장 아버지 <b>고향</b>인... 대표, <b>이재명</b> 경기도지사, 안철수 국민의당 대표 등 대선주자급 인물 모두 수십 종목의 테마주를 거느리고(?)... ","Sat, 13 Mar 2021 03:11:00 +0900"
[기자수첩] 이낙연·<b>이재명</b>과 호남 민심 ,http://www.sisaon.co.kr/news/articleView.html?idxno=125062,http://www.sisaon.co.kr/news/articleView.html?idxno=125062,광주가 <b>고향</b>이라는 택시기사(남)는 &quot;<b>이재명</b> 지지가 광주에서 7이라면 이낙연 지지는 3&quot;이라고 했다. 왜 이 지사 쪽으로 옮겨진 것인지 물었다. 들려준 바에 따르면 '화끈함(?)'으로 요약됐다. 선호하는 리더십의 문제일 수도... ,"Tue, 16 Mar 2021 16:05:00 +0900"
"윤석열, 사퇴 후 지지율 수직 상승 32.4% 1위…<b>이재명</b> 제쳐",https://www.donga.com/news/article/all/20210308/105768400/1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=020&aid=0003342958,"<b>이재명</b> 경기지사와 이낙연 더불어민주당 대표의 지지도는 각각 24.1%, 14.9%에 그쳤다. 이어 홍준표 무소속... 정치권 안팎에선 윤 전 총장 부친의 <b>고향</b>(충남 공주)을 지역구로 둔 정진석 국민의힘 의원과 검찰 출신으로... ","Mon, 08 Mar 2021 10:45:00 +0900"
[최경철이 만난 사람] <b>이재명</b> 경기지사 &quot;공직자 가장 큰 덕목은 공정&quot;,https://news.imaeil.com/Politics/2021031023375277885,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=088&aid=0000692861,자리에 앉아 첫 질문을 던지기도 전에 <b>이재명</b>(56) 경기도지사는 <b>고향</b> 안동에서의 어린 시절 얘기부터 꺼냈다. 그러면서 &quot;초등학교 운동회 때마다 들어서 아직도 가사를 정확하게 기억해 부를 수 있다&quot;면서 '경북도민의 노래... ,"Thu, 11 Mar 2021 10:30:00 +0900"
차기 대선주자 TK 지지율 윤석열 51.8% <b>이재명</b> 13.8%,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002725650&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002304952,"다음으로는 <b>이재명</b> 경기지사가 13.8%, 홍준표 국회의원(무소속) 11.5%, 이낙연 더불어민주당 전 대표(6.5... 대구를 <b>고향</b> 같다고 말한 점 등이 보수지역 정서에 먹혀들고 있는 것 같다&quot;고 말했다. 앞서 윤석열 전... ","Wed, 10 Mar 2021 12:21:00 +0900"
