title,originallink,link,description,pubDate
"[특징주] 원익큐브, '윤석열 <b>관련주</b>'로 부각… 14%↑",http://moneys.mt.co.kr/news/mwView.php?no=2021031909558099527,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=417&aid=0000671139,윤석열 전 검찰총장과 <b>이재명</b> 경기도지사가 차기 대선후보 적합도 조사에서 '양강구도'를 펼치고 있다는 여론조사 결과가 나오며 '윤석열 <b>관련주</b>' 원익큐브가 강세다. 19일 오전 9시54분 기준 원익큐브는 전 거래일... ,"Fri, 19 Mar 2021 09:56:00 +0900"
"동신건설·에이텍, <b>이재명 관련주</b> 모두 하락 흐름…동신건설 1% 하락 이어 에...",http://www.econonews.co.kr/news/articleView.html?idxno=163634,http://www.econonews.co.kr/news/articleView.html?idxno=163634,<b>이재명 관련주</b>인 에이텍과 동신건설이 하락세다. 동신건설은 19일 코스닥 시장에서 낮 12시58분 현재 전 거래일보다 1.41%(550원) 하락한 3만8450원에 거래되고 있다. 동신건설은 장 내내 하락세다. 에이텍은 전... ,"Fri, 19 Mar 2021 13:04:00 +0900"
[17일 오늘의 특징주 총정리] 사료·제약 <b>관련주</b> 급등 '종근당·우성사료·경...,http://www.ccreview.co.kr/news/articleView.html?idxno=306691,http://www.ccreview.co.kr/news/articleView.html?idxno=306691,종근당 <b>관련주</b> 종근당 <b>관련주</b>가 급등세를 보였다. 17일 종근당은 16.42%(2만 7500원) 상승한 19만 5000원에... 차기 대선후보 적합도 조사에서 윤석열 전 검찰총장이 <b>이재명</b> 경기도지사와 이낙연 전 더불어민주당 대표를... ,"Wed, 17 Mar 2021 16:08:00 +0900"
"<b>이재명 관련주</b>·이낙연 <b>관련주</b> 에이텍‧남선알미늄, 모두 하락세로…에이텍 1...",http://www.econonews.co.kr/news/articleView.html?idxno=163593,http://www.econonews.co.kr/news/articleView.html?idxno=163593,<b>이재명 관련주</b>인 에이텍과 이낙연 <b>관련주</b>인 남선알미늄이 하락세다. 남선알미늄은 19일 코스피 시장에서 오전 11시28분 현재 전 거래일보다 0.6%(25원) 하락한 4155원에 거래되고 있다. 남선알미늄은 16일과 17일... ,"Fri, 19 Mar 2021 11:33:00 +0900"
"<b>이재명 관련주</b>·이낙연 <b>관련주</b> 에이텍‧남선알미늄, 모두 상승 흐름…소폭 상...",http://www.econonews.co.kr/news/articleView.html?idxno=163376,http://www.econonews.co.kr/news/articleView.html?idxno=163376,<b>이재명 관련주</b>인 에이텍과 이낙연 <b>관련주</b>인 남선알미늄이 상승세다. 남선알미늄은 18일 코스피 시장에서 오전 11시3분 현재 전 거래일보다 0.12%(5원) 상승한 4195원에 거래되고 있다. 남선알미늄은 12일을... ,"Thu, 18 Mar 2021 11:12:00 +0900"
"동신건설·에이텍, <b>이재명 관련주</b> 희비 엇갈려…동신건설 보합 반해 에이텍 1...",http://www.econonews.co.kr/news/articleView.html?idxno=163424,http://www.econonews.co.kr/news/articleView.html?idxno=163424,<b>이재명 관련주</b>인 에이텍과 동신건설의 희비가 엇갈리고 있다. 동신건설은 18일 코스닥 시장에서 오후 1시23분 현재 전 거래일과 동일한 3만8800원에 거래되고 있다. 에이텍은 전 거래일보다 0.95%(300원) 오른... ,"Thu, 18 Mar 2021 13:31:00 +0900"
"동신건설·에이텍, <b>이재명 관련주</b> 지지부진한 주가…동신건설 소폭 하락 이어...",http://www.econonews.co.kr/news/articleView.html?idxno=163209,http://www.econonews.co.kr/news/articleView.html?idxno=163209,<b>이재명 관련주</b>인 에이텍과 동신건설의 주가가 지지부진하다. 동신건설은 17일 코스닥 시장에서 오후 1시 현재 전 거래일보다 0.13%(50원) 하락한 3만8000원에 거래되고 있다. 동신건설은 상승세를 보이다 오후 들어... ,"Wed, 17 Mar 2021 13:06:00 +0900"
"<b>이재명 관련주</b>·이낙연 <b>관련주</b> 에이텍‧남선알미늄, 지지부진한 주가…에이텍...",http://www.econonews.co.kr/news/articleView.html?idxno=163162,http://www.econonews.co.kr/news/articleView.html?idxno=163162,<b>이재명 관련주</b>인 에이텍과 이낙연 <b>관련주</b>인 남선알미늄의 주가가 지지부진하다. 남선알미늄은 17일 코스피 시장에서 오전 11시7분 현재 전 거래일보다 0.24%(10원) 상승한 4175원에 거래되고 있다.... ,"Wed, 17 Mar 2021 11:18:00 +0900"
[17일 상한가 총정리] 메타랩스·한국맥널티·아이진·삼성출판사 강세 '미국...,http://www.ccreview.co.kr/news/articleView.html?idxno=306692,http://www.ccreview.co.kr/news/articleView.html?idxno=306692,종근당 <b>관련주</b> 종근당 <b>관련주</b>가 급등세를 보였다. 17일 종근당은 16.42%(2만 7500원) 상승한 19만 5000원에... 차기 대선후보 적합도 조사에서 윤석열 전 검찰총장이 <b>이재명</b> 경기도지사와 이낙연 전 더불어민주당 대표를... ,"Wed, 17 Mar 2021 16:08:00 +0900"
"동신건설·에이텍, <b>이재명 관련주</b> 모두 하락세로…동신건설 1% 하락 이어 에이...",http://www.econonews.co.kr/news/articleView.html?idxno=163020,http://www.econonews.co.kr/news/articleView.html?idxno=163020,<b>이재명 관련주</b>인 에이텍과 동신건설이 하락세다. 이들 종목은 장 내내 하락세다. 동신건설은 16일 코스닥 시장에서 오후 1시18분 현재 전 거래일보다 1.42%(550원) 하락한 3만8250원에 거래되고 있다. 에이텍은... ,"Tue, 16 Mar 2021 13:24:00 +0900"
